"ApexHeight_RANKTHISWEEK_2014","ApexHeight_RANKLASTWEEK_2014","ApexHeight_PLAYERNAME_2014","ApexHeight_ROUNDS_2014","ApexHeight_AVG_2014","ApexHeight_TOTALAPEXHEIGHT_2014","ApexHeight_TOTALATTEMPTS_2014","ApexHeight_HIGHESTAPEXPOINT_2014","ApexHeight_LOWESTAPEXPOINT_2014","stat_name","year"
1,1,"Jamie Lovemark",64,NA,NA,44,NA,NA,"ApexHeight",2014
2,2,"Jason Day",54,NA,NA,28,NA,NA,"ApexHeight",2014
3,3,"Andrew Loupe",65,NA,NA,43,NA,NA,"ApexHeight",2014
4,4,"Rickie Fowler",91,NA,NA,63,NA,NA,"ApexHeight",2014
5,5,"Charley Hoffman",93,NA,NA,81,NA,NA,"ApexHeight",2014
6,6,"JB Holmes",86,NA,NA,65,NA,NA,"ApexHeight",2014
7,7,"Graham DeLaet",80,NA,NA,55,NA,NA,"ApexHeight",2014
8,8,"Bud Cauley",56,NA,NA,47,NA,NA,"ApexHeight",2014
9,9,"Keegan Bradley",89,NA,NA,63,NA,NA,"ApexHeight",2014
9,9,"Angel Cabrera",69,NA,NA,66,NA,NA,"ApexHeight",2014
9,9,"Brooks Koepka",56,NA,NA,38,NA,NA,"ApexHeight",2014
12,12,"Hudson Swafford",75,NA,NA,53,NA,NA,"ApexHeight",2014
13,13,"Bubba Watson",76,NA,NA,47,NA,NA,"ApexHeight",2014
14,14,"Sean OHair",77,NA,NA,59,NA,NA,"ApexHeight",2014
15,15,"Kyle Stanley",87,NA,NA,74,NA,NA,"ApexHeight",2014
16,16,"James Hahn",82,NA,NA,69,NA,NA,"ApexHeight",2014
17,17,"Dustin Johnson",58,NA,NA,39,NA,NA,"ApexHeight",2014
18,18,"Will Ma Kenzie",82,NA,NA,79,NA,NA,"ApexHeight",2014
19,19,"Phil Mickelson",71,NA,NA,47,NA,NA,"ApexHeight",2014
20,20,"Ryan Palmer",85,NA,NA,66,NA,NA,"ApexHeight",2014
21,21,"Josh Teater",90,NA,NA,77,NA,NA,"ApexHeight",2014
22,22,"Troy Matteson",62,NA,NA,48,NA,NA,"ApexHeight",2014
23,23,"Hunter Mahan",88,NA,NA,77,NA,NA,"ApexHeight",2014
24,24,"Geoff Ogilvy",84,NA,NA,70,NA,NA,"ApexHeight",2014
25,25,"Jimmy Walker",98,NA,NA,66,NA,NA,"ApexHeight",2014
26,26,"Rory McIlroy",66,NA,NA,47,NA,NA,"ApexHeight",2014
26,26,"Mark Wilson",69,NA,NA,62,NA,NA,"ApexHeight",2014
28,28,"Davis Love III",74,NA,NA,54,NA,NA,"ApexHeight",2014
29,29,"Morgan Hoffmann",103,NA,NA,88,NA,NA,"ApexHeight",2014
30,30,"Bill Haas",107,NA,NA,80,NA,NA,"ApexHeight",2014
31,31,"Justin Rose",70,NA,NA,52,NA,NA,"ApexHeight",2014
32,32,"Robert Garrigus",80,NA,NA,66,NA,NA,"ApexHeight",2014
33,33,"Marc Leishman",81,NA,NA,67,NA,NA,"ApexHeight",2014
34,34,"Nicholas Thompson",85,NA,NA,69,NA,NA,"ApexHeight",2014
35,35,"Charlie Beljan",76,NA,NA,70,NA,NA,"ApexHeight",2014
36,36,"Scott Stallings",77,NA,NA,61,NA,NA,"ApexHeight",2014
37,37,"Luke Donald",57,NA,NA,39,NA,NA,"ApexHeight",2014
38,38,"Harris English",95,NA,NA,61,NA,NA,"ApexHeight",2014
39,39,"Louis Oosthuizen",50,NA,NA,27,NA,NA,"ApexHeight",2014
40,40,"Derek Ernst",80,NA,NA,58,NA,NA,"ApexHeight",2014
41,41,"Billy Horschel",92,NA,NA,69,NA,NA,"ApexHeight",2014
42,42,"Danny Lee",84,NA,NA,65,NA,NA,"ApexHeight",2014
43,43,"Jhonattan Vegas",77,NA,NA,66,NA,NA,"ApexHeight",2014
44,44,"Vijay Singh",83,NA,NA,73,NA,NA,"ApexHeight",2014
45,45,"Hideki Matsuyama",82,NA,NA,66,NA,NA,"ApexHeight",2014
46,46,"Sergio Garcia",61,NA,NA,34,NA,NA,"ApexHeight",2014
47,47,"JJ Henry",91,NA,NA,73,NA,NA,"ApexHeight",2014
47,47,"David Lingmerth",80,NA,NA,69,NA,NA,"ApexHeight",2014
49,49,"Gary Woodland",93,NA,NA,65,NA,NA,"ApexHeight",2014
50,50,"Retief Goosen",94,NA,NA,87,NA,NA,"ApexHeight",2014
51,51,"Russell Henley",92,NA,NA,77,NA,NA,"ApexHeight",2014
52,52,"Richard Lee",80,NA,NA,68,NA,NA,"ApexHeight",2014
53,53,"Ernie Els",85,NA,NA,64,NA,NA,"ApexHeight",2014
53,53,"Brendan Steele",89,NA,NA,74,NA,NA,"ApexHeight",2014
55,55,"Ben Crane",81,NA,NA,84,NA,NA,"ApexHeight",2014
56,56,"John Rollins",84,NA,NA,62,NA,NA,"ApexHeight",2014
57,57,"Shawn Stefani",60,NA,NA,54,NA,NA,"ApexHeight",2014
58,58,"Webb Simpson",87,NA,NA,72,NA,NA,"ApexHeight",2014
58,58,"Tyrone Van Aswegen",79,NA,NA,45,NA,NA,"ApexHeight",2014
