"Total1Putts1015_RANKTHISWEEK_2016","Total1Putts1015_RANKLASTWEEK_2016","Total1Putts1015_PLAYERNAME_2016","Total1Putts1015_ROUNDS_2016","Total1Putts1015_TOTAL_2016","Total1Putts1015_TOTALFORALLDISTANCES_2016","Total1Putts1015_PCTOFALL1PUTTS_2016","stat_name","year"
1,1,"Tyrone Van Aswegen",67,49,367,13.4,"Total1Putts1015",2016
2,4,"Brian Harman",60,48,366,13.1,"Total1Putts1015",2016
3,3,"Ricky Barnes",57,46,336,13.7,"Total1Putts1015",2016
3,2,"Ryan Palmer",46,46,295,15.6,"Total1Putts1015",2016
5,5,"Kyle Reifers",63,45,321,14,"Total1Putts1015",2016
6,8,"William McGirt",54,44,349,12.6,"Total1Putts1015",2016
7,9,"Mark Hubbard",73,42,428,9.8,"Total1Putts1015",2016
7,5,"Michael Kim",62,42,380,11.1,"Total1Putts1015",2016
7,12,"Kyle Stanley",57,42,322,13,"Total1Putts1015",2016
10,7,"Smylie Kaufman",57,41,287,14.3,"Total1Putts1015",2016
11,12,"Derek Fathauer",58,40,333,12,"Total1Putts1015",2016
11,9,"Jamie Lovemark",57,40,367,10.9,"Total1Putts1015",2016
13,19,"Roberto Castro",55,39,304,12.8,"Total1Putts1015",2016
13,21,"John Senden",48,39,283,13.8,"Total1Putts1015",2016
13,9,"Hudson Swafford",52,39,275,14.2,"Total1Putts1015",2016
13,12,"Boo Weekley",53,39,278,14,"Total1Putts1015",2016
17,12,"Scott Brown",59,38,292,13,"Total1Putts1015",2016
17,12,"Greg Owen",56,38,262,14.5,"Total1Putts1015",2016
19,21,"Graham DeLaet",50,37,283,13.1,"Total1Putts1015",2016
20,17,"Charley Hoffman",49,36,273,13.2,"Total1Putts1015",2016
20,17,"Kevin Na",52,36,238,15.1,"Total1Putts1015",2016
22,21,"Lucas Glover",53,35,306,11.4,"Total1Putts1015",2016
22,28,"David Hearn",55,35,287,12.2,"Total1Putts1015",2016
22,19,"John Huh",51,35,311,11.3,"Total1Putts1015",2016
22,21,"Whee Kim",54,35,285,12.3,"Total1Putts1015",2016
22,38,"Camilo Villegas",50,35,301,11.6,"Total1Putts1015",2016
27,28,"Ben Crane",48,34,277,12.3,"Total1Putts1015",2016
27,38,"Adam Hadwin",53,34,337,10.1,"Total1Putts1015",2016
27,57,"Andrew Loupe",50,34,316,10.8,"Total1Putts1015",2016
27,28,"Peter Malnati",53,34,315,10.8,"Total1Putts1015",2016
27,25,"Sean OHair",45,34,297,11.4,"Total1Putts1015",2016
27,34,"Harold Varner III",58,34,350,9.7,"Total1Putts1015",2016
33,28,"Bronson Burgoon",53,33,267,12.4,"Total1Putts1015",2016
33,25,"KJ Choi",47,33,298,11.1,"Total1Putts1015",2016
