"LongestPutts_RANKTHISWEEK_2009","LongestPutts_RANKLASTWEEK_2009","LongestPutts_PLAYERNAME_2009","LongestPutts_ROUNDS_2009","LongestPutts_DISTANCE_2009","LongestPutts_YEARTOURN_2009","LongestPutts_ROUND_2009","LongestPutts_HOLE_2009","stat_name","year"
1,1,"Rodney Butcher",6,NA,NA,2,17,"LongestPutts",2009
2,2,"Jeff Overton",92,NA,NA,3,17,"LongestPutts",2009
3,3,"Frank Lickliter II",36,NA,NA,2,1,"LongestPutts",2009
4,4,"Colt Knost",71,NA,NA,1,16,"LongestPutts",2009
5,5,"Rod Pampling",72,NA,NA,3,14,"LongestPutts",2009
7,7,"John Rollins",92,NA,NA,2,18,"LongestPutts",2009
8,8,"Jerry Kelly",90,NA,NA,3,6,"LongestPutts",2009
9,9,"Casey Wittenberg",71,NA,NA,3,18,"LongestPutts",2009
10,10,"Steve Stricker",81,NA,NA,3,5,"LongestPutts",2009
11,11,"Jeev Milkha Singh",49,NA,NA,1,8,"LongestPutts",2009
12,12,"Heath Slocum",95,NA,NA,3,9,"LongestPutts",2009
13,13,"David Toms",98,NA,NA,1,7,"LongestPutts",2009
14,14,"Martin Laird",72,NA,NA,4,3,"LongestPutts",2009
15,15,"Pat Perez",74,NA,NA,4,18,"LongestPutts",2009
16,16,"Joe Ogilvie",85,NA,NA,1,12,"LongestPutts",2009
17,17,"Fred Funk",14,NA,NA,3,8,"LongestPutts",2009
18,18,"Richard Johnson",85,NA,NA,1,16,"LongestPutts",2009
19,19,"Rocco Mediate",79,NA,NA,3,17,"LongestPutts",2009
20,20,"Vijay Singh",71,NA,NA,1,1,"LongestPutts",2009
21,21,"Rory McIlroy",42,NA,NA,1,5,"LongestPutts",2009
22,22,"Steve Elkington",70,NA,NA,1,17,"LongestPutts",2009
23,23,"Hunter Mahan",94,NA,NA,3,13,"LongestPutts",2009
24,24,"Nathan Green",104,NA,NA,1,10,"LongestPutts",2009
25,25,"Todd Hamilton",83,NA,NA,1,17,"LongestPutts",2009
26,26,"Kevin Na",91,NA,NA,2,9,"LongestPutts",2009
27,27,"Spike McRoy",4,NA,NA,1,4,"LongestPutts",2009
28,28,"Matt Kuchar",82,NA,NA,1,5,"LongestPutts",2009
29,29,"Bo Van Pelt",100,NA,NA,2,11,"LongestPutts",2009
30,30,"Greg Kraft",51,NA,NA,1,1,"LongestPutts",2009
31,31,"John Merrick",91,NA,NA,1,17,"LongestPutts",2009
32,32,"Robert Garrigus",83,NA,NA,2,12,"LongestPutts",2009
33,33,"Martin Kaymer",38,NA,NA,3,1,"LongestPutts",2009
35,35,"Scott McCarron",91,NA,NA,1,9,"LongestPutts",2009
36,36,"Jeff Klauk",97,NA,NA,2,3,"LongestPutts",2009
37,37,"Mark Calcavecchia",72,NA,NA,2,9,"LongestPutts",2009
38,38,"John Senden",100,NA,NA,4,12,"LongestPutts",2009
39,39,"George McNeill",82,NA,NA,2,16,"LongestPutts",2009
40,40,"Greg Norman",8,NA,NA,2,14,"LongestPutts",2009
40,41,"Nick OHern",90,NA,NA,2,5,"LongestPutts",2009
42,43,"Carlos Franco",31,NA,NA,2,10,"LongestPutts",2009
42,42,"Stewart Cink",79,NA,NA,2,1,"LongestPutts",2009
42,44,"DA Points",99,NA,NA,3,13,"LongestPutts",2009
45,46,"Stuart Appleby",79,NA,NA,2,16,"LongestPutts",2009
47,47,"Angel Cabrera",55,NA,NA,4,17,"LongestPutts",2009
48,48,"Parker McLachlin",71,NA,NA,1,14,"LongestPutts",2009
49,49,"Aaron Baddeley",66,NA,NA,4,18,"LongestPutts",2009
49,50,"Ian Poulter",59,NA,NA,2,9,"LongestPutts",2009
51,51,"David Mathis",82,NA,NA,4,3,"LongestPutts",2009
52,52,"Billy Andrade",40,NA,NA,1,1,"LongestPutts",2009
53,53,"Woody Austin",84,NA,NA,1,8,"LongestPutts",2009
54,54,"Chris DiMarco",97,NA,NA,1,9,"LongestPutts",2009
55,55,"Cameron Beckman",87,NA,NA,2,2,"LongestPutts",2009
56,56,"Tommy Armour III",58,NA,NA,4,13,"LongestPutts",2009
