"SandSavePercentage_RANKTHISWEEK_2007","SandSavePercentage_RANKLASTWEEK_2007","SandSavePercentage_PLAYERNAME_2007","SandSavePercentage_ROUNDS_2007","SandSavePercentage_Pct_2007","SandSavePercentage_SAVES_2007","SandSavePercentage_BUNKERS_2007","SandSavePercentage_TOTALOUPAR_2007","stat_name","year"
1,1,"Tim Clark",66,68.1,79,116,22,"SandSavePercentage",2007
2,2,"Chris Riley",59,63.53,54,85,26,"SandSavePercentage",2007
3,3,"Mike Weir",82,60.29,82,136,29,"SandSavePercentage",2007
4,4,"Justin Rose",63,60.2,59,98,24,"SandSavePercentage",2007
5,5,"Craig Barlow",52,59.76,49,82,27,"SandSavePercentage",2007
6,6,"Jonathan Byrd",73,59.54,78,131,29,"SandSavePercentage",2007
7,7,"Kevin Na",84,59.24,93,157,37,"SandSavePercentage",2007
8,8,"John Rollins",102,59.17,100,169,41,"SandSavePercentage",2007
9,9,"Geoff Ogilvy",84,59.02,72,122,39,"SandSavePercentage",2007
10,10,"KJ Choi",87,58.39,80,137,40,"SandSavePercentage",2007
11,11,"Rod Pampling",92,58.06,90,155,36,"SandSavePercentage",2007
12,12,"Jose Coceres",50,57.89,55,95,31,"SandSavePercentage",2007
13,13,"Luke Donald",69,57.72,71,123,37,"SandSavePercentage",2007
14,14,"Aaron Baddeley",83,57.49,96,167,49,"SandSavePercentage",2007
15,15,"Andrew Buckle",77,57.39,66,115,30,"SandSavePercentage",2007
16,16,"Alex Cejka",80,57.27,63,110,19,"SandSavePercentage",2007
17,17,"Tim Petrovic",106,56.99,106,186,58,"SandSavePercentage",2007
18,18,"Marco Dawson",73,56.88,62,109,27,"SandSavePercentage",2007
19,19,"Steve Flesch",100,56.64,81,143,42,"SandSavePercentage",2007
19,19,"Charlie Wi",90,56.64,81,143,32,"SandSavePercentage",2007
21,21,"Matt Kuchar",85,56.59,73,129,40,"SandSavePercentage",2007
22,22,"Doug LaBelle II",104,56.55,95,168,46,"SandSavePercentage",2007
23,23,"Stuart Appleby",74,56.3,76,135,38,"SandSavePercentage",2007
24,24,"Anthony Kim",93,56.16,82,146,35,"SandSavePercentage",2007
25,25,"Charles Howell III",89,56.15,73,130,38,"SandSavePercentage",2007
26,26,"Glen Day",85,56.1,69,123,45,"SandSavePercentage",2007
27,27,"Dicky Pride",71,55.77,58,104,32,"SandSavePercentage",2007
28,28,"Daniel Chopra",106,55.75,97,174,40,"SandSavePercentage",2007
29,29,"Fred Funk",65,55.67,54,97,46,"SandSavePercentage",2007
30,30,"Lee Janzen",66,55.65,69,124,37,"SandSavePercentage",2007
30,30,"Kirk Triplett",77,55.65,64,115,42,"SandSavePercentage",2007
32,32,"Ken Duke",112,55.56,95,171,52,"SandSavePercentage",2007
33,33,"Craig Lile",77,55.45,56,101,36,"SandSavePercentage",2007
34,34,"Bob Heintz",85,55.3,73,132,52,"SandSavePercentage",2007
35,35,"Brian Gay",107,55.29,94,170,60,"SandSavePercentage",2007
36,36,"Ryuji Imada",104,55.09,92,167,58,"SandSavePercentage",2007
37,37,"Gavin Coles",87,55.08,65,118,55,"SandSavePercentage",2007
38,38,"Arron Oberholser",69,55.05,60,109,33,"SandSavePercentage",2007
39,39,"Jason Gore",86,54.93,78,142,41,"SandSavePercentage",2007
40,40,"Mark Wilson",87,54.84,68,124,46,"SandSavePercentage",2007
41,41,"Paul Gow",70,54.81,57,104,37,"SandSavePercentage",2007
42,42,"Justin Leonard",95,54.47,67,123,49,"SandSavePercentage",2007
43,43,"Tom Pernice Jr",104,54.4,99,182,71,"SandSavePercentage",2007
44,44,"Jason Dufner",100,54.3,82,151,42,"SandSavePercentage",2007
45,45,"Bryce Molder",56,53.93,48,89,37,"SandSavePercentage",2007
46,46,"Cliff Kresge",107,53.89,97,180,60,"SandSavePercentage",2007
47,47,"Vaughn Taylor",91,53.79,71,132,40,"SandSavePercentage",2007
48,48,"Briny Baird",115,53.74,79,147,31,"SandSavePercentage",2007
49,49,"Shigeki Maruyama",84,53.73,72,134,46,"SandSavePercentage",2007
50,50,"Nathan Green",103,53.5,107,200,69,"SandSavePercentage",2007
51,51,"Tom Lehman",62,53.49,46,86,26,"SandSavePercentage",2007
52,52,"Brian Davis",101,53.42,78,146,51,"SandSavePercentage",2007
53,53,"Vijay Singh",102,53.33,104,195,48,"SandSavePercentage",2007
54,54,"Brandt Snedeker",105,53.25,90,169,59,"SandSavePercentage",2007
