"YTDSubParRoundsStreak_RANKTHISWEEK_2014","YTDSubParRoundsStreak_RANKLASTWEEK_2014","YTDSubParRoundsStreak_PLAYERNAME_2014","YTDSubParRoundsStreak__2014","YTDSubParRoundsStreak_VALUE_2014","stat_name","year"
1,1,"Harris English",NA,20,"YTDSubParRoundsStreak",2014
2,2,"Jim Furyk",NA,15,"YTDSubParRoundsStreak",2014
3,3,"Jason Bohn",NA,13,"YTDSubParRoundsStreak",2014
3,3,"David Toms",NA,13,"YTDSubParRoundsStreak",2014
5,5,"Bill Haas",NA,12,"YTDSubParRoundsStreak",2014
5,5,"Billy Horschel",NA,12,"YTDSubParRoundsStreak",2014
5,5,"Scott Langley",NA,12,"YTDSubParRoundsStreak",2014
5,5,"Rory McIlroy",NA,12,"YTDSubParRoundsStreak",2014
5,5,"Jeff Overton",NA,12,"YTDSubParRoundsStreak",2014
5,5,"Justin Rose",NA,12,"YTDSubParRoundsStreak",2014
11,11,"Sergio Garcia",NA,11,"YTDSubParRoundsStreak",2014
11,11,"Kevin Na",NA,11,"YTDSubParRoundsStreak",2014
11,11,"Pat Perez",NA,11,"YTDSubParRoundsStreak",2014
11,11,"Brendon Todd",NA,11,"YTDSubParRoundsStreak",2014
15,15,"Retief Goosen",NA,10,"YTDSubParRoundsStreak",2014
15,15,"JB Holmes",NA,10,"YTDSubParRoundsStreak",2014
15,15,"Zach Johnson",NA,10,"YTDSubParRoundsStreak",2014
15,15,"Matt Kuchar",NA,10,"YTDSubParRoundsStreak",2014
15,15,"Martin Laird",NA,10,"YTDSubParRoundsStreak",2014
15,15,"Webb Simpson",NA,10,"YTDSubParRoundsStreak",2014
21,21,"Keegan Bradley",NA,9,"YTDSubParRoundsStreak",2014
21,21,"Charley Hoffman",NA,9,"YTDSubParRoundsStreak",2014
21,21,"Spencer Levin",NA,9,"YTDSubParRoundsStreak",2014
21,21,"Will Ma Kenzie",NA,9,"YTDSubParRoundsStreak",2014
21,21,"Hideki Matsuyama",NA,9,"YTDSubParRoundsStreak",2014
21,21,"Vijay Singh",NA,9,"YTDSubParRoundsStreak",2014
27,27,"Steven Bowditch",NA,8,"YTDSubParRoundsStreak",2014
27,27,"Graham DeLaet",NA,8,"YTDSubParRoundsStreak",2014
27,27,"Matt Every",NA,8,"YTDSubParRoundsStreak",2014
27,27,"Max Homa",NA,8,"YTDSubParRoundsStreak",2014
27,27,"Charles Howell III",NA,8,"YTDSubParRoundsStreak",2014
27,27,"Freddie Jacobson",NA,8,"YTDSubParRoundsStreak",2014
27,27,"Matt Jones",NA,8,"YTDSubParRoundsStreak",2014
27,27,"Jerry Kelly",NA,8,"YTDSubParRoundsStreak",2014
27,27,"Marc Leishman",NA,8,"YTDSubParRoundsStreak",2014
27,27,"Carl Pettersson",NA,8,"YTDSubParRoundsStreak",2014
27,27,"Michael Putnam",NA,8,"YTDSubParRoundsStreak",2014
27,27,"Brandt Snedeker",NA,8,"YTDSubParRoundsStreak",2014
27,27,"Jordan Spieth",NA,8,"YTDSubParRoundsStreak",2014
27,27,"Brendan Steele",NA,8,"YTDSubParRoundsStreak",2014
27,27,"Steve Stricker",NA,8,"YTDSubParRoundsStreak",2014
27,27,"Hudson Swafford",NA,8,"YTDSubParRoundsStreak",2014
43,43,"Robert Allenby",NA,7,"YTDSubParRoundsStreak",2014
43,43,"Cameron Beckman",NA,7,"YTDSubParRoundsStreak",2014
43,43,"Scott Brown",NA,7,"YTDSubParRoundsStreak",2014
43,43,"Bud Cauley",NA,7,"YTDSubParRoundsStreak",2014
43,43,"Tim Clark",NA,7,"YTDSubParRoundsStreak",2014
43,43,"Chad Collins",NA,7,"YTDSubParRoundsStreak",2014
43,43,"Erik Compton",NA,7,"YTDSubParRoundsStreak",2014
43,43,"Luke Donald",NA,7,"YTDSubParRoundsStreak",2014
43,43,"Jason Dufner",NA,7,"YTDSubParRoundsStreak",2014
43,43,"Ernie Els",NA,7,"YTDSubParRoundsStreak",2014
43,43,"Brian Gay",NA,7,"YTDSubParRoundsStreak",2014
43,43,"Luke Guthrie",NA,7,"YTDSubParRoundsStreak",2014
43,43,"Chesson Hadley",NA,7,"YTDSubParRoundsStreak",2014
43,43,"Brian Harman",NA,7,"YTDSubParRoundsStreak",2014
43,43,"Justin Hicks",NA,7,"YTDSubParRoundsStreak",2014
43,43,"Morgan Hoffmann",NA,7,"YTDSubParRoundsStreak",2014
43,43,"Billy Hurley III",NA,7,"YTDSubParRoundsStreak",2014
43,43,"Dustin Johnson",NA,7,"YTDSubParRoundsStreak",2014
43,43,"Kevin Kisner",NA,7,"YTDSubParRoundsStreak",2014
43,43,"Jason Kokrak",NA,7,"YTDSubParRoundsStreak",2014
43,43,"Justin Leonard",NA,7,"YTDSubParRoundsStreak",2014
43,43,"Andrew Loupe",NA,7,"YTDSubParRoundsStreak",2014
43,43,"Ben Martin",NA,7,"YTDSubParRoundsStreak",2014
43,43,"Troy Merritt",NA,7,"YTDSubParRoundsStreak",2014
43,43,"Bryce Molder",NA,7,"YTDSubParRoundsStreak",2014
43,43,"John Peterson",NA,7,"YTDSubParRoundsStreak",2014
43,43,"Adam Scott",NA,7,"YTDSubParRoundsStreak",2014
43,43,"Robert Streb",NA,7,"YTDSubParRoundsStreak",2014
43,43,"Daniel Summerhays",NA,7,"YTDSubParRoundsStreak",2014
43,43,"Cameron Tringale",NA,7,"YTDSubParRoundsStreak",2014
43,43,"Will Wilcox",NA,7,"YTDSubParRoundsStreak",2014
43,43,"Gary Woodland",NA,7,"YTDSubParRoundsStreak",2014
75,75,"Stuart Appleby",NA,6,"YTDSubParRoundsStreak",2014
75,75,"Charlie Beljan",NA,6,"YTDSubParRoundsStreak",2014
