"AverageDistanceofEagleputtsmade_RANKTHISWEEK_2005","AverageDistanceofEagleputtsmade_RANKLASTWEEK_2005","AverageDistanceofEagleputtsmade_PLAYERNAME_2005","AverageDistanceofEagleputtsmade_ROUNDS_2005","AverageDistanceofEagleputtsmade_AVG_2005","AverageDistanceofEagleputtsmade_TOTDISTFT_2005","AverageDistanceofEagleputtsmade_TOTEAGLESPUTTSMADE_2005","AverageDistanceofEagleputtsmade_LONGESTMADEFT_2005","AverageDistanceofEagleputtsmade_SHORTESTMADEFT_2005","stat_name","year"
1,1,"Steve Elkington",67,NA,66.333,1,66,66,"AverageDistanceofEagleputtsmade",2005
2,2,"Chris DiMarco",83,NA,86.583,2,61,26,"AverageDistanceofEagleputtsmade",2005
3,3,"Hidemichi Tanaka",106,NA,83.5,2,77,7,"AverageDistanceofEagleputtsmade",2005
4,4,"Robert Gamez",91,NA,77.25,2,69,9,"AverageDistanceofEagleputtsmade",2005
5,5,"JL Lewis",98,NA,72.917,2,62,11,"AverageDistanceofEagleputtsmade",2005
6,6,"Stephen Ames",82,NA,68.417,2,47,21,"AverageDistanceofEagleputtsmade",2005
7,7,"Billy Andrade",83,NA,95.917,3,56,1,"AverageDistanceofEagleputtsmade",2005
8,8,"Robert Damron",89,NA,31.5,1,32,32,"AverageDistanceofEagleputtsmade",2005
9,9,"Bernhard Langer",67,NA,93.417,3,52,15,"AverageDistanceofEagleputtsmade",2005
10,10,"Dean Wilson",86,NA,90.167,3,44,17,"AverageDistanceofEagleputtsmade",2005
11,11,"Steve Jones",56,NA,59.167,2,40,19,"AverageDistanceofEagleputtsmade",2005
11,11,"Ryan Palmer",101,NA,118.167,4,62,15,"AverageDistanceofEagleputtsmade",2005
13,13,"Steve Lowery",100,NA,232.583,8,53,11,"AverageDistanceofEagleputtsmade",2005
14,14,"Marco Dawson",82,NA,86.583,3,55,6,"AverageDistanceofEagleputtsmade",2005
15,15,"Hank Kuehne",84,NA,114.667,4,60,6,"AverageDistanceofEagleputtsmade",2005
16,16,"Steve Allan",102,NA,165.5,6,60,9,"AverageDistanceofEagleputtsmade",2005
17,17,"Jeff Hart",63,NA,53.5,2,37,16,"AverageDistanceofEagleputtsmade",2005
18,18,"Stephen Leaney",89,NA,53.333,2,28,26,"AverageDistanceofEagleputtsmade",2005
19,19,"Brenden Pappas",51,NA,290.417,11,75,7,"AverageDistanceofEagleputtsmade",2005
20,20,"Carl Pettersson",109,NA,78.75,3,48,7,"AverageDistanceofEagleputtsmade",2005
21,21,"Scott McCarron",78,NA,130.833,5,38,8,"AverageDistanceofEagleputtsmade",2005
22,22,"Mario Tiziani",67,NA,102.833,4,47,7,"AverageDistanceofEagleputtsmade",2005
23,23,"James Driscoll",73,NA,153.083,6,66,2,"AverageDistanceofEagleputtsmade",2005
24,24,"Freddie Jacobson",72,NA,101.167,4,42,19,"AverageDistanceofEagleputtsmade",2005
24,24,"Mark Wilson",74,NA,50.583,2,30,21,"AverageDistanceofEagleputtsmade",2005
26,26,"Charles Warren",89,NA,126.167,5,50,3,"AverageDistanceofEagleputtsmade",2005
27,27,"Brandt Jobe",96,NA,125.833,5,48,8,"AverageDistanceofEagleputtsmade",2005
28,28,"Mark Calcavecchia",92,NA,100.417,4,38,7,"AverageDistanceofEagleputtsmade",2005
28,28,"Padraig Harrington",50,NA,100.333,4,66,10,"AverageDistanceofEagleputtsmade",2005
30,30,"Jim Furyk",94,NA,74.5,3,37,14,"AverageDistanceofEagleputtsmade",2005
31,31,"Todd Hamilton",94,NA,47.917,2,34,14,"AverageDistanceofEagleputtsmade",2005
32,32,"John Daly",78,NA,71.167,3,38,14,"AverageDistanceofEagleputtsmade",2005
33,33,"Tim Clark",92,NA,70.667,3,29,15,"AverageDistanceofEagleputtsmade",2005
34,34,"Scott Hend",75,NA,115.583,5,43,7,"AverageDistanceofEagleputtsmade",2005
35,35,"Mark Brooks",72,NA,22.833,1,23,23,"AverageDistanceofEagleputtsmade",2005
35,35,"Fred Funk",102,NA,45.583,2,36,10,"AverageDistanceofEagleputtsmade",2005
37,37,"Len Mattiace",86,NA,68,3,32,13,"AverageDistanceofEagleputtsmade",2005
38,38,"KJ Choi",78,NA,90,4,44,7,"AverageDistanceofEagleputtsmade",2005
38,38,"Joe Ogilvie",103,NA,134.917,6,58,3,"AverageDistanceofEagleputtsmade",2005
40,40,"Bob Estes",92,NA,134.417,6,48,4,"AverageDistanceofEagleputtsmade",2005
41,41,"Chris Anderson",66,NA,133.333,6,44,4,"AverageDistanceofEagleputtsmade",2005
42,42,"Bart Bryant",91,NA,155,7,51,3,"AverageDistanceofEagleputtsmade",2005
42,42,"Jesper Parnevik",84,NA,110.667,5,66,5,"AverageDistanceofEagleputtsmade",2005
44,44,"John Huston",90,NA,88.083,4,73,1,"AverageDistanceofEagleputtsmade",2005
45,45,"Jason Bohn",91,NA,131.25,6,54,12,"AverageDistanceofEagleputtsmade",2005
46,46,"Michael Long",72,NA,152.417,7,41,7,"AverageDistanceofEagleputtsmade",2005
47,47,"Bob Tway",87,NA,86.667,4,35,7,"AverageDistanceofEagleputtsmade",2005
48,48,"Brian Bateman",98,NA,172.333,8,32,4,"AverageDistanceofEagleputtsmade",2005
49,49,"David Toms",87,NA,150.5,7,39,6,"AverageDistanceofEagleputtsmade",2005
50,50,"Duffy Waldorf",86,NA,64.333,3,54,5,"AverageDistanceofEagleputtsmade",2005
51,51,"Heath Slocum",103,NA,63.333,3,40,9,"AverageDistanceofEagleputtsmade",2005
52,52,"Dudley Hart",84,NA,84,4,59,5,"AverageDistanceofEagleputtsmade",2005
52,52,"Kevin Stadler",96,NA,272.75,13,37,3,"AverageDistanceofEagleputtsmade",2005
54,54,"Steve Stricker",62,NA,20.333,1,20,20,"AverageDistanceofEagleputtsmade",2005
55,55,"Ryuji Imada",78,NA,60.083,3,44,8,"AverageDistanceofEagleputtsmade",2005
55,55,"John Senden",101,NA,119.75,6,57,NA,"AverageDistanceofEagleputtsmade",2005
57,57,"Rocco Mediate",73,NA,59.75,3,26,10,"AverageDistanceofEagleputtsmade",2005
58,58,"Lucas Glover",88,NA,178.333,9,58,6,"AverageDistanceofEagleputtsmade",2005
58,58,"Pat Perez",89,NA,59.583,3,41,4,"AverageDistanceofEagleputtsmade",2005
60,60,"Patrick Sheehan",114,NA,58.75,3,41,7,"AverageDistanceofEagleputtsmade",2005
61,61,"Greg Owen",84,NA,58.583,3,28,11,"AverageDistanceofEagleputtsmade",2005
61,61,"Tom Pernice Jr",111,NA,136.333,7,48,4,"AverageDistanceofEagleputtsmade",2005
63,63,"DJ Trahan",81,NA,174.667,9,47,5,"AverageDistanceofEagleputtsmade",2005
64,64,"Brian Davis",75,NA,154.583,8,44,7,"AverageDistanceofEagleputtsmade",2005
65,65,"Matt Davidson",53,NA,19.167,1,19,19,"AverageDistanceofEagleputtsmade",2005
66,66,"Omar Uresti",84,NA,56.667,3,29,6,"AverageDistanceofEagleputtsmade",2005
67,67,"Tommy Armour III",103,NA,113.167,6,34,9,"AverageDistanceofEagleputtsmade",2005
68,68,"Bo Van Pelt",112,NA,93.667,5,30,5,"AverageDistanceofEagleputtsmade",2005
69,69,"Doug Barron",70,NA,18.667,1,19,19,"AverageDistanceofEagleputtsmade",2005
69,69,"Brad Faxon",75,NA,74.75,4,54,2,"AverageDistanceofEagleputtsmade",2005
71,71,"Gavin Coles",70,NA,18.5,1,19,19,"AverageDistanceofEagleputtsmade",2005
72,72,"Jeff Brehaut",71,NA,73.75,4,32,5,"AverageDistanceofEagleputtsmade",2005
72,72,"Sean OHair",103,NA,147.083,8,52,2,"AverageDistanceofEagleputtsmade",2005
74,74,"Jason Allred",75,NA,55,3,36,6,"AverageDistanceofEagleputtsmade",2005
74,74,"Shaun Micheel",81,NA,91.583,5,30,3,"AverageDistanceofEagleputtsmade",2005
74,74,"Tiger Woods",76,NA,164.833,9,54,4,"AverageDistanceofEagleputtsmade",2005
77,77,"Bob Heintz",67,NA,54.75,3,39,2,"AverageDistanceofEagleputtsmade",2005
78,78,"Thomas Levet",54,NA,36.25,2,21,15,"AverageDistanceofEagleputtsmade",2005
78,78,"Jay Williamson",53,NA,36.25,2,27,9,"AverageDistanceofEagleputtsmade",2005
80,80,"Mathias Gronberg",60,NA,144,8,36,4,"AverageDistanceofEagleputtsmade",2005
81,81,"Retief Goosen",71,NA,71.5,4,29,3,"AverageDistanceofEagleputtsmade",2005
82,82,"Sergio Garcia",73,NA,53.5,3,33,2,"AverageDistanceofEagleputtsmade",2005
83,83,"Robert Allenby",95,NA,121.667,7,31,4,"AverageDistanceofEagleputtsmade",2005
84,84,"Nick Watney",91,NA,86.333,5,26,8,"AverageDistanceofEagleputtsmade",2005
85,85,"Rod Pampling",89,NA,51.083,3,24,12,"AverageDistanceofEagleputtsmade",2005
85,85,"Tim Petrovic",97,NA,85,5,46,4,"AverageDistanceofEagleputtsmade",2005
87,87,"Darron Stiles",78,NA,16.917,1,17,17,"AverageDistanceofEagleputtsmade",2005
88,88,"Davis Love III",80,NA,83.667,5,24,7,"AverageDistanceofEagleputtsmade",2005
88,88,"Geoff Ogilvy",97,NA,50.333,3,26,5,"AverageDistanceofEagleputtsmade",2005
90,90,"Paul Azinger",66,NA,16.583,1,17,17,"AverageDistanceofEagleputtsmade",2005
91,91,"Ben Crane",78,NA,98.25,6,34,3,"AverageDistanceofEagleputtsmade",2005
92,92,"DA Points",94,NA,128.25,8,41,5,"AverageDistanceofEagleputtsmade",2005
93,93,"Rory Sabbatini",81,NA,95.083,6,30,3,"AverageDistanceofEagleputtsmade",2005
94,94,"JP Hayes",63,NA,47.25,3,22,6,"AverageDistanceofEagleputtsmade",2005
95,95,"Carlos Franco",78,NA,93.833,6,37,3,"AverageDistanceofEagleputtsmade",2005
96,96,"Fred Couples",72,NA,77.417,5,20,11,"AverageDistanceofEagleputtsmade",2005
97,97,"Jonathan Byrd",103,NA,138.083,9,29,6,"AverageDistanceofEagleputtsmade",2005
97,97,"Charlie Wi",67,NA,76.833,5,29,7,"AverageDistanceofEagleputtsmade",2005
99,99,"Andrew Magee",82,NA,76,5,33,5,"AverageDistanceofEagleputtsmade",2005
99,99,"Vijay Singh",111,NA,121.167,8,31,6,"AverageDistanceofEagleputtsmade",2005
101,101,"Phillip Price",77,NA,59.667,4,29,5,"AverageDistanceofEagleputtsmade",2005
101,101,"Joey Snyder III",102,NA,134.333,9,44,2,"AverageDistanceofEagleputtsmade",2005
103,103,"Tom Gillis",77,NA,44.417,3,26,4,"AverageDistanceofEagleputtsmade",2005
103,103,"Charles Howell III",95,NA,118.583,8,41,2,"AverageDistanceofEagleputtsmade",2005
105,105,"Briny Baird",98,NA,86.25,6,25,5,"AverageDistanceofEagleputtsmade",2005
106,106,"Ian Poulter",62,NA,28.583,2,24,5,"AverageDistanceofEagleputtsmade",2005
107,107,"JJ Henry",102,NA,42.833,3,21,7,"AverageDistanceofEagleputtsmade",2005
107,107,"Hideto Tanihara",50,NA,42.667,3,24,9,"AverageDistanceofEagleputtsmade",2005
109,109,"Franklin Langham",91,NA,14.083,1,14,14,"AverageDistanceofEagleputtsmade",2005
109,109,"Billy Mayfair",114,NA,154.75,11,40,3,"AverageDistanceofEagleputtsmade",2005
109,109,"Roland Thatcher",75,NA,42.25,3,24,5,"AverageDistanceofEagleputtsmade",2005
112,112,"Daniel Chopra",108,NA,55.25,4,23,9,"AverageDistanceofEagleputtsmade",2005
112,112,"Hunter Mahan",103,NA,69.333,5,30,5,"AverageDistanceofEagleputtsmade",2005
114,114,"Adam Scott",72,NA,54.5,4,19,7,"AverageDistanceofEagleputtsmade",2005
115,115,"Stuart Appleby",84,NA,40.167,3,17,10,"AverageDistanceofEagleputtsmade",2005
116,116,"Glen Hnatiuk",59,NA,13.25,1,13,13,"AverageDistanceofEagleputtsmade",2005
116,116,"Peter Lonard",85,NA,39.833,3,24,7,"AverageDistanceofEagleputtsmade",2005
118,118,"Aaron Baddeley",84,NA,91.917,7,24,4,"AverageDistanceofEagleputtsmade",2005
118,118,"Jeff Sluman",94,NA,66,5,16,8,"AverageDistanceofEagleputtsmade",2005
120,120,"Dan Forsman",52,NA,25.75,2,21,5,"AverageDistanceofEagleputtsmade",2005
121,121,"Paul Gow",78,NA,25.667,2,22,3,"AverageDistanceofEagleputtsmade",2005
122,122,"Brett Wetterich",76,NA,88.583,7,23,8,"AverageDistanceofEagleputtsmade",2005
123,123,"John Rollins",97,NA,62.667,5,33,3,"AverageDistanceofEagleputtsmade",2005
124,124,"Ted Purdy",122,NA,37,3,18,4,"AverageDistanceofEagleputtsmade",2005
125,125,"Hunter Haas",83,NA,85.75,7,28,1,"AverageDistanceofEagleputtsmade",2005
126,126,"David Hearn",68,NA,72.917,6,20,7,"AverageDistanceofEagleputtsmade",2005
127,127,"Brent Geiberger",61,NA,72.25,6,17,3,"AverageDistanceofEagleputtsmade",2005
128,128,"DJ Brigman",76,NA,12,1,12,12,"AverageDistanceofEagleputtsmade",2005
128,128,"Jim Carter",62,NA,12,1,12,12,"AverageDistanceofEagleputtsmade",2005
130,130,"Arjun Atwal",65,NA,47.583,4,23,4,"AverageDistanceofEagleputtsmade",2005
130,130,"Steve Flesch",90,NA,59.5,5,33,5,"AverageDistanceofEagleputtsmade",2005
130,130,"Brian Gay",101,NA,11.917,1,12,12,"AverageDistanceofEagleputtsmade",2005
133,133,"Scott Gutschewski",86,NA,71,6,18,9,"AverageDistanceofEagleputtsmade",2005
134,134,"Jose Coceres",56,NA,11.75,1,12,12,"AverageDistanceofEagleputtsmade",2005
134,134,"Mark Hensby",70,NA,82.5,7,24,5,"AverageDistanceofEagleputtsmade",2005
136,136,"John Elliott",58,NA,11.667,1,12,12,"AverageDistanceofEagleputtsmade",2005
136,136,"Kevin Na",88,NA,35.083,3,26,4,"AverageDistanceofEagleputtsmade",2005
138,138,"Todd Fischer",99,NA,23.083,2,12,11,"AverageDistanceofEagleputtsmade",2005
138,138,"Mike Weir",71,NA,11.583,1,12,12,"AverageDistanceofEagleputtsmade",2005
140,140,"Skip Kendall",80,NA,11.5,1,12,12,"AverageDistanceofEagleputtsmade",2005
141,141,"Justin Rose",99,NA,33.917,3,13,10,"AverageDistanceofEagleputtsmade",2005
142,142,"Tim Herron",100,NA,33.833,3,15,7,"AverageDistanceofEagleputtsmade",2005
143,143,"Arron Oberholser",65,NA,33.25,3,25,4,"AverageDistanceofEagleputtsmade",2005
144,144,"Harrison Frazar",105,NA,109.583,10,28,NA,"AverageDistanceofEagleputtsmade",2005
145,145,"Woody Austin",100,NA,54.583,5,28,2,"AverageDistanceofEagleputtsmade",2005
146,146,"Matt Gogel",78,NA,21.667,2,16,6,"AverageDistanceofEagleputtsmade",2005
146,146,"Brendan Jones",81,NA,65.083,6,19,1,"AverageDistanceofEagleputtsmade",2005
146,146,"Neal Lancaster",95,NA,32.5,3,17,6,"AverageDistanceofEagleputtsmade",2005
149,149,"Kent Jones",99,NA,21,2,19,2,"AverageDistanceofEagleputtsmade",2005
150,150,"Craig Barlow",81,NA,62.417,6,29,3,"AverageDistanceofEagleputtsmade",2005
151,151,"Lee Janzen",75,NA,10.25,1,10,10,"AverageDistanceofEagleputtsmade",2005
151,151,"Vaughn Taylor",99,NA,51.333,5,21,3,"AverageDistanceofEagleputtsmade",2005
153,153,"Paul Claxton",79,NA,20.25,2,11,10,"AverageDistanceofEagleputtsmade",2005
154,154,"Joe Durant",81,NA,19.667,2,11,8,"AverageDistanceofEagleputtsmade",2005
154,154,"Craig Perks",67,NA,39.333,4,18,2,"AverageDistanceofEagleputtsmade",2005
156,156,"Ben Curtis",65,NA,28.667,3,16,5,"AverageDistanceofEagleputtsmade",2005
156,156,"Chris Smith",93,NA,28.833,3,15,2,"AverageDistanceofEagleputtsmade",2005
158,158,"Michael Allen",90,NA,47.083,5,23,2,"AverageDistanceofEagleputtsmade",2005
159,159,"Chris Riley",67,NA,9.25,1,9,9,"AverageDistanceofEagleputtsmade",2005
160,160,"Lee Westwood",50,NA,27.25,3,16,2,"AverageDistanceofEagleputtsmade",2005
161,161,"Cameron Beckman",96,NA,17.833,2,9,9,"AverageDistanceofEagleputtsmade",2005
161,161,"Joey Sindelar",104,NA,8.917,1,9,9,"AverageDistanceofEagleputtsmade",2005
163,163,"Will Ma Kenzie",75,NA,26.417,3,13,2,"AverageDistanceofEagleputtsmade",2005
164,164,"Kenny Perry",82,NA,17.25,2,13,5,"AverageDistanceofEagleputtsmade",2005
165,165,"Rich Beem",66,NA,16.667,2,12,5,"AverageDistanceofEagleputtsmade",2005
166,166,"Chad Campbell",95,NA,16.417,2,10,6,"AverageDistanceofEagleputtsmade",2005
167,167,"Jerry Kelly",101,NA,23.417,3,19,1,"AverageDistanceofEagleputtsmade",2005
168,168,"Shigeki Maruyama",99,NA,38.5,5,17,3,"AverageDistanceofEagleputtsmade",2005
168,168,"Rob Rashell",65,NA,7.667,1,8,8,"AverageDistanceofEagleputtsmade",2005
170,170,"Tag Ridings",93,NA,43.417,6,10,2,"AverageDistanceofEagleputtsmade",2005
171,171,"Jonathan Kaye",77,NA,7.167,1,7,7,"AverageDistanceofEagleputtsmade",2005
172,172,"Kevin Sutherland",89,NA,21,3,13,2,"AverageDistanceofEagleputtsmade",2005
173,173,"Jeff Maggert",79,NA,6.833,1,7,7,"AverageDistanceofEagleputtsmade",2005
174,174,"Frank Lickliter II",100,NA,26.75,4,14,2,"AverageDistanceofEagleputtsmade",2005
175,175,"Alex Cejka",84,NA,19.667,3,9,3,"AverageDistanceofEagleputtsmade",2005
176,176,"Stewart Cink",98,NA,11.75,2,8,4,"AverageDistanceofEagleputtsmade",2005
176,176,"Dennis Paulson",63,NA,23.667,4,14,2,"AverageDistanceofEagleputtsmade",2005
178,178,"Justin Leonard",78,NA,5.667,1,6,6,"AverageDistanceofEagleputtsmade",2005
179,179,"Richard Johnson",50,NA,5.583,1,6,6,"AverageDistanceofEagleputtsmade",2005
180,180,"Corey Pavin",77,NA,9.917,2,9,NA,"AverageDistanceofEagleputtsmade",2005
181,181,"Brett Quigley",96,NA,4.583,1,5,5,"AverageDistanceofEagleputtsmade",2005
182,182,"Jay Haas",54,NA,3.25,1,3,3,"AverageDistanceofEagleputtsmade",2005
183,183,"Larry Mize",54,NA,3,1,3,3,"AverageDistanceofEagleputtsmade",2005
184,184,"Scott Verplank",87,NA,0.917,1,1,NA,"AverageDistanceofEagleputtsmade",2005
