"ConsecutiveSandSaves_RANKTHISWEEK_2011","ConsecutiveSandSaves_RANKLASTWEEK_2011","ConsecutiveSandSaves_PLAYERNAME_2011","ConsecutiveSandSaves_EVENTS_2011","ConsecutiveSandSaves_STREAK_2011","ConsecutiveSandSaves_CURRENTSTREAK_2011","ConsecutiveSandSaves_ROUND_2011","ConsecutiveSandSaves_HOLE_2011","ConsecutiveSandSaves_YEARTOURN_2011","stat_name","year"
1,1,"Brian Gay",26,17,1,3,9,2011020,"ConsecutiveSandSaves",2011
1,1,"Paul Stankowski",24,17,NA,1,5,2011230,"ConsecutiveSandSaves",2011
3,3,"Chris Riley",25,13,NA,2,12,2011270,"ConsecutiveSandSaves",2011
4,4,"Brendan Steele",27,11,NA,1,15,2011180,"ConsecutiveSandSaves",2011
4,4,"Mark Wilson",26,11,1,4,7,2011360,"ConsecutiveSandSaves",2011
6,6,"Jason Dufner",23,10,NA,5,12,2011030,"ConsecutiveSandSaves",2011
6,6,"Steve Flesch",27,10,NA,1,17,2011220,"ConsecutiveSandSaves",2011
6,6,"Jerry Kelly",26,10,NA,2,14,2011390,"ConsecutiveSandSaves",2011
6,6,"Matteo Manassero",8,10,NA,2,15,2011260,"ConsecutiveSandSaves",2011
6,6,"Billy Mayfair",29,10,2,4,15,2011020,"ConsecutiveSandSaves",2011
6,6,"Graeme McDowell",16,10,NA,1,5,2011100,"ConsecutiveSandSaves",2011
6,6,"Ian Poulter",16,10,1,4,7,2011120,"ConsecutiveSandSaves",2011
13,13,"Robert Allenby",25,9,NA,4,13,2011390,"ConsecutiveSandSaves",2011
13,13,"Aaron Baddeley",22,9,2,1,7,2011150,"ConsecutiveSandSaves",2011
13,13,"DJ Brigman",23,9,1,3,5,2011020,"ConsecutiveSandSaves",2011
13,13,"Jason Day",21,9,NA,1,7,2011160,"ConsecutiveSandSaves",2011
13,13,"Brendon de Jonge",30,9,NA,4,12,2011370,"ConsecutiveSandSaves",2011
13,13,"Brad Faxon",12,9,1,2,17,2011140,"ConsecutiveSandSaves",2011
13,13,"Jim Furyk",26,9,NA,1,13,2011210,"ConsecutiveSandSaves",2011
13,13,"Retief Goosen",16,9,3,1,10,2011120,"ConsecutiveSandSaves",2011
13,13,"David Hearn",26,9,1,1,9,2011250,"ConsecutiveSandSaves",2011
13,13,"Freddie Jacobson",25,9,NA,3,7,2011140,"ConsecutiveSandSaves",2011
13,13,"Anthony Kim",26,9,NA,2,3,2011210,"ConsecutiveSandSaves",2011
13,13,"Tim Petrovic",29,9,NA,4,8,2011340,"ConsecutiveSandSaves",2011
13,13,"Nate Smith",24,9,4,1,6,2011300,"ConsecutiveSandSaves",2011
13,13,"Roland Thatcher",22,9,NA,3,4,2011020,"ConsecutiveSandSaves",2011
27,27,"Stuart Appleby",24,8,NA,2,6,2011140,"ConsecutiveSandSaves",2011
27,27,"Craig Barlow",5,8,2,1,8,2011300,"ConsecutiveSandSaves",2011
27,27,"Ricky Barnes",23,8,NA,1,5,2011180,"ConsecutiveSandSaves",2011
27,27,"Paul Casey",15,8,3,3,15,2011070,"ConsecutiveSandSaves",2011
27,27,"Kevin Chappell",26,8,NA,4,1,2011170,"ConsecutiveSandSaves",2011
27,27,"Ben Crane",23,8,1,1,15,2011050,"ConsecutiveSandSaves",2011
27,27,"Charley Hoffman",27,8,NA,2,17,2011400,"ConsecutiveSandSaves",2011
27,27,"Charles Howell III",30,8,NA,2,11,2011360,"ConsecutiveSandSaves",2011
27,27,"Miguel Angel Jimenez",7,8,NA,4,13,2011120,"ConsecutiveSandSaves",2011
27,27,"Zach Johnson",23,8,NA,1,11,2011120,"ConsecutiveSandSaves",2011
27,27,"Bryce Molder",27,8,7,3,17,2011340,"ConsecutiveSandSaves",2011
27,27,"Kevin Na",26,8,NA,1,7,2011270,"ConsecutiveSandSaves",2011
27,27,"Nick OHern",29,8,5,4,18,2011370,"ConsecutiveSandSaves",2011
27,27,"Rod Pampling",21,8,1,2,13,2011340,"ConsecutiveSandSaves",2011
27,27,"Kyle Stanley",28,8,NA,2,7,2011390,"ConsecutiveSandSaves",2011
27,27,"DJ Trahan",30,8,1,3,2,2011290,"ConsecutiveSandSaves",2011
27,27,"Charlie Wi",25,8,3,4,18,2011210,"ConsecutiveSandSaves",2011
27,27,"Gary Woodland",25,8,NA,1,10,2011410,"ConsecutiveSandSaves",2011
45,45,"Arjun Atwal",29,7,NA,4,12,2011070,"ConsecutiveSandSaves",2011
45,45,"Thomas Bjorn",5,7,5,4,14,2011120,"ConsecutiveSandSaves",2011
45,45,"Alex Cejka",21,7,NA,2,10,2011030,"ConsecutiveSandSaves",2011
45,45,"KJ Choi",22,7,NA,2,4,2011060,"ConsecutiveSandSaves",2011
45,45,"Stewart Cink",22,7,NA,4,7,2011180,"ConsecutiveSandSaves",2011
45,45,"Chris Couch",21,7,NA,4,16,2011270,"ConsecutiveSandSaves",2011
45,45,"Luke Donald",19,7,4,2,15,2011410,"ConsecutiveSandSaves",2011
45,45,"Paul Goydos",25,7,NA,5,10,2011030,"ConsecutiveSandSaves",2011
45,45,"Hunter Haas",30,7,NA,3,16,2011030,"ConsecutiveSandSaves",2011
45,45,"Adam Hadwin",5,7,NA,3,13,2011330,"ConsecutiveSandSaves",2011
45,45,"Yuta Ikeda",9,7,NA,1,8,2011120,"ConsecutiveSandSaves",2011
45,45,"Trevor Immelman",25,7,1,4,16,2011160,"ConsecutiveSandSaves",2011
45,45,"Lee Janzen",19,7,NA,2,3,2011320,"ConsecutiveSandSaves",2011
45,45,"Brandt Jobe",28,7,1,2,7,2011390,"ConsecutiveSandSaves",2011
45,45,"Robert Karlsson",18,7,5,3,13,2011220,"ConsecutiveSandSaves",2011
45,45,"Matt Kuchar",24,7,2,1,11,2011260,"ConsecutiveSandSaves",2011
45,45,"Davis Love III",22,7,1,3,6,2011200,"ConsecutiveSandSaves",2011
45,45,"Jarrod Lyle",29,7,NA,1,12,2011030,"ConsecutiveSandSaves",2011
45,45,"Shaun Micheel",27,7,3,4,15,2011170,"ConsecutiveSandSaves",2011
45,45,"John Rollins",27,7,1,4,9,2011230,"ConsecutiveSandSaves",2011
45,45,"Andres Romero",22,7,NA,3,6,2011270,"ConsecutiveSandSaves",2011
45,45,"Justin Rose",23,7,NA,2,16,2011120,"ConsecutiveSandSaves",2011
45,45,"Rory Sabbatini",24,7,NA,2,16,2011260,"ConsecutiveSandSaves",2011
45,45,"Adam Scott",18,7,NA,4,18,2011310,"ConsecutiveSandSaves",2011
45,45,"Webb Simpson",26,7,NA,3,16,2011100,"ConsecutiveSandSaves",2011
45,45,"Daniel Summerhays",29,7,NA,2,8,2011430,"ConsecutiveSandSaves",2011
45,45,"Kevin Sutherland",11,7,1,1,15,2011130,"ConsecutiveSandSaves",2011
45,45,"Michael Thompson",25,7,NA,3,12,2011290,"ConsecutiveSandSaves",2011
45,45,"Johnson Wagner",25,7,1,1,18,2011060,"ConsecutiveSandSaves",2011
45,45,"Mike Weir",15,7,1,2,7,2011180,"ConsecutiveSandSaves",2011
45,45,"Garrett Willis",24,7,1,2,2,2011130,"ConsecutiveSandSaves",2011
76,76,"Blake Adams",34,6,3,3,4,2011390,"ConsecutiveSandSaves",2011
76,76,"Stephen Ames",22,6,1,1,15,2011220,"ConsecutiveSandSaves",2011
76,76,"Cameron Beckman",25,6,NA,2,15,2011280,"ConsecutiveSandSaves",2011
76,76,"Steven Bowditch",28,6,NA,4,6,2011040,"ConsecutiveSandSaves",2011
76,76,"Joseph Bramlett",25,6,NA,3,15,2011150,"ConsecutiveSandSaves",2011
76,76,"Jonathan Byrd",26,6,3,2,13,2011390,"ConsecutiveSandSaves",2011
76,76,"Mark Calcavecchia",6,6,2,1,2,2011030,"ConsecutiveSandSaves",2011
76,76,"Patrick Cantlay",5,6,1,2,11,2011280,"ConsecutiveSandSaves",2011
76,76,"Greg Chalmers",28,6,NA,1,13,2011390,"ConsecutiveSandSaves",2011
