"BirdieorBetterPercentage125150ya_RANKTHISWEEK_2009","BirdieorBetterPercentage125150ya_RANKLASTWEEK_2009","BirdieorBetterPercentage125150ya_PLAYERNAME_2009","BirdieorBetterPercentage125150ya_ROUNDS_2009","BirdieorBetterPercentage125150ya_Pct_2009","BirdieorBetterPercentage125150ya_TOTALBIRDIES_2009","BirdieorBetterPercentage125150ya_TOTALHOLES_2009","stat_name","year"
1,1,"Tim Clark",81,29.19,47,161,"BirdieorBetterPercentage125150ya",2009
2,2,"Jerry Kelly",90,28.25,63,223,"BirdieorBetterPercentage125150ya",2009
3,3,"Brandt Snedeker",81,28.18,51,181,"BirdieorBetterPercentage125150ya",2009
4,4,"Chris Riley",77,27.95,45,161,"BirdieorBetterPercentage125150ya",2009
5,5,"Anthony Kim",76,26.14,46,176,"BirdieorBetterPercentage125150ya",2009
6,6,"Jim Furyk",86,24.7,41,166,"BirdieorBetterPercentage125150ya",2009
7,7,"Corey Pavin",73,24.59,30,122,"BirdieorBetterPercentage125150ya",2009
8,8,"Dean Wilson",81,24.48,47,192,"BirdieorBetterPercentage125150ya",2009
9,9,"Scott Sterling",51,24.44,33,135,"BirdieorBetterPercentage125150ya",2009
10,10,"Bart Bryant",58,24.18,37,153,"BirdieorBetterPercentage125150ya",2009
11,11,"Padraig Harrington",66,24.11,34,141,"BirdieorBetterPercentage125150ya",2009
12,12,"Stephen Ames",77,23.37,43,184,"BirdieorBetterPercentage125150ya",2009
13,13,"Rory Sabbatini",81,23.32,45,193,"BirdieorBetterPercentage125150ya",2009
14,14,"Ian Poulter",59,23.31,31,133,"BirdieorBetterPercentage125150ya",2009
15,15,"Bubba Watson",73,23.21,39,168,"BirdieorBetterPercentage125150ya",2009
16,16,"Bo Van Pelt",100,23.16,63,272,"BirdieorBetterPercentage125150ya",2009
17,17,"Dustin Johnson",85,23.15,50,216,"BirdieorBetterPercentage125150ya",2009
18,18,"Jason Bohn",88,22.86,56,245,"BirdieorBetterPercentage125150ya",2009
18,18,"Greg Chalmers",85,22.86,48,210,"BirdieorBetterPercentage125150ya",2009
20,20,"Cliff Kresge",78,22.78,41,180,"BirdieorBetterPercentage125150ya",2009
21,21,"Jeff Maggert",79,22.57,51,226,"BirdieorBetterPercentage125150ya",2009
22,22,"Steve Stricker",81,22.56,37,164,"BirdieorBetterPercentage125150ya",2009
23,23,"Zach Johnson",94,22.38,47,210,"BirdieorBetterPercentage125150ya",2009
24,24,"Jason Gore",74,22.35,40,179,"BirdieorBetterPercentage125150ya",2009
25,25,"Bob Heintz",59,22.29,35,157,"BirdieorBetterPercentage125150ya",2009
26,26,"Aaron Baddeley",66,22.09,38,172,"BirdieorBetterPercentage125150ya",2009
