"ScoringAverage_RANKTHISWEEK_2007","ScoringAverage_RANKLASTWEEK_2007","ScoringAverage_PLAYERNAME_2007","ScoringAverage_ROUNDS_2007","ScoringAverage_AVG_2007","ScoringAverage_TOTALSTROKES_2007","ScoringAverage_TOTALADJUSTMENT_2007","ScoringAverage_TOTALROUNDS_2007","stat_name","year"
1,1,"Tiger Woods",63,67.794,4146,NA,60,"ScoringAverage",2007
2,2,"Ernie Els",59,69.294,4089,NA,58,"ScoringAverage",2007
3,3,"Justin Rose",63,69.301,4144,NA,59,"ScoringAverage",2007
4,4,"Steve Stricker",81,69.394,5615,NA,80,"ScoringAverage",2007
5,5,"Phil Mickelson",73,69.456,4998,NA,71,"ScoringAverage",2007
6,6,"Jim Furyk",84,69.474,5757,NA,82,"ScoringAverage",2007
7,7,"Sergio Garcia",68,69.481,4650,NA,66,"ScoringAverage",2007
8,8,"Vijay Singh",102,69.489,7039,NA,100,"ScoringAverage",2007
9,9,"KJ Choi",87,69.611,5984,NA,85,"ScoringAverage",2007
10,10,"Scott Verplank",82,69.693,5715,NA,81,"ScoringAverage",2007
11,11,"Rory Sabbatini",81,69.741,5569,NA,79,"ScoringAverage",2007
12,12,"Arron Oberholser",69,69.807,4831,NA,68,"ScoringAverage",2007
13,13,"Padraig Harrington",64,69.822,4405,NA,62,"ScoringAverage",2007
14,14,"Tim Clark",66,69.877,4515,NA,64,"ScoringAverage",2007
15,15,"David Toms",80,69.883,5458,NA,77,"ScoringAverage",2007
16,16,"Zach Johnson",76,69.906,5321,NA,75,"ScoringAverage",2007
17,17,"Heath Slocum",101,69.948,7083,NA,101,"ScoringAverage",2007
18,18,"Hunter Mahan",91,69.99,6441,NA,91,"ScoringAverage",2007
19,19,"Adam Scott",69,70.008,4825,NA,68,"ScoringAverage",2007
20,20,"Pat Perez",84,70.051,5944,NA,84,"ScoringAverage",2007
20,20,"Bo Van Pelt",104,70.051,7308,NA,104,"ScoringAverage",2007
22,22,"Ian Poulter",63,70.073,4281,NA,60,"ScoringAverage",2007
23,23,"Geoff Ogilvy",84,70.085,5551,NA,78,"ScoringAverage",2007
24,24,"Aaron Baddeley",83,70.088,5677,NA,80,"ScoringAverage",2007
25,25,"Brandt Snedeker",105,70.089,7402,NA,105,"ScoringAverage",2007
26,26,"Stephen Ames",81,70.09,5480,NA,77,"ScoringAverage",2007
27,27,"Luke Donald",69,70.118,4781,NA,67,"ScoringAverage",2007
28,28,"Anthony Kim",93,70.128,6574,NA,93,"ScoringAverage",2007
29,29,"Stewart Cink",91,70.133,6230,NA,88,"ScoringAverage",2007
30,30,"Mike Weir",82,70.151,5764,NA,81,"ScoringAverage",2007
31,31,"Camilo Villegas",82,70.163,5816,NA,82,"ScoringAverage",2007
32,32,"Sean OHair",98,70.19,6923,NA,98,"ScoringAverage",2007
33,33,"Freddie Jacobson",70,70.259,4921,NA,70,"ScoringAverage",2007
34,34,"Retief Goosen",50,70.297,3460,NA,48,"ScoringAverage",2007
35,35,"Boo Weekley",101,70.303,7166,NA,101,"ScoringAverage",2007
36,36,"Jerry Kelly",101,70.313,7179,NA,101,"ScoringAverage",2007
37,37,"Rod Pampling",92,70.335,6397,NA,90,"ScoringAverage",2007
38,38,"Jeff Overton",60,70.339,4206,14.353,60,"ScoringAverage",2007
39,39,"Kenny Perry",83,70.369,5860,NA,83,"ScoringAverage",2007
40,40,"Lucas Glover",98,70.417,6872,NA,97,"ScoringAverage",2007
41,41,"Woody Austin",95,70.419,6730,NA,95,"ScoringAverage",2007
41,41,"John Rollins",102,70.419,7168,NA,101,"ScoringAverage",2007
43,43,"Alex Cejka",80,70.437,5623,11.985,80,"ScoringAverage",2007
44,44,"Billy Mayfair",98,70.444,6928,NA,98,"ScoringAverage",2007
45,45,"Carl Pettersson",111,70.453,7807,NA,110,"ScoringAverage",2007
46,46,"Robert Allenby",90,70.462,6330,NA,89,"ScoringAverage",2007
47,47,"Stuart Appleby",74,70.477,5235,NA,73,"ScoringAverage",2007
48,48,"Jonathan Byrd",73,70.488,5151,NA,73,"ScoringAverage",2007
49,49,"JJ Henry",86,70.506,6068,NA,85,"ScoringAverage",2007
50,50,"Tim Herron",98,70.509,6968,NA,98,"ScoringAverage",2007
51,51,"Justin Leonard",95,70.527,6750,NA,95,"ScoringAverage",2007
52,52,"Steve Elkington",87,70.532,6177,NA,87,"ScoringAverage",2007
53,53,"Fred Funk",65,70.55,4648,NA,65,"ScoringAverage",2007
54,54,"Dean Wilson",92,70.557,6558,NA,92,"ScoringAverage",2007
55,55,"Vaughn Taylor",91,70.561,6479,NA,91,"ScoringAverage",2007
56,56,"John Senden",97,70.566,6880,NA,97,"ScoringAverage",2007
57,57,"Mark Wilson",87,70.57,6183,NA,87,"ScoringAverage",2007
58,58,"Mark Calcavecchia",93,70.579,6613,NA,93,"ScoringAverage",2007
59,59,"Peter Lonard",85,70.611,6029,NA,85,"ScoringAverage",2007
60,60,"Jason Bohn",57,70.614,4062,NA,57,"ScoringAverage",2007
61,61,"Ken Duke",112,70.628,7944,NA,112,"ScoringAverage",2007
62,62,"Jesper Parnevik",88,70.629,6222,NA,88,"ScoringAverage",2007
63,63,"Nick OHern",72,70.63,4877,NA,68,"ScoringAverage",2007
64,64,"Bart Bryant",87,70.637,6091,NA,86,"ScoringAverage",2007
65,65,"Nathan Green",103,70.644,7293,NA,103,"ScoringAverage",2007
66,66,"Bill Haas",93,70.653,6587,NA,93,"ScoringAverage",2007
67,67,"Charles Howell III",89,70.655,6146,NA,86,"ScoringAverage",2007
68,68,"Tom Pernice Jr",104,70.659,7414,NA,104,"ScoringAverage",2007
69,69,"Briny Baird",115,70.662,8126,0.098,115,"ScoringAverage",2007
70,70,"Tom Lehman",62,70.667,4407,NA,62,"ScoringAverage",2007
71,71,"Ryan Moore",92,70.7,6533,NA,92,"ScoringAverage",2007
72,72,"Mathew Goggin",97,70.703,6891,NA,97,"ScoringAverage",2007
72,72,"Matt Kuchar",85,70.703,6017,NA,85,"ScoringAverage",2007
74,74,"Will Ma Kenzie",100,70.718,7102,NA,100,"ScoringAverage",2007
75,75,"Trevor Immelman",74,70.731,4882,NA,68,"ScoringAverage",2007
76,76,"Jose Coceres",50,70.737,3561,NA,50,"ScoringAverage",2007
77,77,"Kevin Sutherland",85,70.747,6049,NA,85,"ScoringAverage",2007
78,78,"Cliff Kresge",107,70.76,7584,NA,107,"ScoringAverage",2007
79,79,"Joe Ogilvie",102,70.761,7232,NA,102,"ScoringAverage",2007
80,80,"Nick Watney",87,70.789,6188,NA,87,"ScoringAverage",2007
81,81,"Charles Warren",101,70.793,7160,NA,101,"ScoringAverage",2007
82,82,"Brian Davis",101,70.799,7161,NA,101,"ScoringAverage",2007
83,83,"Paul Goydos",60,70.807,4236,NA,59,"ScoringAverage",2007
84,84,"Stephen Leaney",82,70.82,5817,NA,82,"ScoringAverage",2007
85,85,"Cameron Beckman",96,70.845,6795,6.109,96,"ScoringAverage",2007
86,86,"Anders Hansen",55,70.856,3940,NA,55,"ScoringAverage",2007
87,87,"Steve Allan",63,70.873,4475,NA,63,"ScoringAverage",2007
