"FairwayApproachRTPScore_RANKTHISWEEK_2007","FairwayApproachRTPScore_RANKLASTWEEK_2007","FairwayApproachRTPScore_PLAYERNAME_2007","FairwayApproachRTPScore_ROUNDS_2007","FairwayApproachRTPScore_AVGRTP_2007","stat_name","year"
1,1,"Tiger Woods",63,-0.183,"FairwayApproachRTPScore",2007
2,2,"Phil Mickelson",73,-0.137,"FairwayApproachRTPScore",2007
3,3,"Rory Sabbatini",81,-0.135,"FairwayApproachRTPScore",2007
3,3,"Steve Stricker",81,-0.135,"FairwayApproachRTPScore",2007
5,5,"KJ Choi",87,-0.13,"FairwayApproachRTPScore",2007
6,6,"Tim Clark",66,-0.125,"FairwayApproachRTPScore",2007
7,7,"Aaron Baddeley",83,-0.123,"FairwayApproachRTPScore",2007
7,7,"Adam Scott",69,-0.123,"FairwayApproachRTPScore",2007
9,9,"Vijay Singh",102,-0.122,"FairwayApproachRTPScore",2007
10,10,"Sergio Garcia",68,-0.118,"FairwayApproachRTPScore",2007
11,11,"Ernie Els",59,-0.116,"FairwayApproachRTPScore",2007
12,12,"Lucas Glover",98,-0.11,"FairwayApproachRTPScore",2007
12,12,"Freddie Jacobson",70,-0.11,"FairwayApproachRTPScore",2007
14,14,"Jim Furyk",84,-0.108,"FairwayApproachRTPScore",2007
15,15,"Zach Johnson",76,-0.103,"FairwayApproachRTPScore",2007
16,16,"Sean OHair",98,-0.101,"FairwayApproachRTPScore",2007
17,17,"Jonathan Byrd",73,-0.1,"FairwayApproachRTPScore",2007
17,17,"Tom Lehman",62,-0.1,"FairwayApproachRTPScore",2007
17,17,"Justin Rose",63,-0.1,"FairwayApproachRTPScore",2007
20,20,"Alex Cejka",80,-0.096,"FairwayApproachRTPScore",2007
21,21,"Camilo Villegas",82,-0.093,"FairwayApproachRTPScore",2007
22,22,"Kevin Na",84,-0.092,"FairwayApproachRTPScore",2007
22,22,"Jeff Overton",60,-0.092,"FairwayApproachRTPScore",2007
24,24,"Charlie Wi",90,-0.091,"FairwayApproachRTPScore",2007
25,25,"Anthony Kim",93,-0.088,"FairwayApproachRTPScore",2007
25,25,"Rod Pampling",92,-0.088,"FairwayApproachRTPScore",2007
25,25,"Michael Sim",52,-0.088,"FairwayApproachRTPScore",2007
25,25,"Bo Van Pelt",104,-0.088,"FairwayApproachRTPScore",2007
29,29,"Carl Pettersson",111,-0.087,"FairwayApproachRTPScore",2007
30,30,"Jay Williamson",50,-0.086,"FairwayApproachRTPScore",2007
31,31,"Michael Allen",74,-0.084,"FairwayApproachRTPScore",2007
32,32,"Craig Lile",77,-0.083,"FairwayApproachRTPScore",2007
33,33,"Matt Kuchar",85,-0.082,"FairwayApproachRTPScore",2007
34,34,"David Toms",80,-0.081,"FairwayApproachRTPScore",2007
34,34,"Scott Verplank",82,-0.081,"FairwayApproachRTPScore",2007
36,36,"Briny Baird",115,-0.08,"FairwayApproachRTPScore",2007
