"FirstTeeEarlyRound4ScoringAverage_RANKTHISWEEK_2008","FirstTeeEarlyRound4ScoringAverage_RANKLASTWEEK_2008","FirstTeeEarlyRound4ScoringAverage_PLAYERNAME_2008","FirstTeeEarlyRound4ScoringAverage__2008","FirstTeeEarlyRound4ScoringAverage_AVG_2008","FirstTeeEarlyRound4ScoringAverage_TOTALSTROKES_2008","FirstTeeEarlyRound4ScoringAverage_TOTALROUNDS_2008","stat_name","year"
1,1,"Steve Allan",NA,66.5,133,2,"FirstTeeEarlyRound4ScoringAverage",2008
2,2,"Jerry Kelly",NA,67,67,1,"FirstTeeEarlyRound4ScoringAverage",2008
2,2,"Rod Pampling",NA,67,268,4,"FirstTeeEarlyRound4ScoringAverage",2008
4,4,"Jason Day",NA,67.33,202,3,"FirstTeeEarlyRound4ScoringAverage",2008
5,5,"Mike Weir",NA,67.5,135,2,"FirstTeeEarlyRound4ScoringAverage",2008
6,6,"Ryuji Imada",NA,67.67,203,3,"FirstTeeEarlyRound4ScoringAverage",2008
7,7,"Steve Stricker",NA,68,408,6,"FirstTeeEarlyRound4ScoringAverage",2008
8,8,"Brenden Pappas",NA,68.2,341,5,"FirstTeeEarlyRound4ScoringAverage",2008
9,9,"Chad Collins",NA,68.33,410,6,"FirstTeeEarlyRound4ScoringAverage",2008
10,10,"Aaron Baddeley",NA,68.57,480,7,"FirstTeeEarlyRound4ScoringAverage",2008
11,11,"Jeff Gove",NA,68.67,206,3,"FirstTeeEarlyRound4ScoringAverage",2008
11,11,"Marc Turnesa",NA,68.67,206,3,"FirstTeeEarlyRound4ScoringAverage",2008
13,13,"Phil Mickelson",NA,69,345,5,"FirstTeeEarlyRound4ScoringAverage",2008
13,13,"Adam Scott",NA,69,207,3,"FirstTeeEarlyRound4ScoringAverage",2008
15,15,"Steve Elkington",NA,69.11,622,9,"FirstTeeEarlyRound4ScoringAverage",2008
16,16,"Joe Durant",NA,69.33,416,6,"FirstTeeEarlyRound4ScoringAverage",2008
16,16,"Ryan Palmer",NA,69.33,416,6,"FirstTeeEarlyRound4ScoringAverage",2008
16,16,"Pat Perez",NA,69.33,416,6,"FirstTeeEarlyRound4ScoringAverage",2008
16,16,"Bob Tway",NA,69.33,416,6,"FirstTeeEarlyRound4ScoringAverage",2008
20,20,"Tom Pernice Jr",NA,69.36,763,11,"FirstTeeEarlyRound4ScoringAverage",2008
21,21,"Ben Crane",NA,69.4,347,5,"FirstTeeEarlyRound4ScoringAverage",2008
22,22,"Jonathan Byrd",NA,69.5,278,4,"FirstTeeEarlyRound4ScoringAverage",2008
22,22,"Ben Curtis",NA,69.5,278,4,"FirstTeeEarlyRound4ScoringAverage",2008
22,22,"JB Holmes",NA,69.5,139,2,"FirstTeeEarlyRound4ScoringAverage",2008
25,25,"Steve Flesch",NA,69.6,348,5,"FirstTeeEarlyRound4ScoringAverage",2008
25,25,"Davis Love III",NA,69.6,348,5,"FirstTeeEarlyRound4ScoringAverage",2008
27,27,"JP Hayes",NA,69.67,209,3,"FirstTeeEarlyRound4ScoringAverage",2008
27,27,"David Lutterus",NA,69.67,209,3,"FirstTeeEarlyRound4ScoringAverage",2008
29,29,"Dean Wilson",NA,69.7,697,10,"FirstTeeEarlyRound4ScoringAverage",2008
30,30,"Omar Uresti",NA,69.8,349,5,"FirstTeeEarlyRound4ScoringAverage",2008
30,30,"Mark Wilson",NA,69.8,698,10,"FirstTeeEarlyRound4ScoringAverage",2008
32,32,"Stewart Cink",NA,69.88,559,8,"FirstTeeEarlyRound4ScoringAverage",2008
33,33,"Nick OHern",NA,69.89,629,9,"FirstTeeEarlyRound4ScoringAverage",2008
34,34,"JJ Henry",NA,69.9,699,10,"FirstTeeEarlyRound4ScoringAverage",2008
35,35,"Tim Clark",NA,70,210,3,"FirstTeeEarlyRound4ScoringAverage",2008
35,35,"Ken Duke",NA,70,700,10,"FirstTeeEarlyRound4ScoringAverage",2008
35,35,"Nathan Green",NA,70,630,9,"FirstTeeEarlyRound4ScoringAverage",2008
35,35,"Kent Jones",NA,70,420,6,"FirstTeeEarlyRound4ScoringAverage",2008
35,35,"Peter Lonard",NA,70,490,7,"FirstTeeEarlyRound4ScoringAverage",2008
35,35,"Hunter Mahan",NA,70,420,6,"FirstTeeEarlyRound4ScoringAverage",2008
35,35,"Bob Sowards",NA,70,280,4,"FirstTeeEarlyRound4ScoringAverage",2008
42,42,"Bo Van Pelt",NA,70.11,631,9,"FirstTeeEarlyRound4ScoringAverage",2008
43,43,"Ryan Armour",NA,70.17,421,6,"FirstTeeEarlyRound4ScoringAverage",2008
44,44,"Jesper Parnevik",NA,70.2,351,5,"FirstTeeEarlyRound4ScoringAverage",2008
45,45,"KJ Choi",NA,70.25,281,4,"FirstTeeEarlyRound4ScoringAverage",2008
45,45,"Gavin Coles",NA,70.25,281,4,"FirstTeeEarlyRound4ScoringAverage",2008
45,45,"Sergio Garcia",NA,70.25,281,4,"FirstTeeEarlyRound4ScoringAverage",2008
45,45,"Mathew Goggin",NA,70.25,562,8,"FirstTeeEarlyRound4ScoringAverage",2008
45,45,"Chris Riley",NA,70.25,281,4,"FirstTeeEarlyRound4ScoringAverage",2008
45,45,"Ron Whittaker",NA,70.25,281,4,"FirstTeeEarlyRound4ScoringAverage",2008
51,51,"Steve Marino",NA,70.31,914,13,"FirstTeeEarlyRound4ScoringAverage",2008
52,52,"Cody Freeman",NA,70.33,211,3,"FirstTeeEarlyRound4ScoringAverage",2008
52,52,"Padraig Harrington",NA,70.33,211,3,"FirstTeeEarlyRound4ScoringAverage",2008
54,54,"Robert Garrigus",NA,70.38,563,8,"FirstTeeEarlyRound4ScoringAverage",2008
55,55,"Cameron Beckman",NA,70.4,352,5,"FirstTeeEarlyRound4ScoringAverage",2008
55,55,"Charles Howell III",NA,70.4,352,5,"FirstTeeEarlyRound4ScoringAverage",2008
55,55,"Trevor Immelman",NA,70.4,352,5,"FirstTeeEarlyRound4ScoringAverage",2008
58,58,"Todd Demsey",NA,70.43,493,7,"FirstTeeEarlyRound4ScoringAverage",2008
59,59,"Bob Estes",NA,70.5,705,10,"FirstTeeEarlyRound4ScoringAverage",2008
59,59,"John Huston",NA,70.5,282,4,"FirstTeeEarlyRound4ScoringAverage",2008
59,59,"Jon Mills",NA,70.5,423,6,"FirstTeeEarlyRound4ScoringAverage",2008
62,62,"Robert Gamez",NA,70.57,494,7,"FirstTeeEarlyRound4ScoringAverage",2008
62,62,"Jeff Maggert",NA,70.57,494,7,"FirstTeeEarlyRound4ScoringAverage",2008
62,62,"Tim Wilkinson",NA,70.57,494,7,"FirstTeeEarlyRound4ScoringAverage",2008
65,65,"Jason Gore",NA,70.6,353,5,"FirstTeeEarlyRound4ScoringAverage",2008
65,65,"Anthony Kim",NA,70.6,353,5,"FirstTeeEarlyRound4ScoringAverage",2008
67,67,"Kenny Perry",NA,70.63,565,8,"FirstTeeEarlyRound4ScoringAverage",2008
68,68,"Olin Browne",NA,70.67,212,3,"FirstTeeEarlyRound4ScoringAverage",2008
68,68,"Ernie Els",NA,70.67,212,3,"FirstTeeEarlyRound4ScoringAverage",2008
68,68,"Steve Lowery",NA,70.67,424,6,"FirstTeeEarlyRound4ScoringAverage",2008
71,71,"Scott Sterling",NA,70.7,707,10,"FirstTeeEarlyRound4ScoringAverage",2008
72,72,"Mark Calcavecchia",NA,70.75,283,4,"FirstTeeEarlyRound4ScoringAverage",2008
72,72,"Lucas Glover",NA,70.75,566,8,"FirstTeeEarlyRound4ScoringAverage",2008
72,72,"Joe Ogilvie",NA,70.75,283,4,"FirstTeeEarlyRound4ScoringAverage",2008
72,72,"Andres Romero",NA,70.75,566,8,"FirstTeeEarlyRound4ScoringAverage",2008
72,72,"Heath Slocum",NA,70.75,849,12,"FirstTeeEarlyRound4ScoringAverage",2008
77,77,"Zach Johnson",NA,70.78,637,9,"FirstTeeEarlyRound4ScoringAverage",2008
