"GIRPuttingInside5_RANKTHISWEEK_2016","GIRPuttingInside5_RANKLASTWEEK_2016","GIRPuttingInside5_PLAYERNAME_2016","GIRPuttingInside5_ROUNDS_2016","GIRPuttingInside5_Pct_2016","GIRPuttingInside5_ATTEMPTS_2016","GIRPuttingInside5_PUTTSMADE_2016","stat_name","year"
1,1,"Colt Knost",56,100,24,24,"GIRPuttingInside5",2016
1,1,"Marc Leishman",41,100,12,12,"GIRPuttingInside5",2016
1,1,"Brandt Snedeker",47,100,21,21,"GIRPuttingInside5",2016
1,1,"Hudson Swafford",52,100,19,19,"GIRPuttingInside5",2016
1,1,"Jhonattan Vegas",49,100,15,15,"GIRPuttingInside5",2016
6,7,"Jonas Blixt",46,96.55,29,28,"GIRPuttingInside5",2016
7,9,"Kyle Stanley",57,96.43,28,27,"GIRPuttingInside5",2016
8,7,"Jon Curran",55,96.3,27,26,"GIRPuttingInside5",2016
9,10,"Martin Laird",46,96,25,24,"GIRPuttingInside5",2016
10,10,"Kevin Na",52,95.65,23,22,"GIRPuttingInside5",2016
11,12,"Vijay Singh",42,95,20,19,"GIRPuttingInside5",2016
12,14,"Troy Merritt",41,93.75,16,15,"GIRPuttingInside5",2016
13,1,"Retief Goosen",37,92.86,14,13,"GIRPuttingInside5",2016
13,26,"Hideki Matsuyama",40,92.86,14,13,"GIRPuttingInside5",2016
13,17,"Jordan Spieth",34,92.86,14,13,"GIRPuttingInside5",2016
13,21,"David Toms",38,92.86,14,13,"GIRPuttingInside5",2016
17,25,"Graham DeLaet",50,92.59,27,25,"GIRPuttingInside5",2016
18,21,"Brice Garnett",29,92.31,13,12,"GIRPuttingInside5",2016
18,29,"Davis Love III",40,92.31,13,12,"GIRPuttingInside5",2016
18,21,"Andres Romero",22,92.31,13,12,"GIRPuttingInside5",2016
18,21,"Rory Sabbatini",40,92.31,13,12,"GIRPuttingInside5",2016
22,28,"Harris English",51,92,25,23,"GIRPuttingInside5",2016
22,29,"Rickie Fowler",42,92,25,23,"GIRPuttingInside5",2016
24,26,"Steven Bowditch",40,91.67,12,11,"GIRPuttingInside5",2016
25,29,"Andres Gonzales",46,90.91,11,10,"GIRPuttingInside5",2016
25,12,"Phil Mickelson",37,90.91,22,20,"GIRPuttingInside5",2016
27,33,"Kevin Streelman",46,90.48,21,19,"GIRPuttingInside5",2016
28,34,"Shane Bertsch",30,90,10,9,"GIRPuttingInside5",2016
28,20,"Kevin Chappell",49,90,30,27,"GIRPuttingInside5",2016
28,36,"Jim Herman",55,90,20,18,"GIRPuttingInside5",2016
31,44,"Derek Fathauer",58,89.47,19,17,"GIRPuttingInside5",2016
31,36,"Matt Kuchar",46,89.47,19,17,"GIRPuttingInside5",2016
31,36,"Bryce Molder",50,89.47,19,17,"GIRPuttingInside5",2016
31,36,"Scott Piercy",45,89.47,19,17,"GIRPuttingInside5",2016
31,36,"John Senden",48,89.47,19,17,"GIRPuttingInside5",2016
36,16,"Danny Lee",53,88.89,18,16,"GIRPuttingInside5",2016
36,48,"Sean OHair",45,88.89,27,24,"GIRPuttingInside5",2016
36,43,"Ryan Palmer",46,88.89,18,16,"GIRPuttingInside5",2016
39,48,"Brian Harman",60,88.24,17,15,"GIRPuttingInside5",2016
39,44,"Dustin Johnson",37,88.24,17,15,"GIRPuttingInside5",2016
