"EarlyPar5ScoringAverage_RANKTHISWEEK_2009","EarlyPar5ScoringAverage_RANKLASTWEEK_2009","EarlyPar5ScoringAverage_PLAYERNAME_2009","EarlyPar5ScoringAverage_ROUNDS_2009","EarlyPar5ScoringAverage_AVG_2009","EarlyPar5ScoringAverage_TOTALSTROKES_2009","EarlyPar5ScoringAverage_TOTALHOLES_2009","stat_name","year"
1,1,"Nick Watney",86,4.37,537,123,"EarlyPar5ScoringAverage",2009
2,2,"Tiger Woods",64,4.44,253,57,"EarlyPar5ScoringAverage",2009
3,3,"Steve Stricker",81,4.48,435,97,"EarlyPar5ScoringAverage",2009
4,4,"Tim Clark",81,4.51,487,108,"EarlyPar5ScoringAverage",2009
5,5,"Stephen Ames",77,4.52,493,109,"EarlyPar5ScoringAverage",2009
5,5,"Robert Garrigus",83,4.52,570,126,"EarlyPar5ScoringAverage",2009
7,7,"Scott Piercy",85,4.53,544,120,"EarlyPar5ScoringAverage",2009
8,8,"Bill Haas",91,4.55,619,136,"EarlyPar5ScoringAverage",2009
9,9,"Chris Stroud",88,4.56,584,128,"EarlyPar5ScoringAverage",2009
10,10,"Matt Kuchar",82,4.57,471,103,"EarlyPar5ScoringAverage",2009
10,10,"Tim Petrovic",97,4.57,649,142,"EarlyPar5ScoringAverage",2009
12,12,"Stewart Cink",79,4.58,495,108,"EarlyPar5ScoringAverage",2009
12,12,"Charley Hoffman",97,4.58,692,151,"EarlyPar5ScoringAverage",2009
12,12,"Justin Leonard",95,4.58,572,125,"EarlyPar5ScoringAverage",2009
12,12,"John Senden",100,4.58,683,149,"EarlyPar5ScoringAverage",2009
12,12,"Bubba Watson",73,4.58,531,116,"EarlyPar5ScoringAverage",2009
17,17,"Jonathan Byrd",89,4.59,656,143,"EarlyPar5ScoringAverage",2009
17,17,"Retief Goosen",74,4.59,496,108,"EarlyPar5ScoringAverage",2009
17,17,"Matt Jones",56,4.59,477,104,"EarlyPar5ScoringAverage",2009
17,17,"Scott McCarron",91,4.59,762,166,"EarlyPar5ScoringAverage",2009
17,17,"Geoff Ogilvy",78,4.59,459,100,"EarlyPar5ScoringAverage",2009
22,22,"Brandt Snedeker",81,4.6,603,131,"EarlyPar5ScoringAverage",2009
22,22,"DJ Trahan",96,4.6,740,161,"EarlyPar5ScoringAverage",2009
22,22,"Matt Weibring",65,4.6,465,101,"EarlyPar5ScoringAverage",2009
22,22,"YE Yang",83,4.6,579,126,"EarlyPar5ScoringAverage",2009
26,26,"Woody Austin",84,4.61,655,142,"EarlyPar5ScoringAverage",2009
26,26,"Brian Davis",103,4.61,793,172,"EarlyPar5ScoringAverage",2009
26,26,"Luke Donald",79,4.61,544,118,"EarlyPar5ScoringAverage",2009
26,26,"Sergio Garcia",59,4.61,383,83,"EarlyPar5ScoringAverage",2009
26,26,"Charles Howell III",99,4.61,724,157,"EarlyPar5ScoringAverage",2009
26,26,"Zach Johnson",94,4.61,567,123,"EarlyPar5ScoringAverage",2009
