"TotalBirdies_RANKTHISWEEK_2012","TotalBirdies_RANKLASTWEEK_2012","TotalBirdies_PLAYERNAME_2012","TotalBirdies_ROUNDS_2012","TotalBirdies_TOTAL_2012","stat_name","year"
1,1,"Brendon de Jonge",115,425,"TotalBirdies",2012
2,2,"Blake Adams",107,393,"TotalBirdies",2012
3,3,"Jeff Overton",101,388,"TotalBirdies",2012
4,4,"Ken Duke",104,382,"TotalBirdies",2012
5,5,"Jimmy Walker",101,375,"TotalBirdies",2012
6,6,"Scott Piercy",95,366,"TotalBirdies",2012
7,7,"John Huh",99,361,"TotalBirdies",2012
8,8,"Seung Yul Noh",105,357,"TotalBirdies",2012
9,9,"Will Claxton",99,356,"TotalBirdies",2012
9,9,"Zach Johnson",95,356,"TotalBirdies",2012
9,9,"Vijay Singh",99,356,"TotalBirdies",2012
12,12,"Harris English",98,355,"TotalBirdies",2012
13,13,"Robert Garrigus",89,353,"TotalBirdies",2012
14,14,"Bud Cauley",99,352,"TotalBirdies",2012
15,15,"Josh Teater",97,349,"TotalBirdies",2012
16,16,"Ryan Moore",89,347,"TotalBirdies",2012
17,17,"Tommy Gainey",98,345,"TotalBirdies",2012
17,17,"Brian Harman",101,345,"TotalBirdies",2012
19,19,"Keegan Bradley",90,344,"TotalBirdies",2012
20,20,"Carl Pettersson",92,340,"TotalBirdies",2012
21,21,"Nick Watney",97,338,"TotalBirdies",2012
22,22,"Greg Owen",90,334,"TotalBirdies",2012
23,23,"Martin Flores",95,333,"TotalBirdies",2012
24,24,"Chris Kirk",93,332,"TotalBirdies",2012
25,25,"Bo Van Pelt",84,327,"TotalBirdies",2012
26,26,"David Hearn",95,326,"TotalBirdies",2012
27,27,"Jason Dufner",83,325,"TotalBirdies",2012
28,28,"William McGirt",96,324,"TotalBirdies",2012
29,29,"Charles Howell III",98,323,"TotalBirdies",2012
29,29,"Troy Matteson",100,323,"TotalBirdies",2012
31,31,"Charley Hoffman",88,321,"TotalBirdies",2012
32,32,"Ryan Palmer",81,319,"TotalBirdies",2012
33,33,"Brian Davis",91,317,"TotalBirdies",2012
33,33,"DA Points",88,317,"TotalBirdies",2012
35,35,"JB Holmes",90,315,"TotalBirdies",2012
36,36,"Brandt Snedeker",81,313,"TotalBirdies",2012
37,37,"Phil Mickelson",79,312,"TotalBirdies",2012
37,37,"Webb Simpson",77,312,"TotalBirdies",2012
39,39,"Roberto Castro",92,311,"TotalBirdies",2012
39,39,"Sean OHair",84,311,"TotalBirdies",2012
41,41,"Cameron Tringale",88,309,"TotalBirdies",2012
42,42,"Matt Every",80,308,"TotalBirdies",2012
43,43,"Ricky Barnes",92,307,"TotalBirdies",2012
44,44,"Kevin Streelman",89,303,"TotalBirdies",2012
45,45,"Johnson Wagner",88,300,"TotalBirdies",2012
46,46,"Gary Christian",91,298,"TotalBirdies",2012
46,46,"Pat Perez",81,298,"TotalBirdies",2012
48,48,"Matt Kuchar",86,297,"TotalBirdies",2012
49,49,"JJ Killeen",101,296,"TotalBirdies",2012
49,49,"Rory Sabbatini",84,296,"TotalBirdies",2012
49,49,"Kyle Stanley",86,296,"TotalBirdies",2012
52,52,"Charlie Wi",86,295,"TotalBirdies",2012
53,53,"Greg Chalmers",88,292,"TotalBirdies",2012
53,53,"Rickie Fowler",84,292,"TotalBirdies",2012
53,53,"Brian Gay",91,292,"TotalBirdies",2012
56,56,"John Senden",81,291,"TotalBirdies",2012
57,57,"Kevin Chappell",91,290,"TotalBirdies",2012
58,58,"Kevin Stadler",85,286,"TotalBirdies",2012
59,59,"James Driscoll",83,285,"TotalBirdies",2012
59,59,"Jerry Kelly",84,285,"TotalBirdies",2012
61,61,"Tom Gillis",75,284,"TotalBirdies",2012
61,61,"Vaughn Taylor",81,284,"TotalBirdies",2012
61,61,"Camilo Villegas",79,284,"TotalBirdies",2012
64,64,"Tim Herron",88,282,"TotalBirdies",2012
64,64,"Hunter Mahan",88,282,"TotalBirdies",2012
64,64,"George McNeill",85,282,"TotalBirdies",2012
64,64,"Heath Slocum",93,282,"TotalBirdies",2012
64,64,"Chris Stroud",86,282,"TotalBirdies",2012
69,69,"Chad Campbell",84,281,"TotalBirdies",2012
70,70,"Sangmoon Bae",81,280,"TotalBirdies",2012
70,70,"Ben Crane",73,280,"TotalBirdies",2012
70,70,"Marc Leishman",84,280,"TotalBirdies",2012
70,70,"John Merrick",83,280,"TotalBirdies",2012
74,74,"Kevin Na",80,279,"TotalBirdies",2012
74,74,"Daniel Summerhays",81,279,"TotalBirdies",2012
76,76,"JJ Henry",93,278,"TotalBirdies",2012
76,76,"John Rollins",81,278,"TotalBirdies",2012
76,76,"Michael Thompson",80,278,"TotalBirdies",2012
79,79,"Bobby Gates",87,275,"TotalBirdies",2012
79,79,"Jeff Maggert",83,275,"TotalBirdies",2012
81,81,"Jim Furyk",85,273,"TotalBirdies",2012
82,82,"Jonas Blixt",72,272,"TotalBirdies",2012
82,82,"Billy Mayfair",90,272,"TotalBirdies",2012
84,84,"Graham DeLaet",79,270,"TotalBirdies",2012
84,84,"Martin Laird",77,270,"TotalBirdies",2012
84,84,"Bill Lunde",83,270,"TotalBirdies",2012
84,84,"Rod Pampling",88,270,"TotalBirdies",2012
84,84,"Jhonattan Vegas",77,270,"TotalBirdies",2012
89,89,"Bill Haas",79,268,"TotalBirdies",2012
89,89,"Kyle Reifers",86,268,"TotalBirdies",2012
91,91,"Mark Anderson",75,266,"TotalBirdies",2012
91,91,"Steve Stricker",73,266,"TotalBirdies",2012
91,91,"Tiger Woods",69,266,"TotalBirdies",2012
94,94,"Chris DiMarco",83,265,"TotalBirdies",2012
95,95,"Cameron Beckman",81,264,"TotalBirdies",2012
95,95,"Spencer Levin",81,264,"TotalBirdies",2012
95,95,"Scott Stallings",78,264,"TotalBirdies",2012
98,98,"Erik Compton",81,262,"TotalBirdies",2012
99,99,"Bryce Molder",83,261,"TotalBirdies",2012
100,100,"Chez Reavie",83,260,"TotalBirdies",2012
101,101,"Matt Bettencourt",80,254,"TotalBirdies",2012
101,101,"David Mathis",83,254,"TotalBirdies",2012
103,103,"Aaron Baddeley",73,253,"TotalBirdies",2012
103,103,"Bob Estes",78,253,"TotalBirdies",2012
105,105,"Danny Lee",74,252,"TotalBirdies",2012
106,106,"Jason Bohn",81,251,"TotalBirdies",2012
106,106,"Ernie Els",80,251,"TotalBirdies",2012
106,106,"Dustin Johnson",70,251,"TotalBirdies",2012
106,106,"Geoff Ogilvy",73,251,"TotalBirdies",2012
106,106,"Justin Rose",69,251,"TotalBirdies",2012
106,106,"Bubba Watson",68,251,"TotalBirdies",2012
112,112,"Nathan Green",73,250,"TotalBirdies",2012
