"GIRPuttingAvg3035_RANKTHISWEEK_2014","GIRPuttingAvg3035_RANKLASTWEEK_2014","GIRPuttingAvg3035_PLAYERNAME_2014","GIRPuttingAvg3035_ROUNDS_2014","GIRPuttingAvg3035_PctMADE_2014","GIRPuttingAvg3035_ATTEMPTS_2014","GIRPuttingAvg3035_PUTTSMADE_2014","stat_name","year"
1,1,"Rory McIlroy",66,1.56,45,7,"GIRPuttingAvg3035",2014
1,1,"Adam Scott",68,1.56,45,7,"GIRPuttingAvg3035",2014
3,3,"Brian Gay",81,1.54,52,8,"GIRPuttingAvg3035",2014
3,3,"Scott Langley",95,1.54,65,10,"GIRPuttingAvg3035",2014
5,5,"Robert Streb",75,1.37,51,7,"GIRPuttingAvg3035",2014
6,6,"Louis Oosthuizen",50,1.36,22,3,"GIRPuttingAvg3035",2014
6,6,"Webb Simpson",87,1.36,66,9,"GIRPuttingAvg3035",2014
8,8,"Kevin Na",94,1.33,60,8,"GIRPuttingAvg3035",2014
9,9,"YE Yang",79,1.3,46,6,"GIRPuttingAvg3035",2014
10,10,"Mark Wilson",69,1.28,47,6,"GIRPuttingAvg3035",2014
11,11,"JB Holmes",86,1.18,51,6,"GIRPuttingAvg3035",2014
12,12,"Brad Fritsch",50,1.15,26,3,"GIRPuttingAvg3035",2014
13,13,"Danny Lee",84,1.14,44,5,"GIRPuttingAvg3035",2014
14,14,"Sergio Garcia",61,1.11,45,5,"GIRPuttingAvg3035",2014
14,14,"DH Lee",54,1.11,36,4,"GIRPuttingAvg3035",2014
16,16,"Brandt Snedeker",89,1.09,64,7,"GIRPuttingAvg3035",2014
17,17,"Jerry Kelly",80,1.07,56,6,"GIRPuttingAvg3035",2014
17,17,"Nicholas Thompson",85,1.07,56,6,"GIRPuttingAvg3035",2014
19,19,"Morgan Hoffmann",103,1.03,78,8,"GIRPuttingAvg3035",2014
19,19,"Rory Sabbatini",82,1.03,58,6,"GIRPuttingAvg3035",2014
21,21,"Daniel Summerhays",98,1.01,89,9,"GIRPuttingAvg3035",2014
