"PercentageofYardagecoveredbyTeeShotsPar5s_RANKTHISWEEK_2008","PercentageofYardagecoveredbyTeeShotsPar5s_RANKLASTWEEK_2008","PercentageofYardagecoveredbyTeeShotsPar5s_PLAYERNAME_2008","PercentageofYardagecoveredbyTeeShotsPar5s_ROUNDS_2008","PercentageofYardagecoveredbyTeeShotsPar5s_AVGPct_2008","PercentageofYardagecoveredbyTeeShotsPar5s_TOTALSHOTDISTANCE_2008","PercentageofYardagecoveredbyTeeShotsPar5s_TOTALDISTANCE_2008","stat_name","year"
1,NA,"JB Holmes",86,55.79,67145.4,120363,"PercentageofYardagecoveredbyTeeShotsPar5s",2008
2,NA,"Bubba Watson",97,55.63,75195.1,135181,"PercentageofYardagecoveredbyTeeShotsPar5s",2008
3,NA,"Robert Garrigus",90,55.11,84871.6,154013,"PercentageofYardagecoveredbyTeeShotsPar5s",2008
4,NA,"Dustin Johnson",92,55.03,77836.4,141447,"PercentageofYardagecoveredbyTeeShotsPar5s",2008
5,NA,"Nick Watney",96,54.06,83862.6,155141,"PercentageofYardagecoveredbyTeeShotsPar5s",2008
6,NA,"Angel Cabrera",55,53.98,36598.5,67797,"PercentageofYardagecoveredbyTeeShotsPar5s",2008
7,NA,"Davis Love III",78,53.81,60618.8,112657,"PercentageofYardagecoveredbyTeeShotsPar5s",2008
8,NA,"Steve Allan",58,53.76,45360.3,84369,"PercentageofYardagecoveredbyTeeShotsPar5s",2008
9,NA,"Travis Perkins",53,53.65,38753.8,72231,"PercentageofYardagecoveredbyTeeShotsPar5s",2008
10,NA,"Harrison Frazar",73,53.64,59047.9,110076,"PercentageofYardagecoveredbyTeeShotsPar5s",2008
11,NA,"Tommy Gainey",60,53.63,42066,78435,"PercentageofYardagecoveredbyTeeShotsPar5s",2008
12,NA,"Tag Ridings",88,53.57,76849,143467,"PercentageofYardagecoveredbyTeeShotsPar5s",2008
13,NA,"Charles Warren",79,53.49,73480.1,137381,"PercentageofYardagecoveredbyTeeShotsPar5s",2008
14,NA,"Anthony Kim",81,53.42,54570.9,102148,"PercentageofYardagecoveredbyTeeShotsPar5s",2008
15,NA,"Charley Hoffman",94,53.39,78679,147364,"PercentageofYardagecoveredbyTeeShotsPar5s",2008
15,NA,"Adam Scott",51,53.39,32047.4,60024,"PercentageofYardagecoveredbyTeeShotsPar5s",2008
17,NA,"Daniel Chopra",84,53.38,67284.7,126060,"PercentageofYardagecoveredbyTeeShotsPar5s",2008
18,NA,"Fred Couples",60,53.36,51855.3,97172,"PercentageofYardagecoveredbyTeeShotsPar5s",2008
19,NA,"Vijay Singh",82,53.34,52992.7,99353,"PercentageofYardagecoveredbyTeeShotsPar5s",2008
20,NA,"Jason Allred",63,53.32,44650.1,83741,"PercentageofYardagecoveredbyTeeShotsPar5s",2008
21,NA,"Jason Gore",94,53.3,81799.9,153458,"PercentageofYardagecoveredbyTeeShotsPar5s",2008
21,NA,"Bill Haas",99,53.3,81991.7,153836,"PercentageofYardagecoveredbyTeeShotsPar5s",2008
23,NA,"Martin Laird",98,53.27,78115.2,146631,"PercentageofYardagecoveredbyTeeShotsPar5s",2008
24,NA,"Brandt Jobe",52,53.25,42947.1,80647,"PercentageofYardagecoveredbyTeeShotsPar5s",2008
25,NA,"Jeff Overton",103,53.09,88056.1,165870,"PercentageofYardagecoveredbyTeeShotsPar5s",2008
26,NA,"George McNeill",97,53.04,82729.9,155971,"PercentageofYardagecoveredbyTeeShotsPar5s",2008
26,NA,"Andres Romero",69,53.04,43172.2,81395,"PercentageofYardagecoveredbyTeeShotsPar5s",2008
28,NA,"Paul Casey",55,53.03,33808.5,63759,"PercentageofYardagecoveredbyTeeShotsPar5s",2008
29,NA,"James Driscoll",85,52.97,73926.9,139570,"PercentageofYardagecoveredbyTeeShotsPar5s",2008
30,NA,"Pat Perez",93,52.94,71982.5,135975,"PercentageofYardagecoveredbyTeeShotsPar5s",2008
31,NA,"Brenden Pappas",66,52.92,50995.6,96367,"PercentageofYardagecoveredbyTeeShotsPar5s",2008
