"FedExCupStandings_RANKTHISWEEK_2015","FedExCupStandings_RANKLASTWEEK_2015","FedExCupStandings_PLAYERNAME_2015","FedExCupStandings_EVENTS_2015","FedExCupStandings_POINTS_2015","FedExCupStandings_OFWINS_2015","FedExCupStandings_OFTOP10S_2015","FedExCupStandings_POINTSBEHINDLEAD_2015","FedExCupStandings_RESETPOINTS_2015","stat_name","year"
237,237,"Benjamin Alvarado",8,26,NA,NA,6944,NA,"FedExCupStandings",2015
238,238,"Shaun Micheel",5,25,NA,NA,6945,NA,"FedExCupStandings",2015
238,238,"Duffy Waldorf",2,25,NA,NA,6945,NA,"FedExCupStandings",2015
240,240,"Michael Bradley",4,22,NA,NA,6948,NA,"FedExCupStandings",2015
240,240,"Dudley Hart",8,22,NA,NA,6948,NA,"FedExCupStandings",2015
242,242,"Scott Verplank",13,21,NA,NA,6949,NA,"FedExCupStandings",2015
243,243,"Daniel Chopra",5,17,NA,NA,6953,NA,"FedExCupStandings",2015
244,244,"Stephen Ames",1,13,NA,NA,6957,NA,"FedExCupStandings",2015
245,245,"Kent Jones",2,13,NA,NA,6957,NA,"FedExCupStandings",2015
245,245,"Chris Riley",2,13,NA,NA,6957,NA,"FedExCupStandings",2015
247,247,"Harrison Frazar",7,12,NA,NA,6958,NA,"FedExCupStandings",2015
248,248,"Garrett Willis",1,12,NA,NA,6958,NA,"FedExCupStandings",2015
249,249,"Scott McCarron",7,9,NA,NA,6961,NA,"FedExCupStandings",2015
250,250,"Parker McLachlin",2,7,NA,NA,6963,NA,"FedExCupStandings",2015
251,251,"Len Mattiace",6,5,NA,NA,6965,NA,"FedExCupStandings",2015
252,252,"Guy Boros",2,4,NA,NA,6966,NA,"FedExCupStandings",2015
253,253,"Ted Purdy",3,4,NA,NA,6966,NA,"FedExCupStandings",2015
254,254,"Brandt Jobe",6,2,NA,NA,6968,NA,"FedExCupStandings",2015
255,255,"Tom Watson",3,1,NA,NA,6969,NA,"FedExCupStandings",2015
256,256,"Tim Herron",7,1,NA,NA,6969,NA,"FedExCupStandings",2015
257,257,"Patrick Cantlay",1,1,NA,NA,6969,NA,"FedExCupStandings",2015
257,257,"Steve Lowery",3,1,NA,NA,6969,NA,"FedExCupStandings",2015
259,259,"Bernhard Langer",3,1,NA,NA,6969,NA,"FedExCupStandings",2015
