"BallStriking_RANKTHISWEEK_2010","BallStriking_RANKLASTWEEK_2010","BallStriking_PLAYERNAME_2010","BallStriking_ROUNDS_2010","BallStriking_VALUE_2010","BallStriking_TOTALDRVRANK_2010","BallStriking_GIRRANK_2010","stat_name","year"
1,1,"Charles Warren",64,5,1,4,"BallStriking",2010
2,2,"Graham DeLaet",88,8,2,6,"BallStriking",2010
3,3,"John Senden",103,15,14,1,"BallStriking",2010
4,4,"Joe Durant",67,17,14,3,"BallStriking",2010
4,4,"Davis Love III",79,17,4,13,"BallStriking",2010
6,6,"Boo Weekley",88,21,4,17,"BallStriking",2010
7,7,"John Merrick",109,24,10,14,"BallStriking",2010
8,8,"Paul Stankowski",62,37,28,9,"BallStriking",2010
9,9,"Kevin Sutherland",86,42,40,2,"BallStriking",2010
9,9,"DJ Trahan",92,42,35,7,"BallStriking",2010
11,11,"Bill Haas",87,43,22,21,"BallStriking",2010
12,12,"Kenny Perry",69,45,6,39,"BallStriking",2010
13,13,"Rickie Fowler",98,46,24,22,"BallStriking",2010
14,14,"Hunter Mahan",85,52,3,49,"BallStriking",2010
15,15,"Troy Matteson",84,54,49,5,"BallStriking",2010
16,16,"Bo Van Pelt",104,55,18,37,"BallStriking",2010
17,17,"Kris Blanks",91,56,48,8,"BallStriking",2010
17,17,"Nick Watney",91,56,26,30,"BallStriking",2010
19,19,"Steve Elkington",74,58,11,47,"BallStriking",2010
20,20,"Billy Mayfair",78,60,31,29,"BallStriking",2010
21,21,"JJ Henry",92,62,16,46,"BallStriking",2010
22,22,"Aron Price",70,64,54,10,"BallStriking",2010
23,23,"Adam Scott",70,66,35,31,"BallStriking",2010
24,24,"Mathew Goggin",85,68,42,26,"BallStriking",2010
25,25,"Matt Kuchar",97,72,38,34,"BallStriking",2010
25,25,"Jay Williamson",76,72,30,42,"BallStriking",2010
27,27,"Garth Mulroy",53,73,56,17,"BallStriking",2010
27,27,"John Rollins",81,73,7,66,"BallStriking",2010
29,29,"Will Ma Kenzie",72,74,18,56,"BallStriking",2010
30,30,"Josh Teater",101,76,31,45,"BallStriking",2010
31,31,"Brendon de Jonge",114,78,61,17,"BallStriking",2010
32,32,"Garrett Willis",82,80,56,24,"BallStriking",2010
33,33,"Chad Campbell",95,82,38,44,"BallStriking",2010
34,34,"Stewart Cink",84,83,31,52,"BallStriking",2010
35,35,"Mark Wilson",87,85,73,12,"BallStriking",2010
36,36,"Heath Slocum",97,90,58,32,"BallStriking",2010
37,37,"Roger Tambellini",77,91,64,27,"BallStriking",2010
38,38,"Vijay Singh",75,95,44,51,"BallStriking",2010
39,39,"Cameron Tringale",55,101,86,15,"BallStriking",2010
40,40,"Henrik Bjornstad",72,102,64,38,"BallStriking",2010
41,41,"Ben Crane",85,103,40,63,"BallStriking",2010
42,42,"Vaughn Taylor",87,104,45,59,"BallStriking",2010
43,43,"Paul Casey",64,106,58,48,"BallStriking",2010
44,44,"Cameron Percy",73,107,96,11,"BallStriking",2010
45,45,"Pat Perez",90,109,67,42,"BallStriking",2010
45,45,"Steve Stricker",73,109,49,60,"BallStriking",2010
47,47,"Ryan Moore",80,112,8,104,"BallStriking",2010
48,48,"Blake Adams",84,113,11,102,"BallStriking",2010
49,49,"Robert Allenby",76,114,47,67,"BallStriking",2010
50,50,"Mathias Gronberg",61,117,18,99,"BallStriking",2010
51,51,"Lucas Glover",75,118,28,90,"BallStriking",2010
52,52,"Jonathan Byrd",85,121,101,20,"BallStriking",2010
52,52,"Dean Wilson",54,121,80,41,"BallStriking",2010
54,54,"Chris Couch",66,122,8,114,"BallStriking",2010
54,54,"Brett Wetterich",54,122,54,68,"BallStriking",2010
56,56,"Sean OHair",84,124,61,63,"BallStriking",2010
57,57,"Martin Laird",91,126,49,77,"BallStriking",2010
58,58,"Greg Owen",69,129,89,40,"BallStriking",2010
58,58,"Kevin Streelman",90,129,25,104,"BallStriking",2010
60,60,"David Toms",86,130,43,87,"BallStriking",2010
60,60,"Bubba Watson",77,130,75,55,"BallStriking",2010
62,62,"Jeff Gove",57,131,103,28,"BallStriking",2010
63,63,"Alex Prugh",88,135,82,53,"BallStriking",2010
64,64,"Nicholas Thompson",88,139,64,75,"BallStriking",2010
65,65,"Dustin Johnson",83,140,70,70,"BallStriking",2010
65,65,"Michael Letzig",84,140,68,72,"BallStriking",2010
67,67,"Richard Johnson",90,141,83,58,"BallStriking",2010
67,67,"Rory McIlroy",54,141,21,120,"BallStriking",2010
69,69,"Tom Gillis",97,142,11,131,"BallStriking",2010
70,70,"Charley Hoffman",85,147,35,112,"BallStriking",2010
70,70,"Tom Pernice Jr",74,147,122,25,"BallStriking",2010
72,72,"Kevin Stadler",86,149,79,70,"BallStriking",2010
73,73,"KJ Choi",82,150,94,56,"BallStriking",2010
73,73,"Cliff Kresge",50,150,46,104,"BallStriking",2010
75,75,"Omar Uresti",74,152,89,63,"BallStriking",2010
76,76,"Jason Dufner",87,153,49,104,"BallStriking",2010
77,77,"Jerry Kelly",99,156,68,88,"BallStriking",2010
78,78,"Sergio Garcia",58,157,34,123,"BallStriking",2010
78,78,"Rocco Mediate",71,157,122,35,"BallStriking",2010
80,80,"Jason Day",82,159,75,84,"BallStriking",2010
80,80,"Robert Garrigus",71,159,73,86,"BallStriking",2010
80,80,"Retief Goosen",75,159,26,133,"BallStriking",2010
83,83,"Briny Baird",87,160,127,33,"BallStriking",2010
83,83,"Zach Johnson",93,160,49,111,"BallStriking",2010
85,85,"Scott McCarron",90,163,23,140,"BallStriking",2010
86,86,"John Mallinger",78,164,70,94,"BallStriking",2010
87,87,"Chris DiMarco",88,166,75,91,"BallStriking",2010
87,87,"Jarrod Lyle",54,166,17,149,"BallStriking",2010
89,89,"Spencer Levin",110,168,145,23,"BallStriking",2010
90,90,"Chris Stroud",90,170,134,36,"BallStriking",2010
91,91,"Justin Rose",78,177,58,119,"BallStriking",2010
92,92,"Scott Piercy",88,178,96,82,"BallStriking",2010
93,93,"Jim Furyk",76,179,86,93,"BallStriking",2010
94,94,"Stephen Ames",75,180,101,79,"BallStriking",2010
95,95,"Steve Marino",81,184,96,88,"BallStriking",2010
96,96,"Ben Curtis",78,185,116,69,"BallStriking",2010
97,97,"James Nitties",92,186,70,116,"BallStriking",2010
98,98,"Woody Austin",93,188,116,72,"BallStriking",2010
99,99,"Charles Howell III",103,193,139,54,"BallStriking",2010
99,99,"Marc Leishman",87,193,89,104,"BallStriking",2010
101,101,"Alex Cejka",81,195,86,109,"BallStriking",2010
101,101,"Brett Quigley",96,195,179,16,"BallStriking",2010
101,101,"YE Yang",72,195,61,134,"BallStriking",2010
104,104,"Tim Clark",88,198,96,102,"BallStriking",2010
105,105,"Chris Riley",73,201,109,92,"BallStriking",2010
106,106,"Jeff Overton",89,202,106,96,"BallStriking",2010
107,107,"Jason Bohn",84,206,127,79,"BallStriking",2010
108,108,"Jeff Maggert",76,212,112,100,"BallStriking",2010
108,108,"DA Points",90,212,138,74,"BallStriking",2010
110,110,"Johnson Wagner",85,228,167,61,"BallStriking",2010
111,111,"James Driscoll",78,229,132,97,"BallStriking",2010
111,111,"JB Holmes",100,229,85,144,"BallStriking",2010
111,111,"Chris Tidland",77,229,112,117,"BallStriking",2010
114,114,"Angel Cabrera",64,230,89,141,"BallStriking",2010
115,115,"Michael Bradley",77,231,182,49,"BallStriking",2010
116,116,"Ernie Els",72,233,158,75,"BallStriking",2010
117,117,"Ryan Palmer",84,234,89,145,"BallStriking",2010
118,118,"Trevor Immelman",55,241,115,126,"BallStriking",2010
119,119,"Ricky Barnes",103,243,181,62,"BallStriking",2010
120,120,"Aaron Baddeley",94,245,81,164,"BallStriking",2010
120,120,"Paul Goydos",78,245,111,134,"BallStriking",2010
122,122,"Brent Delahoussaye",57,246,148,98,"BallStriking",2010
122,122,"Matt Every",60,246,84,162,"BallStriking",2010
122,122,"Freddie Jacobson",83,246,168,78,"BallStriking",2010
125,125,"John Daly",63,248,106,142,"BallStriking",2010
125,125,"Bob Estes",79,248,169,79,"BallStriking",2010
127,127,"Lee Janzen",77,249,165,84,"BallStriking",2010
127,127,"Tim Petrovic",105,249,131,118,"BallStriking",2010
127,127,"Rory Sabbatini",79,249,148,101,"BallStriking",2010
130,130,"Camilo Villegas",78,252,125,127,"BallStriking",2010
131,131,"Skip Kendall",58,254,75,179,"BallStriking",2010
132,132,"Geoff Ogilvy",62,255,172,83,"BallStriking",2010
132,132,"Rod Pampling",77,255,96,159,"BallStriking",2010
134,134,"Michael Connell",89,256,161,95,"BallStriking",2010
135,135,"Cameron Beckman",68,259,137,122,"BallStriking",2010
135,135,"Justin Leonard",89,259,103,156,"BallStriking",2010
137,137,"Andrew McLardy",52,261,129,132,"BallStriking",2010
138,138,"Charlie Wi",95,263,153,110,"BallStriking",2010
139,139,"Jeff Quinney",91,264,116,148,"BallStriking",2010
139,139,"Steve Wheatcroft",74,264,94,170,"BallStriking",2010
141,141,"Phil Mickelson",76,271,116,155,"BallStriking",2010
142,142,"Justin Bolli",55,272,112,160,"BallStriking",2010
143,143,"JP Hayes",79,275,145,130,"BallStriking",2010
144,144,"Tim Herron",79,276,163,113,"BallStriking",2010
144,144,"George McNeill",79,276,148,128,"BallStriking",2010
146,146,"Brian Gay",101,277,106,171,"BallStriking",2010
147,147,"Brian Davis",101,278,103,175,"BallStriking",2010
148,148,"Andres Romero",73,279,122,157,"BallStriking",2010
149,149,"Bill Lunde",79,282,143,139,"BallStriking",2010
149,149,"Kevin Na",94,282,145,137,"BallStriking",2010
151,151,"Scott Verplank",74,284,116,168,"BallStriking",2010
152,152,"Martin Flores",75,286,125,161,"BallStriking",2010
152,152,"Matt Jones",89,286,135,151,"BallStriking",2010
154,154,"Craig Bowden",56,287,109,178,"BallStriking",2010
155,155,"Brenden Pappas",66,288,173,115,"BallStriking",2010
156,156,"Webb Simpson",98,291,170,121,"BallStriking",2010
157,157,"Jimmy Walker",82,293,155,138,"BallStriking",2010
158,158,"Brian Stuard",81,294,136,158,"BallStriking",2010
159,159,"Ted Purdy",86,296,129,167,"BallStriking",2010
160,160,"Roland Thatcher",72,297,161,136,"BallStriking",2010
161,161,"Joe Ogilvie",99,298,173,125,"BallStriking",2010
162,162,"David Duval",71,301,177,124,"BallStriking",2010
162,162,"Steve Lowery",67,301,158,143,"BallStriking",2010
162,162,"Michael Sim",64,301,152,149,"BallStriking",2010
165,165,"Matt Bettencourt",91,305,116,189,"BallStriking",2010
165,165,"Chris Wilson",65,305,132,173,"BallStriking",2010
167,167,"Jeev Milkha Singh",59,308,156,152,"BallStriking",2010
168,168,"Troy Merritt",86,309,164,145,"BallStriking",2010
169,169,"David Lutterus",69,317,151,166,"BallStriking",2010
170,170,"Mark Calcavecchia",50,318,173,145,"BallStriking",2010
171,171,"Greg Chalmers",93,319,190,129,"BallStriking",2010
172,172,"Derek Lamely",81,323,140,183,"BallStriking",2010
172,172,"Shaun Micheel",70,323,160,163,"BallStriking",2010
174,174,"Ian Poulter",55,324,143,181,"BallStriking",2010
175,175,"Padraig Harrington",57,326,142,184,"BallStriking",2010
176,176,"Daniel Chopra",74,327,140,187,"BallStriking",2010
177,177,"Steve Flesch",78,329,153,176,"BallStriking",2010
178,178,"Bryce Molder",84,331,179,152,"BallStriking",2010
179,179,"Carl Pettersson",99,335,166,169,"BallStriking",2010
180,180,"Luke Donald",71,338,186,152,"BallStriking",2010
180,180,"Ryuji Imada",90,338,173,165,"BallStriking",2010
182,182,"Stuart Appleby",101,341,156,185,"BallStriking",2010
183,183,"Brandt Snedeker",89,353,171,182,"BallStriking",2010
184,184,"Kevin Johnson",62,358,178,180,"BallStriking",2010
185,185,"Nathan Green",86,359,185,174,"BallStriking",2010
186,186,"Chad Collins",87,361,189,172,"BallStriking",2010
187,187,"Vance Veazey",58,363,186,177,"BallStriking",2010
188,188,"Rich Barcelo",70,369,183,186,"BallStriking",2010
189,189,"Jerod Turner",54,374,183,191,"BallStriking",2010
190,190,"Greg Kraft",52,376,188,188,"BallStriking",2010
191,191,"Brad Faxon",58,381,191,190,"BallStriking",2010
192,192,"Mike Weir",59,384,192,192,"BallStriking",2010
