"ScramblingFringeRTPScore_RANKTHISWEEK_2006","ScramblingFringeRTPScore_RANKLASTWEEK_2006","ScramblingFringeRTPScore_PLAYERNAME_2006","ScramblingFringeRTPScore_ROUNDS_2006","ScramblingFringeRTPScore_AVGRTP_2006","ScramblingFringeRTPScore_TOTALHOLES_2006","ScramblingFringeRTPScore_TOTALRTP_2006","stat_name","year"
1,1,"Jose Maria Olazabal",62,-0.108,37,-4,"ScramblingFringeRTPScore",2006
2,2,"Justin Leonard",83,-0.079,76,-6,"ScramblingFringeRTPScore",2006
3,3,"Ian Poulter",53,-0.051,39,-2,"ScramblingFringeRTPScore",2006
4,4,"Corey Pavin",74,-0.047,85,-4,"ScramblingFringeRTPScore",2006
5,5,"Rod Pampling",89,-0.043,70,-3,"ScramblingFringeRTPScore",2006
6,6,"Aaron Baddeley",78,-0.042,71,-3,"ScramblingFringeRTPScore",2006
7,7,"Jason Bohn",104,-0.035,113,-4,"ScramblingFringeRTPScore",2006
8,8,"Greg Owen",79,-0.032,94,-3,"ScramblingFringeRTPScore",2006
9,9,"Greg Chalmers",71,-0.029,70,-2,"ScramblingFringeRTPScore",2006
10,10,"Brian Bateman",69,-0.015,67,-1,"ScramblingFringeRTPScore",2006
11,11,"Ben Crane",85,-0.013,77,-1,"ScramblingFringeRTPScore",2006
12,12,"Craig Barlow",77,0,62,0,"ScramblingFringeRTPScore",2006
12,12,"Luke Donald",66,0,36,0,"ScramblingFringeRTPScore",2006
12,12,"Steve Flesch",119,0,120,0,"ScramblingFringeRTPScore",2006
12,12,"Robert Gamez",94,0,104,0,"ScramblingFringeRTPScore",2006
12,12,"Sergio Garcia",59,0,33,0,"ScramblingFringeRTPScore",2006
12,12,"Paul Goydos",72,0,86,0,"ScramblingFringeRTPScore",2006
12,12,"Carl Pettersson",95,0,110,0,"ScramblingFringeRTPScore",2006
12,12,"Steve Stricker",64,0,50,0,"ScramblingFringeRTPScore",2006
20,20,"Harrison Frazar",95,0.009,113,1,"ScramblingFringeRTPScore",2006
20,20,"Dean Wilson",115,0.009,114,1,"ScramblingFringeRTPScore",2006
