"GIRPuttingInside5_RANKTHISWEEK_2006","GIRPuttingInside5_RANKLASTWEEK_2006","GIRPuttingInside5_PLAYERNAME_2006","GIRPuttingInside5_ROUNDS_2006","GIRPuttingInside5_Pct_2006","GIRPuttingInside5_ATTEMPTS_2006","GIRPuttingInside5_PUTTSMADE_2006","stat_name","year"
1,1,"Duffy Waldorf",96,97.14,35,34,"GIRPuttingInside5",2006
2,2,"Danny Ellis",68,95.65,23,22,"GIRPuttingInside5",2006
3,3,"Rod Pampling",89,93.75,32,30,"GIRPuttingInside5",2006
4,4,"Harrison Frazar",95,93.18,44,41,"GIRPuttingInside5",2006
5,5,"Heath Slocum",96,93.02,43,40,"GIRPuttingInside5",2006
6,6,"Jimmy Walker",60,92.31,26,24,"GIRPuttingInside5",2006
7,7,"Tommy Armour III",65,92.11,38,35,"GIRPuttingInside5",2006
8,8,"Padraig Harrington",54,92,25,23,"GIRPuttingInside5",2006
8,8,"JL Lewis",57,92,25,23,"GIRPuttingInside5",2006
8,8,"Carl Pettersson",95,92,25,23,"GIRPuttingInside5",2006
8,8,"Steve Stricker",64,92,25,23,"GIRPuttingInside5",2006
12,12,"Stewart Cink",93,91.18,34,31,"GIRPuttingInside5",2006
12,12,"Phil Mickelson",74,91.18,34,31,"GIRPuttingInside5",2006
14,14,"Michael Connell",51,90.91,22,20,"GIRPuttingInside5",2006
14,14,"David Howell",52,90.91,22,20,"GIRPuttingInside5",2006
16,16,"Henrik Bjornstad",97,90.74,54,49,"GIRPuttingInside5",2006
17,17,"Ryan Palmer",101,90.24,41,37,"GIRPuttingInside5",2006
18,18,"Tiger Woods",55,90,30,27,"GIRPuttingInside5",2006
19,19,"John Rollins",93,89.58,48,43,"GIRPuttingInside5",2006
20,20,"David Toms",76,89.19,37,33,"GIRPuttingInside5",2006
21,21,"Shane Bertsch",104,89.13,46,41,"GIRPuttingInside5",2006
21,21,"Todd Fischer",101,89.13,46,41,"GIRPuttingInside5",2006
21,21,"Justin Rose",98,89.13,46,41,"GIRPuttingInside5",2006
24,24,"James Driscoll",80,88.89,36,32,"GIRPuttingInside5",2006
25,25,"Jon Mills",68,88.46,26,23,"GIRPuttingInside5",2006
26,26,"JP Hayes",55,88.24,34,30,"GIRPuttingInside5",2006
26,26,"Len Mattiace",59,88.24,17,15,"GIRPuttingInside5",2006
26,26,"Vance Veazey",59,88.24,34,30,"GIRPuttingInside5",2006
29,29,"Mark Calcavecchia",94,88.1,42,37,"GIRPuttingInside5",2006
29,29,"Hunter Mahan",98,88.1,42,37,"GIRPuttingInside5",2006
31,31,"Robert Allenby",79,87.8,41,36,"GIRPuttingInside5",2006
32,32,"Shigeki Maruyama",94,87.76,49,43,"GIRPuttingInside5",2006
33,33,"Jason Bohn",104,87.5,56,49,"GIRPuttingInside5",2006
33,33,"Ernie Els",69,87.5,40,35,"GIRPuttingInside5",2006
33,33,"Ryan Hietala",61,87.5,16,14,"GIRPuttingInside5",2006
33,33,"Nick Watney",97,87.5,48,42,"GIRPuttingInside5",2006
37,37,"Brett Quigley",109,87.23,47,41,"GIRPuttingInside5",2006
37,37,"Wes Short Jr",96,87.23,47,41,"GIRPuttingInside5",2006
39,39,"Brian Davis",92,87.18,39,34,"GIRPuttingInside5",2006
39,39,"Chris DiMarco",83,87.18,39,34,"GIRPuttingInside5",2006
39,39,"Daisuke Maruyama",83,87.18,39,34,"GIRPuttingInside5",2006
