"EaglesHolesper_RANKTHISWEEK_2008","EaglesHolesper_RANKLASTWEEK_2008","EaglesHolesper_PLAYERNAME_2008","EaglesHolesper_ROUNDS_2008","EaglesHolesper_FREQUENCY_2008","EaglesHolesper_OFHOLES_2008","EaglesHolesper_OFEAGLES_2008","stat_name","year"
1,1,"Chad Campbell",94,105.8,1692,16,"EaglesHolesper",2008
2,2,"Will Ma Kenzie",62,111.6,1116,10,"EaglesHolesper",2008
3,3,"Mathias Gronberg",87,111.9,1566,14,"EaglesHolesper",2008
4,4,"Brenden Pappas",66,118.8,1188,10,"EaglesHolesper",2008
5,5,"Bob Sowards",61,122,1098,9,"EaglesHolesper",2008
6,6,"Pat Perez",93,127.4,1656,13,"EaglesHolesper",2008
7,7,"Stewart Cink",87,132.5,1458,11,"EaglesHolesper",2008
8,8,"Charles Warren",79,142.2,1422,10,"EaglesHolesper",2008
9,9,"Matt Jones",95,142.5,1710,12,"EaglesHolesper",2008
10,10,"Nick Watney",96,144,1728,12,"EaglesHolesper",2008
11,11,"Anthony Kim",81,145.8,1458,10,"EaglesHolesper",2008
11,11,"Sean OHair",81,145.8,1458,10,"EaglesHolesper",2008
11,11,"Chris Stroud",81,145.8,1458,10,"EaglesHolesper",2008
14,14,"John Riegger",73,146,1314,9,"EaglesHolesper",2008
15,15,"Mark Calcavecchia",67,148.5,1188,8,"EaglesHolesper",2008
16,16,"Mathew Goggin",91,148.9,1638,11,"EaglesHolesper",2008
17,17,"Daniel Chopra",84,149.4,1494,10,"EaglesHolesper",2008
18,18,"Dustin Johnson",92,150.5,1656,11,"EaglesHolesper",2008
19,19,"Fred Couples",60,154.3,1080,7,"EaglesHolesper",2008
20,20,"Alejandro Canizares",52,156,936,6,"EaglesHolesper",2008
21,21,"Kevin Streelman",114,157.8,2052,13,"EaglesHolesper",2008
22,22,"Parker McLachlin",88,158.4,1584,10,"EaglesHolesper",2008
23,23,"Charlie Wi",97,158.7,1746,11,"EaglesHolesper",2008
24,24,"Martin Laird",98,160.4,1764,11,"EaglesHolesper",2008
25,25,"Jason Day",81,162,1458,9,"EaglesHolesper",2008
25,25,"Kevin Stadler",90,162,1620,10,"EaglesHolesper",2008
27,27,"Michael Allen",91,163.8,1638,10,"EaglesHolesper",2008
28,28,"John Rollins",94,169.2,1692,10,"EaglesHolesper",2008
29,29,"Nicholas Thompson",113,169.5,2034,12,"EaglesHolesper",2008
30,30,"Steve Flesch",95,171,1710,10,"EaglesHolesper",2008
31,31,"Richard Johnson",77,173.3,1386,8,"EaglesHolesper",2008
32,32,"Steve Allan",58,174,1044,6,"EaglesHolesper",2008
33,33,"Kevin Na",97,174.6,1746,10,"EaglesHolesper",2008
34,34,"Davis Love III",78,175.5,1404,8,"EaglesHolesper",2008
35,35,"Adam Scott",51,176.4,882,5,"EaglesHolesper",2008
36,36,"YE Yang",89,178,1602,9,"EaglesHolesper",2008
37,37,"Tommy Gainey",60,180,1080,6,"EaglesHolesper",2008
37,37,"Brett Quigley",80,180,1440,8,"EaglesHolesper",2008
39,39,"Mark Hensby",71,182.6,1278,7,"EaglesHolesper",2008
40,40,"Tom Pernice Jr",104,187.2,1872,10,"EaglesHolesper",2008
41,41,"Aaron Baddeley",76,187.7,1314,7,"EaglesHolesper",2008
41,41,"Jimmy Walker",73,187.7,1314,7,"EaglesHolesper",2008
43,43,"Jason Gore",94,188,1692,9,"EaglesHolesper",2008
44,44,"Brandt Snedeker",85,189,1512,8,"EaglesHolesper",2008
45,45,"Steve Lowery",74,190.3,1332,7,"EaglesHolesper",2008
46,46,"Frank Lickliter II",107,192.6,1926,10,"EaglesHolesper",2008
47,47,"George McNeill",97,194,1746,9,"EaglesHolesper",2008
48,48,"Ron Whittaker",54,194.4,972,5,"EaglesHolesper",2008
49,49,"John Merrick",98,196,1764,9,"EaglesHolesper",2008
50,50,"Matt Kuchar",88,198,1584,8,"EaglesHolesper",2008
50,50,"Tag Ridings",88,198,1584,8,"EaglesHolesper",2008
52,52,"Nick Flanagan",89,200.3,1602,8,"EaglesHolesper",2008
53,53,"Camilo Villegas",79,200.6,1404,7,"EaglesHolesper",2008
54,54,"Rich Beem",90,202.5,1620,8,"EaglesHolesper",2008
55,55,"Eric Axley",113,203.4,2034,10,"EaglesHolesper",2008
56,56,"Kent Jones",68,204,1224,6,"EaglesHolesper",2008
57,57,"Todd Demsey",80,205.7,1440,7,"EaglesHolesper",2008
57,57,"Rod Pampling",83,205.7,1440,7,"EaglesHolesper",2008
59,59,"Joe Durant",92,207,1656,8,"EaglesHolesper",2008
60,60,"Retief Goosen",59,208.8,1044,5,"EaglesHolesper",2008
61,61,"DJ Trahan",94,211.5,1692,8,"EaglesHolesper",2008
62,62,"Steve Stricker",75,216,1296,6,"EaglesHolesper",2008
63,63,"Bubba Watson",97,218.3,1746,8,"EaglesHolesper",2008
64,64,"Jonathan Byrd",88,218.6,1530,7,"EaglesHolesper",2008
64,64,"JB Holmes",86,218.6,1530,7,"EaglesHolesper",2008
64,64,"Hunter Mahan",87,218.6,1530,7,"EaglesHolesper",2008
67,67,"Carlos Franco",73,219,1314,6,"EaglesHolesper",2008
68,68,"Carl Pettersson",110,220,1980,9,"EaglesHolesper",2008
69,69,"Bill Haas",99,222.8,1782,8,"EaglesHolesper",2008
69,69,"Charles Howell III",101,222.8,1782,8,"EaglesHolesper",2008
71,71,"Brad Adamonis",87,223.7,1566,7,"EaglesHolesper",2008
71,71,"Justin Bolli",87,223.7,1566,7,"EaglesHolesper",2008
71,71,"Mike Weir",88,223.7,1566,7,"EaglesHolesper",2008
74,74,"Michael Letzig",88,226.3,1584,7,"EaglesHolesper",2008
75,75,"Bo Van Pelt",101,227.3,1818,8,"EaglesHolesper",2008
76,76,"Rory Sabbatini",77,228,1368,6,"EaglesHolesper",2008
77,77,"David Duval",51,229.5,918,4,"EaglesHolesper",2008
78,78,"Robert Garrigus",90,231.4,1620,7,"EaglesHolesper",2008
79,79,"Phil Mickelson",80,234,1404,6,"EaglesHolesper",2008
79,79,"Vijay Singh",82,234,1404,6,"EaglesHolesper",2008
81,81,"John Senden",93,236.6,1656,7,"EaglesHolesper",2008
82,82,"Ben Curtis",80,240,1440,6,"EaglesHolesper",2008
83,83,"Robert Allenby",108,240.8,1926,8,"EaglesHolesper",2008
84,84,"Andres Romero",69,241.2,1206,5,"EaglesHolesper",2008
85,85,"Jim Furyk",95,241.7,1692,7,"EaglesHolesper",2008
85,85,"Charley Hoffman",94,241.7,1692,7,"EaglesHolesper",2008
87,87,"Bart Bryant",81,243,1458,6,"EaglesHolesper",2008
88,88,"Jon Mills",95,244.3,1710,7,"EaglesHolesper",2008
89,89,"David Toms",70,244.8,1224,5,"EaglesHolesper",2008
90,90,"Jay Williamson",96,246.9,1728,7,"EaglesHolesper",2008
91,91,"Bob Tway",70,252,1260,5,"EaglesHolesper",2008
92,92,"Briny Baird",113,254.3,2034,8,"EaglesHolesper",2008
93,93,"James Driscoll",85,255,1530,6,"EaglesHolesper",2008
94,94,"Ryan Armour",87,261,1566,6,"EaglesHolesper",2008
