"PercentageofYardagecoveredbyTeeShotsPar4s_RANKTHISWEEK_2006","PercentageofYardagecoveredbyTeeShotsPar4s_RANKLASTWEEK_2006","PercentageofYardagecoveredbyTeeShotsPar4s_PLAYERNAME_2006","PercentageofYardagecoveredbyTeeShotsPar4s_ROUNDS_2006","PercentageofYardagecoveredbyTeeShotsPar4s_AVGPct_2006","PercentageofYardagecoveredbyTeeShotsPar4s_TOTALSHOTDISTANCE_2006","PercentageofYardagecoveredbyTeeShotsPar4s_TOTALDISTANCE_2006","stat_name","year"
1,1,"JB Holmes",81,71.03,202458.3,285019,"PercentageofYardagecoveredbyTeeShotsPar4s",2006
2,2,"Bubba Watson",83,70.26,224064.2,318888,"PercentageofYardagecoveredbyTeeShotsPar4s",2006
3,3,"John Daly",51,69.28,124546.6,179762,"PercentageofYardagecoveredbyTeeShotsPar4s",2006
4,4,"Brett Wetterich",82,68.95,225012.6,326324,"PercentageofYardagecoveredbyTeeShotsPar4s",2006
5,5,"Robert Garrigus",85,68.79,227923.9,331317,"PercentageofYardagecoveredbyTeeShotsPar4s",2006
6,6,"Ryan Hietala",61,68.62,158316.2,230706,"PercentageofYardagecoveredbyTeeShotsPar4s",2006
7,7,"Harrison Frazar",95,68.44,230694,337056,"PercentageofYardagecoveredbyTeeShotsPar4s",2006
8,8,"Jeff Overton",95,68.31,269990.2,395257,"PercentageofYardagecoveredbyTeeShotsPar4s",2006
9,9,"Charley Hoffman",100,68.3,267769.2,392027,"PercentageofYardagecoveredbyTeeShotsPar4s",2006
9,9,"Tag Ridings",103,68.3,274155.1,401408,"PercentageofYardagecoveredbyTeeShotsPar4s",2006
11,11,"Scott Gutschewski",53,68.13,135989.5,199605,"PercentageofYardagecoveredbyTeeShotsPar4s",2006
12,12,"Phil Mickelson",74,67.94,141604.9,208430,"PercentageofYardagecoveredbyTeeShotsPar4s",2006
13,13,"Chris Couch",75,67.88,203693.2,300073,"PercentageofYardagecoveredbyTeeShotsPar4s",2006
14,14,"Bubba Dickerson",98,67.86,262404.2,386687,"PercentageofYardagecoveredbyTeeShotsPar4s",2006
15,15,"Vijay Singh",103,67.81,259208.7,382268,"PercentageofYardagecoveredbyTeeShotsPar4s",2006
15,15,"Chris Smith",67,67.81,178314.9,262944,"PercentageofYardagecoveredbyTeeShotsPar4s",2006
17,17,"Mathias Gronberg",92,67.76,238791,352418,"PercentageofYardagecoveredbyTeeShotsPar4s",2006
18,18,"Camilo Villegas",95,67.75,251068.1,370588,"PercentageofYardagecoveredbyTeeShotsPar4s",2006
19,19,"Charles Warren",93,67.74,245877.7,362983,"PercentageofYardagecoveredbyTeeShotsPar4s",2006
20,20,"Nicholas Thompson",96,67.71,238681.6,352503,"PercentageofYardagecoveredbyTeeShotsPar4s",2006
21,21,"Alex Aragon",63,67.69,163985.3,242257,"PercentageofYardagecoveredbyTeeShotsPar4s",2006
21,21,"Lucas Glover",105,67.69,262096.3,387203,"PercentageofYardagecoveredbyTeeShotsPar4s",2006
23,23,"Matt Hansen",68,67.62,177262.8,262158,"PercentageofYardagecoveredbyTeeShotsPar4s",2006
24,24,"Rich Beem",85,67.59,196828.1,291228,"PercentageofYardagecoveredbyTeeShotsPar4s",2006
24,24,"Kris Cox",83,67.59,218187.6,322812,"PercentageofYardagecoveredbyTeeShotsPar4s",2006
26,26,"James Driscoll",80,67.51,231773.5,343320,"PercentageofYardagecoveredbyTeeShotsPar4s",2006
27,27,"Craig Barlow",77,67.34,173115.3,257088,"PercentageofYardagecoveredbyTeeShotsPar4s",2006
28,28,"Kenny Perry",73,67.31,189091.7,280937,"PercentageofYardagecoveredbyTeeShotsPar4s",2006
29,29,"Jonathan Kaye",95,67.27,260600.1,387384,"PercentageofYardagecoveredbyTeeShotsPar4s",2006
30,30,"Will Ma Kenzie",91,67.26,225149.9,334761,"PercentageofYardagecoveredbyTeeShotsPar4s",2006
30,30,"Troy Matteson",101,67.26,266009.2,395473,"PercentageofYardagecoveredbyTeeShotsPar4s",2006
32,32,"Adam Scott",70,67.2,161032.5,239616,"PercentageofYardagecoveredbyTeeShotsPar4s",2006
33,33,"Daniel Chopra",110,67.16,267858.2,398818,"PercentageofYardagecoveredbyTeeShotsPar4s",2006
34,34,"Wes Short Jr",96,67.13,258171.7,384598,"PercentageofYardagecoveredbyTeeShotsPar4s",2006
35,35,"Fred Couples",52,67.06,98478.9,146848,"PercentageofYardagecoveredbyTeeShotsPar4s",2006
35,35,"Davis Love III",85,67.06,172845.4,257759,"PercentageofYardagecoveredbyTeeShotsPar4s",2006
35,35,"Jon Mills",68,67.06,164957.5,245985,"PercentageofYardagecoveredbyTeeShotsPar4s",2006
38,38,"Jason Gore",86,67.03,217206.6,324031,"PercentageofYardagecoveredbyTeeShotsPar4s",2006
39,39,"Roger Tambellini",64,67.02,159012.1,237258,"PercentageofYardagecoveredbyTeeShotsPar4s",2006
40,40,"Jonathan Byrd",66,66.98,158692,236925,"PercentageofYardagecoveredbyTeeShotsPar4s",2006
41,41,"Tiger Woods",55,66.95,112441.1,167951,"PercentageofYardagecoveredbyTeeShotsPar4s",2006
42,42,"Retief Goosen",68,66.94,137059.1,204757,"PercentageofYardagecoveredbyTeeShotsPar4s",2006
43,43,"Ryan Palmer",101,66.87,249564.1,373234,"PercentageofYardagecoveredbyTeeShotsPar4s",2006
44,44,"Geoff Ogilvy",76,66.85,158979.7,237798,"PercentageofYardagecoveredbyTeeShotsPar4s",2006
44,44,"Bo Van Pelt",102,66.85,267986.7,400849,"PercentageofYardagecoveredbyTeeShotsPar4s",2006
46,46,"Nick Watney",97,66.82,254130.5,380338,"PercentageofYardagecoveredbyTeeShotsPar4s",2006
47,47,"Mathew Goggin",72,66.77,175571.7,262936,"PercentageofYardagecoveredbyTeeShotsPar4s",2006
48,48,"Eric Axley",91,66.73,235976.2,353639,"PercentageofYardagecoveredbyTeeShotsPar4s",2006
49,49,"Charles Howell III",96,66.7,236263.9,354217,"PercentageofYardagecoveredbyTeeShotsPar4s",2006
50,50,"Sergio Garcia",59,66.68,117276.1,175874,"PercentageofYardagecoveredbyTeeShotsPar4s",2006
51,51,"Bill Haas",99,66.65,262622,394019,"PercentageofYardagecoveredbyTeeShotsPar4s",2006
52,52,"Marco Dawson",87,66.6,226205.7,339662,"PercentageofYardagecoveredbyTeeShotsPar4s",2006
52,52,"John Rollins",93,66.6,224623.6,337266,"PercentageofYardagecoveredbyTeeShotsPar4s",2006
54,54,"Henrik Bjornstad",97,66.59,268346.8,402966,"PercentageofYardagecoveredbyTeeShotsPar4s",2006
54,54,"John Senden",96,66.59,236130.9,354622,"PercentageofYardagecoveredbyTeeShotsPar4s",2006
56,56,"Trevor Immelman",86,66.54,222226.1,333995,"PercentageofYardagecoveredbyTeeShotsPar4s",2006
56,56,"Bob May",65,66.54,158528.6,238241,"PercentageofYardagecoveredbyTeeShotsPar4s",2006
