"BirdieorBetterPercentage200yards_RANKTHISWEEK_2012","BirdieorBetterPercentage200yards_RANKLASTWEEK_2012","BirdieorBetterPercentage200yards_PLAYERNAME_2012","BirdieorBetterPercentage200yards_ROUNDS_2012","BirdieorBetterPercentage200yards_Pct_2012","BirdieorBetterPercentage200yards_TOTALBIRDIES_2012","BirdieorBetterPercentage200yards_TOTALHOLES_2012","stat_name","year"
1,1,"Louis Oosthuizen",65,40.82,80,196,"BirdieorBetterPercentage200yards",2012
2,2,"Tiger Woods",69,40.5,81,200,"BirdieorBetterPercentage200yards",2012
3,3,"Rory McIlroy",60,39.22,60,153,"BirdieorBetterPercentage200yards",2012
4,4,"Chris Couch",61,38.36,84,219,"BirdieorBetterPercentage200yards",2012
5,5,"Robert Karlsson",54,37.97,60,158,"BirdieorBetterPercentage200yards",2012
6,6,"Webb Simpson",77,37.37,111,297,"BirdieorBetterPercentage200yards",2012
7,7,"Keegan Bradley",90,36.7,109,297,"BirdieorBetterPercentage200yards",2012
8,8,"Josh Teater",97,36.66,125,341,"BirdieorBetterPercentage200yards",2012
9,9,"Bo Van Pelt",84,36.25,91,251,"BirdieorBetterPercentage200yards",2012
10,10,"Dustin Johnson",70,35.92,74,206,"BirdieorBetterPercentage200yards",2012
11,11,"Kyle Stanley",86,35.29,102,289,"BirdieorBetterPercentage200yards",2012
12,12,"Tom Gillis",75,35.25,104,295,"BirdieorBetterPercentage200yards",2012
13,13,"Rickie Fowler",84,35.04,96,274,"BirdieorBetterPercentage200yards",2012
14,14,"Martin Laird",77,34.87,83,238,"BirdieorBetterPercentage200yards",2012
15,15,"Geoff Ogilvy",73,34.7,76,219,"BirdieorBetterPercentage200yards",2012
16,16,"Bubba Watson",68,34.62,81,234,"BirdieorBetterPercentage200yards",2012
17,17,"Brendon de Jonge",115,34.56,141,408,"BirdieorBetterPercentage200yards",2012
18,18,"Adam Scott",59,34.16,55,161,"BirdieorBetterPercentage200yards",2012
19,19,"Pat Perez",81,34.15,97,284,"BirdieorBetterPercentage200yards",2012
20,20,"John Daly",50,33.99,52,153,"BirdieorBetterPercentage200yards",2012
21,21,"Sean OHair",84,33.95,110,324,"BirdieorBetterPercentage200yards",2012
22,22,"JB Holmes",90,33.93,114,336,"BirdieorBetterPercentage200yards",2012
23,23,"John Huh",99,33.81,119,352,"BirdieorBetterPercentage200yards",2012
23,23,"Phil Mickelson",79,33.81,95,281,"BirdieorBetterPercentage200yards",2012
25,25,"Charlie Beljan",61,33.77,51,151,"BirdieorBetterPercentage200yards",2012
26,26,"Jimmy Walker",101,33.75,134,397,"BirdieorBetterPercentage200yards",2012
27,27,"Lee Westwood",60,33.7,61,181,"BirdieorBetterPercentage200yards",2012
28,28,"Bud Cauley",99,33.33,114,342,"BirdieorBetterPercentage200yards",2012
28,28,"Davis Love III",64,33.33,67,201,"BirdieorBetterPercentage200yards",2012
28,28,"Scott Piercy",95,33.33,120,360,"BirdieorBetterPercentage200yards",2012
28,28,"John Senden",81,33.33,92,276,"BirdieorBetterPercentage200yards",2012
32,32,"Boo Weekley",74,33.17,68,205,"BirdieorBetterPercentage200yards",2012
33,33,"Seung Yul Noh",105,33.13,110,332,"BirdieorBetterPercentage200yards",2012
34,34,"Billy Horschel",63,32.98,62,188,"BirdieorBetterPercentage200yards",2012
35,35,"Ben Crane",73,32.96,89,270,"BirdieorBetterPercentage200yards",2012
36,36,"Bill Lunde",83,32.95,85,258,"BirdieorBetterPercentage200yards",2012
36,36,"Vijay Singh",99,32.95,114,346,"BirdieorBetterPercentage200yards",2012
38,38,"Gary Woodland",70,32.94,83,252,"BirdieorBetterPercentage200yards",2012
39,39,"Padraig Harrington",67,32.75,56,171,"BirdieorBetterPercentage200yards",2012
40,40,"Kevin Kisner",69,32.63,62,190,"BirdieorBetterPercentage200yards",2012
41,41,"Garth Mulroy",59,32.62,61,187,"BirdieorBetterPercentage200yards",2012
42,42,"Scott Stallings",78,32.5,91,280,"BirdieorBetterPercentage200yards",2012
43,43,"Jonas Blixt",72,32.44,85,262,"BirdieorBetterPercentage200yards",2012
44,44,"Mathew Goggin",65,32.43,72,222,"BirdieorBetterPercentage200yards",2012
45,45,"Charles Howell III",98,32.32,96,297,"BirdieorBetterPercentage200yards",2012
46,46,"Jason Day",57,32.29,62,192,"BirdieorBetterPercentage200yards",2012
47,47,"Marco Dawson",60,32.26,50,155,"BirdieorBetterPercentage200yards",2012
48,48,"Ryan Palmer",81,32.25,89,276,"BirdieorBetterPercentage200yards",2012
49,49,"Cameron Tringale",88,32.12,106,330,"BirdieorBetterPercentage200yards",2012
50,50,"Rory Sabbatini",84,32,96,300,"BirdieorBetterPercentage200yards",2012
51,51,"Matt Jones",53,31.98,55,172,"BirdieorBetterPercentage200yards",2012
52,52,"Kris Blanks",65,31.97,78,244,"BirdieorBetterPercentage200yards",2012
53,53,"Robert Garrigus",89,31.76,101,318,"BirdieorBetterPercentage200yards",2012
