"Par3ScoringAverage_RANKTHISWEEK_2012","Par3ScoringAverage_RANKLASTWEEK_2012","Par3ScoringAverage_PLAYERNAME_2012","Par3ScoringAverage_ROUNDS_2012","Par3ScoringAverage_AVG_2012","Par3ScoringAverage_TOTALSTROKES_2012","Par3ScoringAverage_TOTALHOLES_2012","stat_name","year"
1,NA,"Richard Lee",71,2.97,801,270,"Par3ScoringAverage",2012
2,NA,"Keegan Bradley",90,2.99,1041,348,"Par3ScoringAverage",2012
2,NA,"Rory McIlroy",60,2.99,646,216,"Par3ScoringAverage",2012
2,NA,"Geoff Ogilvy",73,2.99,876,293,"Par3ScoringAverage",2012
2,NA,"Ryan Palmer",81,2.99,975,326,"Par3ScoringAverage",2012
6,NA,"Jason Day",57,3,672,224,"Par3ScoringAverage",2012
6,NA,"Brendon de Jonge",115,3,1391,464,"Par3ScoringAverage",2012
8,NA,"Sean OHair",84,3.01,1008,335,"Par3ScoringAverage",2012
8,NA,"Justin Rose",69,3.01,831,276,"Par3ScoringAverage",2012
8,NA,"Brandt Snedeker",81,3.01,958,318,"Par3ScoringAverage",2012
8,NA,"Kevin Streelman",89,3.01,1090,362,"Par3ScoringAverage",2012
8,NA,"Steve Stricker",73,3.01,832,276,"Par3ScoringAverage",2012
13,NA,"Ben Curtis",62,3.02,749,248,"Par3ScoringAverage",2012
13,NA,"Jason Dufner",83,3.02,1009,334,"Par3ScoringAverage",2012
13,NA,"Jim Furyk",85,3.02,1031,341,"Par3ScoringAverage",2012
13,NA,"Brian Gay",91,3.02,1072,355,"Par3ScoringAverage",2012
13,NA,"Brandt Jobe",57,3.02,692,229,"Par3ScoringAverage",2012
13,NA,"Zach Johnson",95,3.02,1156,383,"Par3ScoringAverage",2012
13,NA,"Jerry Kelly",84,3.02,1031,341,"Par3ScoringAverage",2012
13,NA,"Troy Kelly",68,3.02,783,259,"Par3ScoringAverage",2012
13,NA,"Rocco Mediate",70,3.02,834,276,"Par3ScoringAverage",2012
13,NA,"Kevin Stadler",85,3.02,980,325,"Par3ScoringAverage",2012
