"AverageDistanceofBirdieputtsmade_RANKTHISWEEK_2010","AverageDistanceofBirdieputtsmade_RANKLASTWEEK_2010","AverageDistanceofBirdieputtsmade_PLAYERNAME_2010","AverageDistanceofBirdieputtsmade_ROUNDS_2010","AverageDistanceofBirdieputtsmade_AVG_2010","AverageDistanceofBirdieputtsmade_TOTDISTFT_2010","AverageDistanceofBirdieputtsmade_TOTBIRDIEPUTTSMADE_2010","AverageDistanceofBirdieputtsmade_LONGESTMADEFT_2010","AverageDistanceofBirdieputtsmade_SHORTESTMADEFT_2010","stat_name","year"
1,1,"Brad Faxon",58,NA,1677.5,143,45,1,"AverageDistanceofBirdieputtsmade",2010
2,2,"Shaun Micheel",70,NA,2082.75,179,48,NA,"AverageDistanceofBirdieputtsmade",2010
3,3,"Richard Johnson",90,NA,2493.083,216,64,NA,"AverageDistanceofBirdieputtsmade",2010
3,3,"Chris Tidland",77,NA,2623.583,226,57,NA,"AverageDistanceofBirdieputtsmade",2010
5,5,"David Lutterus",69,NA,1753.5,153,48,NA,"AverageDistanceofBirdieputtsmade",2010
6,6,"KJ Choi",82,NA,2439.833,215,59,NA,"AverageDistanceofBirdieputtsmade",2010
6,6,"Brent Delahoussaye",57,NA,1484.083,131,64,NA,"AverageDistanceofBirdieputtsmade",2010
8,8,"Stephen Ames",75,NA,2677.75,238,55,NA,"AverageDistanceofBirdieputtsmade",2010
9,9,"Charlie Wi",95,NA,3462.667,310,55,NA,"AverageDistanceofBirdieputtsmade",2010
10,10,"Blake Adams",84,NA,2742.583,248,57,NA,"AverageDistanceofBirdieputtsmade",2010
10,10,"Chad Collins",87,NA,2644.5,239,74,NA,"AverageDistanceofBirdieputtsmade",2010
12,12,"Bryce Molder",84,NA,2576.083,238,57,NA,"AverageDistanceofBirdieputtsmade",2010
12,12,"Carl Pettersson",99,NA,2998.75,277,56,NA,"AverageDistanceofBirdieputtsmade",2010
12,12,"Andres Romero",73,NA,2562.583,236,56,NA,"AverageDistanceofBirdieputtsmade",2010
12,12,"Dean Wilson",54,NA,1779.333,164,45,NA,"AverageDistanceofBirdieputtsmade",2010
16,16,"Boo Weekley",88,NA,2534,235,50,NA,"AverageDistanceofBirdieputtsmade",2010
17,17,"Greg Chalmers",93,NA,3160.333,297,46,NA,"AverageDistanceofBirdieputtsmade",2010
17,17,"Michael Connell",89,NA,2823.583,264,57,NA,"AverageDistanceofBirdieputtsmade",2010
17,17,"Chris DiMarco",88,NA,2616.25,246,89,NA,"AverageDistanceofBirdieputtsmade",2010
17,17,"Luke Donald",71,NA,2055.833,192,47,NA,"AverageDistanceofBirdieputtsmade",2010
17,17,"Derek Lamely",81,NA,2042.333,192,64,NA,"AverageDistanceofBirdieputtsmade",2010
17,17,"Paul Stankowski",62,NA,2193.083,206,54,NA,"AverageDistanceofBirdieputtsmade",2010
23,23,"Robert Allenby",76,NA,2394.75,227,50,NA,"AverageDistanceofBirdieputtsmade",2010
23,23,"Ben Crane",85,NA,2515,238,48,NA,"AverageDistanceofBirdieputtsmade",2010
23,23,"Trevor Immelman",55,NA,1320.417,125,50,NA,"AverageDistanceofBirdieputtsmade",2010
23,23,"Freddie Jacobson",83,NA,2839.083,269,52,NA,"AverageDistanceofBirdieputtsmade",2010
23,23,"Brian Stuard",81,NA,2364.25,223,49,NA,"AverageDistanceofBirdieputtsmade",2010
23,23,"Jerod Turner",54,NA,1213.583,115,56,NA,"AverageDistanceofBirdieputtsmade",2010
23,23,"Johnson Wagner",85,NA,2606.917,247,48,NA,"AverageDistanceofBirdieputtsmade",2010
23,23,"Jay Williamson",76,NA,2088.25,198,46,NA,"AverageDistanceofBirdieputtsmade",2010
23,23,"Mark Wilson",87,NA,2654.417,251,39,NA,"AverageDistanceofBirdieputtsmade",2010
32,32,"Craig Bowden",56,NA,1336.083,127,55,NA,"AverageDistanceofBirdieputtsmade",2010
32,32,"Matt Every",60,NA,1892.833,180,56,NA,"AverageDistanceofBirdieputtsmade",2010
32,32,"Tom Gillis",97,NA,3546.417,338,61,NA,"AverageDistanceofBirdieputtsmade",2010
32,32,"Nathan Green",86,NA,2721.833,260,61,NA,"AverageDistanceofBirdieputtsmade",2010
32,32,"Skip Kendall",58,NA,1522.667,145,46,NA,"AverageDistanceofBirdieputtsmade",2010
32,32,"Justin Leonard",89,NA,2696.417,256,59,NA,"AverageDistanceofBirdieputtsmade",2010
32,32,"Bill Lunde",79,NA,2054.5,196,56,NA,"AverageDistanceofBirdieputtsmade",2010
39,39,"Jason Bohn",84,NA,2826.917,272,51,NA,"AverageDistanceofBirdieputtsmade",2010
39,39,"Ben Curtis",78,NA,2104.167,202,45,NA,"AverageDistanceofBirdieputtsmade",2010
39,39,"Jason Day",82,NA,2523.833,243,58,NA,"AverageDistanceofBirdieputtsmade",2010
39,39,"Kevin Na",94,NA,2835.917,272,53,NA,"AverageDistanceofBirdieputtsmade",2010
39,39,"DA Points",90,NA,2635.25,254,52,NA,"AverageDistanceofBirdieputtsmade",2010
44,44,"Cameron Beckman",68,NA,1832,178,46,NA,"AverageDistanceofBirdieputtsmade",2010
44,44,"Paul Casey",64,NA,1738.167,168,55,NA,"AverageDistanceofBirdieputtsmade",2010
44,44,"Jeff Gove",57,NA,1366.333,132,66,NA,"AverageDistanceofBirdieputtsmade",2010
44,44,"Brett Quigley",96,NA,3037.25,295,65,NA,"AverageDistanceofBirdieputtsmade",2010
48,48,"Bob Estes",79,NA,2415.833,235,44,NA,"AverageDistanceofBirdieputtsmade",2010
48,48,"JP Hayes",79,NA,2365.583,230,43,NA,"AverageDistanceofBirdieputtsmade",2010
48,48,"Ryuji Imada",90,NA,2814.917,275,59,NA,"AverageDistanceofBirdieputtsmade",2010
48,48,"Jeff Maggert",76,NA,2000.25,195,60,NA,"AverageDistanceofBirdieputtsmade",2010
48,48,"Troy Merritt",86,NA,2893.5,282,51,NA,"AverageDistanceofBirdieputtsmade",2010
48,48,"Steve Stricker",73,NA,2261.917,221,51,NA,"AverageDistanceofBirdieputtsmade",2010
48,48,"David Toms",86,NA,2604.583,255,50,NA,"AverageDistanceofBirdieputtsmade",2010
48,48,"Cameron Tringale",55,NA,1438.833,140,43,NA,"AverageDistanceofBirdieputtsmade",2010
56,56,"Chris Couch",66,NA,2297.583,226,49,NA,"AverageDistanceofBirdieputtsmade",2010
56,56,"Steve Lowery",67,NA,1681.5,166,49,NA,"AverageDistanceofBirdieputtsmade",2010
56,56,"Geoff Ogilvy",62,NA,2029.5,200,53,NA,"AverageDistanceofBirdieputtsmade",2010
56,56,"Ian Poulter",55,NA,998.167,98,73,NA,"AverageDistanceofBirdieputtsmade",2010
56,56,"Aron Price",70,NA,2260.917,223,54,NA,"AverageDistanceofBirdieputtsmade",2010
56,56,"YE Yang",72,NA,2094.167,206,42,NA,"AverageDistanceofBirdieputtsmade",2010
62,62,"Michael Bradley",77,NA,2134.833,211,46,NA,"AverageDistanceofBirdieputtsmade",2010
62,62,"Lee Janzen",77,NA,2240.667,222,54,NA,"AverageDistanceofBirdieputtsmade",2010
62,62,"Scott McCarron",90,NA,2677.667,265,50,NA,"AverageDistanceofBirdieputtsmade",2010
62,62,"Tom Pernice Jr",74,NA,1838.25,183,63,NA,"AverageDistanceofBirdieputtsmade",2010
62,62,"Jeev Milkha Singh",59,NA,1571.667,156,61,NA,"AverageDistanceofBirdieputtsmade",2010
62,62,"Vance Veazey",58,NA,1403.583,139,55,NA,"AverageDistanceofBirdieputtsmade",2010
68,68,"Brian Davis",101,NA,2847.167,285,67,NA,"AverageDistanceofBirdieputtsmade",2010
68,68,"Retief Goosen",75,NA,1906.083,190,58,NA,"AverageDistanceofBirdieputtsmade",2010
68,68,"Tim Herron",79,NA,2258.917,225,50,NA,"AverageDistanceofBirdieputtsmade",2010
68,68,"Jeff Overton",89,NA,2647.333,264,50,NA,"AverageDistanceofBirdieputtsmade",2010
68,68,"Michael Sim",64,NA,1825.75,182,65,NA,"AverageDistanceofBirdieputtsmade",2010
68,68,"Chris Stroud",90,NA,2433.583,244,78,NA,"AverageDistanceofBirdieputtsmade",2010
68,68,"Omar Uresti",74,NA,1624.5,163,44,NA,"AverageDistanceofBirdieputtsmade",2010
68,68,"Brett Wetterich",54,NA,1837,183,61,NA,"AverageDistanceofBirdieputtsmade",2010
76,76,"Stewart Cink",84,NA,2389.417,240,47,NA,"AverageDistanceofBirdieputtsmade",2010
76,76,"Mathew Goggin",85,NA,2296.417,232,48,NA,"AverageDistanceofBirdieputtsmade",2010
76,76,"Andrew McLardy",52,NA,1254.667,127,56,NA,"AverageDistanceofBirdieputtsmade",2010
76,76,"James Nitties",92,NA,2795.667,281,59,NA,"AverageDistanceofBirdieputtsmade",2010
76,76,"John Senden",103,NA,2906.333,293,60,NA,"AverageDistanceofBirdieputtsmade",2010
76,76,"Webb Simpson",98,NA,3130.667,315,45,NA,"AverageDistanceofBirdieputtsmade",2010
76,76,"Kevin Sutherland",86,NA,2448.75,247,61,NA,"AverageDistanceofBirdieputtsmade",2010
83,83,"Aaron Baddeley",94,NA,3187.5,323,88,NA,"AverageDistanceofBirdieputtsmade",2010
83,83,"Rich Barcelo",70,NA,1764.417,179,51,NA,"AverageDistanceofBirdieputtsmade",2010
83,83,"Mark Calcavecchia",50,NA,996.5,101,45,NA,"AverageDistanceofBirdieputtsmade",2010
83,83,"David Duval",71,NA,1960.25,199,39,NA,"AverageDistanceofBirdieputtsmade",2010
83,83,"Brian Gay",101,NA,2674.083,271,55,NA,"AverageDistanceofBirdieputtsmade",2010
83,83,"Kevin Johnson",62,NA,1268.75,129,36,NA,"AverageDistanceofBirdieputtsmade",2010
83,83,"Zach Johnson",93,NA,2848.833,290,56,NA,"AverageDistanceofBirdieputtsmade",2010
83,83,"Jerry Kelly",99,NA,2584.25,263,71,NA,"AverageDistanceofBirdieputtsmade",2010
