"AveragePuttingDistanceGIR3PlusPutts_RANKTHISWEEK_2011","AveragePuttingDistanceGIR3PlusPutts_RANKLASTWEEK_2011","AveragePuttingDistanceGIR3PlusPutts_PLAYERNAME_2011","AveragePuttingDistanceGIR3PlusPutts_ROUNDS_2011","AveragePuttingDistanceGIR3PlusPutts_AVG_2011","AveragePuttingDistanceGIR3PlusPutts_DISTANCEFEET_2011","AveragePuttingDistanceGIR3PlusPutts_TOTALPUTTS_2011","stat_name","year"
1,1,"Bio Kim",71,NA,89.333,1,"AveragePuttingDistanceGIR3PlusPutts",2011
2,2,"Roland Thatcher",67,NA,83.417,1,"AveragePuttingDistanceGIR3PlusPutts",2011
3,3,"Paul Stankowski",78,NA,80.833,1,"AveragePuttingDistanceGIR3PlusPutts",2011
4,4,"Joseph Bramlett",73,NA,70.833,1,"AveragePuttingDistanceGIR3PlusPutts",2011
5,5,"Lee Janzen",62,NA,69.75,1,"AveragePuttingDistanceGIR3PlusPutts",2011
6,6,"Matt Kuchar",94,NA,69.25,1,"AveragePuttingDistanceGIR3PlusPutts",2011
7,7,"Brendan Steele",89,NA,68.417,1,"AveragePuttingDistanceGIR3PlusPutts",2011
8,8,"John Rollins",85,NA,67.167,1,"AveragePuttingDistanceGIR3PlusPutts",2011
9,9,"Jhonattan Vegas",84,NA,133.083,2,"AveragePuttingDistanceGIR3PlusPutts",2011
10,10,"Tommy Gainey",104,NA,131.25,2,"AveragePuttingDistanceGIR3PlusPutts",2011
11,11,"Michael Putnam",67,NA,130.25,2,"AveragePuttingDistanceGIR3PlusPutts",2011
12,12,"DJ Brigman",67,NA,60.583,1,"AveragePuttingDistanceGIR3PlusPutts",2011
13,13,"David Hearn",88,NA,120.583,2,"AveragePuttingDistanceGIR3PlusPutts",2011
14,14,"Brian Davis",105,NA,119.417,2,"AveragePuttingDistanceGIR3PlusPutts",2011
15,15,"Justin Leonard",82,NA,56.833,1,"AveragePuttingDistanceGIR3PlusPutts",2011
16,16,"David Duval",67,NA,113,2,"AveragePuttingDistanceGIR3PlusPutts",2011
17,17,"Arjun Atwal",91,NA,55.667,1,"AveragePuttingDistanceGIR3PlusPutts",2011
18,18,"Billy Mayfair",94,NA,165.5,3,"AveragePuttingDistanceGIR3PlusPutts",2011
19,19,"Martin Laird",77,NA,54.75,1,"AveragePuttingDistanceGIR3PlusPutts",2011
20,20,"Zack Miller",86,NA,108.583,2,"AveragePuttingDistanceGIR3PlusPutts",2011
21,21,"Rory Sabbatini",85,NA,107.417,2,"AveragePuttingDistanceGIR3PlusPutts",2011
22,22,"Troy Merritt",63,NA,106.25,2,"AveragePuttingDistanceGIR3PlusPutts",2011
23,23,"Steve Stricker",70,NA,51.5,1,"AveragePuttingDistanceGIR3PlusPutts",2011
24,24,"Ben Martin",74,NA,51.083,1,"AveragePuttingDistanceGIR3PlusPutts",2011
25,25,"Fabian Gomez",84,NA,101.917,2,"AveragePuttingDistanceGIR3PlusPutts",2011
26,26,"John Senden",94,NA,48.417,1,"AveragePuttingDistanceGIR3PlusPutts",2011
27,27,"Paul Goydos",81,NA,93.333,2,"AveragePuttingDistanceGIR3PlusPutts",2011
28,28,"Mark Wilson",89,NA,46,1,"AveragePuttingDistanceGIR3PlusPutts",2011
29,29,"Steve Marino",76,NA,136,3,"AveragePuttingDistanceGIR3PlusPutts",2011
30,30,"Alex Prugh",82,NA,44.167,1,"AveragePuttingDistanceGIR3PlusPutts",2011
31,31,"Johnson Wagner",81,NA,41.083,1,"AveragePuttingDistanceGIR3PlusPutts",2011
32,32,"Matt Jones",71,NA,41,1,"AveragePuttingDistanceGIR3PlusPutts",2011
33,33,"DA Points",89,NA,40.833,1,"AveragePuttingDistanceGIR3PlusPutts",2011
34,34,"Jim Herman",69,NA,81.5,2,"AveragePuttingDistanceGIR3PlusPutts",2011
35,35,"Bo Van Pelt",92,NA,38.333,1,"AveragePuttingDistanceGIR3PlusPutts",2011
36,36,"Stephen Ames",69,NA,38,1,"AveragePuttingDistanceGIR3PlusPutts",2011
36,36,"Billy Horschel",75,NA,75.917,2,"AveragePuttingDistanceGIR3PlusPutts",2011
36,36,"Marc Leishman",87,NA,76,2,"AveragePuttingDistanceGIR3PlusPutts",2011
39,39,"Garrett Willis",71,NA,36.917,1,"AveragePuttingDistanceGIR3PlusPutts",2011
40,40,"Chad Campbell",99,NA,72.75,2,"AveragePuttingDistanceGIR3PlusPutts",2011
41,41,"Geoff Ogilvy",69,NA,36.083,1,"AveragePuttingDistanceGIR3PlusPutts",2011
42,42,"Ricky Barnes",78,NA,71.667,2,"AveragePuttingDistanceGIR3PlusPutts",2011
43,43,"David Toms",78,NA,35.333,1,"AveragePuttingDistanceGIR3PlusPutts",2011
44,44,"Jerry Kelly",85,NA,35.083,1,"AveragePuttingDistanceGIR3PlusPutts",2011
45,45,"Chez Reavie",92,NA,69.667,2,"AveragePuttingDistanceGIR3PlusPutts",2011
45,45,"Cameron Tringale",110,NA,34.833,1,"AveragePuttingDistanceGIR3PlusPutts",2011
47,47,"Dean Wilson",62,NA,34.5,1,"AveragePuttingDistanceGIR3PlusPutts",2011
48,48,"Kevin Streelman",90,NA,68.583,2,"AveragePuttingDistanceGIR3PlusPutts",2011
49,49,"Andres Romero",77,NA,33.417,1,"AveragePuttingDistanceGIR3PlusPutts",2011
50,50,"Charlie Wi",83,NA,32.583,1,"AveragePuttingDistanceGIR3PlusPutts",2011
51,51,"Keegan Bradley",91,NA,65,2,"AveragePuttingDistanceGIR3PlusPutts",2011
52,52,"DJ Trahan",91,NA,95.333,3,"AveragePuttingDistanceGIR3PlusPutts",2011
53,53,"Kevin Stadler",88,NA,94.083,3,"AveragePuttingDistanceGIR3PlusPutts",2011
54,54,"Hunter Haas",96,NA,29.667,1,"AveragePuttingDistanceGIR3PlusPutts",2011
55,55,"Blake Adams",116,NA,29.25,1,"AveragePuttingDistanceGIR3PlusPutts",2011
56,56,"Scott Gutschewski",67,NA,55.917,2,"AveragePuttingDistanceGIR3PlusPutts",2011
56,56,"Pat Perez",76,NA,56,2,"AveragePuttingDistanceGIR3PlusPutts",2011
