"ScramblingfromtheRough_RANKTHISWEEK_2011","ScramblingfromtheRough_RANKLASTWEEK_2011","ScramblingfromtheRough_PLAYERNAME_2011","ScramblingfromtheRough_ROUNDS_2011","ScramblingfromtheRough_Pct_2011","ScramblingfromtheRough_SUCCESSES_2011","ScramblingfromtheRough_ATTEMPTS_2011","stat_name","year"
1,1,"Steve Stricker",70,73.11,87,119,"ScramblingfromtheRough",2011
2,2,"Luke Donald",73,66.39,79,119,"ScramblingfromtheRough",2011
3,3,"Phil Mickelson",79,66.25,106,160,"ScramblingfromtheRough",2011
4,4,"Webb Simpson",98,66.23,102,154,"ScramblingfromtheRough",2011
5,5,"Robert Karlsson",61,65,78,120,"ScramblingfromtheRough",2011
6,6,"Bryce Molder",82,64.38,94,146,"ScramblingfromtheRough",2011
7,7,"Jason Day",76,64.12,84,131,"ScramblingfromtheRough",2011
8,8,"Matt Kuchar",94,64,96,150,"ScramblingfromtheRough",2011
9,9,"Kevin Na",84,63.85,136,213,"ScramblingfromtheRough",2011
10,10,"Zach Johnson",79,63.38,90,142,"ScramblingfromtheRough",2011
11,11,"Bill Haas",93,63.03,104,165,"ScramblingfromtheRough",2011
12,12,"Ricky Barnes",78,62.58,97,155,"ScramblingfromtheRough",2011
13,13,"Sergio Garcia",61,62.28,71,114,"ScramblingfromtheRough",2011
14,14,"Scott McCarron",65,62.21,107,172,"ScramblingfromtheRough",2011
15,15,"Mark Wilson",89,61.88,112,181,"ScramblingfromtheRough",2011
16,16,"YE Yang",63,61.83,81,131,"ScramblingfromtheRough",2011
17,17,"Justin Leonard",82,61.68,103,167,"ScramblingfromtheRough",2011
18,18,"Jerry Kelly",85,61.64,98,159,"ScramblingfromtheRough",2011
19,19,"Ben Crane",76,61.43,86,140,"ScramblingfromtheRough",2011
20,20,"Ben Curtis",66,61.36,81,132,"ScramblingfromtheRough",2011
21,21,"Gary Woodland",93,61.34,119,194,"ScramblingfromtheRough",2011
22,22,"Geoff Ogilvy",69,60.93,92,151,"ScramblingfromtheRough",2011
23,23,"David Mathis",83,60.9,95,156,"ScramblingfromtheRough",2011
24,24,"Robert Allenby",84,60.76,96,158,"ScramblingfromtheRough",2011
25,25,"Martin Laird",77,60.71,85,140,"ScramblingfromtheRough",2011
26,26,"Freddie Jacobson",92,60.65,94,155,"ScramblingfromtheRough",2011
26,26,"Spencer Levin",113,60.65,131,216,"ScramblingfromtheRough",2011
28,28,"Blake Adams",116,60.29,126,209,"ScramblingfromtheRough",2011
29,29,"Steve Elkington",50,60,54,90,"ScramblingfromtheRough",2011
29,29,"Padraig Harrington",60,60,69,115,"ScramblingfromtheRough",2011
29,29,"Ian Poulter",52,60,57,95,"ScramblingfromtheRough",2011
32,32,"Kevin Streelman",90,59.78,110,184,"ScramblingfromtheRough",2011
33,33,"Brendon de Jonge",105,59.04,111,188,"ScramblingfromtheRough",2011
34,34,"Joe Durant",71,58.93,66,112,"ScramblingfromtheRough",2011
35,35,"Rory Sabbatini",85,58.9,86,146,"ScramblingfromtheRough",2011
36,36,"Brandt Snedeker",85,58.79,107,182,"ScramblingfromtheRough",2011
37,37,"Charl Schwartzel",58,58.76,57,97,"ScramblingfromtheRough",2011
38,38,"Pat Perez",76,58.72,101,172,"ScramblingfromtheRough",2011
39,39,"Dean Wilson",62,58.64,95,162,"ScramblingfromtheRough",2011
40,40,"Nick Watney",80,58.57,82,140,"ScramblingfromtheRough",2011
41,41,"Stephen Ames",69,58.54,72,123,"ScramblingfromtheRough",2011
42,42,"Jason Dufner",78,58.46,76,130,"ScramblingfromtheRough",2011
43,43,"Ryan Moore",79,58.39,94,161,"ScramblingfromtheRough",2011
44,44,"Rod Pampling",72,58.33,77,132,"ScramblingfromtheRough",2011
44,44,"David Toms",78,58.33,70,120,"ScramblingfromtheRough",2011
46,46,"Ryan Palmer",82,58.08,97,167,"ScramblingfromtheRough",2011
47,47,"Nathan Green",81,57.89,99,171,"ScramblingfromtheRough",2011
48,48,"Greg Chalmers",88,57.87,114,197,"ScramblingfromtheRough",2011
48,48,"DA Points",89,57.87,103,178,"ScramblingfromtheRough",2011
50,50,"Retief Goosen",50,57.85,70,121,"ScramblingfromtheRough",2011
51,51,"Justin Rose",79,57.78,78,135,"ScramblingfromtheRough",2011
52,52,"Hunter Mahan",92,57.76,93,161,"ScramblingfromtheRough",2011
53,53,"Tim Petrovic",88,57.61,106,184,"ScramblingfromtheRough",2011
54,54,"Brandt Jobe",100,57.32,90,157,"ScramblingfromtheRough",2011
55,55,"Jonathan Byrd",83,57.31,98,171,"ScramblingfromtheRough",2011
56,56,"Adam Scott",60,57.28,59,103,"ScramblingfromtheRough",2011
57,57,"Michael Thompson",79,57.07,109,191,"ScramblingfromtheRough",2011
58,58,"Trevor Immelman",84,57.03,73,128,"ScramblingfromtheRough",2011
59,59,"Briny Baird",60,56.84,54,95,"ScramblingfromtheRough",2011
60,60,"Charles Howell III",108,56.68,106,187,"ScramblingfromtheRough",2011
61,61,"Chad Campbell",99,56.55,95,168,"ScramblingfromtheRough",2011
62,62,"Jarrod Lyle",83,56.4,119,211,"ScramblingfromtheRough",2011
63,63,"Cameron Tringale",110,56.19,109,194,"ScramblingfromtheRough",2011
64,64,"KJ Choi",77,56.08,83,148,"ScramblingfromtheRough",2011
65,65,"Chez Reavie",92,55.93,99,177,"ScramblingfromtheRough",2011
66,66,"Keegan Bradley",91,55.79,106,190,"ScramblingfromtheRough",2011
67,67,"Tim Herron",85,55.7,88,158,"ScramblingfromtheRough",2011
68,68,"Shane Bertsch",62,55.65,69,124,"ScramblingfromtheRough",2011
69,69,"Johnson Wagner",81,55.63,84,151,"ScramblingfromtheRough",2011
70,70,"Woody Austin",59,55.56,55,99,"ScramblingfromtheRough",2011
70,70,"Brian Gay",90,55.56,95,171,"ScramblingfromtheRough",2011
72,72,"Steve Flesch",88,55.28,110,199,"ScramblingfromtheRough",2011
73,73,"Alex Cejka",59,55.24,58,105,"ScramblingfromtheRough",2011
74,74,"Marc Turnesa",54,55.12,70,127,"ScramblingfromtheRough",2011
75,75,"Rickie Fowler",84,55.03,93,169,"ScramblingfromtheRough",2011
76,76,"Brian Davis",105,54.95,111,202,"ScramblingfromtheRough",2011
77,77,"George McNeill",69,54.79,80,146,"ScramblingfromtheRough",2011
77,77,"Nick OHern",89,54.79,80,146,"ScramblingfromtheRough",2011
79,79,"Michael Connell",76,54.74,75,137,"ScramblingfromtheRough",2011
80,80,"Bio Kim",71,54.71,93,170,"ScramblingfromtheRough",2011
81,81,"Billy Mayfair",94,54.66,88,161,"ScramblingfromtheRough",2011
82,82,"Joseph Bramlett",73,54.6,95,174,"ScramblingfromtheRough",2011
83,83,"Ryuji Imada",83,54.55,96,176,"ScramblingfromtheRough",2011
83,83,"Nate Smith",66,54.55,72,132,"ScramblingfromtheRough",2011
83,83,"Jimmy Walker",79,54.55,108,198,"ScramblingfromtheRough",2011
86,86,"Vijay Singh",79,54.43,86,158,"ScramblingfromtheRough",2011
87,87,"Graeme McDowell",50,54.35,50,92,"ScramblingfromtheRough",2011
88,88,"Lee Janzen",62,54.2,71,131,"ScramblingfromtheRough",2011
89,89,"Chris DiMarco",93,54.15,111,205,"ScramblingfromtheRough",2011
90,90,"William McGirt",103,54.12,105,194,"ScramblingfromtheRough",2011
91,91,"Kris Blanks",92,54.05,80,148,"ScramblingfromtheRough",2011
92,92,"Bo Van Pelt",92,54.04,87,161,"ScramblingfromtheRough",2011
93,93,"Charlie Wi",83,54.02,94,174,"ScramblingfromtheRough",2011
94,94,"Paul Goydos",81,53.89,97,180,"ScramblingfromtheRough",2011
95,95,"Matt Bettencourt",84,53.85,112,208,"ScramblingfromtheRough",2011
95,95,"Chris Couch",73,53.85,98,182,"ScramblingfromtheRough",2011
97,97,"Robert Garrigus",83,53.46,85,159,"ScramblingfromtheRough",2011
97,97,"Garrett Willis",71,53.46,85,159,"ScramblingfromtheRough",2011
99,99,"Carl Pettersson",95,53.44,101,189,"ScramblingfromtheRough",2011
100,100,"Jim Furyk",87,53.42,86,161,"ScramblingfromtheRough",2011
100,100,"Troy Merritt",63,53.42,86,161,"ScramblingfromtheRough",2011
102,102,"John Merrick",71,53.39,63,118,"ScramblingfromtheRough",2011
103,103,"Andres Romero",77,53.37,103,193,"ScramblingfromtheRough",2011
104,104,"Chris Riley",76,53.33,80,150,"ScramblingfromtheRough",2011
105,105,"Marc Leishman",87,53.27,106,199,"ScramblingfromtheRough",2011
106,106,"Stewart Cink",72,53.23,66,124,"ScramblingfromtheRough",2011
107,107,"Jhonattan Vegas",84,53.21,83,156,"ScramblingfromtheRough",2011
108,108,"Richard Johnson",64,53.13,68,128,"ScramblingfromtheRough",2011
109,109,"Matt Jones",71,53.11,94,177,"ScramblingfromtheRough",2011
110,110,"Roland Thatcher",67,53.09,86,162,"ScramblingfromtheRough",2011
111,111,"Tag Ridings",87,53.02,114,215,"ScramblingfromtheRough",2011
112,112,"Lucas Glover",74,52.99,71,134,"ScramblingfromtheRough",2011
113,113,"Shaun Micheel",77,52.91,91,172,"ScramblingfromtheRough",2011
114,114,"Kevin Chappell",78,52.73,87,165,"ScramblingfromtheRough",2011
115,115,"Rocco Mediate",53,52.67,69,131,"ScramblingfromtheRough",2011
116,116,"Chris Kirk",87,52.66,99,188,"ScramblingfromtheRough",2011
117,117,"Kent Jones",76,52.53,83,158,"ScramblingfromtheRough",2011
117,117,"Scott Piercy",78,52.53,83,158,"ScramblingfromtheRough",2011
119,119,"Sean OHair",71,52.44,86,164,"ScramblingfromtheRough",2011
120,120,"Charley Hoffman",93,52.38,99,189,"ScramblingfromtheRough",2011
121,121,"Paul Stankowski",78,52.33,90,172,"ScramblingfromtheRough",2011
122,122,"DJ Trahan",91,52.11,99,190,"ScramblingfromtheRough",2011
123,123,"Jeff Overton",92,51.83,85,164,"ScramblingfromtheRough",2011
124,124,"Matt McQuillan",59,51.77,73,141,"ScramblingfromtheRough",2011
125,125,"Troy Matteson",91,51.64,110,213,"ScramblingfromtheRough",2011
126,126,"Stuart Appleby",65,51.55,83,161,"ScramblingfromtheRough",2011
127,127,"Kevin Kisner",70,51.52,85,165,"ScramblingfromtheRough",2011
128,128,"Hunter Haas",96,51.46,106,206,"ScramblingfromtheRough",2011
129,129,"Tommy Gainey",104,51.44,107,208,"ScramblingfromtheRough",2011
130,130,"Kyle Stanley",98,51.31,98,191,"ScramblingfromtheRough",2011
131,131,"David Duval",67,51.23,83,162,"ScramblingfromtheRough",2011
132,132,"David Hearn",88,51.22,84,164,"ScramblingfromtheRough",2011
133,133,"Vaughn Taylor",89,51.11,92,180,"ScramblingfromtheRough",2011
134,134,"Camilo Villegas",69,51.08,71,139,"ScramblingfromtheRough",2011
135,135,"Anthony Kim",72,51.01,76,149,"ScramblingfromtheRough",2011
136,136,"Fabian Gomez",84,50.83,92,181,"ScramblingfromtheRough",2011
137,137,"Bill Lunde",92,50.63,81,160,"ScramblingfromtheRough",2011
138,138,"Angel Cabrera",50,50.59,43,85,"ScramblingfromtheRough",2011
139,139,"Chris Stroud",88,50.53,96,190,"ScramblingfromtheRough",2011
140,140,"Bubba Watson",85,50.4,63,125,"ScramblingfromtheRough",2011
141,141,"Cameron Beckman",71,50.33,77,153,"ScramblingfromtheRough",2011
142,142,"John Rollins",85,50.31,81,161,"ScramblingfromtheRough",2011
143,143,"Martin Piller",63,50.3,84,167,"ScramblingfromtheRough",2011
144,144,"Joe Ogilvie",75,50.28,89,177,"ScramblingfromtheRough",2011
145,145,"JP Hayes",56,50,63,126,"ScramblingfromtheRough",2011
145,145,"Colt Knost",80,50,81,162,"ScramblingfromtheRough",2011
145,145,"John Senden",94,50,75,150,"ScramblingfromtheRough",2011
148,148,"Zack Miller",86,49.75,98,197,"ScramblingfromtheRough",2011
149,149,"Ben Martin",74,49.38,79,160,"ScramblingfromtheRough",2011
150,150,"Aaron Baddeley",77,49.32,73,148,"ScramblingfromtheRough",2011
151,151,"Michael Putnam",67,49.31,71,144,"ScramblingfromtheRough",2011
152,152,"Steve Marino",76,49.3,70,142,"ScramblingfromtheRough",2011
153,153,"Boo Weekley",66,49.19,61,124,"ScramblingfromtheRough",2011
154,154,"Dustin Johnson",72,49.17,59,120,"ScramblingfromtheRough",2011
155,155,"Kevin Stadler",88,49.16,88,179,"ScramblingfromtheRough",2011
156,156,"Jim Herman",69,49.15,58,118,"ScramblingfromtheRough",2011
157,157,"Scott Stallings",84,49.09,81,165,"ScramblingfromtheRough",2011
158,158,"Scott Gutschewski",67,48.97,71,145,"ScramblingfromtheRough",2011
