"PresidentsCupInternational_RANKTHISWEEK_2006","PresidentsCupInternational_RANKLASTWEEK_2006","PresidentsCupInternational_PLAYERNAME_2006","PresidentsCupInternational_EVENTS_2006","PresidentsCupInternational_AVGPOINTS_2006","PresidentsCupInternational_TOTALPOINTS_2006","PresidentsCupInternational_POINTSLOST_2006","PresidentsCupInternational_POINTSGAINED_2006","stat_name","year"
1,1,"Adam Scott",51,7.16,365.25,-234.23,365.29,"PresidentsCupInternational",2006
2,4,"Ernie Els",48,6.21,298.26,-351.69,272.52,"PresidentsCupInternational",2006
3,2,"Retief Goosen",60,5.93,355.57,-342.45,268.67,"PresidentsCupInternational",2006
4,3,"Vijay Singh",61,5.76,351.09,-543.63,278.79,"PresidentsCupInternational",2006
5,5,"Geoff Ogilvy",50,5.24,261.93,-168.36,302.56,"PresidentsCupInternational",2006
6,6,"Trevor Immelman",54,4.63,250.04,-122.78,263.67,"PresidentsCupInternational",2006
7,7,"Michael Campbell",52,3.54,183.99,-139.7,101.72,"PresidentsCupInternational",2006
8,8,"Nick OHern",50,3.39,169.71,-153.33,137.22,"PresidentsCupInternational",2006
9,9,"Stuart Appleby",55,3.38,185.86,-166.98,186.02,"PresidentsCupInternational",2006
10,10,"Tim Clark",56,3.35,187.69,-175.06,148.93,"PresidentsCupInternational",2006
11,12,"Shingo Katayama",53,3.21,170.07,-109.47,141.46,"PresidentsCupInternational",2006
12,11,"Angel Cabrera",50,3.15,157.43,-149.89,120.68,"PresidentsCupInternational",2006
13,14,"KJ Choi",61,3.06,186.84,-143.41,154.34,"PresidentsCupInternational",2006
14,13,"Rod Pampling",55,2.96,162.78,-142.52,170.47,"PresidentsCupInternational",2006
15,15,"YE Yang",48,2.88,138.15,-60.42,124.74,"PresidentsCupInternational",2006
16,16,"Stephen Ames",45,2.76,124.03,-129.21,139.13,"PresidentsCupInternational",2006
17,20,"Jeev Milkha Singh",74,2.63,194.45,-35.7,207.14,"PresidentsCupInternational",2006
18,17,"Rory Sabbatini",50,2.6,129.9,-128.38,169.24,"PresidentsCupInternational",2006
19,18,"Mike Weir",48,2.54,121.78,-123.05,136.82,"PresidentsCupInternational",2006
20,19,"Robert Allenby",62,2.5,154.79,-145.52,117.38,"PresidentsCupInternational",2006
21,21,"Charl Schwartzel",60,2.22,132.98,-68.47,134.74,"PresidentsCupInternational",2006
22,22,"Richard Green",51,2.01,102.47,-100.36,108.12,"PresidentsCupInternational",2006
23,23,"John Senden",62,1.95,120.79,-67.12,107.3,"PresidentsCupInternational",2006
24,34,"Thongchai Jaidee",51,1.82,92.99,-63.08,85.52,"PresidentsCupInternational",2006
25,24,"Nathan Green",64,1.79,114.49,-38.99,129.84,"PresidentsCupInternational",2006
26,26,"Toru Taniguchi",57,1.7,96.9,-73.36,84.91,"PresidentsCupInternational",2006
27,25,"Jyoti Randhawa",47,1.65,77.68,-55.67,72.15,"PresidentsCupInternational",2006
28,27,"Aaron Baddeley",55,1.64,90.31,-52.82,92.58,"PresidentsCupInternational",2006
29,28,"Peter Lonard",58,1.64,94.88,-124.72,71.03,"PresidentsCupInternational",2006
30,29,"Taichi Teshima",54,1.59,85.84,-35.66,68.67,"PresidentsCupInternational",2006
31,30,"SK Ho",54,1.57,84.65,-63,72.88,"PresidentsCupInternational",2006
32,31,"Hidemasa Hoshino",50,1.49,74.43,-35.72,62.06,"PresidentsCupInternational",2006
33,32,"Paul Sheehan",61,1.47,89.67,-66.34,75.19,"PresidentsCupInternational",2006
34,35,"Hideto Tanihara",55,1.45,79.53,-41.97,82.74,"PresidentsCupInternational",2006
35,33,"Andrew Buckle",52,1.44,74.68,-31.5,84.46,"PresidentsCupInternational",2006
36,36,"Shigeki Maruyama",59,1.43,84.34,-109.67,53.99,"PresidentsCupInternational",2006
37,37,"David Smail",51,1.42,72.41,-58.5,50.32,"PresidentsCupInternational",2006
38,38,"Andres Romero",44,1.37,60.29,-16.87,64.07,"PresidentsCupInternational",2006
39,41,"Camilo Villegas",64,1.35,86.43,-46.14,110.59,"PresidentsCupInternational",2006
40,39,"Tetsuji Hiratsuka",57,1.33,75.72,-40.62,66.12,"PresidentsCupInternational",2006
41,40,"Ricardo Gonzalez",41,1.29,53,-36.02,56.19,"PresidentsCupInternational",2006
42,44,"Peter OMalley",51,1.28,65.46,-43.24,57.77,"PresidentsCupInternational",2006
43,42,"Keiichiro Fukabori",55,1.28,70.26,-53.17,44.43,"PresidentsCupInternational",2006
44,43,"Mathew Goggin",58,1.26,73.25,-31.87,67.73,"PresidentsCupInternational",2006
45,45,"Mark Hensby",45,1.18,53.11,-113.2,14.79,"PresidentsCupInternational",2006
46,47,"WC Liang",55,1.16,63.75,-33.44,58.36,"PresidentsCupInternational",2006
47,46,"Steve Elkington",40,1.16,46.33,-55.54,13.41,"PresidentsCupInternational",2006
48,50,"Brett Rumford",56,1.09,60.85,-48.57,60.04,"PresidentsCupInternational",2006
49,49,"Prayad Marksaeng",64,1.08,68.92,-43.72,62.53,"PresidentsCupInternational",2006
50,62,"Darren Fichardt",52,1.07,55.88,-36.05,57.52,"PresidentsCupInternational",2006
51,56,"Thaworn Wiratchant",59,1.07,63.07,-44.91,44.32,"PresidentsCupInternational",2006
52,51,"Daisuke Maruyama",57,1.05,60.05,-35.41,48.09,"PresidentsCupInternational",2006
53,48,"Tomohiro Kondo",54,1.05,56.53,-38.65,54.02,"PresidentsCupInternational",2006
54,53,"Rafael Echenique",40,1.02,40.78,-5.16,45.3,"PresidentsCupInternational",2006
55,54,"Azuma Yano",54,1.01,54.37,-20.16,44.04,"PresidentsCupInternational",2006
56,55,"Katsumasa Miyamoto",56,0.97,54.58,-34.25,43.67,"PresidentsCupInternational",2006
57,52,"Ryuji Imada",58,0.96,55.96,-38.59,56.46,"PresidentsCupInternational",2006
58,58,"Jarrod Lyle",53,0.96,50.71,-24.95,55.31,"PresidentsCupInternational",2006
59,60,"Hiroyuki Fujita",55,0.95,52.47,-36.08,41.3,"PresidentsCupInternational",2006
60,61,"Craig Parry",47,0.95,44.78,-73.44,25.83,"PresidentsCupInternational",2006
61,59,"Kaname Yokoo",59,0.94,55.64,-40.29,42.08,"PresidentsCupInternational",2006
62,57,"Shiv Kapur",49,0.9,44.31,-22.99,34.45,"PresidentsCupInternational",2006
63,63,"Tommy Nakajima",40,0.9,35.89,-9.43,33.92,"PresidentsCupInternational",2006
64,81,"Charlie Wi",54,0.88,47.68,-26.11,58.81,"PresidentsCupInternational",2006
65,74,"Prom Meesawat",50,0.87,43.42,-16.71,45.17,"PresidentsCupInternational",2006
66,70,"Richard Sterne",51,0.86,43.9,-56.81,28.97,"PresidentsCupInternational",2006
67,68,"Gavin Coles",55,0.85,46.77,-16.74,47.57,"PresidentsCupInternational",2006
68,64,"TC Wang",40,0.85,33.8,-19.08,36.47,"PresidentsCupInternational",2006
69,66,"Stephen Leaney",60,0.84,50.56,-48.12,45.09,"PresidentsCupInternational",2006
70,65,"Mamo Osanai",53,0.84,44.32,-18.47,42.67,"PresidentsCupInternational",2006
71,67,"Kiyoshi Maita",54,0.82,44.4,-24.02,36.92,"PresidentsCupInternational",2006
72,71,"Toshinori Muto",49,0.82,40.03,-7.53,44.17,"PresidentsCupInternational",2006
73,105,"Frankie Minoza",43,0.81,34.9,-10.44,33.13,"PresidentsCupInternational",2006
74,72,"Gaurav Ghei",41,0.79,32.57,-8.72,31.8,"PresidentsCupInternational",2006
75,69,"Nobuhiro Masuda",57,0.79,44.77,-18.77,46.45,"PresidentsCupInternational",2006
76,76,"Carlos Franco",55,0.78,42.97,-73.34,26.95,"PresidentsCupInternational",2006
77,77,"Takuya Taniguchi",54,0.78,41.97,-28.09,29.54,"PresidentsCupInternational",2006
78,73,"Scott Strange",45,0.78,34.93,-15.87,36.99,"PresidentsCupInternational",2006
79,75,"Tadahiro Takayama",53,0.77,40.99,-37.31,13.76,"PresidentsCupInternational",2006
80,78,"Tatsuhiko Ichihara",40,0.77,30.89,-2.91,31.08,"PresidentsCupInternational",2006
81,79,"Wen Tang Lin",40,0.77,30.88,-6.85,28.32,"PresidentsCupInternational",2006
82,80,"Juvic Pagunsan",40,0.75,30.12,-2.78,31.56,"PresidentsCupInternational",2006
83,82,"Wade Ormsby",60,0.73,43.56,-24.86,37.36,"PresidentsCupInternational",2006
84,83,"Chinnarat Phadungsil",40,0.72,28.63,-7.28,29.91,"PresidentsCupInternational",2006
85,87,"Marcus Fraser",56,0.68,38.23,-29.36,37.93,"PresidentsCupInternational",2006
86,88,"Nozomi Kawahara",50,0.68,33.93,-26,28.88,"PresidentsCupInternational",2006
87,86,"Yeh Weitze",55,0.68,37.28,-23.43,35.53,"PresidentsCupInternational",2006
88,84,"Yusaku Miyazato",54,0.67,36.32,-15.52,32.36,"PresidentsCupInternational",2006
89,89,"Keng Chi Lin",67,0.67,44.78,-29.1,27.25,"PresidentsCupInternational",2006
90,85,"Yasuharu Imano",56,0.65,36.27,-47.48,3.45,"PresidentsCupInternational",2006
91,93,"Paul Gow",60,0.65,38.84,-20.1,37.11,"PresidentsCupInternational",2006
92,91,"Arjun Atwal",57,0.65,36.85,-44.71,29.86,"PresidentsCupInternational",2006
93,92,"Ryoken Kawagishi",56,0.64,35.94,-50.69,19.3,"PresidentsCupInternational",2006
94,90,"Warren Abery",40,0.64,25.52,-17.65,30.43,"PresidentsCupInternational",2006
95,94,"Brendan Jones",54,0.64,34.37,-37.2,34.15,"PresidentsCupInternational",2006
96,95,"Ryuichi Oda",53,0.62,32.98,-24.24,22.34,"PresidentsCupInternational",2006
97,96,"Tatsuhiko Takahashi",51,0.61,31.28,-16.71,21.82,"PresidentsCupInternational",2006
98,101,"Chawalit Plaphol",62,0.61,37.84,-30.23,30.04,"PresidentsCupInternational",2006
99,108,"Bradford Vaughan",40,0.61,24.25,-10.12,15.53,"PresidentsCupInternational",2006
100,98,"Felipe Aguilar",40,0.6,24.09,-2.88,26.96,"PresidentsCupInternational",2006
101,99,"Michael Sim",40,0.6,24,-4.53,28.53,"PresidentsCupInternational",2006
102,100,"Toru Suzuki",52,0.58,30.16,-31.92,22,"PresidentsCupInternational",2006
103,102,"I J Jang",46,0.57,26.32,-19.74,15.3,"PresidentsCupInternational",2006
104,103,"Anton Haig",40,0.57,22.72,-5.67,25.57,"PresidentsCupInternational",2006
105,97,"Cesar Monasterio",48,0.57,27.25,-12.54,31.75,"PresidentsCupInternational",2006
106,104,"Toshi Izawa",51,0.55,28.28,-40.95,8.95,"PresidentsCupInternational",2006
107,106,"Terry Pilkadaris",52,0.54,28.24,-32.11,23.95,"PresidentsCupInternational",2006
108,110,"Yoshikazu Haku",48,0.54,26.04,-6.69,23.18,"PresidentsCupInternational",2006
109,107,"Rahil Gangjee",41,0.54,22.13,-4.52,23.8,"PresidentsCupInternational",2006
110,109,"Brenden Pappas",46,0.53,24.57,-21.49,27.86,"PresidentsCupInternational",2006
111,112,"Nick Price",40,0.53,21.2,-38.91,11.39,"PresidentsCupInternational",2006
112,114,"Jose Coceres",40,0.53,21.03,-23.87,21.48,"PresidentsCupInternational",2006
113,115,"Steven Conran",47,0.53,24.69,-45.48,9.51,"PresidentsCupInternational",2006
114,111,"Jarrod Moseley",40,0.52,20.73,-10.76,16.81,"PresidentsCupInternational",2006
115,117,"Wayne Perske",40,0.51,20.36,-7.18,25.43,"PresidentsCupInternational",2006
116,120,"Dinesh Chand",54,0.5,27.08,-40.89,4.34,"PresidentsCupInternational",2006
117,118,"Jim Rutledge",53,0.5,26.5,-11.54,37.07,"PresidentsCupInternational",2006
