"DistancetoApex_RANKTHISWEEK_2013","DistancetoApex_RANKLASTWEEK_2013","DistancetoApex_PLAYERNAME_2013","DistancetoApex_ROUNDS_2013","DistancetoApex_AVG_2013","DistancetoApex_TOTALAPEXRANGE_2013","DistancetoApex_TOTALATTEMPTS_2013","DistancetoApex_LONGESTDISTTOAPEX_2013","DistancetoApex_SHORTESTDISTTOAPEX_2013","stat_name","year"
1,1,"Charlie Beljan",62,206.4,8464.2,41,217.4,174.8,"DistancetoApex",2013
2,2,"Nicolas Colsaerts",50,202.1,6466.4,32,216.7,179.9,"DistancetoApex",2013
3,3,"Bubba Watson",76,201.3,9056.4,45,222.9,155.8,"DistancetoApex",2013
4,4,"Jason Day",86,201.1,8645.9,43,214,171.8,"DistancetoApex",2013
5,5,"Graham DeLaet",94,200.9,13461.2,67,212.6,185,"DistancetoApex",2013
6,6,"Nick Watney",88,200.2,13615,68,212.4,187.5,"DistancetoApex",2013
7,7,"Rory McIlroy",56,199.9,6595.6,33,213.7,174.4,"DistancetoApex",2013
8,8,"Eric Meierdierks",48,199.7,6389.8,32,211.2,169.9,"DistancetoApex",2013
9,9,"Gary Woodland",94,198.9,10142.8,51,211.1,179.2,"DistancetoApex",2013
10,10,"Dustin Johnson",71,198.7,7151.9,36,212,168.2,"DistancetoApex",2013
11,11,"Henrik Stenson",65,197.8,4549.9,23,213.9,171.6,"DistancetoApex",2013
12,12,"Seung Yul Noh",71,197.7,11269.6,57,208.8,180.2,"DistancetoApex",2013
13,13,"Sergio Garcia",65,197.4,6907.6,35,210.1,150.6,"DistancetoApex",2013
13,13,"Kyle Stanley",71,197.4,10262.6,52,212.4,171.6,"DistancetoApex",2013
15,15,"Angel Cabrera",73,197.3,10456.5,53,209.3,178.1,"DistancetoApex",2013
16,16,"Luke List",65,197.1,8477.2,43,213.9,172.1,"DistancetoApex",2013
17,17,"Scott Stallings",79,197,11623.6,59,207.6,172.9,"DistancetoApex",2013
