"FirstTeeLatePar5ScoringAverage_RANKTHISWEEK_2015","FirstTeeLatePar5ScoringAverage_RANKLASTWEEK_2015","FirstTeeLatePar5ScoringAverage_PLAYERNAME_2015","FirstTeeLatePar5ScoringAverage_ROUNDS_2015","FirstTeeLatePar5ScoringAverage_AVG_2015","FirstTeeLatePar5ScoringAverage_TOTALSTROKES_2015","FirstTeeLatePar5ScoringAverage_TOTALHOLES_2015","stat_name","year"
1,1,"Bubba Watson",71,4.38,574,131,"FirstTeeLatePar5ScoringAverage",2015
2,2,"Boo Weekley",79,4.41,357,81,"FirstTeeLatePar5ScoringAverage",2015
3,3,"Justin Thomas",106,4.47,661,148,"FirstTeeLatePar5ScoringAverage",2015
4,4,"Scott Brown",97,4.48,309,69,"FirstTeeLatePar5ScoringAverage",2015
4,4,"Webb Simpson",81,4.48,390,87,"FirstTeeLatePar5ScoringAverage",2015
6,6,"Brooks Koepka",84,4.49,539,120,"FirstTeeLatePar5ScoringAverage",2015
6,6,"Phil Mickelson",70,4.49,462,103,"FirstTeeLatePar5ScoringAverage",2015
6,6,"Justin Rose",69,4.49,539,120,"FirstTeeLatePar5ScoringAverage",2015
9,9,"DA Points",72,4.52,95,21,"FirstTeeLatePar5ScoringAverage",2015
10,10,"Dustin Johnson",75,4.53,535,118,"FirstTeeLatePar5ScoringAverage",2015
10,10,"Kevin Kisner",104,4.53,498,110,"FirstTeeLatePar5ScoringAverage",2015
10,10,"Vijay Singh",78,4.53,263,58,"FirstTeeLatePar5ScoringAverage",2015
13,13,"Steven Alker",62,4.54,227,50,"FirstTeeLatePar5ScoringAverage",2015
13,13,"Graham DeLaet",65,4.54,313,69,"FirstTeeLatePar5ScoringAverage",2015
13,13,"Ken Duke",93,4.54,236,52,"FirstTeeLatePar5ScoringAverage",2015
13,13,"Carlos Ortiz",100,4.54,445,98,"FirstTeeLatePar5ScoringAverage",2015
13,13,"Charl Schwartzel",67,4.54,318,70,"FirstTeeLatePar5ScoringAverage",2015
13,13,"Adam Scott",51,4.54,381,84,"FirstTeeLatePar5ScoringAverage",2015
13,13,"Brandt Snedeker",98,4.54,540,119,"FirstTeeLatePar5ScoringAverage",2015
20,20,"Jamie Donaldson",50,4.55,173,38,"FirstTeeLatePar5ScoringAverage",2015
20,20,"Rickie Fowler",76,4.55,519,114,"FirstTeeLatePar5ScoringAverage",2015
20,20,"Scott Langley",94,4.55,282,62,"FirstTeeLatePar5ScoringAverage",2015
20,20,"Jimmy Walker",89,4.55,523,115,"FirstTeeLatePar5ScoringAverage",2015
24,24,"Aaron Baddeley",76,4.56,219,48,"FirstTeeLatePar5ScoringAverage",2015
24,24,"John Senden",80,4.56,283,62,"FirstTeeLatePar5ScoringAverage",2015
24,24,"Shawn Stefani",94,4.56,388,85,"FirstTeeLatePar5ScoringAverage",2015
27,27,"Michael Thompson",83,4.57,306,67,"FirstTeeLatePar5ScoringAverage",2015
28,28,"Greg Chalmers",58,4.58,174,38,"FirstTeeLatePar5ScoringAverage",2015
28,28,"Stewart Cink",77,4.58,307,67,"FirstTeeLatePar5ScoringAverage",2015
