"DrivingDistance_RANKTHISWEEK_2010","DrivingDistance_RANKLASTWEEK_2010","DrivingDistance_PLAYERNAME_2010","DrivingDistance_ROUNDS_2010","DrivingDistance_AVG_2010","DrivingDistance_TOTALDISTANCE_2010","DrivingDistance_TOTALDRIVES_2010","stat_name","year"
1,1,"Robert Garrigus",71,315.5,41009,130,"DrivingDistance",2010
2,2,"Bubba Watson",77,309.8,47703,154,"DrivingDistance",2010
3,3,"Dustin Johnson",83,308.5,50588,164,"DrivingDistance",2010
4,4,"Brett Wetterich",54,307.3,33187,108,"DrivingDistance",2010
5,5,"JB Holmes",100,307.2,61437,200,"DrivingDistance",2010
6,6,"John Daly",63,305.7,33623,110,"DrivingDistance",2010
6,6,"Graham DeLaet",88,305.7,50142,164,"DrivingDistance",2010
8,8,"Angel Cabrera",64,304.5,38362,126,"DrivingDistance",2010
9,9,"Charles Warren",64,302.5,35089,116,"DrivingDistance",2010
10,10,"DJ Trahan",92,301.1,55411,184,"DrivingDistance",2010
11,11,"Martin Flores",75,300.7,42705,142,"DrivingDistance",2010
12,12,"Rory McIlroy",54,300,31201,104,"DrivingDistance",2010
13,13,"Phil Mickelson",76,299.1,45459,152,"DrivingDistance",2010
14,14,"Aaron Baddeley",94,298.9,56202,188,"DrivingDistance",2010
15,15,"Jason Day",82,298.2,48901,164,"DrivingDistance",2010
15,15,"Charley Hoffman",85,298.2,49509,166,"DrivingDistance",2010
17,17,"Davis Love III",79,297.7,47042,158,"DrivingDistance",2010
18,18,"Jeff Overton",89,297.3,50543,170,"DrivingDistance",2010
19,19,"Scott Piercy",88,296.8,52242,176,"DrivingDistance",2010
20,20,"Martin Laird",91,296.5,53669,181,"DrivingDistance",2010
20,20,"Nick Watney",91,296.5,51883,175,"DrivingDistance",2010
22,22,"Troy Matteson",84,296.3,49774,168,"DrivingDistance",2010
23,23,"Jarrod Lyle",54,296.2,27253,92,"DrivingDistance",2010
24,24,"Andres Romero",73,296,43223,146,"DrivingDistance",2010
25,25,"Daniel Chopra",74,295.9,43800,148,"DrivingDistance",2010
26,26,"Ryan Palmer",84,295.8,49702,168,"DrivingDistance",2010
27,27,"Lucas Glover",75,295.7,43764,148,"DrivingDistance",2010
27,27,"Alex Prugh",88,295.7,50856,172,"DrivingDistance",2010
29,29,"Garth Mulroy",53,295.6,28967,98,"DrivingDistance",2010
30,30,"John Rollins",81,295.5,47863,162,"DrivingDistance",2010
31,31,"Marc Leishman",87,295,51331,174,"DrivingDistance",2010
32,32,"Cameron Tringale",55,294.5,28864,98,"DrivingDistance",2010
33,33,"Adam Scott",70,294.4,40045,136,"DrivingDistance",2010
34,34,"Charles Howell III",103,294.3,58274,198,"DrivingDistance",2010
35,35,"Paul Casey",64,294.2,34125,116,"DrivingDistance",2010
36,36,"Matt Bettencourt",91,294,48798,166,"DrivingDistance",2010
36,36,"Derek Lamely",81,294,44101,150,"DrivingDistance",2010
36,36,"Cameron Percy",73,294,39980,136,"DrivingDistance",2010
39,39,"James Driscoll",78,293.9,45843,156,"DrivingDistance",2010
40,40,"Mathias Gronberg",61,293.7,32311,110,"DrivingDistance",2010
41,41,"George McNeill",79,293.4,46352,158,"DrivingDistance",2010
42,42,"Bill Haas",87,293.3,51026,174,"DrivingDistance",2010
42,42,"Matt Jones",89,293.3,52199,178,"DrivingDistance",2010
44,44,"Josh Teater",101,293.1,58031,198,"DrivingDistance",2010
45,45,"Jimmy Walker",82,292.9,45686,156,"DrivingDistance",2010
46,46,"JJ Henry",92,292.8,49190,168,"DrivingDistance",2010
47,47,"Rickie Fowler",98,292.7,57363,196,"DrivingDistance",2010
47,47,"Sergio Garcia",58,292.7,30438,104,"DrivingDistance",2010
49,49,"Stewart Cink",84,292.4,46786,160,"DrivingDistance",2010
49,49,"Chris Couch",66,292.4,38592,132,"DrivingDistance",2010
51,51,"Vijay Singh",75,292.3,43267,148,"DrivingDistance",2010
52,52,"Padraig Harrington",57,292.1,32715,112,"DrivingDistance",2010
53,53,"Roger Tambellini",77,292,40293,138,"DrivingDistance",2010
53,53,"Bo Van Pelt",104,292,60731,208,"DrivingDistance",2010
55,55,"David Lutterus",69,291.9,36781,126,"DrivingDistance",2010
55,55,"Boo Weekley",88,291.9,46700,160,"DrivingDistance",2010
57,57,"Hunter Mahan",85,291.8,49029,168,"DrivingDistance",2010
58,58,"Tim Herron",79,291.7,42591,146,"DrivingDistance",2010
58,58,"Chris Wilson",65,291.7,34421,118,"DrivingDistance",2010
60,60,"Retief Goosen",75,291.4,41383,142,"DrivingDistance",2010
60,60,"John Merrick",109,291.4,58862,202,"DrivingDistance",2010
60,60,"Greg Owen",69,291.4,40218,138,"DrivingDistance",2010
63,63,"Blake Adams",84,291.3,47781,164,"DrivingDistance",2010
64,64,"Jonathan Byrd",85,290.9,49461,170,"DrivingDistance",2010
64,64,"Matt Every",60,290.9,33750,116,"DrivingDistance",2010
66,66,"Will Ma Kenzie",72,290.8,41868,144,"DrivingDistance",2010
66,66,"Ted Purdy",86,290.8,47685,164,"DrivingDistance",2010
68,68,"Steve Marino",81,290.6,47079,162,"DrivingDistance",2010
68,68,"Kenny Perry",69,290.6,39522,136,"DrivingDistance",2010
70,70,"Paul Stankowski",62,290.3,31354,108,"DrivingDistance",2010
70,70,"Kevin Streelman",90,290.3,49933,172,"DrivingDistance",2010
72,72,"John Senden",103,290.2,59781,206,"DrivingDistance",2010
72,72,"Kevin Stadler",86,290.2,45264,156,"DrivingDistance",2010
74,74,"Andrew McLardy",52,289.9,27835,96,"DrivingDistance",2010
75,75,"Michael Letzig",84,289.7,48665,168,"DrivingDistance",2010
75,75,"Ryan Moore",80,289.7,45476,157,"DrivingDistance",2010
