"FinalRoundScoringAverage_RANKTHISWEEK_2006","FinalRoundScoringAverage_RANKLASTWEEK_2006","FinalRoundScoringAverage_PLAYERNAME_2006","FinalRoundScoringAverage__2006","FinalRoundScoringAverage_AVG_2006","FinalRoundScoringAverage_TOTALSTROKES_2006","FinalRoundScoringAverage_TOTALROUNDS_2006","stat_name","year"
1,NA,"Tiger Woods",NA,68.75,825,12,"FinalRoundScoringAverage",2006
2,NA,"Steve Stricker",NA,69.27,1039,15,"FinalRoundScoringAverage",2006
3,NA,"Omar Uresti",NA,69.5,556,8,"FinalRoundScoringAverage",2006
4,NA,"Jim Furyk",NA,69.71,1464,21,"FinalRoundScoringAverage",2006
5,NA,"Stewart Cink",NA,69.8,1396,20,"FinalRoundScoringAverage",2006
6,NA,"Brett Quigley",NA,69.95,1399,20,"FinalRoundScoringAverage",2006
7,NA,"Eric Axley",NA,70,1120,16,"FinalRoundScoringAverage",2006
8,NA,"Paul Azinger",NA,70.06,1121,16,"FinalRoundScoringAverage",2006
8,NA,"Kent Jones",NA,70.06,1261,18,"FinalRoundScoringAverage",2006
10,NA,"Luke Donald",NA,70.13,1052,15,"FinalRoundScoringAverage",2006
10,NA,"Adam Scott",NA,70.13,1122,16,"FinalRoundScoringAverage",2006
12,NA,"Bob May",NA,70.18,772,11,"FinalRoundScoringAverage",2006
13,NA,"Frank Lickliter II",NA,70.21,1334,19,"FinalRoundScoringAverage",2006
14,NA,"Brett Wetterich",NA,70.25,1124,16,"FinalRoundScoringAverage",2006
15,NA,"Brian Gay",NA,70.27,1546,22,"FinalRoundScoringAverage",2006
16,NA,"Shigeki Maruyama",NA,70.28,1265,18,"FinalRoundScoringAverage",2006
17,NA,"Ryuji Imada",NA,70.29,1476,21,"FinalRoundScoringAverage",2006
17,NA,"Jesper Parnevik",NA,70.29,1195,17,"FinalRoundScoringAverage",2006
19,NA,"Tom Pernice Jr",NA,70.32,1336,19,"FinalRoundScoringAverage",2006
20,NA,"Jonathan Byrd",NA,70.33,844,12,"FinalRoundScoringAverage",2006
20,NA,"Billy Mayfair",NA,70.33,1266,18,"FinalRoundScoringAverage",2006
20,NA,"Jimmy Walker",NA,70.33,633,9,"FinalRoundScoringAverage",2006
