"OfficialWorldGolfRanking_RANKTHISWEEK_2009","OfficialWorldGolfRanking_RANKLASTWEEK_2009","OfficialWorldGolfRanking_PLAYERNAME_2009","OfficialWorldGolfRanking_EVENTS_2009","OfficialWorldGolfRanking_AVGPOINTS_2009","OfficialWorldGolfRanking_TOTALPOINTS_2009","OfficialWorldGolfRanking_POINTSLOST_2009","OfficialWorldGolfRanking_POINTSGAINED_2009","OfficialWorldGolfRanking_COUNTRY_2009","stat_name","year"
1,NA,"Tiger Woods",40,15.2,607.85,-475.4,604.54,NA,"OfficialWorldGolfRanking",2009
2,NA,"Phil Mickelson",44,8.54,375.85,-335.82,367.29,NA,"OfficialWorldGolfRanking",2009
3,NA,"Steve Stricker",45,6.89,310.02,-197.67,333.56,NA,"OfficialWorldGolfRanking",2009
4,NA,"Lee Westwood",52,6.76,351.73,-203.36,299.54,NA,"OfficialWorldGolfRanking",2009
5,NA,"Padraig Harrington",53,5.75,304.76,-264.69,215.02,NA,"OfficialWorldGolfRanking",2009
6,NA,"Jim Furyk",50,5.7,285.03,-190.74,265.05,NA,"OfficialWorldGolfRanking",2009
7,NA,"Paul Casey",44,5.55,244.05,-161.89,282.86,NA,"OfficialWorldGolfRanking",2009
8,NA,"Henrik Stenson",47,5.54,260.48,-216.84,234.25,NA,"OfficialWorldGolfRanking",2009
9,NA,"Rory McIlroy",57,4.97,283.19,-102.9,283.06,NA,"OfficialWorldGolfRanking",2009
10,NA,"Kenny Perry",52,4.91,255.3,-190.18,247.21,NA,"OfficialWorldGolfRanking",2009
11,NA,"Sergio Garcia",52,4.88,253.77,-290.52,122.94,NA,"OfficialWorldGolfRanking",2009
12,NA,"Ian Poulter",51,4.75,242.13,-151.37,226.68,NA,"OfficialWorldGolfRanking",2009
13,NA,"Martin Kaymer",52,4.64,241.34,-155.73,225.58,NA,"OfficialWorldGolfRanking",2009
14,NA,"Geoff Ogilvy",50,4.63,231.4,-210.03,228.29,NA,"OfficialWorldGolfRanking",2009
15,NA,"Stewart Cink",47,4.38,205.74,-175.55,192.59,NA,"OfficialWorldGolfRanking",2009
16,NA,"Sean OHair",50,4.36,218.22,-137.76,241.54,NA,"OfficialWorldGolfRanking",2009
17,NA,"Ernie Els",53,4.27,226.1,-221.08,189.91,NA,"OfficialWorldGolfRanking",2009
18,NA,"Ross Fisher",51,4.14,211.36,-128.22,188.34,NA,"OfficialWorldGolfRanking",2009
19,NA,"Retief Goosen",58,4.06,235.53,-135.32,239.1,NA,"OfficialWorldGolfRanking",2009
20,NA,"Lucas Glover",53,3.95,209.52,-78.96,234.68,NA,"OfficialWorldGolfRanking",2009
21,NA,"Robert Allenby",60,3.95,237.01,-145.9,196.2,NA,"OfficialWorldGolfRanking",2009
22,NA,"Zach Johnson",52,3.75,194.84,-133.57,214.36,NA,"OfficialWorldGolfRanking",2009
23,NA,"Camilo Villegas",52,3.66,190.37,-182.4,128.01,NA,"OfficialWorldGolfRanking",2009
24,NA,"Anthony Kim",52,3.65,190.01,-174.74,137.91,NA,"OfficialWorldGolfRanking",2009
25,NA,"Angel Cabrera",50,3.6,179.92,-141.04,195.39,NA,"OfficialWorldGolfRanking",2009
26,NA,"Vijay Singh",46,3.5,161.14,-271.79,67.42,NA,"OfficialWorldGolfRanking",2009
27,NA,"Robert Karlsson",42,3.29,138.35,-186.48,55.22,NA,"OfficialWorldGolfRanking",2009
28,NA,"Luke Donald",42,3.22,135.04,-119.53,139.23,NA,"OfficialWorldGolfRanking",2009
29,NA,"Hunter Mahan",53,3.18,168.56,-130.96,165.09,NA,"OfficialWorldGolfRanking",2009
30,NA,"Ryo Ishikawa",54,3.1,167.36,-48.67,133.13,NA,"OfficialWorldGolfRanking",2009
31,NA,"YE Yang",59,3.07,181.15,-40.41,203.03,NA,"OfficialWorldGolfRanking",2009
32,NA,"Nick Watney",54,3.02,163.01,-81.81,197.43,NA,"OfficialWorldGolfRanking",2009
33,NA,"Yuta Ikeda",40,2.91,116.43,-15.58,114.15,NA,"OfficialWorldGolfRanking",2009
34,NA,"Adam Scott",47,2.86,134.49,-155.24,118.58,NA,"OfficialWorldGolfRanking",2009
35,NA,"Soren Kjeldsen",54,2.8,151.42,-109.14,128.67,NA,"OfficialWorldGolfRanking",2009
