"PuttingfromInside5_RANKTHISWEEK_2012","PuttingfromInside5_RANKLASTWEEK_2012","PuttingfromInside5_PLAYERNAME_2012","PuttingfromInside5_ROUNDS_2012","PuttingfromInside5_Pct_2012","PuttingfromInside5_ATTEMPTS_2012","PuttingfromInside5_PUTTSMADE_2012","stat_name","year"
1,1,"Sergio Garcia",57,98.51,606,597,"PuttingfromInside5",2012
2,2,"Louis Oosthuizen",65,98.43,699,688,"PuttingfromInside5",2012
3,3,"Jim Furyk",85,98.38,924,909,"PuttingfromInside5",2012
4,4,"Ian Poulter",57,98.33,538,529,"PuttingfromInside5",2012
5,5,"Bo Van Pelt",84,98.28,870,855,"PuttingfromInside5",2012
6,6,"Luke Donald",63,97.87,657,643,"PuttingfromInside5",2012
6,6,"Brian Gay",91,97.87,1080,1057,"PuttingfromInside5",2012
8,8,"Gavin Coles",72,97.84,786,769,"PuttingfromInside5",2012
9,9,"Greg Chalmers",88,97.78,1038,1015,"PuttingfromInside5",2012
10,10,"William McGirt",96,97.76,1115,1090,"PuttingfromInside5",2012
11,11,"Martin Laird",77,97.73,749,732,"PuttingfromInside5",2012
12,12,"Brandt Snedeker",81,97.6,876,855,"PuttingfromInside5",2012
13,13,"Jonas Blixt",72,97.58,867,846,"PuttingfromInside5",2012
14,14,"Geoff Ogilvy",73,97.56,780,761,"PuttingfromInside5",2012
15,15,"Jason Day",57,97.53,648,632,"PuttingfromInside5",2012
16,16,"Richard Lee",71,97.52,807,787,"PuttingfromInside5",2012
17,17,"Carl Pettersson",92,97.49,1115,1087,"PuttingfromInside5",2012
18,18,"Johnson Wagner",88,97.41,1044,1017,"PuttingfromInside5",2012
19,19,"David Hearn",95,97.39,1224,1192,"PuttingfromInside5",2012
19,19,"Steve Stricker",73,97.39,767,747,"PuttingfromInside5",2012
19,19,"Jimmy Walker",101,97.39,1263,1230,"PuttingfromInside5",2012
22,22,"Ben Curtis",62,97.32,672,654,"PuttingfromInside5",2012
23,23,"Ryan Palmer",81,97.25,981,954,"PuttingfromInside5",2012
24,24,"Billy Hurley III",70,97.23,793,771,"PuttingfromInside5",2012
24,24,"Phil Mickelson",79,97.23,830,807,"PuttingfromInside5",2012
26,26,"Ryo Ishikawa",54,97.21,537,522,"PuttingfromInside5",2012
26,26,"Matt Kuchar",86,97.21,932,906,"PuttingfromInside5",2012
28,28,"Edward Loar",59,97.2,608,591,"PuttingfromInside5",2012
