"OnePuttPercentage_RANKTHISWEEK_2009","OnePuttPercentage_RANKLASTWEEK_2009","OnePuttPercentage_PLAYERNAME_2009","OnePuttPercentage_ROUNDS_2009","OnePuttPercentage_Pct_2009","OnePuttPercentage_OF1PUTTS_2009","OnePuttPercentage_OFHOLES_2009","stat_name","year"
1,1,"Aaron Baddeley",66,43.93,514,1170,"OnePuttPercentage",2009
2,2,"Parker McLachlin",71,43.9,561,1278,"OnePuttPercentage",2009
3,3,"Luke Donald",79,43.86,600,1368,"OnePuttPercentage",2009
4,4,"Webb Simpson",94,43.85,742,1692,"OnePuttPercentage",2009
5,5,"Brad Faxon",59,43.79,465,1062,"OnePuttPercentage",2009
5,5,"Joe Ogilvie",85,43.79,670,1530,"OnePuttPercentage",2009
7,7,"Matt Kuchar",82,42.89,633,1476,"OnePuttPercentage",2009
8,8,"Mike Weir",85,42.79,647,1512,"OnePuttPercentage",2009
9,9,"Anthony Kim",76,42.49,566,1332,"OnePuttPercentage",2009
10,10,"Padraig Harrington",66,42.48,497,1170,"OnePuttPercentage",2009
11,11,"Daniel Chopra",89,42.38,679,1602,"OnePuttPercentage",2009
12,12,"Pat Perez",74,42.36,549,1296,"OnePuttPercentage",2009
13,13,"Ian Poulter",59,42.26,426,1008,"OnePuttPercentage",2009
14,14,"Ryuji Imada",85,42.16,645,1530,"OnePuttPercentage",2009
15,15,"Steve Stricker",81,42.12,599,1422,"OnePuttPercentage",2009
16,16,"Tim Clark",81,41.74,586,1404,"OnePuttPercentage",2009
17,17,"Tiger Woods",64,41.58,464,1116,"OnePuttPercentage",2009
18,18,"Ben Crane",93,41.46,694,1674,"OnePuttPercentage",2009
19,19,"Brian Gay",96,41.38,715,1728,"OnePuttPercentage",2009
20,20,"Bob Estes",78,41.31,580,1404,"OnePuttPercentage",2009
21,21,"Jim Furyk",86,41.16,615,1494,"OnePuttPercentage",2009
22,22,"Retief Goosen",74,41.1,540,1314,"OnePuttPercentage",2009
23,23,"Charlie Wi",92,41,679,1656,"OnePuttPercentage",2009
24,24,"Matt Bettencourt",98,40.82,720,1764,"OnePuttPercentage",2009
24,24,"Geoff Ogilvy",78,40.82,529,1296,"OnePuttPercentage",2009
26,26,"Kevin Na",91,40.72,667,1638,"OnePuttPercentage",2009
27,27,"Tom Pernice Jr",82,40.65,600,1476,"OnePuttPercentage",2009
28,28,"Stephen Ames",77,40.59,548,1350,"OnePuttPercentage",2009
