"TenthTeeEarlyRound1ScoringAverage_RANKTHISWEEK_2010","TenthTeeEarlyRound1ScoringAverage_RANKLASTWEEK_2010","TenthTeeEarlyRound1ScoringAverage_PLAYERNAME_2010","TenthTeeEarlyRound1ScoringAverage__2010","TenthTeeEarlyRound1ScoringAverage_AVG_2010","TenthTeeEarlyRound1ScoringAverage_TOTALSTROKES_2010","TenthTeeEarlyRound1ScoringAverage_TOTALROUNDS_2010","stat_name","year"
1,1,"Jason Day",NA,66.5,266,4,"TenthTeeEarlyRound1ScoringAverage",2010
2,2,"Mike Weir",NA,67,201,3,"TenthTeeEarlyRound1ScoringAverage",2010
3,3,"Ryuji Imada",NA,67.2,336,5,"TenthTeeEarlyRound1ScoringAverage",2010
4,4,"John Senden",NA,67.5,135,2,"TenthTeeEarlyRound1ScoringAverage",2010
5,5,"Matt Jones",NA,68,136,2,"TenthTeeEarlyRound1ScoringAverage",2010
5,5,"Bubba Watson",NA,68,204,3,"TenthTeeEarlyRound1ScoringAverage",2010
7,7,"Mathias Gronberg",NA,68.2,341,5,"TenthTeeEarlyRound1ScoringAverage",2010
7,7,"Steve Stricker",NA,68.2,341,5,"TenthTeeEarlyRound1ScoringAverage",2010
9,9,"Matt Kuchar",NA,68.22,614,9,"TenthTeeEarlyRound1ScoringAverage",2010
10,10,"Jeff Overton",NA,68.25,273,4,"TenthTeeEarlyRound1ScoringAverage",2010
10,10,"Rory Sabbatini",NA,68.25,273,4,"TenthTeeEarlyRound1ScoringAverage",2010
12,12,"Tim Clark",NA,68.33,205,3,"TenthTeeEarlyRound1ScoringAverage",2010
12,12,"Zach Johnson",NA,68.33,205,3,"TenthTeeEarlyRound1ScoringAverage",2010
14,14,"James Driscoll",NA,68.5,274,4,"TenthTeeEarlyRound1ScoringAverage",2010
14,14,"Ryan Moore",NA,68.5,274,4,"TenthTeeEarlyRound1ScoringAverage",2010
14,14,"Justin Rose",NA,68.5,411,6,"TenthTeeEarlyRound1ScoringAverage",2010
17,17,"Garrett Willis",NA,68.57,480,7,"TenthTeeEarlyRound1ScoringAverage",2010
18,18,"Paul Goydos",NA,68.71,481,7,"TenthTeeEarlyRound1ScoringAverage",2010
19,19,"Freddie Jacobson",NA,68.75,275,4,"TenthTeeEarlyRound1ScoringAverage",2010
20,20,"Ricky Barnes",NA,68.86,482,7,"TenthTeeEarlyRound1ScoringAverage",2010
21,21,"Chris DiMarco",NA,69,276,4,"TenthTeeEarlyRound1ScoringAverage",2010
21,21,"Robert Garrigus",NA,69,483,7,"TenthTeeEarlyRound1ScoringAverage",2010
21,21,"Dustin Johnson",NA,69,207,3,"TenthTeeEarlyRound1ScoringAverage",2010
21,21,"Tom Pernice Jr",NA,69,345,5,"TenthTeeEarlyRound1ScoringAverage",2010
25,25,"Charles Howell III",NA,69.13,553,8,"TenthTeeEarlyRound1ScoringAverage",2010
25,25,"Heath Slocum",NA,69.13,553,8,"TenthTeeEarlyRound1ScoringAverage",2010
27,27,"Charley Hoffman",NA,69.17,415,6,"TenthTeeEarlyRound1ScoringAverage",2010
27,27,"Vijay Singh",NA,69.17,415,6,"TenthTeeEarlyRound1ScoringAverage",2010
29,29,"Chris Couch",NA,69.25,277,4,"TenthTeeEarlyRound1ScoringAverage",2010
29,29,"John Merrick",NA,69.25,554,8,"TenthTeeEarlyRound1ScoringAverage",2010
29,29,"Paul Stankowski",NA,69.25,277,4,"TenthTeeEarlyRound1ScoringAverage",2010
32,32,"DJ Trahan",NA,69.29,485,7,"TenthTeeEarlyRound1ScoringAverage",2010
33,33,"Martin Laird",NA,69.33,416,6,"TenthTeeEarlyRound1ScoringAverage",2010
33,33,"Jarrod Lyle",NA,69.33,416,6,"TenthTeeEarlyRound1ScoringAverage",2010
33,33,"Cameron Percy",NA,69.33,416,6,"TenthTeeEarlyRound1ScoringAverage",2010
36,36,"Brent Delahoussaye",NA,69.5,417,6,"TenthTeeEarlyRound1ScoringAverage",2010
36,36,"Jim Furyk",NA,69.5,556,8,"TenthTeeEarlyRound1ScoringAverage",2010
36,36,"Chris Tidland",NA,69.5,417,6,"TenthTeeEarlyRound1ScoringAverage",2010
39,39,"Woody Austin",NA,69.67,627,9,"TenthTeeEarlyRound1ScoringAverage",2010
39,39,"Michael Connell",NA,69.67,418,6,"TenthTeeEarlyRound1ScoringAverage",2010
39,39,"Matt Every",NA,69.67,418,6,"TenthTeeEarlyRound1ScoringAverage",2010
39,39,"Phil Mickelson",NA,69.67,418,6,"TenthTeeEarlyRound1ScoringAverage",2010
43,43,"Ryan Palmer",NA,69.75,558,8,"TenthTeeEarlyRound1ScoringAverage",2010
44,44,"Brendon de Jonge",NA,69.78,628,9,"TenthTeeEarlyRound1ScoringAverage",2010
45,45,"KJ Choi",NA,69.8,349,5,"TenthTeeEarlyRound1ScoringAverage",2010
46,46,"Scott McCarron",NA,69.83,419,6,"TenthTeeEarlyRound1ScoringAverage",2010
