"CarryDistance_RANKTHISWEEK_2010","CarryDistance_RANKLASTWEEK_2010","CarryDistance_PLAYERNAME_2010","CarryDistance_ROUNDS_2010","CarryDistance_AVG_2010","CarryDistance_TOTALDISTTOIMPACT_2010","CarryDistance_TOTALATTEMPTS_2010","CarryDistance_LONGESTCARRYDISTANCE_2010","CarryDistance_SHORTESTCARRYDISTANCE_2010","stat_name","year"
1,1,"JB Holmes",100,302.2,19036.9,63,342.2,256.9,"CarryDistance",2010
2,2,"Dustin Johnson",83,297.1,16339.3,55,334.2,257.3,"CarryDistance",2010
3,3,"John Daly",63,293.8,7344.6,25,323.4,248.7,"CarryDistance",2010
3,3,"Phil Mickelson",76,293.8,11751.8,40,322.4,216.2,"CarryDistance",2010
5,5,"Graham DeLaet",88,291.8,13129.6,45,325.2,258.9,"CarryDistance",2010
6,6,"Bubba Watson",77,291.7,15170.4,52,335.4,238,"CarryDistance",2010
7,7,"Robert Garrigus",71,291.6,10204.3,35,323.2,264.2,"CarryDistance",2010
8,8,"Paul Casey",64,290.4,8712.2,30,313.5,263.8,"CarryDistance",2010
9,9,"Angel Cabrera",64,289.1,13010,45,343.4,205.5,"CarryDistance",2010
10,10,"Andres Romero",73,287.6,16679.7,58,319.3,235.6,"CarryDistance",2010
11,11,"Troy Matteson",84,286.7,19209.1,67,323.6,228.6,"CarryDistance",2010
12,12,"Aaron Baddeley",94,286.6,18913.9,66,314.7,240.3,"CarryDistance",2010
13,13,"Scott Piercy",88,284.8,15664.3,55,316.5,247.6,"CarryDistance",2010
14,14,"Rory McIlroy",54,284.7,11386.8,40,324.3,225.3,"CarryDistance",2010
15,15,"Derek Lamely",81,284.5,13940.4,49,315.6,256.1,"CarryDistance",2010
16,16,"Davis Love III",79,284.1,15340.1,54,313.3,236.5,"CarryDistance",2010
17,17,"Martin Flores",75,284,13917.6,49,310.1,231,"CarryDistance",2010
18,18,"Jason Day",82,283.7,16455.7,58,316,228.7,"CarryDistance",2010
19,19,"Charles Warren",64,283.2,11045.7,39,303.8,260.3,"CarryDistance",2010
20,20,"Brett Wetterich",54,282.8,10180.3,36,317.4,252.1,"CarryDistance",2010
21,21,"Ryan Palmer",84,282.4,17794.2,63,305.8,247.3,"CarryDistance",2010
22,22,"Martin Laird",91,282.2,19469.8,69,333.4,216.6,"CarryDistance",2010
23,23,"Sergio Garcia",58,282,9023,32,307.9,249.4,"CarryDistance",2010
24,24,"Charley Hoffman",85,281.7,19719.1,70,322.8,237.7,"CarryDistance",2010
25,25,"Chris Couch",66,281,10959.9,39,313.2,245.4,"CarryDistance",2010
26,26,"Padraig Harrington",57,280.9,12922.6,46,309.7,240.5,"CarryDistance",2010
26,26,"DJ Trahan",92,280.9,20508.8,73,323.6,253.7,"CarryDistance",2010
28,28,"Jimmy Walker",82,280.4,14021.2,50,326.3,239.9,"CarryDistance",2010
29,29,"Alex Prugh",88,280.1,17924.3,64,307.5,233,"CarryDistance",2010
30,30,"Marc Leishman",87,279.5,18168.5,65,305.3,235.7,"CarryDistance",2010
31,31,"Daniel Chopra",74,279.4,15367.6,55,316.9,232.9,"CarryDistance",2010
31,31,"George McNeill",79,279.4,14809.9,53,319.7,229.2,"CarryDistance",2010
33,33,"Ted Purdy",86,279.3,15641,56,306.1,240.2,"CarryDistance",2010
34,34,"Bo Van Pelt",104,278.6,20340.5,73,310.5,257.3,"CarryDistance",2010
34,34,"Nick Watney",91,278.6,18389.8,66,308,235,"CarryDistance",2010
36,36,"Stewart Cink",84,278.3,16699.2,60,323.7,241.1,"CarryDistance",2010
