"AverageDistanceofBirdieputtsmade_RANKTHISWEEK_2011","AverageDistanceofBirdieputtsmade_RANKLASTWEEK_2011","AverageDistanceofBirdieputtsmade_PLAYERNAME_2011","AverageDistanceofBirdieputtsmade_ROUNDS_2011","AverageDistanceofBirdieputtsmade_AVG_2011","AverageDistanceofBirdieputtsmade_TOTDISTFT_2011","AverageDistanceofBirdieputtsmade_TOTBIRDIEPUTTSMADE_2011","AverageDistanceofBirdieputtsmade_LONGESTMADEFT_2011","AverageDistanceofBirdieputtsmade_SHORTESTMADEFT_2011","stat_name","year"
1,1,"Johnson Wagner",81,NA,2553.917,219,70,NA,"AverageDistanceofBirdieputtsmade",2011
2,2,"Dean Wilson",62,NA,1896.833,166,54,NA,"AverageDistanceofBirdieputtsmade",2011
3,3,"Shaun Micheel",77,NA,2011.167,177,56,NA,"AverageDistanceofBirdieputtsmade",2011
3,3,"Alexandre Rocha",65,NA,1586.75,140,68,NA,"AverageDistanceofBirdieputtsmade",2011
5,5,"Richard Johnson",64,NA,1524.917,136,61,NA,"AverageDistanceofBirdieputtsmade",2011
5,5,"Matt McQuillan",59,NA,1778.333,158,56,NA,"AverageDistanceofBirdieputtsmade",2011
7,7,"David Toms",78,NA,2484.75,222,59,NA,"AverageDistanceofBirdieputtsmade",2011
8,8,"Graeme McDowell",50,NA,1527,138,52,NA,"AverageDistanceofBirdieputtsmade",2011
8,8,"Nick OHern",89,NA,2685.333,243,50,NA,"AverageDistanceofBirdieputtsmade",2011
10,10,"Fabian Gomez",84,NA,2410.25,219,49,NA,"AverageDistanceofBirdieputtsmade",2011
10,10,"Martin Piller",63,NA,1668.583,152,62,NA,"AverageDistanceofBirdieputtsmade",2011
12,12,"Stephen Ames",69,NA,2025.083,185,65,NA,"AverageDistanceofBirdieputtsmade",2011
12,12,"David Duval",67,NA,1956.25,179,46,NA,"AverageDistanceofBirdieputtsmade",2011
12,12,"Steve Marino",76,NA,2501,229,49,NA,"AverageDistanceofBirdieputtsmade",2011
