"Approach200yardsRTPScore_RANKTHISWEEK_2014","Approach200yardsRTPScore_RANKLASTWEEK_2014","Approach200yardsRTPScore_PLAYERNAME_2014","Approach200yardsRTPScore_ROUNDS_2014","Approach200yardsRTPScore_AVGRTP_2014","stat_name","year"
1,1,"Rory McIlroy",66,-0.274,"Approach200yardsRTPScore",2014
2,2,"Dustin Johnson",58,-0.255,"Approach200yardsRTPScore",2014
3,3,"Adam Scott",68,-0.242,"Approach200yardsRTPScore",2014
4,4,"Jordan Spieth",102,-0.239,"Approach200yardsRTPScore",2014
5,5,"Billy Horschel",92,-0.228,"Approach200yardsRTPScore",2014
6,6,"Charl Schwartzel",64,-0.211,"Approach200yardsRTPScore",2014
7,7,"Harris English",95,-0.208,"Approach200yardsRTPScore",2014
8,8,"Graham DeLaet",80,-0.206,"Approach200yardsRTPScore",2014
9,9,"Martin Laird",66,-0.2,"Approach200yardsRTPScore",2014
10,10,"Brad Fritsch",50,-0.198,"Approach200yardsRTPScore",2014
11,11,"Josh Teater",90,-0.189,"Approach200yardsRTPScore",2014
12,12,"Justin Rose",70,-0.185,"Approach200yardsRTPScore",2014
12,12,"Kevin Stadler",90,-0.185,"Approach200yardsRTPScore",2014
12,12,"Bubba Watson",76,-0.185,"Approach200yardsRTPScore",2014
15,15,"Bo Van Pelt",83,-0.183,"Approach200yardsRTPScore",2014
16,16,"Ernie Els",85,-0.182,"Approach200yardsRTPScore",2014
17,17,"Ryo Ishikawa",75,-0.176,"Approach200yardsRTPScore",2014
18,18,"Will Wilcox",51,-0.175,"Approach200yardsRTPScore",2014
19,19,"John Senden",99,-0.174,"Approach200yardsRTPScore",2014
20,20,"Morgan Hoffmann",103,-0.171,"Approach200yardsRTPScore",2014
20,20,"Jimmy Walker",98,-0.171,"Approach200yardsRTPScore",2014
22,22,"Robert Garrigus",80,-0.169,"Approach200yardsRTPScore",2014
23,23,"Steven Bowditch",93,-0.167,"Approach200yardsRTPScore",2014
23,23,"Rickie Fowler",91,-0.167,"Approach200yardsRTPScore",2014
23,23,"Martin Kaymer",65,-0.167,"Approach200yardsRTPScore",2014
23,23,"Jamie Lovemark",64,-0.167,"Approach200yardsRTPScore",2014
23,23,"Louis Oosthuizen",50,-0.167,"Approach200yardsRTPScore",2014
23,23,"Michael Thompson",74,-0.167,"Approach200yardsRTPScore",2014
29,29,"Sangmoon Bae",76,-0.166,"Approach200yardsRTPScore",2014
30,30,"Briny Baird",50,-0.164,"Approach200yardsRTPScore",2014
30,30,"Matt Every",85,-0.164,"Approach200yardsRTPScore",2014
30,30,"Zach Johnson",97,-0.164,"Approach200yardsRTPScore",2014
30,30,"Ryan Palmer",85,-0.164,"Approach200yardsRTPScore",2014
34,34,"Sergio Garcia",61,-0.163,"Approach200yardsRTPScore",2014
34,34,"Brendan Steele",89,-0.163,"Approach200yardsRTPScore",2014
34,34,"Shawn Stefani",60,-0.163,"Approach200yardsRTPScore",2014
