"RyderCupEuroPoints_RANKTHISWEEK_2011","RyderCupEuroPoints_RANKLASTWEEK_2011","RyderCupEuroPoints_PLAYERNAME_2011","RyderCupEuroPoints__2011","RyderCupEuroPoints_POINTS_2011","stat_name","year"
1,NA,"Martin Kaymer",NA,1284550.37,"RyderCupEuroPoints",2011
2,NA,"Rory McIlroy",NA,1236326.08,"RyderCupEuroPoints",2011
3,NA,"Gonzalo Fdez Castano",NA,1099585.09,"RyderCupEuroPoints",2011
4,NA,"Alvaro Quiros",NA,1047153.32,"RyderCupEuroPoints",2011
5,NA,"Sergio Garcia",NA,938511.58,"RyderCupEuroPoints",2011
6,NA,"Paul Lawrie",NA,747705.17,"RyderCupEuroPoints",2011
7,NA,"Michael Hoey",NA,711788.31,"RyderCupEuroPoints",2011
8,NA,"Graeme McDowell",NA,679180.81,"RyderCupEuroPoints",2011
9,NA,"Joost Luiten",NA,669621.62,"RyderCupEuroPoints",2011
10,NA,"Peter Hanson",NA,646533.67,"RyderCupEuroPoints",2011
11,NA,"Richie Ramsay",NA,556727.09,"RyderCupEuroPoints",2011
12,NA,"Miguel Angel Jimenez",NA,537791.67,"RyderCupEuroPoints",2011
13,NA,"Gregory Havret",NA,524333.64,"RyderCupEuroPoints",2011
14,NA,"Thomas Bjorn",NA,516886.62,"RyderCupEuroPoints",2011
15,NA,"David Lynn",NA,512102.66,"RyderCupEuroPoints",2011
16,NA,"Simon Dyson",NA,502040.61,"RyderCupEuroPoints",2011
17,NA,"Freddie Jacobson",NA,473747.38,"RyderCupEuroPoints",2011
18,NA,"Tom Lewis",NA,459265.92,"RyderCupEuroPoints",2011
19,NA,"Rafa Cabrera Bello",NA,451316.26,"RyderCupEuroPoints",2011
20,NA,"Luke Donald",NA,438026.66,"RyderCupEuroPoints",2011
21,NA,"Shane Lowry",NA,409246.43,"RyderCupEuroPoints",2011
22,NA,"Francesco Molinari",NA,367148.82,"RyderCupEuroPoints",2011
23,NA,"Steve Webster",NA,339060.35,"RyderCupEuroPoints",2011
24,NA,"George Murray",NA,336913.37,"RyderCupEuroPoints",2011
25,NA,"Jamie Donaldson",NA,306811.79,"RyderCupEuroPoints",2011
26,NA,"Alexander Noren",NA,300704.98,"RyderCupEuroPoints",2011
27,NA,"James Morrison",NA,286422.18,"RyderCupEuroPoints",2011
28,NA,"Christian Nilsson",NA,283085.53,"RyderCupEuroPoints",2011
29,NA,"Lee Westwood",NA,274659.39,"RyderCupEuroPoints",2011
30,NA,"Paul Casey",NA,264348.81,"RyderCupEuroPoints",2011
31,NA,"Fredrik Andersson Hed",NA,257744.14,"RyderCupEuroPoints",2011
32,NA,"Pablo Larrazabal",NA,256210.73,"RyderCupEuroPoints",2011
33,NA,"Edoardo Molinari",NA,254772.79,"RyderCupEuroPoints",2011
34,NA,"Nicolas Colsaerts",NA,252433.04,"RyderCupEuroPoints",2011
35,NA,"Robert Rock",NA,239818.78,"RyderCupEuroPoints",2011
36,NA,"Lorenzo Gagli",NA,235322.16,"RyderCupEuroPoints",2011
37,NA,"Lee Slattery",NA,233754.71,"RyderCupEuroPoints",2011
38,NA,"Justin Rose",NA,226281.94,"RyderCupEuroPoints",2011
39,NA,"Padraig Harrington",NA,210901.77,"RyderCupEuroPoints",2011
40,NA,"Ian Poulter",NA,210302.35,"RyderCupEuroPoints",2011
41,NA,"Peter Lawrie",NA,207986.14,"RyderCupEuroPoints",2011
42,NA,"Rhys Davies",NA,204657.03,"RyderCupEuroPoints",2011
43,NA,"Johan Edfors",NA,203652.66,"RyderCupEuroPoints",2011
44,NA,"David Horsey",NA,200098.37,"RyderCupEuroPoints",2011
45,NA,"Kenneth Ferrie",NA,189968.5,"RyderCupEuroPoints",2011
46,NA,"Alejandro Canizares",NA,185473.51,"RyderCupEuroPoints",2011
47,NA,"Bernd Wiesberger",NA,171942.07,"RyderCupEuroPoints",2011
48,NA,"Marcel Siem",NA,171086.32,"RyderCupEuroPoints",2011
49,NA,"Anders Hansen",NA,168686,"RyderCupEuroPoints",2011
50,NA,"Marc Warren",NA,168414.4,"RyderCupEuroPoints",2011
51,NA,"Ross Fisher",NA,163390.12,"RyderCupEuroPoints",2011
52,NA,"Mark Foster",NA,162745.03,"RyderCupEuroPoints",2011
53,NA,"Gary Orr",NA,147957.99,"RyderCupEuroPoints",2011
54,NA,"Robert Karlsson",NA,147035.87,"RyderCupEuroPoints",2011
55,NA,"Tommy Fleetwood",NA,144259.4,"RyderCupEuroPoints",2011
56,NA,"Simon Wakefield",NA,142324.29,"RyderCupEuroPoints",2011
58,NA,"Matteo Manassero",NA,141774.68,"RyderCupEuroPoints",2011
59,NA,"Jose Manuel Lara",NA,139566.74,"RyderCupEuroPoints",2011
60,NA,"Danny Willett",NA,132114.68,"RyderCupEuroPoints",2011
61,NA,"Stephen Dodd",NA,130248.9,"RyderCupEuroPoints",2011
62,NA,"Gregory Bourdy",NA,113502.37,"RyderCupEuroPoints",2011
63,NA,"Richard McEvoy",NA,111994.44,"RyderCupEuroPoints",2011
64,NA,"Martin Wiegele",NA,107566.35,"RyderCupEuroPoints",2011
65,NA,"Stephen Gallacher",NA,105492.94,"RyderCupEuroPoints",2011
66,NA,"Anthony Wall",NA,104616.56,"RyderCupEuroPoints",2011
67,NA,"Soren Kjeldsen",NA,104292.26,"RyderCupEuroPoints",2011
68,NA,"Oliver Wilson",NA,103932.77,"RyderCupEuroPoints",2011
70,NA,"Robert Jan Derksen",NA,101771.33,"RyderCupEuroPoints",2011
71,NA,"Raphael Jacquelin",NA,100688.62,"RyderCupEuroPoints",2011
72,NA,"Romain Wattel",NA,97347.02,"RyderCupEuroPoints",2011
73,NA,"Colin Montgomerie",NA,89502.37,"RyderCupEuroPoints",2011
74,NA,"David Drysdale",NA,88453.79,"RyderCupEuroPoints",2011
75,NA,"Graeme Storm",NA,85942.86,"RyderCupEuroPoints",2011
77,NA,"Soren Hansen",NA,83127.21,"RyderCupEuroPoints",2011
78,NA,"Peter Whiteford",NA,80703.33,"RyderCupEuroPoints",2011
79,NA,"Phillip Price",NA,77903.97,"RyderCupEuroPoints",2011
80,NA,"Rikard Karlberg",NA,77346.77,"RyderCupEuroPoints",2011
82,NA,"Magnus Carlsson",NA,73633.33,"RyderCupEuroPoints",2011
83,NA,"Thomas Norret",NA,73459.43,"RyderCupEuroPoints",2011
84,NA,"Ignacio Garrido",NA,69796.89,"RyderCupEuroPoints",2011
85,NA,"Matt Haines",NA,69793.97,"RyderCupEuroPoints",2011
87,NA,"Niclas Fasth",NA,68111.11,"RyderCupEuroPoints",2011
88,NA,"Michael Jonzon",NA,65557.02,"RyderCupEuroPoints",2011
89,NA,"Thomas Levet",NA,64329.43,"RyderCupEuroPoints",2011
90,NA,"Darren Clarke",NA,63698.98,"RyderCupEuroPoints",2011
91,NA,"Gary Boyd",NA,60698.62,"RyderCupEuroPoints",2011
92,NA,"Maarten Lafeber",NA,60542.13,"RyderCupEuroPoints",2011
93,NA,"Markus Brier",NA,59619.91,"RyderCupEuroPoints",2011
94,NA,"Mikko Korhonen",NA,57511.11,"RyderCupEuroPoints",2011
96,NA,"Steven OHara",NA,57100.81,"RyderCupEuroPoints",2011
97,NA,"Oliver Fisher",NA,56904.23,"RyderCupEuroPoints",2011
98,NA,"Bradley Dredge",NA,56111.02,"RyderCupEuroPoints",2011
99,NA,"Simon Khan",NA,55371.6,"RyderCupEuroPoints",2011
100,NA,"Ross McGowan",NA,55223.33,"RyderCupEuroPoints",2011
102,NA,"Paul McGinley",NA,54590,"RyderCupEuroPoints",2011
103,NA,"Christian Cevaer",NA,53892.68,"RyderCupEuroPoints",2011
104,NA,"Jean Baptiste Gonnet",NA,53573.34,"RyderCupEuroPoints",2011
105,NA,"Oscar Floren",NA,51710,"RyderCupEuroPoints",2011
106,NA,"Rich Bland",NA,50646.94,"RyderCupEuroPoints",2011
108,NA,"David Howell",NA,48513.66,"RyderCupEuroPoints",2011
109,NA,"Robert Coles",NA,44725,"RyderCupEuroPoints",2011
110,NA,"Seve Benson",NA,43053.97,"RyderCupEuroPoints",2011
111,NA,"Robert Dinwiddie",NA,42250,"RyderCupEuroPoints",2011
112,NA,"Joel Sjoholm",NA,41560,"RyderCupEuroPoints",2011
113,NA,"Gareth Maybin",NA,40827.32,"RyderCupEuroPoints",2011
114,NA,"Carlos Del Moral",NA,39971.43,"RyderCupEuroPoints",2011
115,NA,"Lloyd Saltman",NA,37435,"RyderCupEuroPoints",2011
117,NA,"Alastair Forsyth",NA,34947,"RyderCupEuroPoints",2011
118,NA,"David Dixon",NA,34921.33,"RyderCupEuroPoints",2011
119,NA,"Tim Sluiter",NA,32031.11,"RyderCupEuroPoints",2011
120,NA,"Alvaro Velasco",NA,31949.29,"RyderCupEuroPoints",2011
121,NA,"Henrik Stenson",NA,31104.19,"RyderCupEuroPoints",2011
122,NA,"Damian McGrane",NA,28500,"RyderCupEuroPoints",2011
123,NA,"Mathias Gronberg",NA,27564.57,"RyderCupEuroPoints",2011
125,NA,"Andrea Pavan",NA,27050,"RyderCupEuroPoints",2011
126,NA,"Jose Maria Olazabal",NA,26892.07,"RyderCupEuroPoints",2011
127,NA,"Scott Jamieson",NA,26729.14,"RyderCupEuroPoints",2011
128,NA,"Jeppe Huldahl",NA,24051.06,"RyderCupEuroPoints",2011
130,NA,"Damian Ulrich",NA,23400,"RyderCupEuroPoints",2011
132,NA,"Carl Suneson",NA,22570,"RyderCupEuroPoints",2011
134,NA,"Florian Fritsch",NA,21050,"RyderCupEuroPoints",2011
136,NA,"Sam Little",NA,20600,"RyderCupEuroPoints",2011
137,NA,"Steven Tiley",NA,19700,"RyderCupEuroPoints",2011
