"VictoryLeaders_RANKTHISWEEK_2012","VictoryLeaders_RANKLASTWEEK_2012","VictoryLeaders_PLAYERNAME_2012","VictoryLeaders_EVENTS_2012","VictoryLeaders_VICTORIES_2012","stat_name","year"
38,38,"Steven Bowditch",18,NA,"VictoryLeaders",2012
38,38,"Michael Bradley",23,NA,"VictoryLeaders",2012
38,38,"Joseph Bramlett",1,NA,"VictoryLeaders",2012
38,38,"Paul Broadhurst",1,NA,"VictoryLeaders",2012
38,38,"Mark Brooks",3,NA,"VictoryLeaders",2012
38,38,"Mark Brown",1,NA,"VictoryLeaders",2012
38,38,"Scott Brown",24,NA,"VictoryLeaders",2012
38,38,"Brandon Brown",1,NA,"VictoryLeaders",2012
38,38,"Olin Browne",1,NA,"VictoryLeaders",2012
38,38,"Bart Bryant",6,NA,"VictoryLeaders",2012
38,38,"Jonathan Byrd",21,NA,"VictoryLeaders",2012
38,38,"David Byrne",1,NA,"VictoryLeaders",2012
38,38,"Tom Byrum",1,NA,"VictoryLeaders",2012
38,38,"Angel Cabrera",20,NA,"VictoryLeaders",2012
38,38,"Rafa Cabrera Bello",6,NA,"VictoryLeaders",2012
38,38,"Brian Cairns",1,NA,"VictoryLeaders",2012
38,38,"Mark Calcavecchia",3,NA,"VictoryLeaders",2012
38,38,"Robert Calvesbert",1,NA,"VictoryLeaders",2012
38,38,"Chad Campbell",27,NA,"VictoryLeaders",2012
38,38,"Michael Campbell",1,NA,"VictoryLeaders",2012
38,38,"Todd Camplin",1,NA,"VictoryLeaders",2012
38,38,"Rafael Campos",1,NA,"VictoryLeaders",2012
38,38,"Juan Campusano",1,NA,"VictoryLeaders",2012
38,38,"Alejandro Canizares",3,NA,"VictoryLeaders",2012
38,38,"Patrick Cantlay",10,NA,"VictoryLeaders",2012
38,38,"Miguel Angel Carballo",25,NA,"VictoryLeaders",2012
38,38,"Michael Carbone",1,NA,"VictoryLeaders",2012
38,38,"Mark Carnevale",1,NA,"VictoryLeaders",2012
38,38,"Jim Carter",2,NA,"VictoryLeaders",2012
38,38,"Greg Casagranda",1,NA,"VictoryLeaders",2012
38,38,"Paul Casey",9,NA,"VictoryLeaders",2012
38,38,"Roberto Castro",27,NA,"VictoryLeaders",2012
38,38,"Bud Cauley",28,NA,"VictoryLeaders",2012
38,38,"Alex Cejka",12,NA,"VictoryLeaders",2012
38,38,"Greg Chalmers",25,NA,"VictoryLeaders",2012
38,38,"Roger Chapman",1,NA,"VictoryLeaders",2012
38,38,"Kevin Chappell",29,NA,"VictoryLeaders",2012
38,38,"Danny Chia",0,NA,"VictoryLeaders",2012
38,38,"John Chin",0,NA,"VictoryLeaders",2012
38,38,"KJ Choi",21,NA,"VictoryLeaders",2012
38,38,"Albin Choi",1,NA,"VictoryLeaders",2012
38,38,"Daniel Chopra",21,NA,"VictoryLeaders",2012
38,38,"Gary Christian",28,NA,"VictoryLeaders",2012
38,38,"Victor Ciesielski",1,NA,"VictoryLeaders",2012
38,38,"Stewart Cink",22,NA,"VictoryLeaders",2012
38,38,"Tim Clark",20,NA,"VictoryLeaders",2012
38,38,"Darren Clarke",7,NA,"VictoryLeaders",2012
38,38,"Paul Claxton",1,NA,"VictoryLeaders",2012
38,38,"Will Claxton",28,NA,"VictoryLeaders",2012
38,38,"Keith Clearwater",1,NA,"VictoryLeaders",2012
38,38,"George Coetzee",4,NA,"VictoryLeaders",2012
38,38,"Gavin Coles",23,NA,"VictoryLeaders",2012
38,38,"Chad Collins",9,NA,"VictoryLeaders",2012
38,38,"Nicolas Colsaerts",9,NA,"VictoryLeaders",2012
38,38,"Erik Compton",26,NA,"VictoryLeaders",2012
38,38,"Donald Constable",0,NA,"VictoryLeaders",2012
38,38,"John Cook",1,NA,"VictoryLeaders",2012
38,38,"Franklin Corpening",0,NA,"VictoryLeaders",2012
38,38,"Jeff Coston",1,NA,"VictoryLeaders",2012
38,38,"Chris Couch",21,NA,"VictoryLeaders",2012
