"TotalDriving_RANKTHISWEEK_2015","TotalDriving_RANKLASTWEEK_2015","TotalDriving_PLAYERNAME_2015","TotalDriving_EVENTS_2015","TotalDriving_TOTAL_2015","TotalDriving_DISTANCERANK_2015","TotalDriving_ACCURACYRANK_2015","stat_name","year"
1,1,"Henrik Stenson",16,55,43,12,"TotalDriving",2015
2,2,"Will Wilcox",17,60,42,18,"TotalDriving",2015
3,3,"Keegan Bradley",24,62,10,52,"TotalDriving",2015
4,4,"Justin Rose",20,78,14,64,"TotalDriving",2015
5,5,"Graham DeLaet",22,79,32,47,"TotalDriving",2015
6,6,"Charlie Beljan",27,89,6,83,"TotalDriving",2015
7,7,"Russell Henley",24,90,36,54,"TotalDriving",2015
8,8,"Paul Casey",24,93,35,58,"TotalDriving",2015
9,9,"Jim Herman",27,95,62,33,"TotalDriving",2015
10,10,"Hudson Swafford",30,103,29,74,"TotalDriving",2015
11,11,"Lucas Glover",26,104,38,66,"TotalDriving",2015
12,12,"Derek Ernst",26,106,50,56,"TotalDriving",2015
12,12,"Hideki Matsuyama",25,106,57,49,"TotalDriving",2015
14,14,"Davis Love III",18,107,56,51,"TotalDriving",2015
15,15,"Adam Scott",15,111,4,107,"TotalDriving",2015
16,16,"Brendan Steele",24,113,16,97,"TotalDriving",2015
16,16,"Kevin Streelman",27,113,93,20,"TotalDriving",2015
18,18,"Daniel Berger",31,122,18,104,"TotalDriving",2015
18,18,"Billy Horschel",28,122,53,69,"TotalDriving",2015
20,20,"Jason Gore",26,123,87,36,"TotalDriving",2015
20,20,"Webb Simpson",22,123,97,26,"TotalDriving",2015
22,22,"Rickie Fowler",21,126,39,87,"TotalDriving",2015
22,22,"John Senden",24,126,89,37,"TotalDriving",2015
24,24,"Charl Schwartzel",19,127,24,103,"TotalDriving",2015
25,25,"Chez Reavie",19,128,125,3,"TotalDriving",2015
26,26,"Sam Saunders",28,130,68,62,"TotalDriving",2015
27,27,"Kevin Chappell",26,132,67,65,"TotalDriving",2015
27,27,"Shawn Stefani",26,132,44,88,"TotalDriving",2015
29,29,"Alex Prugh",27,138,49,89,"TotalDriving",2015
30,30,"David Lingmerth",28,139,93,46,"TotalDriving",2015
31,31,"John Peterson",25,140,110,30,"TotalDriving",2015
32,32,"Lee Westwood",15,144,25,119,"TotalDriving",2015
