"GIRPercentagefromFairway_RANKTHISWEEK_2015","GIRPercentagefromFairway_RANKLASTWEEK_2015","GIRPercentagefromFairway_PLAYERNAME_2015","GIRPercentagefromFairway_ROUNDS_2015","GIRPercentagefromFairway_Pct_2015","GIRPercentagefromFairway_GREENSHIT_2015","GIRPercentagefromFairway_OFHOLES_2015","stat_name","year"
77,77,"Steven Bowditch",103,77.62,607,782,"GIRPercentagefromFairway",2015
78,78,"Scott Piercy",90,77.48,578,746,"GIRPercentagefromFairway",2015
79,79,"Graham DeLaet",65,77.39,462,597,"GIRPercentagefromFairway",2015
80,80,"Marc Leishman",74,77.34,413,534,"GIRPercentagefromFairway",2015
81,81,"Ian Poulter",68,77.33,440,569,"GIRPercentagefromFairway",2015
82,82,"Pat Perez",96,77.3,681,881,"GIRPercentagefromFairway",2015
83,83,"Mark Hubbard",79,77.22,549,711,"GIRPercentagefromFairway",2015
84,84,"Kyle Reifers",96,77.19,609,789,"GIRPercentagefromFairway",2015
85,85,"Blayne Barber",76,77.17,507,657,"GIRPercentagefromFairway",2015
86,86,"Aaron Baddeley",76,77.12,401,520,"GIRPercentagefromFairway",2015
86,86,"Johnson Wagner",68,77.12,455,590,"GIRPercentagefromFairway",2015
88,88,"Adam Hadwin",95,77.07,652,846,"GIRPercentagefromFairway",2015
89,89,"Roberto Castro",54,77.02,352,457,"GIRPercentagefromFairway",2015
90,90,"Jamie Donaldson",50,76.94,307,399,"GIRPercentagefromFairway",2015
91,91,"Ryo Ishikawa",90,76.91,533,693,"GIRPercentagefromFairway",2015
92,92,"Geoff Ogilvy",50,76.9,313,407,"GIRPercentagefromFairway",2015
92,92,"Jhonattan Vegas",90,76.9,516,671,"GIRPercentagefromFairway",2015
94,94,"Davis Love III",51,76.89,356,463,"GIRPercentagefromFairway",2015
95,95,"Zach Johnson",90,76.86,671,873,"GIRPercentagefromFairway",2015
96,96,"KJ Choi",66,76.76,426,555,"GIRPercentagefromFairway",2015
97,97,"William McGirt",103,76.64,748,976,"GIRPercentagefromFairway",2015
98,98,"Jason Kokrak",88,76.56,529,691,"GIRPercentagefromFairway",2015
99,99,"Camilo Villegas",83,76.55,483,631,"GIRPercentagefromFairway",2015
100,100,"Rickie Fowler",76,76.53,476,622,"GIRPercentagefromFairway",2015
101,101,"Chad Collins",79,76.5,537,702,"GIRPercentagefromFairway",2015
101,101,"Chris Kirk",76,76.5,485,634,"GIRPercentagefromFairway",2015
103,103,"Jeff Overton",94,76.49,576,753,"GIRPercentagefromFairway",2015
104,104,"Luke Donald",71,76.48,452,591,"GIRPercentagefromFairway",2015
105,105,"Kevin Na",98,76.44,636,832,"GIRPercentagefromFairway",2015
105,105,"Nick Taylor",91,76.44,545,713,"GIRPercentagefromFairway",2015
107,107,"Chris Stroud",84,76.39,576,754,"GIRPercentagefromFairway",2015
108,108,"Jason Bohn",95,76.35,723,947,"GIRPercentagefromFairway",2015
109,109,"Roger Sloan",56,76.33,329,431,"GIRPercentagefromFairway",2015
110,110,"Brendon de Jonge",106,76.26,739,969,"GIRPercentagefromFairway",2015
111,111,"John Merrick",78,76.24,536,703,"GIRPercentagefromFairway",2015
111,111,"Steve Wheatcroft",87,76.24,555,728,"GIRPercentagefromFairway",2015
113,113,"Erik Compton",86,76.2,541,710,"GIRPercentagefromFairway",2015
114,114,"Jonathan Randolph",72,76.16,409,537,"GIRPercentagefromFairway",2015
114,114,"Andrew Svoboda",80,76.16,492,646,"GIRPercentagefromFairway",2015
116,116,"Brian Harman",90,76.14,619,813,"GIRPercentagefromFairway",2015
117,117,"Sam Saunders",83,76.11,548,720,"GIRPercentagefromFairway",2015
118,118,"Ernie Els",57,76.1,347,456,"GIRPercentagefromFairway",2015
119,119,"Steven Alker",62,76.05,454,597,"GIRPercentagefromFairway",2015
120,120,"Fabian Gomez",83,76.03,536,705,"GIRPercentagefromFairway",2015
121,121,"Jim Renner",68,75.99,402,529,"GIRPercentagefromFairway",2015
122,122,"Chesson Hadley",101,75.97,610,803,"GIRPercentagefromFairway",2015
122,122,"Webb Simpson",81,75.97,566,745,"GIRPercentagefromFairway",2015
124,124,"Charlie Beljan",76,75.96,477,628,"GIRPercentagefromFairway",2015
125,125,"John Peterson",84,75.95,600,790,"GIRPercentagefromFairway",2015
126,126,"Charl Schwartzel",67,75.74,409,540,"GIRPercentagefromFairway",2015
127,127,"Jonas Blixt",78,75.73,465,614,"GIRPercentagefromFairway",2015
128,128,"Ryan Moore",81,75.62,580,767,"GIRPercentagefromFairway",2015
128,128,"Brandt Snedeker",98,75.62,611,808,"GIRPercentagefromFairway",2015
130,130,"Jonathan Byrd",69,75.55,448,593,"GIRPercentagefromFairway",2015
131,131,"Angel Cabrera",53,75.54,315,417,"GIRPercentagefromFairway",2015
132,132,"Kevin Kisner",104,75.51,734,972,"GIRPercentagefromFairway",2015
133,133,"John Senden",80,75.43,531,704,"GIRPercentagefromFairway",2015
134,134,"James Hahn",94,75.35,593,787,"GIRPercentagefromFairway",2015
135,135,"Daniel Summerhays",101,75.17,654,870,"GIRPercentagefromFairway",2015
136,136,"Scott Langley",94,75.16,596,793,"GIRPercentagefromFairway",2015
136,136,"Brendon Todd",96,75.16,690,918,"GIRPercentagefromFairway",2015
138,138,"Ricky Barnes",82,75.13,441,587,"GIRPercentagefromFairway",2015
139,139,"George McNeill",93,75.12,625,832,"GIRPercentagefromFairway",2015
140,140,"Kevin Chappell",86,75.1,576,767,"GIRPercentagefromFairway",2015
141,141,"Matt Jones",89,74.93,535,714,"GIRPercentagefromFairway",2015
142,142,"Morgan Hoffmann",85,74.89,489,653,"GIRPercentagefromFairway",2015
143,143,"David Lingmerth",90,74.88,620,828,"GIRPercentagefromFairway",2015
144,144,"Jon Curran",83,74.86,554,740,"GIRPercentagefromFairway",2015
145,145,"Andrew Putnam",68,74.75,367,491,"GIRPercentagefromFairway",2015
146,146,"Michael Thompson",83,74.73,491,657,"GIRPercentagefromFairway",2015
147,147,"Nicholas Thompson",90,74.67,613,821,"GIRPercentagefromFairway",2015
148,148,"Luke Guthrie",84,74.66,501,671,"GIRPercentagefromFairway",2015
149,149,"Derek Fathauer",81,74.55,413,554,"GIRPercentagefromFairway",2015
150,150,"Bryce Molder",91,74.54,603,809,"GIRPercentagefromFairway",2015
151,151,"Colt Knost",90,74.53,635,852,"GIRPercentagefromFairway",2015
152,152,"DA Points",72,74.32,408,549,"GIRPercentagefromFairway",2015
153,153,"Alex Cejka",94,74.3,607,817,"GIRPercentagefromFairway",2015
154,154,"SJ Park",79,74.22,521,702,"GIRPercentagefromFairway",2015
155,155,"Derek Ernst",75,73.97,469,634,"GIRPercentagefromFairway",2015
