"DrivingDistanceAllDrives_RANKTHISWEEK_2006","DrivingDistanceAllDrives_RANKLASTWEEK_2006","DrivingDistanceAllDrives_PLAYERNAME_2006","DrivingDistanceAllDrives_ROUNDS_2006","DrivingDistanceAllDrives_ALLDRIVES_2006","DrivingDistanceAllDrives_TOTALDISTANCE_2006","DrivingDistanceAllDrives_OFDRIVES_2006","stat_name","year"
1,1,"JB Holmes",81,305.7,269001,880,"DrivingDistanceAllDrives",2006
2,2,"Bubba Watson",83,301.8,302425,1002,"DrivingDistanceAllDrives",2006
3,3,"John Daly",51,297.7,170852,574,"DrivingDistanceAllDrives",2006
4,4,"Robert Garrigus",85,295.7,305726,1034,"DrivingDistanceAllDrives",2006
5,5,"Brett Wetterich",82,295.2,299299,1014,"DrivingDistanceAllDrives",2006
6,6,"Ryan Hietala",61,293.2,208727,712,"DrivingDistanceAllDrives",2006
7,7,"Harrison Frazar",95,292.9,306989,1048,"DrivingDistanceAllDrives",2006
7,7,"Charley Hoffman",100,292.9,362569,1238,"DrivingDistanceAllDrives",2006
9,9,"Tag Ridings",103,292.3,365639,1251,"DrivingDistanceAllDrives",2006
10,10,"Phil Mickelson",74,291.7,191961,658,"DrivingDistanceAllDrives",2006
11,11,"Fred Couples",52,291.5,130579,448,"DrivingDistanceAllDrives",2006
12,12,"Camilo Villegas",95,291.1,333053,1144,"DrivingDistanceAllDrives",2006
12,12,"Tiger Woods",55,291.1,150816,518,"DrivingDistanceAllDrives",2006
14,14,"Chris Couch",75,290.9,271095,932,"DrivingDistanceAllDrives",2006
14,14,"Scott Gutschewski",53,290.9,182680,628,"DrivingDistanceAllDrives",2006
14,14,"Jeff Overton",95,290.9,353771,1216,"DrivingDistanceAllDrives",2006
17,17,"Adam Scott",70,290.6,206618,711,"DrivingDistanceAllDrives",2006
18,18,"Nicholas Thompson",96,290.5,316048,1088,"DrivingDistanceAllDrives",2006
19,19,"Lucas Glover",105,290.4,349616,1204,"DrivingDistanceAllDrives",2006
20,20,"Davis Love III",85,290.3,231632,798,"DrivingDistanceAllDrives",2006
21,21,"Bubba Dickerson",98,289.9,347626,1199,"DrivingDistanceAllDrives",2006
22,22,"Vijay Singh",103,289.7,340690,1176,"DrivingDistanceAllDrives",2006
23,23,"Rich Beem",85,289.5,262838,908,"DrivingDistanceAllDrives",2006
23,23,"Chris Smith",67,289.5,237075,819,"DrivingDistanceAllDrives",2006
25,25,"Jason Gore",86,289.4,292280,1010,"DrivingDistanceAllDrives",2006
26,26,"Charles Warren",93,289.3,326345,1128,"DrivingDistanceAllDrives",2006
27,27,"Mathias Gronberg",92,289,318765,1103,"DrivingDistanceAllDrives",2006
28,28,"Alex Aragon",63,288.9,217817,754,"DrivingDistanceAllDrives",2006
29,29,"Daniel Chopra",110,288.8,362172,1254,"DrivingDistanceAllDrives",2006
30,30,"Matt Hansen",68,288.7,233252,808,"DrivingDistanceAllDrives",2006
30,30,"Troy Matteson",101,288.7,354279,1227,"DrivingDistanceAllDrives",2006
32,32,"James Driscoll",80,288.6,305935,1060,"DrivingDistanceAllDrives",2006
33,33,"Kris Cox",83,288.2,289316,1004,"DrivingDistanceAllDrives",2006
34,34,"Craig Barlow",77,288.1,233903,812,"DrivingDistanceAllDrives",2006
35,35,"Jonathan Byrd",66,288,215686,749,"DrivingDistanceAllDrives",2006
36,36,"Jon Mills",68,287.9,217653,756,"DrivingDistanceAllDrives",2006
37,37,"Geoff Ogilvy",76,287.6,210549,732,"DrivingDistanceAllDrives",2006
38,38,"Roger Tambellini",64,287.5,212715,740,"DrivingDistanceAllDrives",2006
39,39,"Mathew Goggin",72,287.3,233249,812,"DrivingDistanceAllDrives",2006
40,40,"Retief Goosen",68,287.1,184346,642,"DrivingDistanceAllDrives",2006
40,40,"Nick Watney",97,287.1,344512,1200,"DrivingDistanceAllDrives",2006
42,42,"Sergio Garcia",59,287,157831,550,"DrivingDistanceAllDrives",2006
43,43,"Will Ma Kenzie",91,286.7,299341,1044,"DrivingDistanceAllDrives",2006
44,44,"Ryan Palmer",101,286.6,327890,1144,"DrivingDistanceAllDrives",2006
45,45,"Jonathan Kaye",95,286.4,343993,1201,"DrivingDistanceAllDrives",2006
45,45,"Kenny Perry",73,286.4,240548,840,"DrivingDistanceAllDrives",2006
47,47,"Bill Haas",99,286.2,350825,1226,"DrivingDistanceAllDrives",2006
48,48,"Charles Howell III",96,286.1,315551,1103,"DrivingDistanceAllDrives",2006
48,48,"John Rollins",93,286.1,303247,1060,"DrivingDistanceAllDrives",2006
50,50,"Henrik Bjornstad",97,286,355817,1244,"DrivingDistanceAllDrives",2006
50,50,"Pat Perez",50,286,168145,588,"DrivingDistanceAllDrives",2006
52,52,"Brandt Jobe",91,285.8,278969,976,"DrivingDistanceAllDrives",2006
53,53,"Bo Van Pelt",102,285.7,358833,1256,"DrivingDistanceAllDrives",2006
54,54,"Trevor Immelman",86,285.6,290473,1017,"DrivingDistanceAllDrives",2006
55,55,"Eric Axley",91,285.4,313892,1100,"DrivingDistanceAllDrives",2006
56,56,"JJ Henry",96,285.3,306418,1074,"DrivingDistanceAllDrives",2006
57,57,"Rory Sabbatini",84,285.2,254436,892,"DrivingDistanceAllDrives",2006
58,58,"Wes Short Jr",96,285,339682,1192,"DrivingDistanceAllDrives",2006
59,59,"Paul Stankowski",70,284.9,250134,878,"DrivingDistanceAllDrives",2006
60,60,"Jimmy Walker",60,284.7,222036,780,"DrivingDistanceAllDrives",2006
61,61,"Robert Allenby",79,284.6,237944,836,"DrivingDistanceAllDrives",2006
61,61,"John Senden",96,284.6,313906,1103,"DrivingDistanceAllDrives",2006
63,63,"Stuart Appleby",83,284.5,254878,896,"DrivingDistanceAllDrives",2006
64,64,"Tim Herron",82,284.4,245697,864,"DrivingDistanceAllDrives",2006
65,65,"Greg Owen",79,284.1,245995,866,"DrivingDistanceAllDrives",2006
66,66,"Sean OHair",100,283.8,302548,1066,"DrivingDistanceAllDrives",2006
67,67,"Marco Dawson",87,283.6,304256,1073,"DrivingDistanceAllDrives",2006
67,67,"David Duval",71,283.6,210444,742,"DrivingDistanceAllDrives",2006
69,69,"Danny Ellis",68,283.4,237485,838,"DrivingDistanceAllDrives",2006
70,70,"Carlos Franco",86,283.1,304034,1074,"DrivingDistanceAllDrives",2006
70,70,"Hunter Mahan",98,283.1,350494,1238,"DrivingDistanceAllDrives",2006
72,72,"Jeff Gove",91,283,318961,1127,"DrivingDistanceAllDrives",2006
72,72,"Jason Schultz",77,283,256390,906,"DrivingDistanceAllDrives",2006
74,74,"Bob May",65,282.7,211473,748,"DrivingDistanceAllDrives",2006
74,74,"Kevin Sutherland",100,282.7,342579,1212,"DrivingDistanceAllDrives",2006
76,76,"Ernie Els",69,282.6,184799,654,"DrivingDistanceAllDrives",2006
76,76,"Joe Ogilvie",95,282.6,308335,1091,"DrivingDistanceAllDrives",2006
76,76,"Jesper Parnevik",84,282.6,287724,1018,"DrivingDistanceAllDrives",2006
79,79,"Brian Bateman",69,282.4,231887,821,"DrivingDistanceAllDrives",2006
79,79,"Chad Campbell",91,282.4,263788,934,"DrivingDistanceAllDrives",2006
81,81,"David Howell",52,282.3,118554,420,"DrivingDistanceAllDrives",2006
81,81,"John Huston",74,282.3,255189,904,"DrivingDistanceAllDrives",2006
81,81,"DJ Trahan",92,282.3,299235,1060,"DrivingDistanceAllDrives",2006
84,84,"Alex Cejka",93,282.2,314900,1116,"DrivingDistanceAllDrives",2006
84,84,"Padraig Harrington",54,282.2,150117,532,"DrivingDistanceAllDrives",2006
86,86,"Stewart Cink",93,282.1,286062,1014,"DrivingDistanceAllDrives",2006
86,86,"Rod Pampling",89,282.1,255539,906,"DrivingDistanceAllDrives",2006
88,88,"Michael Allen",84,282,284236,1008,"DrivingDistanceAllDrives",2006
88,88,"Justin Rose",98,282,338171,1199,"DrivingDistanceAllDrives",2006
90,90,"Freddie Jacobson",56,281.9,213126,756,"DrivingDistanceAllDrives",2006
91,91,"David Toms",76,281.7,245669,872,"DrivingDistanceAllDrives",2006
92,92,"Brian Davis",92,281.3,318403,1132,"DrivingDistanceAllDrives",2006
92,92,"Vaughn Taylor",88,281.3,303292,1078,"DrivingDistanceAllDrives",2006
94,94,"Jason Bohn",104,281.2,349247,1242,"DrivingDistanceAllDrives",2006
94,94,"Ryan Moore",68,281.2,227514,809,"DrivingDistanceAllDrives",2006
94,94,"Brett Quigley",109,281.2,368131,1309,"DrivingDistanceAllDrives",2006
97,97,"Jose Maria Olazabal",62,280.9,153069,545,"DrivingDistanceAllDrives",2006
98,98,"Arron Oberholser",82,280.8,243735,868,"DrivingDistanceAllDrives",2006
98,98,"Ted Purdy",103,280.8,314516,1120,"DrivingDistanceAllDrives",2006
100,100,"Stephen Ames",63,280.7,172920,616,"DrivingDistanceAllDrives",2006
100,100,"Frank Lickliter II",99,280.7,331833,1182,"DrivingDistanceAllDrives",2006
100,100,"Vance Veazey",59,280.7,212236,756,"DrivingDistanceAllDrives",2006
103,103,"KJ Choi",93,280.5,309136,1102,"DrivingDistanceAllDrives",2006
103,103,"Joe Durant",101,280.5,374789,1336,"DrivingDistanceAllDrives",2006
103,103,"Tom Lehman",70,280.5,183454,654,"DrivingDistanceAllDrives",2006
106,106,"Carl Pettersson",95,280.3,294857,1052,"DrivingDistanceAllDrives",2006
106,106,"Patrick Sheehan",104,280.3,340045,1213,"DrivingDistanceAllDrives",2006
108,108,"Zach Johnson",98,280.2,300898,1074,"DrivingDistanceAllDrives",2006
108,108,"Ian Leggatt",80,280.2,273504,976,"DrivingDistanceAllDrives",2006
110,110,"Thomas Levet",53,280.1,188200,672,"DrivingDistanceAllDrives",2006
111,111,"Arjun Atwal",97,279.9,319647,1142,"DrivingDistanceAllDrives",2006
112,112,"John Engler Jr",69,279.8,246243,880,"DrivingDistanceAllDrives",2006
112,112,"Steve Lowery",99,279.8,323481,1156,"DrivingDistanceAllDrives",2006
112,112,"DA Points",82,279.8,277539,992,"DrivingDistanceAllDrives",2006
