"LowestRound_RANKTHISWEEK_2005","LowestRound_RANKLASTWEEK_2005","LowestRound_PLAYERNAME_2005","LowestRound_ROUNDS_2005","LowestRound_VALUE_2005","LowestRound_TOURNCOURSE_2005","LowestRound_ROUND_2005","stat_name","year"
1,1,"Phil Mickelson",81,60,NA,2,"LowestRound",2005
2,2,"Brad Faxon",75,61,NA,4,"LowestRound",2005
2,2,"Davis Love III",80,61,NA,3,"LowestRound",2005
2,2,"Carl Pettersson",109,61,NA,2,"LowestRound",2005
2,2,"Tiger Woods",76,61,NA,2,"LowestRound",2005
6,6,"Briny Baird",98,62,NA,1,"LowestRound",2005
6,6,"Bart Bryant",91,62,NA,1,"LowestRound",2005
6,6,"Ben Crane",78,62,NA,1,"LowestRound",2005
6,6,"Ernie Els",44,62,NA,4,"LowestRound",2005
6,6,"Harrison Frazar",105,62,NA,4,"LowestRound",2005
6,6,"Robert Gamez",91,62,NA,1,"LowestRound",2005
6,6,"Bill Glasson",54,62,NA,2,"LowestRound",2005
6,6,"Freddie Jacobson",72,62,NA,2,"LowestRound",2005
6,6,"Brandt Jobe",96,62,NA,2,"LowestRound",2005
6,6,"Tom Lehman",69,62,NA,1,"LowestRound",2005
6,6,"Justin Leonard",78,62,NA,1,"LowestRound",2005
6,6,"Peter Lonard",85,62,NA,1,"LowestRound",2005
6,6,"Ryan Palmer",101,62,NA,1,"LowestRound",2005
6,6,"Tom Pernice Jr",111,62,NA,2,"LowestRound",2005
6,6,"Patrick Sheehan",114,62,NA,1,"LowestRound",2005
6,6,"Marcel Siem",4,62,NA,2,"LowestRound",2005
6,6,"Joey Sindelar",104,62,NA,2,"LowestRound",2005
6,6,"Scott Verplank",87,62,NA,4,"LowestRound",2005
6,6,"Charles Warren",89,62,NA,1,"LowestRound",2005
6,6,"Dean Wilson",86,62,NA,2,"LowestRound",2005
26,26,"Michael Allen",90,63,NA,3,"LowestRound",2005
26,26,"Billy Andrade",83,63,NA,3,"LowestRound",2005
26,26,"Stuart Appleby",84,63,NA,1,"LowestRound",2005
26,26,"Woody Austin",100,63,NA,1,"LowestRound",2005
26,26,"Aaron Baddeley",84,63,NA,2,"LowestRound",2005
26,26,"Rich Beem",66,63,NA,3,"LowestRound",2005
26,26,"Thomas Bjorn",24,63,NA,3,"LowestRound",2005
26,26,"Glen Day",80,63,NA,1,"LowestRound",2005
26,26,"Jay Delsing",37,63,NA,4,"LowestRound",2005
26,26,"Joe Durant",81,63,NA,2,"LowestRound",2005
26,26,"David Edwards",25,63,NA,2,"LowestRound",2005
26,26,"Lucas Glover",88,63,NA,4,"LowestRound",2005
26,26,"Matt Gogel",78,63,NA,1,"LowestRound",2005
26,26,"Hunter Haas",83,63,NA,1,"LowestRound",2005
26,26,"Padraig Harrington",50,63,NA,4,"LowestRound",2005
26,26,"Matt Hendrix",4,63,NA,1,"LowestRound",2005
26,26,"Charles Howell III",95,63,NA,1,"LowestRound",2005
26,26,"Zach Johnson",96,63,NA,2,"LowestRound",2005
26,26,"Kent Jones",99,63,NA,3,"LowestRound",2005
26,26,"JL Lewis",98,63,NA,2,"LowestRound",2005
26,26,"Jeff Maggert",79,63,NA,1,"LowestRound",2005
26,26,"Hunter Mahan",103,63,NA,1,"LowestRound",2005
26,26,"Shigeki Maruyama",99,63,NA,2,"LowestRound",2005
26,26,"Billy Mayfair",114,63,NA,2,"LowestRound",2005
26,26,"Ryan Moore",48,63,NA,2,"LowestRound",2005
26,26,"Joe Ogilvie",103,63,NA,2,"LowestRound",2005
26,26,"Kenny Perry",82,63,NA,4,"LowestRound",2005
26,26,"DA Points",94,63,NA,2,"LowestRound",2005
26,26,"Ian Poulter",62,63,NA,4,"LowestRound",2005
26,26,"Michael Putnam",16,63,NA,4,"LowestRound",2005
26,26,"John Rollins",97,63,NA,3,"LowestRound",2005
26,26,"Justin Rose",99,63,NA,2,"LowestRound",2005
26,26,"John Senden",101,63,NA,1,"LowestRound",2005
