"ProximitytoHole_RANKTHISWEEK_2008","ProximitytoHole_RANKLASTWEEK_2008","ProximitytoHole_PLAYERNAME_2008","ProximitytoHole_ROUNDS_2008","ProximitytoHole_AVG_2008","ProximitytoHole_TOTALDISTANCEFEET_2008","ProximitytoHole_OFATTEMPTS_2008","ProximitytoHole_GIRRANK_2008","stat_name","year"
1,1,"Heath Slocum",104,NA,47946,1540,50,"ProximitytoHole",2008
2,2,"Gavin Coles",54,NA,24904.25,788,35,"ProximitytoHole",2008
3,3,"Tim Clark",90,NA,42054.25,1307,131,"ProximitytoHole",2008
4,4,"Chad Campbell",94,NA,49898.917,1526,13,"ProximitytoHole",2008
4,4,"Justin Leonard",101,NA,42628.917,1304,54,"ProximitytoHole",2008
6,6,"Stephen Ames",83,NA,38633.167,1181,96,"ProximitytoHole",2008
6,6,"Scott Verplank",82,NA,38138.5,1164,94,"ProximitytoHole",2008
8,8,"Nick OHern",82,NA,41768.583,1272,116,"ProximitytoHole",2008
9,9,"John Huston",56,NA,28866.417,878,4,"ProximitytoHole",2008
10,10,"Brian Gay",102,NA,51016.667,1543,129,"ProximitytoHole",2008
10,10,"Chez Reavie",102,NA,53284.167,1609,54,"ProximitytoHole",2008
12,12,"Shane Bertsch",96,NA,53463.5,1611,122,"ProximitytoHole",2008
12,12,"Bart Bryant",81,NA,39837.833,1201,101,"ProximitytoHole",2008
14,14,"Ernie Els",51,NA,21488.583,646,178,"ProximitytoHole",2008
15,15,"Tommy Armour III",77,NA,39533.75,1183,56,"ProximitytoHole",2008
15,15,"Jay Williamson",96,NA,47841.667,1432,52,"ProximitytoHole",2008
17,17,"Briny Baird",113,NA,57690.667,1723,5,"ProximitytoHole",2008
17,17,"Olin Browne",77,NA,41844.417,1248,76,"ProximitytoHole",2008
17,17,"Kenny Perry",97,NA,55281,1649,30,"ProximitytoHole",2008
20,20,"Zach Johnson",85,NA,42665.5,1271,28,"ProximitytoHole",2008
20,20,"Patrick Sheehan",124,NA,63135.5,1879,104,"ProximitytoHole",2008
20,20,"Scott Sterling",89,NA,44647.833,1329,22,"ProximitytoHole",2008
23,23,"Robert Gamez",79,NA,42891.917,1275,66,"ProximitytoHole",2008
24,24,"Jeff Quinney",87,NA,44059.667,1307,172,"ProximitytoHole",2008
24,24,"Tom Scherrer",56,NA,26622.75,788,71,"ProximitytoHole",2008
26,26,"Michael Allen",91,NA,47221.667,1394,53,"ProximitytoHole",2008
26,26,"Jim McGovern",75,NA,38160.417,1127,83,"ProximitytoHole",2008
26,26,"Geoff Ogilvy",65,NA,29680.25,877,169,"ProximitytoHole",2008
26,26,"Ryan Palmer",69,NA,36399.167,1076,51,"ProximitytoHole",2008
30,30,"Mark Calcavecchia",67,NA,32751.667,966,114,"ProximitytoHole",2008
31,31,"Cameron Beckman",87,NA,45087.5,1327,69,"ProximitytoHole",2008
31,31,"Dean Wilson",109,NA,56733.083,1667,77,"ProximitytoHole",2008
33,33,"Steve Flesch",95,NA,49301.917,1447,109,"ProximitytoHole",2008
