"Back9Par4ScoringAverage_RANKTHISWEEK_2008","Back9Par4ScoringAverage_RANKLASTWEEK_2008","Back9Par4ScoringAverage_PLAYERNAME_2008","Back9Par4ScoringAverage_ROUNDS_2008","Back9Par4ScoringAverage_AVG_2008","Back9Par4ScoringAverage_TOTALSTROKES_2008","Back9Par4ScoringAverage_TOTALHOLES_2008","stat_name","year"
1,1,"John Huston",56,3.93,1137,289,"Back9Par4ScoringAverage",2008
2,2,"Kent Jones",68,3.97,1411,355,"Back9Par4ScoringAverage",2008
2,2,"Will Ma Kenzie",62,3.97,1286,324,"Back9Par4ScoringAverage",2008
4,4,"Gavin Coles",54,3.98,1137,286,"Back9Par4ScoringAverage",2008
4,4,"Padraig Harrington",52,3.98,1058,266,"Back9Par4ScoringAverage",2008
6,6,"John Mallinger",95,3.99,2055,515,"Back9Par4ScoringAverage",2008
7,7,"Briny Baird",113,4,2435,609,"Back9Par4ScoringAverage",2008
7,7,"Ken Duke",116,4,2474,618,"Back9Par4ScoringAverage",2008
7,7,"Kenny Perry",97,4,2084,521,"Back9Par4ScoringAverage",2008
7,7,"Vijay Singh",82,4,1711,428,"Back9Par4ScoringAverage",2008
7,7,"Bob Tway",70,4,1496,374,"Back9Par4ScoringAverage",2008
7,7,"Mark Wilson",107,4,2302,576,"Back9Par4ScoringAverage",2008
13,13,"Shane Bertsch",96,4.01,2036,508,"Back9Par4ScoringAverage",2008
13,13,"Jim Furyk",95,4.01,2045,510,"Back9Par4ScoringAverage",2008
13,13,"Greg Kraft",63,4.01,1351,337,"Back9Par4ScoringAverage",2008
16,16,"Michael Allen",91,4.02,1901,473,"Back9Par4ScoringAverage",2008
16,16,"Woody Austin",109,4.02,2264,563,"Back9Par4ScoringAverage",2008
16,16,"Marco Dawson",64,4.02,1343,334,"Back9Par4ScoringAverage",2008
16,16,"Glen Day",64,4.02,1395,347,"Back9Par4ScoringAverage",2008
16,16,"Anthony Kim",81,4.02,1783,443,"Back9Par4ScoringAverage",2008
16,16,"Matt Kuchar",88,4.02,1891,470,"Back9Par4ScoringAverage",2008
16,16,"Peter Lonard",92,4.02,2016,501,"Back9Par4ScoringAverage",2008
16,16,"Ryan Palmer",69,4.02,1483,369,"Back9Par4ScoringAverage",2008
16,16,"Rory Sabbatini",77,4.02,1666,414,"Back9Par4ScoringAverage",2008
25,25,"Ben Crane",86,4.03,1856,461,"Back9Par4ScoringAverage",2008
25,25,"Harrison Frazar",73,4.03,1559,387,"Back9Par4ScoringAverage",2008
25,25,"Brian Gay",102,4.03,2250,558,"Back9Par4ScoringAverage",2008
25,25,"Justin Leonard",101,4.03,2092,519,"Back9Par4ScoringAverage",2008
25,25,"Phil Mickelson",80,4.03,1674,415,"Back9Par4ScoringAverage",2008
25,25,"Scott Sterling",89,4.03,1890,469,"Back9Par4ScoringAverage",2008
25,25,"Kevin Streelman",114,4.03,2460,611,"Back9Par4ScoringAverage",2008
25,25,"Charlie Wi",97,4.03,2089,519,"Back9Par4ScoringAverage",2008
33,33,"Stuart Appleby",87,4.04,1816,450,"Back9Par4ScoringAverage",2008
33,33,"Aaron Baddeley",76,4.04,1592,394,"Back9Par4ScoringAverage",2008
33,33,"Tim Clark",90,4.04,1986,491,"Back9Par4ScoringAverage",2008
33,33,"Chad Collins",72,4.04,1552,384,"Back9Par4ScoringAverage",2008
33,33,"Brad Elder",67,4.04,1444,357,"Back9Par4ScoringAverage",2008
33,33,"Carlos Franco",73,4.04,1542,382,"Back9Par4ScoringAverage",2008
33,33,"Tim Herron",97,4.04,2139,530,"Back9Par4ScoringAverage",2008
33,33,"Charley Hoffman",94,4.04,2037,504,"Back9Par4ScoringAverage",2008
33,33,"JB Holmes",86,4.04,1823,451,"Back9Par4ScoringAverage",2008
33,33,"Michael Letzig",88,4.04,1899,470,"Back9Par4ScoringAverage",2008
33,33,"Steve Marino",119,4.04,2587,641,"Back9Par4ScoringAverage",2008
33,33,"Scott McCarron",63,4.04,1342,332,"Back9Par4ScoringAverage",2008
33,33,"Nick OHern",82,4.04,1728,428,"Back9Par4ScoringAverage",2008
33,33,"Joe Ogilvie",100,4.04,2161,535,"Back9Par4ScoringAverage",2008
33,33,"Jeff Overton",103,4.04,2172,537,"Back9Par4ScoringAverage",2008
33,33,"Ted Purdy",68,4.04,1435,355,"Back9Par4ScoringAverage",2008
33,33,"Vaughn Taylor",103,4.04,2248,557,"Back9Par4ScoringAverage",2008
33,33,"Marc Turnesa",87,4.04,1863,461,"Back9Par4ScoringAverage",2008
33,33,"Omar Uresti",74,4.04,1569,388,"Back9Par4ScoringAverage",2008
33,33,"Scott Verplank",82,4.04,1789,443,"Back9Par4ScoringAverage",2008
33,33,"Jimmy Walker",73,4.04,1588,393,"Back9Par4ScoringAverage",2008
33,33,"Boo Weekley",86,4.04,1814,449,"Back9Par4ScoringAverage",2008
33,33,"Tim Wilkinson",95,4.04,2039,505,"Back9Par4ScoringAverage",2008
33,33,"Dean Wilson",109,4.04,2353,583,"Back9Par4ScoringAverage",2008
57,57,"Robert Allenby",108,4.05,2294,567,"Back9Par4ScoringAverage",2008
57,57,"Stephen Ames",83,4.05,1813,448,"Back9Par4ScoringAverage",2008
57,57,"Chad Campbell",94,4.05,2069,511,"Back9Par4ScoringAverage",2008
57,57,"KJ Choi",74,4.05,1547,382,"Back9Par4ScoringAverage",2008
57,57,"Brian Davis",108,4.05,2332,576,"Back9Par4ScoringAverage",2008
57,57,"Bob Estes",90,4.05,1946,480,"Back9Par4ScoringAverage",2008
57,57,"Robert Gamez",79,4.05,1705,421,"Back9Par4ScoringAverage",2008
57,57,"Lucas Glover",91,4.05,1991,491,"Back9Par4ScoringAverage",2008
57,57,"Mathew Goggin",91,4.05,1954,483,"Back9Par4ScoringAverage",2008
57,57,"Dudley Hart",74,4.05,1621,400,"Back9Par4ScoringAverage",2008
57,57,"JJ Henry",108,4.05,2342,578,"Back9Par4ScoringAverage",2008
57,57,"Davis Love III",78,4.05,1694,418,"Back9Par4ScoringAverage",2008
57,57,"Troy Matteson",94,4.05,1983,490,"Back9Par4ScoringAverage",2008
57,57,"John Merrick",98,4.05,2132,526,"Back9Par4ScoringAverage",2008
57,57,"Pat Perez",93,4.05,1983,490,"Back9Par4ScoringAverage",2008
57,57,"Tom Pernice Jr",104,4.05,2276,562,"Back9Par4ScoringAverage",2008
57,57,"Tim Petrovic",97,4.05,2055,508,"Back9Par4ScoringAverage",2008
57,57,"Kevin Sutherland",98,4.05,2121,524,"Back9Par4ScoringAverage",2008
57,57,"Nick Watney",96,4.05,2033,502,"Back9Par4ScoringAverage",2008
57,57,"Mike Weir",88,4.05,1874,463,"Back9Par4ScoringAverage",2008
57,57,"Ron Whittaker",54,4.05,1150,284,"Back9Par4ScoringAverage",2008
78,78,"Cameron Beckman",87,4.06,1843,454,"Back9Par4ScoringAverage",2008
78,78,"Rich Beem",90,4.06,1913,471,"Back9Par4ScoringAverage",2008
78,78,"Ben Curtis",80,4.06,1760,434,"Back9Par4ScoringAverage",2008
78,78,"Chris DiMarco",87,4.06,1870,461,"Back9Par4ScoringAverage",2008
78,78,"Steve Elkington",84,4.06,1792,441,"Back9Par4ScoringAverage",2008
78,78,"Steve Flesch",95,4.06,2047,504,"Back9Par4ScoringAverage",2008
78,78,"Charles Howell III",101,4.06,2128,524,"Back9Par4ScoringAverage",2008
78,78,"Ryuji Imada",80,4.06,1707,420,"Back9Par4ScoringAverage",2008
78,78,"Lee Janzen",89,4.06,1874,462,"Back9Par4ScoringAverage",2008
78,78,"Dustin Johnson",92,4.06,1966,484,"Back9Par4ScoringAverage",2008
78,78,"Jeff Maggert",86,4.06,1842,454,"Back9Par4ScoringAverage",2008
78,78,"Parker McLachlin",88,4.06,1909,470,"Back9Par4ScoringAverage",2008
78,78,"George McNeill",97,4.06,2113,521,"Back9Par4ScoringAverage",2008
78,78,"Geoff Ogilvy",65,4.06,1379,340,"Back9Par4ScoringAverage",2008
78,78,"Jin Park",85,4.06,1801,444,"Back9Par4ScoringAverage",2008
78,78,"Jesper Parnevik",88,4.06,1910,471,"Back9Par4ScoringAverage",2008
78,78,"Chris Riley",51,4.06,1085,267,"Back9Par4ScoringAverage",2008
78,78,"Steve Stricker",75,4.06,1584,390,"Back9Par4ScoringAverage",2008
78,78,"Nicholas Thompson",113,4.06,2446,602,"Back9Par4ScoringAverage",2008
78,78,"Bo Van Pelt",101,4.06,2199,542,"Back9Par4ScoringAverage",2008
78,78,"Jay Williamson",96,4.06,2076,511,"Back9Par4ScoringAverage",2008
99,99,"Jonathan Byrd",88,4.07,1843,453,"Back9Par4ScoringAverage",2008
99,99,"Daniel Chopra",84,4.07,1777,437,"Back9Par4ScoringAverage",2008
99,99,"Stewart Cink",87,4.07,1730,425,"Back9Par4ScoringAverage",2008
99,99,"Todd Demsey",80,4.07,1725,424,"Back9Par4ScoringAverage",2008
99,99,"Jason Gore",94,4.07,1987,488,"Back9Par4ScoringAverage",2008
99,99,"Jeff Gove",50,4.07,1092,268,"Back9Par4ScoringAverage",2008
99,99,"Nathan Green",95,4.07,2029,498,"Back9Par4ScoringAverage",2008
99,99,"Frank Lickliter II",107,4.07,2320,570,"Back9Par4ScoringAverage",2008
99,99,"Hunter Mahan",87,4.07,1869,459,"Back9Par4ScoringAverage",2008
