"ConsecutiveFairwaysHit_RANKTHISWEEK_2006","ConsecutiveFairwaysHit_RANKLASTWEEK_2006","ConsecutiveFairwaysHit_PLAYERNAME_2006","ConsecutiveFairwaysHit_EVENTS_2006","ConsecutiveFairwaysHit_BESTSTREAK_2006","ConsecutiveFairwaysHit_CURRENTSTREAK_2006","stat_name","year"
1,1,"Joe Durant",28,52,3,"ConsecutiveFairwaysHit",2006
2,2,"Tim Clark",22,39,1,"ConsecutiveFairwaysHit",2006
3,3,"Will Ma Kenzie",29,34,NA,"ConsecutiveFairwaysHit",2006
4,4,"Steve Flesch",33,31,NA,"ConsecutiveFairwaysHit",2006
4,4,"Fred Funk",29,31,5,"ConsecutiveFairwaysHit",2006
6,6,"Paul Goydos",24,30,7,"ConsecutiveFairwaysHit",2006
6,6,"Craig Stadler",4,30,1,"ConsecutiveFairwaysHit",2006
8,8,"Scott Gump",10,29,6,"ConsecutiveFairwaysHit",2006
8,8,"Heath Slocum",30,29,NA,"ConsecutiveFairwaysHit",2006
10,10,"Gavin Coles",5,28,NA,"ConsecutiveFairwaysHit",2006
10,10,"Jeff Maggert",26,28,3,"ConsecutiveFairwaysHit",2006
10,10,"Kirk Triplett",18,28,1,"ConsecutiveFairwaysHit",2006
13,13,"Jim Furyk",24,27,2,"ConsecutiveFairwaysHit",2006
13,13,"Graeme McDowell",15,27,8,"ConsecutiveFairwaysHit",2006
13,13,"Ryan Moore",22,27,NA,"ConsecutiveFairwaysHit",2006
13,13,"Jerry Smith",29,27,2,"ConsecutiveFairwaysHit",2006
17,17,"Briny Baird",25,26,1,"ConsecutiveFairwaysHit",2006
17,17,"Chris Couch",27,26,NA,"ConsecutiveFairwaysHit",2006
17,17,"Greg Kraft",26,26,1,"ConsecutiveFairwaysHit",2006
17,17,"Jay Williamson",18,26,3,"ConsecutiveFairwaysHit",2006
21,21,"Jose Coceres",13,25,4,"ConsecutiveFairwaysHit",2006
21,21,"Arron Oberholser",23,25,1,"ConsecutiveFairwaysHit",2006
23,23,"Billy Andrade",24,24,NA,"ConsecutiveFairwaysHit",2006
23,23,"Richard Johnson",29,24,1,"ConsecutiveFairwaysHit",2006
23,23,"Jerry Kelly",31,24,1,"ConsecutiveFairwaysHit",2006
23,23,"Larry Mize",18,24,NA,"ConsecutiveFairwaysHit",2006
23,23,"Bob Tway",25,24,1,"ConsecutiveFairwaysHit",2006
23,23,"Mark Wilson",24,24,1,"ConsecutiveFairwaysHit",2006
29,29,"David Branshaw",29,23,NA,"ConsecutiveFairwaysHit",2006
29,29,"Stewart Cink",26,23,1,"ConsecutiveFairwaysHit",2006
29,29,"Brian Davis",28,23,NA,"ConsecutiveFairwaysHit",2006
29,29,"Chris DiMarco",26,23,2,"ConsecutiveFairwaysHit",2006
29,29,"Donnie Hammond",11,23,2,"ConsecutiveFairwaysHit",2006
29,29,"JL Lewis",17,23,NA,"ConsecutiveFairwaysHit",2006
29,29,"Blaine McCallister",10,23,2,"ConsecutiveFairwaysHit",2006
29,29,"Wes Short Jr",33,23,NA,"ConsecutiveFairwaysHit",2006
29,29,"Jeff Sluman",29,23,4,"ConsecutiveFairwaysHit",2006
29,29,"Scott Verplank",25,23,3,"ConsecutiveFairwaysHit",2006
