"PercentageofYardagecoveredbyTeeShots_RANKTHISWEEK_2014","PercentageofYardagecoveredbyTeeShots_RANKLASTWEEK_2014","PercentageofYardagecoveredbyTeeShots_PLAYERNAME_2014","PercentageofYardagecoveredbyTeeShots_ROUNDS_2014","PercentageofYardagecoveredbyTeeShots_AVGPct_2014","PercentageofYardagecoveredbyTeeShots_TOTALSHOTDISTANCE_2014","PercentageofYardagecoveredbyTeeShots_TOTALDISTANCE_2014","stat_name","year"
1,1,"Bubba Watson",76,66.17,239169.2,361425,"PercentageofYardagecoveredbyTeeShots",2014
2,2,"Dustin Johnson",58,65.74,172636.6,262597,"PercentageofYardagecoveredbyTeeShots",2014
3,3,"Jamie Lovemark",64,65.21,194862.8,298804,"PercentageofYardagecoveredbyTeeShots",2014
4,4,"Andrew Loupe",65,65.14,206956.1,317719,"PercentageofYardagecoveredbyTeeShots",2014
5,5,"Rory McIlroy",66,65.04,202488.4,311316,"PercentageofYardagecoveredbyTeeShots",2014
6,6,"Charles Howell III",106,64.42,390225.7,605711,"PercentageofYardagecoveredbyTeeShots",2014
7,7,"JB Holmes",86,64.18,318362.2,496030,"PercentageofYardagecoveredbyTeeShots",2014
8,8,"Charlie Beljan",76,63.93,271939.3,425366,"PercentageofYardagecoveredbyTeeShots",2014
9,9,"Ryan Palmer",85,63.89,273523.1,428092,"PercentageofYardagecoveredbyTeeShots",2014
10,10,"Angel Cabrera",69,63.88,249409.2,390446,"PercentageofYardagecoveredbyTeeShots",2014
11,11,"Brooks Koepka",56,63.86,170157.7,266474,"PercentageofYardagecoveredbyTeeShots",2014
12,12,"Jason Day",54,63.78,135992,213236,"PercentageofYardagecoveredbyTeeShots",2014
13,13,"Jimmy Walker",98,63.75,300154.9,470795,"PercentageofYardagecoveredbyTeeShots",2014
14,14,"Jhonattan Vegas",77,63.73,260456.7,408668,"PercentageofYardagecoveredbyTeeShots",2014
15,15,"Adam Scott",68,63.68,230419.8,361860,"PercentageofYardagecoveredbyTeeShots",2014
16,16,"Sean OHair",77,63.56,270096.3,424948,"PercentageofYardagecoveredbyTeeShots",2014
17,17,"Steven Bowditch",93,63.53,315943.7,497290,"PercentageofYardagecoveredbyTeeShots",2014
18,18,"Gary Woodland",93,63.48,299739.9,472159,"PercentageofYardagecoveredbyTeeShots",2014
19,19,"Robert Garrigus",80,63.45,294753.5,464564,"PercentageofYardagecoveredbyTeeShots",2014
20,20,"Charley Hoffman",93,63.41,307181.5,484462,"PercentageofYardagecoveredbyTeeShots",2014
