"Back9Round1ScoringAverage_RANKTHISWEEK_2016","Back9Round1ScoringAverage_RANKLASTWEEK_2016","Back9Round1ScoringAverage_PLAYERNAME_2016","Back9Round1ScoringAverage__2016","Back9Round1ScoringAverage_AVG_2016","Back9Round1ScoringAverage_TOTALSTROKES_2016","Back9Round1ScoringAverage_TOTALROUNDS_2016","stat_name","year"
1,1,"Jhonattan Vegas",NA,34.07,477,14,"Back9Round1ScoringAverage",2016
2,5,"Chez Reavie",NA,34.31,549,16,"Back9Round1ScoringAverage",2016
3,7,"Aaron Baddeley",NA,34.4,516,15,"Back9Round1ScoringAverage",2016
4,2,"Ben Martin",NA,34.43,482,14,"Back9Round1ScoringAverage",2016
5,4,"Hideki Matsuyama",NA,34.45,379,11,"Back9Round1ScoringAverage",2016
6,13,"Kevin Chappell",NA,34.5,483,14,"Back9Round1ScoringAverage",2016
6,16,"Phil Mickelson",NA,34.5,345,10,"Back9Round1ScoringAverage",2016
6,9,"Andres Romero",NA,34.5,276,8,"Back9Round1ScoringAverage",2016
9,3,"Adam Scott",NA,34.56,311,9,"Back9Round1ScoringAverage",2016
10,11,"Sergio Garcia",NA,34.57,242,7,"Back9Round1ScoringAverage",2016
10,11,"DJ Trahan",NA,34.57,242,7,"Back9Round1ScoringAverage",2016
12,15,"Jason Day",NA,34.63,277,8,"Back9Round1ScoringAverage",2016
12,9,"Si Woo Kim",NA,34.63,658,19,"Back9Round1ScoringAverage",2016
14,13,"Brendan Steele",NA,34.64,485,14,"Back9Round1ScoringAverage",2016
14,5,"Michael Thompson",NA,34.64,485,14,"Back9Round1ScoringAverage",2016
16,8,"Charles Howell III",NA,34.65,589,17,"Back9Round1ScoringAverage",2016
17,16,"Shane Bertsch",NA,34.67,312,9,"Back9Round1ScoringAverage",2016
18,18,"Cameron Percy",NA,34.71,243,7,"Back9Round1ScoringAverage",2016
18,24,"Ollie Schniederjans",NA,34.71,243,7,"Back9Round1ScoringAverage",2016
20,19,"Lucas Glover",NA,34.81,557,16,"Back9Round1ScoringAverage",2016
21,20,"Bronson Burgoon",NA,34.82,592,17,"Back9Round1ScoringAverage",2016
21,23,"Matt Kuchar",NA,34.82,383,11,"Back9Round1ScoringAverage",2016
23,20,"Jim Herman",NA,34.88,593,17,"Back9Round1ScoringAverage",2016
23,43,"Dawie van der Walt",NA,34.88,558,16,"Back9Round1ScoringAverage",2016
25,20,"Patrick Reed",NA,34.92,454,13,"Back9Round1ScoringAverage",2016
26,25,"Harris English",NA,34.93,524,15,"Back9Round1ScoringAverage",2016
26,30,"Russell Henley",NA,34.93,489,14,"Back9Round1ScoringAverage",2016
26,30,"Smylie Kaufman",NA,34.93,524,15,"Back9Round1ScoringAverage",2016
26,30,"Daniel Summerhays",NA,34.93,524,15,"Back9Round1ScoringAverage",2016
30,27,"Roberto Castro",NA,34.94,559,16,"Back9Round1ScoringAverage",2016
31,33,"Paul Casey",NA,35,350,10,"Back9Round1ScoringAverage",2016
31,47,"Ben Crane",NA,35,560,16,"Back9Round1ScoringAverage",2016
31,28,"David Hearn",NA,35,630,18,"Back9Round1ScoringAverage",2016
31,33,"Jerry Kelly",NA,35,420,12,"Back9Round1ScoringAverage",2016
35,47,"Andrew Loupe",NA,35.06,561,16,"Back9Round1ScoringAverage",2016
36,45,"Charley Hoffman",NA,35.08,456,13,"Back9Round1ScoringAverage",2016
36,33,"Henrik Norlander",NA,35.08,456,13,"Back9Round1ScoringAverage",2016
38,33,"Rob Oppenheim",NA,35.09,386,11,"Back9Round1ScoringAverage",2016
39,46,"Brooks Koepka",NA,35.1,351,10,"Back9Round1ScoringAverage",2016
40,41,"Brian Harman",NA,35.11,632,18,"Back9Round1ScoringAverage",2016
40,33,"JB Holmes",NA,35.11,316,9,"Back9Round1ScoringAverage",2016
42,33,"Scott Brown",NA,35.12,597,17,"Back9Round1ScoringAverage",2016
43,25,"Tony Finau",NA,35.13,527,15,"Back9Round1ScoringAverage",2016
43,47,"Freddie Jacobson",NA,35.13,562,16,"Back9Round1ScoringAverage",2016
43,113,"Henrik Stenson",NA,35.13,281,8,"Back9Round1ScoringAverage",2016
46,52,"Graham DeLaet",NA,35.14,492,14,"Back9Round1ScoringAverage",2016
47,52,"Brandt Snedeker",NA,35.15,457,13,"Back9Round1ScoringAverage",2016
48,41,"Chad Campbell",NA,35.17,633,18,"Back9Round1ScoringAverage",2016
48,57,"Ryan Palmer",NA,35.17,422,12,"Back9Round1ScoringAverage",2016
50,33,"Jamie Lovemark",NA,35.18,598,17,"Back9Round1ScoringAverage",2016
51,71,"Steve Wheatcroft",NA,35.19,563,16,"Back9Round1ScoringAverage",2016
52,43,"Patton Kizzire",NA,35.2,528,15,"Back9Round1ScoringAverage",2016
52,58,"Louis Oosthuizen",NA,35.2,176,5,"Back9Round1ScoringAverage",2016
54,59,"KJ Choi",NA,35.21,493,14,"Back9Round1ScoringAverage",2016
54,52,"Steve Marino",NA,35.21,493,14,"Back9Round1ScoringAverage",2016
54,52,"Justin Thomas",NA,35.21,493,14,"Back9Round1ScoringAverage",2016
57,47,"Shane Lowry",NA,35.22,317,9,"Back9Round1ScoringAverage",2016
58,29,"Stuart Appleby",NA,35.23,458,13,"Back9Round1ScoringAverage",2016
