"PuttingRating_RANKTHISWEEK_2008","PuttingRating_RANKLASTWEEK_2008","PuttingRating_PLAYERNAME_2008","PuttingRating_EVENTS_2008","PuttingRating_RATING_2008","stat_name","year"
1,1,"Paul Azinger",1,9.5,"PuttingRating",2008
2,2,"Erik Compton",1,9.4,"PuttingRating",2008
3,3,"Danny Lee",1,9.2,"PuttingRating",2008
4,4,"Andrew Magee",1,9.1,"PuttingRating",2008
4,4,"Toru Taniguchi",2,9.1,"PuttingRating",2008
6,6,"Spencer Levin",1,9,"PuttingRating",2008
7,7,"Yusaku Miyazato",1,8.8,"PuttingRating",2008
8,8,"Anders Hansen",2,8.7,"PuttingRating",2008
9,9,"Daniel Chopra",13,8.6,"PuttingRating",2008
9,9,"Gregory Havret",1,8.6,"PuttingRating",2008
11,11,"Richard Finch",1,8.5,"PuttingRating",2008
11,11,"Bob May",2,8.5,"PuttingRating",2008
11,11,"Corey Pavin",11,8.5,"PuttingRating",2008
11,11,"Bob Tway",13,8.5,"PuttingRating",2008
15,15,"Aaron Baddeley",13,8.4,"PuttingRating",2008
15,15,"Chad Collins",10,8.4,"PuttingRating",2008
15,15,"Brent Geiberger",1,8.4,"PuttingRating",2008
15,15,"Padraig Harrington",7,8.4,"PuttingRating",2008
15,15,"Ryuji Imada",14,8.4,"PuttingRating",2008
15,15,"Robert Karlsson",3,8.4,"PuttingRating",2008
15,15,"John Mallinger",18,8.4,"PuttingRating",2008
15,15,"Shaun Micheel",5,8.4,"PuttingRating",2008
15,15,"Ryan Palmer",11,8.4,"PuttingRating",2008
15,15,"Brenden Pappas",7,8.4,"PuttingRating",2008
15,15,"Graeme Storm",1,8.4,"PuttingRating",2008
26,26,"Luke Donald",6,8.3,"PuttingRating",2008
26,26,"Reid Edstrom",1,8.3,"PuttingRating",2008
26,26,"Tommy Gainey",3,8.3,"PuttingRating",2008
26,26,"Brian Gay",17,8.3,"PuttingRating",2008
26,26,"Nathan Green",17,8.3,"PuttingRating",2008
26,26,"Bob Heintz",6,8.3,"PuttingRating",2008
26,26,"Gabriel Hjertstedt",1,8.3,"PuttingRating",2008
26,26,"Richard Johnson",7,8.3,"PuttingRating",2008
26,26,"Alan Morin",1,8.3,"PuttingRating",2008
26,26,"Joe Ogilvie",17,8.3,"PuttingRating",2008
26,26,"Stephen Poole",1,8.3,"PuttingRating",2008
26,26,"Webb Simpson",3,8.3,"PuttingRating",2008
26,26,"Chip Sullivan",2,8.3,"PuttingRating",2008
39,39,"Eric Axley",17,8.2,"PuttingRating",2008
39,39,"Jose Coceres",5,8.2,"PuttingRating",2008
39,39,"Jason Day",12,8.2,"PuttingRating",2008
39,39,"Robert Floyd",1,8.2,"PuttingRating",2008
39,39,"Craig Kanada",9,8.2,"PuttingRating",2008
39,39,"Greg Kraft",8,8.2,"PuttingRating",2008
39,39,"Len Mattiace",3,8.2,"PuttingRating",2008
39,39,"Nick OHern",15,8.2,"PuttingRating",2008
39,39,"Ian Poulter",8,8.2,"PuttingRating",2008
39,39,"Jeff Quinney",15,8.2,"PuttingRating",2008
39,39,"Ted Schulz",1,8.2,"PuttingRating",2008
39,39,"Mitsuhiro Tateyama",1,8.2,"PuttingRating",2008
39,39,"Michael Thompson",2,8.2,"PuttingRating",2008
39,39,"Tiger Woods",3,8.2,"PuttingRating",2008
53,53,"Brian Bateman",5,8.1,"PuttingRating",2008
53,53,"Notah Begay III",3,8.1,"PuttingRating",2008
53,53,"SSP Chawrasia",1,8.1,"PuttingRating",2008
53,53,"Tim Clark",16,8.1,"PuttingRating",2008
53,53,"Stuart Deane",1,8.1,"PuttingRating",2008
53,53,"Jason Dufner",6,8.1,"PuttingRating",2008
53,53,"Ken Duke",23,8.1,"PuttingRating",2008
53,53,"Philip Francis",1,8.1,"PuttingRating",2008
53,53,"Paul Goydos",12,8.1,"PuttingRating",2008
53,53,"Jerry Kelly",13,8.1,"PuttingRating",2008
53,53,"Anthony Kim",15,8.1,"PuttingRating",2008
53,53,"Ian Leggatt",2,8.1,"PuttingRating",2008
53,53,"Justin Leonard",19,8.1,"PuttingRating",2008
53,53,"WC Liang",3,8.1,"PuttingRating",2008
53,53,"Phil Mickelson",14,8.1,"PuttingRating",2008
53,53,"Ryan Moore",11,8.1,"PuttingRating",2008
53,53,"John Morse",1,8.1,"PuttingRating",2008
53,53,"Kevin Na",19,8.1,"PuttingRating",2008
53,53,"Jose Maria Olazabal",2,8.1,"PuttingRating",2008
53,53,"Deane Pappas",1,8.1,"PuttingRating",2008
53,53,"Carl Pettersson",23,8.1,"PuttingRating",2008
53,53,"Steve Stricker",12,8.1,"PuttingRating",2008
53,53,"Marc Turnesa",12,8.1,"PuttingRating",2008
76,76,"Stuart Appleby",16,8,"PuttingRating",2008
76,76,"Alejandro Canizares",8,8,"PuttingRating",2008
76,76,"Ben Crane",17,8,"PuttingRating",2008
76,76,"Brad Elder",8,8,"PuttingRating",2008
76,76,"Ernie Els",7,8,"PuttingRating",2008
76,76,"Retief Goosen",8,8,"PuttingRating",2008
76,76,"Rob Grube",1,8,"PuttingRating",2008
76,76,"Bill Haas",17,8,"PuttingRating",2008
76,76,"Tim Herron",18,8,"PuttingRating",2008
76,76,"Freddie Jacobson",13,8,"PuttingRating",2008
76,76,"Pablo Larrazabal",1,8,"PuttingRating",2008
76,76,"Michael Letzig",13,8,"PuttingRating",2008
76,76,"Paul McGinley",1,8,"PuttingRating",2008
76,76,"Jesper Parnevik",13,8,"PuttingRating",2008
76,76,"Tom Pernice Jr",22,8,"PuttingRating",2008
76,76,"Brett Rumford",8,8,"PuttingRating",2008
76,76,"Michael Sim",4,8,"PuttingRating",2008
76,76,"Vaughn Taylor",18,8,"PuttingRating",2008
76,76,"Garrett Willis",4,8,"PuttingRating",2008
95,95,"Rich Beem",15,7.9,"PuttingRating",2008
95,95,"Shane Bertsch",19,7.9,"PuttingRating",2008
95,95,"Guy Boros",2,7.9,"PuttingRating",2008
95,95,"Chad Campbell",18,7.9,"PuttingRating",2008
95,95,"KJ Choi",13,7.9,"PuttingRating",2008
95,95,"Gavin Coles",9,7.9,"PuttingRating",2008
95,95,"Ben Curtis",15,7.9,"PuttingRating",2008
95,95,"Marco Dawson",10,7.9,"PuttingRating",2008
95,95,"Chris DiMarco",12,7.9,"PuttingRating",2008
95,95,"Nick Dougherty",2,7.9,"PuttingRating",2008
95,95,"David Duval",4,7.9,"PuttingRating",2008
95,95,"Jim Gallagher Jr",1,7.9,"PuttingRating",2008
95,95,"Dudley Hart",14,7.9,"PuttingRating",2008
95,95,"Mark Hensby",9,7.9,"PuttingRating",2008
95,95,"JB Holmes",15,7.9,"PuttingRating",2008
95,95,"Hidemasa Hoshino",1,7.9,"PuttingRating",2008
95,95,"Bernhard Langer",1,7.9,"PuttingRating",2008
95,95,"Steve Lowery",11,7.9,"PuttingRating",2008
95,95,"Scott McCarron",8,7.9,"PuttingRating",2008
95,95,"Parker McLachlin",16,7.9,"PuttingRating",2008
95,95,"Jin Park",10,7.9,"PuttingRating",2008
95,95,"Chris Riley",7,7.9,"PuttingRating",2008
95,95,"Camilo Villegas",15,7.9,"PuttingRating",2008
95,95,"Jimmy Walker",9,7.9,"PuttingRating",2008
95,95,"Mike Weir",15,7.9,"PuttingRating",2008
95,95,"Dean Wilson",19,7.9,"PuttingRating",2008
95,95,"Oliver Wilson",1,7.9,"PuttingRating",2008
95,95,"Casey Wittenberg",2,7.9,"PuttingRating",2008
123,123,"Michael Allen",17,7.8,"PuttingRating",2008
123,123,"Jason Allred",6,7.8,"PuttingRating",2008
123,123,"Stephen Ames",15,7.8,"PuttingRating",2008
123,123,"Cameron Beckman",12,7.8,"PuttingRating",2008
123,123,"Jonathan Byrd",16,7.8,"PuttingRating",2008
123,123,"Stewart Cink",16,7.8,"PuttingRating",2008
123,123,"Darren Clarke",1,7.8,"PuttingRating",2008
123,123,"Fred Couples",12,7.8,"PuttingRating",2008
123,123,"Robert Damron",2,7.8,"PuttingRating",2008
123,123,"Glen Day",11,7.8,"PuttingRating",2008
123,123,"John Douma",1,7.8,"PuttingRating",2008
123,123,"James Driscoll",13,7.8,"PuttingRating",2008
123,123,"Steve Flesch",15,7.8,"PuttingRating",2008
123,123,"Jim Furyk",18,7.8,"PuttingRating",2008
123,123,"Jason Gore",15,7.8,"PuttingRating",2008
123,123,"Scott Hoch",1,7.8,"PuttingRating",2008
123,123,"Charley Hoffman",16,7.8,"PuttingRating",2008
123,123,"John Huston",10,7.8,"PuttingRating",2008
123,123,"Lee Janzen",13,7.8,"PuttingRating",2008
123,123,"Chris Kirk",1,7.8,"PuttingRating",2008
123,123,"Doug LaBelle II",8,7.8,"PuttingRating",2008
123,123,"Frank Lickliter II",21,7.8,"PuttingRating",2008
