"PresidentsCupUnitedes_RANKTHISWEEK_2012","PresidentsCupUnitedes_RANKLASTWEEK_2012","PresidentsCupUnitedes_PLAYERNAME_2012","PresidentsCupUnitedes__2012","PresidentsCupUnitedes_POINTS_2012","stat_name","year"
1,1,"Tiger Woods",NA,6163533,"PresidentsCupUnitedes",2012
2,2,"Brandt Snedeker",NA,5171606,"PresidentsCupUnitedes",2012
3,3,"Jason Dufner",NA,5059704,"PresidentsCupUnitedes",2012
4,4,"Hunter Mahan",NA,4883193,"PresidentsCupUnitedes",2012
5,5,"Bubba Watson",NA,4787397,"PresidentsCupUnitedes",2012
6,6,"Zach Johnson",NA,4504244,"PresidentsCupUnitedes",2012
7,7,"Phil Mickelson",NA,4431021,"PresidentsCupUnitedes",2012
8,8,"Webb Simpson",NA,4163068,"PresidentsCupUnitedes",2012
9,9,"Keegan Bradley",NA,4121058,"PresidentsCupUnitedes",2012
10,10,"Matt Kuchar",NA,4098398,"PresidentsCupUnitedes",2012
11,11,"Bill Haas",NA,3789951,"PresidentsCupUnitedes",2012
12,12,"Jim Furyk",NA,3711805,"PresidentsCupUnitedes",2012
13,13,"Nick Watney",NA,3652224,"PresidentsCupUnitedes",2012
14,14,"Steve Stricker",NA,3596021,"PresidentsCupUnitedes",2012
15,15,"Dustin Johnson",NA,3536220,"PresidentsCupUnitedes",2012
16,16,"Bo Van Pelt",NA,3283509,"PresidentsCupUnitedes",2012
17,17,"Robert Garrigus",NA,3276336,"PresidentsCupUnitedes",2012
18,18,"Rickie Fowler",NA,3066293,"PresidentsCupUnitedes",2012
19,19,"Kevin Na",NA,2899443,"PresidentsCupUnitedes",2012
20,20,"Ryan Moore",NA,2858944,"PresidentsCupUnitedes",2012
21,21,"Scott Piercy",NA,2816339,"PresidentsCupUnitedes",2012
22,22,"John Huh",NA,2692113,"PresidentsCupUnitedes",2012
23,23,"Ben Crane",NA,2518898,"PresidentsCupUnitedes",2012
24,24,"Ben Curtis",NA,2514467,"PresidentsCupUnitedes",2012
25,25,"Kyle Stanley",NA,2458471,"PresidentsCupUnitedes",2012
26,26,"Mark Wilson",NA,2277580,"PresidentsCupUnitedes",2012
27,27,"Bryce Molder",NA,2251649,"PresidentsCupUnitedes",2012
28,28,"Johnson Wagner",NA,2237807,"PresidentsCupUnitedes",2012
29,29,"Bud Cauley",NA,2178479,"PresidentsCupUnitedes",2012
30,30,"Matt Every",NA,1972166,"PresidentsCupUnitedes",2012
31,31,"David Toms",NA,1820828,"PresidentsCupUnitedes",2012
32,32,"John Rollins",NA,1816265,"PresidentsCupUnitedes",2012
33,33,"Tommy Gainey",NA,1795949,"PresidentsCupUnitedes",2012
