"BirdieorBetterPercentage175200ya_RANKTHISWEEK_2016","BirdieorBetterPercentage175200ya_RANKLASTWEEK_2016","BirdieorBetterPercentage175200ya_PLAYERNAME_2016","BirdieorBetterPercentage175200ya_ROUNDS_2016","BirdieorBetterPercentage175200ya_Pct_2016","BirdieorBetterPercentage175200ya_TOTALBIRDIES_2016","BirdieorBetterPercentage175200ya_TOTALHOLES_2016","stat_name","year"
1,2,"Justin Rose",35,26.58,21,79,"BirdieorBetterPercentage175200ya",2016
2,1,"Adam Scott",39,25.61,21,82,"BirdieorBetterPercentage175200ya",2016
3,5,"Bubba Watson",30,23.08,12,52,"BirdieorBetterPercentage175200ya",2016
4,8,"Dustin Johnson",37,22.22,14,63,"BirdieorBetterPercentage175200ya",2016
5,4,"Byeong Hun An",23,21.43,9,42,"BirdieorBetterPercentage175200ya",2016
6,35,"Rory McIlroy",37,21.21,14,66,"BirdieorBetterPercentage175200ya",2016
7,10,"Zach Johnson",42,20.87,24,115,"BirdieorBetterPercentage175200ya",2016
8,7,"David Lingmerth",54,20.66,25,121,"BirdieorBetterPercentage175200ya",2016
9,3,"Shane Lowry",35,20.63,13,63,"BirdieorBetterPercentage175200ya",2016
10,6,"Hideki Matsuyama",40,19.78,18,91,"BirdieorBetterPercentage175200ya",2016
11,11,"Fabian Gomez",49,19.59,29,148,"BirdieorBetterPercentage175200ya",2016
12,12,"Freddie Jacobson",54,19.23,25,130,"BirdieorBetterPercentage175200ya",2016
13,14,"Jason Day",36,19.05,12,63,"BirdieorBetterPercentage175200ya",2016
14,9,"Henrik Stenson",30,18.46,12,65,"BirdieorBetterPercentage175200ya",2016
15,16,"Brice Garnett",29,17.5,7,40,"BirdieorBetterPercentage175200ya",2016
15,47,"Andrew Loupe",50,17.5,21,120,"BirdieorBetterPercentage175200ya",2016
17,18,"DJ Trahan",23,17.39,4,23,"BirdieorBetterPercentage175200ya",2016
18,19,"Billy Horschel",45,17.36,21,121,"BirdieorBetterPercentage175200ya",2016
19,13,"Paul Casey",39,17.24,15,87,"BirdieorBetterPercentage175200ya",2016
20,21,"Kevin Na",52,17.19,22,128,"BirdieorBetterPercentage175200ya",2016
21,22,"Andy Sullivan",25,17.14,12,70,"BirdieorBetterPercentage175200ya",2016
22,23,"Ryan Palmer",46,17.05,22,129,"BirdieorBetterPercentage175200ya",2016
23,24,"Charl Schwartzel",29,16.92,11,65,"BirdieorBetterPercentage175200ya",2016
24,26,"Brooks Koepka",39,16.67,12,72,"BirdieorBetterPercentage175200ya",2016
25,28,"Charley Hoffman",49,16.38,19,116,"BirdieorBetterPercentage175200ya",2016
26,31,"Hudson Swafford",52,16.3,22,135,"BirdieorBetterPercentage175200ya",2016
27,20,"Tony Finau",49,16.28,21,129,"BirdieorBetterPercentage175200ya",2016
28,32,"William McGirt",54,16.2,29,179,"BirdieorBetterPercentage175200ya",2016
29,16,"Rob Oppenheim",37,16.16,16,99,"BirdieorBetterPercentage175200ya",2016
30,27,"Steven Bowditch",40,16.05,13,81,"BirdieorBetterPercentage175200ya",2016
31,15,"Johnson Wagner",44,15.97,19,119,"BirdieorBetterPercentage175200ya",2016
32,51,"Jason Gore",51,15.83,19,120,"BirdieorBetterPercentage175200ya",2016
33,46,"JB Holmes",39,15.79,12,76,"BirdieorBetterPercentage175200ya",2016
33,37,"Bernd Wiesberger",23,15.79,6,38,"BirdieorBetterPercentage175200ya",2016
35,25,"Alex Cejka",47,15.63,15,96,"BirdieorBetterPercentage175200ya",2016
36,40,"Chad Campbell",54,15.53,25,161,"BirdieorBetterPercentage175200ya",2016
36,30,"Si Woo Kim",63,15.53,25,161,"BirdieorBetterPercentage175200ya",2016
38,41,"Wes Roach",33,15.52,9,58,"BirdieorBetterPercentage175200ya",2016
39,42,"Daniel Summerhays",55,15.48,24,155,"BirdieorBetterPercentage175200ya",2016
40,39,"Daniel Berger",52,15.44,21,136,"BirdieorBetterPercentage175200ya",2016
41,33,"Harold Varner III",58,15.43,25,162,"BirdieorBetterPercentage175200ya",2016
42,62,"Brian Harman",60,15.29,24,157,"BirdieorBetterPercentage175200ya",2016
42,45,"Marc Leishman",41,15.29,13,85,"BirdieorBetterPercentage175200ya",2016
44,43,"Adam Hadwin",53,15.22,28,184,"BirdieorBetterPercentage175200ya",2016
45,50,"Louis Oosthuizen",25,15.15,5,33,"BirdieorBetterPercentage175200ya",2016
46,36,"Harris English",51,15,18,120,"BirdieorBetterPercentage175200ya",2016
47,48,"Jeff Overton",51,14.94,23,154,"BirdieorBetterPercentage175200ya",2016
48,54,"Aaron Baddeley",51,14.88,18,121,"BirdieorBetterPercentage175200ya",2016
49,56,"Stewart Cink",45,14.81,16,108,"BirdieorBetterPercentage175200ya",2016
49,56,"Matthew Fitzpatrick",23,14.81,8,54,"BirdieorBetterPercentage175200ya",2016
51,58,"Steve Stricker",25,14.77,13,88,"BirdieorBetterPercentage175200ya",2016
52,59,"Jordan Spieth",34,14.75,9,61,"BirdieorBetterPercentage175200ya",2016
53,60,"Scott Piercy",45,14.74,14,95,"BirdieorBetterPercentage175200ya",2016
54,29,"Henrik Norlander",41,14.71,10,68,"BirdieorBetterPercentage175200ya",2016
55,72,"Jason Kokrak",52,14.6,20,137,"BirdieorBetterPercentage175200ya",2016
56,37,"Ryan Moore",40,14.56,15,103,"BirdieorBetterPercentage175200ya",2016
56,48,"Cameron Smith",45,14.56,15,103,"BirdieorBetterPercentage175200ya",2016
58,65,"Chris Kirk",51,14.47,22,152,"BirdieorBetterPercentage175200ya",2016
58,61,"Brett Stegmaier",57,14.47,22,152,"BirdieorBetterPercentage175200ya",2016
60,55,"David Hearn",55,14.46,24,166,"BirdieorBetterPercentage175200ya",2016
61,66,"Carl Pettersson",31,14.42,15,104,"BirdieorBetterPercentage175200ya",2016
62,34,"Martin Laird",46,14.29,19,133,"BirdieorBetterPercentage175200ya",2016
62,68,"Chez Reavie",56,14.29,22,154,"BirdieorBetterPercentage175200ya",2016
64,71,"KJ Choi",47,14.18,20,141,"BirdieorBetterPercentage175200ya",2016
65,44,"Dawie van der Walt",48,14.15,15,106,"BirdieorBetterPercentage175200ya",2016
66,99,"Ernie Els",34,14.14,14,99,"BirdieorBetterPercentage175200ya",2016
67,73,"Rory Sabbatini",40,14.12,12,85,"BirdieorBetterPercentage175200ya",2016
68,95,"Luke Donald",49,14.07,19,135,"BirdieorBetterPercentage175200ya",2016
69,83,"Ben Martin",48,13.99,20,143,"BirdieorBetterPercentage175200ya",2016
70,79,"John Huh",51,13.97,25,179,"BirdieorBetterPercentage175200ya",2016
71,82,"Jon Curran",55,13.91,21,151,"BirdieorBetterPercentage175200ya",2016
72,53,"Thomas Aiken",42,13.86,14,101,"BirdieorBetterPercentage175200ya",2016
73,97,"Chad Collins",45,13.79,16,116,"BirdieorBetterPercentage175200ya",2016
73,52,"Padraig Harrington",38,13.79,16,116,"BirdieorBetterPercentage175200ya",2016
75,76,"Tim Wilkinson",40,13.75,11,80,"BirdieorBetterPercentage175200ya",2016
76,78,"Emiliano Grillo",47,13.71,17,124,"BirdieorBetterPercentage175200ya",2016
77,76,"DH Lee",35,13.7,10,73,"BirdieorBetterPercentage175200ya",2016
77,63,"Shawn Stefani",45,13.7,20,146,"BirdieorBetterPercentage175200ya",2016
79,68,"Kyle Stanley",57,13.69,23,168,"BirdieorBetterPercentage175200ya",2016
80,67,"Ben Crane",48,13.64,21,154,"BirdieorBetterPercentage175200ya",2016
81,84,"Patton Kizzire",57,13.61,23,169,"BirdieorBetterPercentage175200ya",2016
82,88,"Jason Dufner",53,13.6,17,125,"BirdieorBetterPercentage175200ya",2016
82,64,"Robert Streb",51,13.6,17,125,"BirdieorBetterPercentage175200ya",2016
84,89,"Brandt Snedeker",47,13.59,14,103,"BirdieorBetterPercentage175200ya",2016
85,91,"Kevin Chappell",49,13.53,18,133,"BirdieorBetterPercentage175200ya",2016
86,93,"Boo Weekley",53,13.49,17,126,"BirdieorBetterPercentage175200ya",2016
87,94,"Matt Jones",45,13.48,12,89,"BirdieorBetterPercentage175200ya",2016
88,101,"Carlos Ortiz",47,13.45,16,119,"BirdieorBetterPercentage175200ya",2016
89,140,"Steve Marino",40,13.41,11,82,"BirdieorBetterPercentage175200ya",2016
90,102,"Chris Stroud",52,13.38,21,157,"BirdieorBetterPercentage175200ya",2016
91,86,"Justin Hicks",26,13.33,12,90,"BirdieorBetterPercentage175200ya",2016
92,80,"Peter Malnati",53,13.29,19,143,"BirdieorBetterPercentage175200ya",2016
93,74,"Scott Langley",41,13.27,13,98,"BirdieorBetterPercentage175200ya",2016
94,75,"Steve Wheatcroft",53,12.99,20,154,"BirdieorBetterPercentage175200ya",2016
95,112,"Chesson Hadley",51,12.93,15,116,"BirdieorBetterPercentage175200ya",2016
96,81,"Kyle Reifers",63,12.92,23,178,"BirdieorBetterPercentage175200ya",2016
97,90,"Morgan Hoffmann",43,12.9,16,124,"BirdieorBetterPercentage175200ya",2016
98,68,"Jhonattan Vegas",49,12.87,13,101,"BirdieorBetterPercentage175200ya",2016
99,92,"Scott Brown",59,12.74,20,157,"BirdieorBetterPercentage175200ya",2016
99,104,"Charles Howell III",63,12.74,20,157,"BirdieorBetterPercentage175200ya",2016
101,105,"Troy Merritt",41,12.62,13,103,"BirdieorBetterPercentage175200ya",2016
101,105,"Jimmy Walker",43,12.62,13,103,"BirdieorBetterPercentage175200ya",2016
103,109,"Seung Yul Noh",54,12.58,20,159,"BirdieorBetterPercentage175200ya",2016
103,87,"Vijay Singh",42,12.58,19,151,"BirdieorBetterPercentage175200ya",2016
105,85,"Michael Thompson",46,12.5,12,96,"BirdieorBetterPercentage175200ya",2016
105,117,"Gary Woodland",45,12.5,15,120,"BirdieorBetterPercentage175200ya",2016
107,115,"Sam Saunders",40,12.36,11,89,"BirdieorBetterPercentage175200ya",2016
108,139,"Rickie Fowler",42,12.26,13,106,"BirdieorBetterPercentage175200ya",2016
109,100,"Greg Owen",56,12.23,17,139,"BirdieorBetterPercentage175200ya",2016
110,108,"Brendon de Jonge",55,12.14,17,140,"BirdieorBetterPercentage175200ya",2016
111,111,"Lucas Glover",53,12.06,17,141,"BirdieorBetterPercentage175200ya",2016
112,154,"Jamie Donaldson",28,12,9,75,"BirdieorBetterPercentage175200ya",2016
113,124,"Will Ma Kenzie",54,11.97,17,142,"BirdieorBetterPercentage175200ya",2016
113,124,"Nick Taylor",57,11.97,17,142,"BirdieorBetterPercentage175200ya",2016
