"Last15EventsPutting_RANKTHISWEEK_2014","Last15EventsPutting_RANKLASTWEEK_2014","Last15EventsPutting_PLAYERNAME_2014","Last15EventsPutting_EVENTS_2014","Last15EventsPutting_RATING_2014","stat_name","year"
1,1,"Jose Coceres",1,9.1,"Last15EventsPutting",2014
1,1,"Hideto Tanihara",1,9.1,"Last15EventsPutting",2014
1,1,"Justin Thomas",2,9.1,"Last15EventsPutting",2014
4,4,"Joel Dahmen",1,8.9,"Last15EventsPutting",2014
5,5,"David Duval",2,8.8,"Last15EventsPutting",2014
5,5,"Sam Saunders",1,8.8,"Last15EventsPutting",2014
5,5,"Danny Willett",1,8.8,"Last15EventsPutting",2014
5,5,"Fabrizio Zanotti",2,8.8,"Last15EventsPutting",2014
9,9,"Jason Allred",4,8.7,"Last15EventsPutting",2014
9,9,"Eric Axley",3,8.7,"Last15EventsPutting",2014
9,9,"Matt Bettencourt",3,8.7,"Last15EventsPutting",2014
9,9,"Scott McCarron",1,8.7,"Last15EventsPutting",2014
9,9,"Tom Watson",1,8.7,"Last15EventsPutting",2014
14,14,"Greg Chalmers",7,8.5,"Last15EventsPutting",2014
14,14,"Austin Cook",1,8.5,"Last15EventsPutting",2014
14,14,"Andres Gonzales",1,8.5,"Last15EventsPutting",2014
14,14,"Ryo Ishikawa",7,8.5,"Last15EventsPutting",2014
14,14,"Thorbjorn Olesen",2,8.5,"Last15EventsPutting",2014
14,14,"Tim Petrovic",1,8.5,"Last15EventsPutting",2014
14,14,"Scottie Scheffler",1,8.5,"Last15EventsPutting",2014
14,14,"Jordan Spieth",12,8.5,"Last15EventsPutting",2014
14,14,"Brian Stuard",5,8.5,"Last15EventsPutting",2014
23,23,"George Coetzee",1,8.4,"Last15EventsPutting",2014
23,23,"John Daly",3,8.4,"Last15EventsPutting",2014
23,23,"Darren Fichardt",1,8.4,"Last15EventsPutting",2014
23,23,"Matthew Fitzpatrick",1,8.4,"Last15EventsPutting",2014
23,23,"Steve Flesch",1,8.4,"Last15EventsPutting",2014
23,23,"Robert Garrigus",8,8.4,"Last15EventsPutting",2014
23,23,"David Howell",1,8.4,"Last15EventsPutting",2014
23,23,"Richard Lee",6,8.4,"Last15EventsPutting",2014
23,23,"Phil Mickelson",8,8.4,"Last15EventsPutting",2014
23,23,"Dicky Pride",3,8.4,"Last15EventsPutting",2014
23,23,"Andres Romero",9,8.4,"Last15EventsPutting",2014
23,23,"Chris Thompson",1,8.4,"Last15EventsPutting",2014
23,23,"Dawie van der Walt",1,8.4,"Last15EventsPutting",2014
23,23,"Mike Weir",4,8.4,"Last15EventsPutting",2014
23,23,"Bernd Wiesberger",1,8.4,"Last15EventsPutting",2014
38,38,"Thomas Bjorn",3,8.3,"Last15EventsPutting",2014
38,38,"Justin Bolli",1,8.3,"Last15EventsPutting",2014
38,38,"Roberto Castro",5,8.3,"Last15EventsPutting",2014
38,38,"Tim Clark",8,8.3,"Last15EventsPutting",2014
38,38,"Morgan Hoffmann",9,8.3,"Last15EventsPutting",2014
38,38,"Ryuji Imada",3,8.3,"Last15EventsPutting",2014
38,38,"Freddie Jacobson",11,8.3,"Last15EventsPutting",2014
38,38,"Chris Kirk",11,8.3,"Last15EventsPutting",2014
38,38,"Justin Leonard",9,8.3,"Last15EventsPutting",2014
38,38,"Jordan Niebrugge",1,8.3,"Last15EventsPutting",2014
38,38,"Steve Stricker",9,8.3,"Last15EventsPutting",2014
38,38,"Brady Watt",1,8.3,"Last15EventsPutting",2014
50,50,"Aaron Baddeley",6,8.2,"Last15EventsPutting",2014
