"PuttsPerRound_RANKTHISWEEK_2015","PuttsPerRound_RANKLASTWEEK_2015","PuttsPerRound_PLAYERNAME_2015","PuttsPerRound_ROUNDS_2015","PuttsPerRound_AVG_2015","PuttsPerRound_TOTALPUTTS_2015","PuttsPerRound_TOTALROUNDS_2015","PuttsPerRound_LOWTOTALPUTTS_2015","stat_name","year"
1,1,"Jordan Spieth",91,27.82,2448,88,22,"PuttsPerRound",2015
2,2,"Patrick Reed",103,28.16,2788,99,23,"PuttsPerRound",2015
3,3,"Steven Bowditch",103,28.2,2905,103,23,"PuttsPerRound",2015
4,4,"Phil Mickelson",70,28.23,1976,70,22,"PuttsPerRound",2015
5,5,"Matt Jones",89,28.25,2401,85,22,"PuttsPerRound",2015
6,6,"Brandt Snedeker",98,28.26,2685,95,23,"PuttsPerRound",2015
7,7,"Danny Lee",120,28.27,3392,120,23,"PuttsPerRound",2015
8,8,"Aaron Baddeley",76,28.28,2093,74,23,"PuttsPerRound",2015
9,9,"Morgan Hoffmann",85,28.29,2405,85,23,"PuttsPerRound",2015
10,10,"Ricky Barnes",82,28.31,2208,78,24,"PuttsPerRound",2015
11,11,"JB Holmes",89,28.32,2407,85,23,"PuttsPerRound",2015
12,12,"Andrew Putnam",68,28.33,1813,64,23,"PuttsPerRound",2015
13,13,"Kevin Na",98,28.35,2693,95,23,"PuttsPerRound",2015
14,14,"Derek Fathauer",81,28.39,2186,77,23,"PuttsPerRound",2015
14,14,"Matt Kuchar",97,28.39,2669,94,21,"PuttsPerRound",2015
14,14,"Brendon Todd",96,28.39,2640,93,21,"PuttsPerRound",2015
17,17,"Sean OHair",86,28.42,2444,86,23,"PuttsPerRound",2015
18,18,"Erik Compton",86,28.44,2446,86,23,"PuttsPerRound",2015
18,18,"Jason Day",75,28.44,2048,72,23,"PuttsPerRound",2015
18,18,"Rickie Fowler",76,28.44,2019,71,23,"PuttsPerRound",2015
18,18,"Carl Pettersson",106,28.44,3015,106,24,"PuttsPerRound",2015
22,22,"Jerry Kelly",79,28.46,2248,79,23,"PuttsPerRound",2015
23,23,"Dustin Johnson",75,28.47,2050,72,21,"PuttsPerRound",2015
