"DistancetoApex_RANKTHISWEEK_2014","DistancetoApex_RANKLASTWEEK_2014","DistancetoApex_PLAYERNAME_2014","DistancetoApex_ROUNDS_2014","DistancetoApex_AVG_2014","DistancetoApex_TOTALAPEXRANGE_2014","DistancetoApex_TOTALATTEMPTS_2014","DistancetoApex_LONGESTDISTTOAPEX_2014","DistancetoApex_SHORTESTDISTTOAPEX_2014","stat_name","year"
119,119,"Chesson Hadley",84,179.1,14151.5,79,199.1,150.4,"DistancetoApex",2014
120,120,"William McGirt",96,178.9,16637.4,93,192,154.8,"DistancetoApex",2014
121,121,"Scott Brown",100,178.8,14844.1,83,194.9,142.9,"DistancetoApex",2014
121,121,"DA Points",75,178.8,8940.3,50,190.8,160.5,"DistancetoApex",2014
123,123,"Ryan Moore",86,178.7,11975.3,67,195.6,153.9,"DistancetoApex",2014
123,123,"Nicholas Thompson",85,178.7,12330.2,69,190.4,160,"DistancetoApex",2014
123,123,"Cameron Tringale",111,178.7,18766.3,105,195.5,149.3,"DistancetoApex",2014
126,126,"Troy Merritt",62,178.6,10895.3,61,196.2,159.4,"DistancetoApex",2014
127,127,"Roberto Castro",76,178.3,10700,60,190.6,157.4,"DistancetoApex",2014
128,128,"Freddie Jacobson",91,178,13172.4,74,202.1,144.2,"DistancetoApex",2014
128,128,"Graeme McDowell",66,178,8546.1,48,188.6,164.1,"DistancetoApex",2014
130,130,"Briny Baird",50,177.8,6758.3,38,193.3,160.9,"DistancetoApex",2014
131,131,"Brandt Snedeker",89,177.5,11715.4,66,188.9,147.7,"DistancetoApex",2014
132,132,"Brian Harman",111,177.1,18246.2,103,193.9,149.7,"DistancetoApex",2014
133,133,"Jason Bohn",81,176.9,14862.6,84,194.9,147.1,"DistancetoApex",2014
134,134,"Danny Lee",84,176.5,11475.7,65,188.9,158,"DistancetoApex",2014
135,135,"Daniel Summerhays",98,176.1,16904.1,96,193.7,153.1,"DistancetoApex",2014
136,136,"Robert Allenby",83,175.8,11072.9,63,192.4,149.2,"DistancetoApex",2014
136,136,"Jim Furyk",84,175.8,13008.6,74,197,151.2,"DistancetoApex",2014
138,138,"John Merrick",87,175.7,13004.5,74,191.5,142.2,"DistancetoApex",2014
139,139,"Brian Stuard",91,175.4,14561.6,83,189.8,157.8,"DistancetoApex",2014
140,140,"Jonas Blixt",64,175.3,6485.5,37,190.1,148.5,"DistancetoApex",2014
141,141,"John Huh",87,175.2,12437.7,71,185,145,"DistancetoApex",2014
141,141,"Russell Knox",92,175.2,16296.7,93,195.7,146.6,"DistancetoApex",2014
141,141,"Ted Potter Jr",68,175.2,11036,63,190.8,150.4,"DistancetoApex",2014
144,144,"Justin Hicks",103,175,17499.4,100,189.4,138.1,"DistancetoApex",2014
145,145,"Chris Stroud",88,174.5,12563.6,72,191.7,140.7,"DistancetoApex",2014
146,146,"Bryce Molder",77,174.3,12025.2,69,188.5,152.4,"DistancetoApex",2014
146,146,"Charlie Wi",72,174.3,11678.5,67,186.8,152.6,"DistancetoApex",2014
148,148,"Ben Crane",81,174.1,14627.4,84,188.4,156.1,"DistancetoApex",2014
148,148,"Tim Wilkinson",86,174.1,13583.1,78,190,148.8,"DistancetoApex",2014
150,150,"Woody Austin",63,174,10265.2,59,187.7,148.6,"DistancetoApex",2014
151,151,"YE Yang",79,173.9,10434.7,60,192.8,157,"DistancetoApex",2014
152,152,"Matt Kuchar",91,173.7,13724.8,79,196.3,146.5,"DistancetoApex",2014
153,153,"Billy Hurley III",86,173.6,13538.6,78,184.5,160.9,"DistancetoApex",2014
154,154,"Greg Chalmers",85,173.5,13708.5,79,187.6,138,"DistancetoApex",2014
155,155,"Mark Wilson",69,173.1,10732.8,62,183.1,149.1,"DistancetoApex",2014
156,156,"Jason Dufner",57,172.4,7241.6,42,190.7,145.7,"DistancetoApex",2014
157,157,"Ben Curtis",77,172.2,11881.4,69,189.1,156.9,"DistancetoApex",2014
158,158,"Jeff Overton",80,172.1,11705.4,68,187.3,143.6,"DistancetoApex",2014
159,159,"DH Lee",54,171.9,8249.4,48,191,150.8,"DistancetoApex",2014
160,160,"Brendon Todd",108,171.7,15627.2,91,188.3,153.2,"DistancetoApex",2014
161,161,"Zach Johnson",97,171.1,15227.6,89,190.4,153.3,"DistancetoApex",2014
162,162,"Brian Davis",93,170.6,14843.4,87,181.6,135.8,"DistancetoApex",2014
163,163,"David Hearn",97,170.5,15174.9,89,181.8,156.8,"DistancetoApex",2014
164,164,"Chad Collins",78,169.9,9172.9,54,183.9,147.4,"DistancetoApex",2014
165,165,"Stuart Appleby",92,169.7,14767.1,87,189.2,138.9,"DistancetoApex",2014
166,166,"Spencer Levin",59,169.3,8464.8,50,180.2,145.1,"DistancetoApex",2014
167,167,"Scott Langley",95,169,14029.4,83,190,127.7,"DistancetoApex",2014
168,168,"KJ Choi",80,168.6,11634.3,69,182.1,148.9,"DistancetoApex",2014
169,169,"Ken Duke",80,168.5,10281.1,61,186.3,131.8,"DistancetoApex",2014
170,170,"Heath Slocum",71,168.1,10756.1,64,181.3,145.3,"DistancetoApex",2014
171,171,"Jerry Kelly",80,166.5,11821.3,71,186.1,128.8,"DistancetoApex",2014
172,172,"David Toms",64,165.4,9264.6,56,177.8,149.3,"DistancetoApex",2014
173,173,"Justin Leonard",75,164.3,10847.1,66,177.7,149.2,"DistancetoApex",2014
174,174,"Jeff Maggert",54,164.1,7383.9,45,173.5,146.2,"DistancetoApex",2014
175,175,"Brian Gay",81,163.2,10607.3,65,175.8,150.8,"DistancetoApex",2014
176,176,"Mike Weir",69,161.6,8888.3,55,176,125.1,"DistancetoApex",2014
177,177,"Tim Clark",75,159.3,10353,65,175.7,142.9,"DistancetoApex",2014
