"AverageGoingforitShotDistanceinYards_RANKTHISWEEK_2006","AverageGoingforitShotDistanceinYards_RANKLASTWEEK_2006","AverageGoingforitShotDistanceinYards_PLAYERNAME_2006","AverageGoingforitShotDistanceinYards_EVENTS_2006","AverageGoingforitShotDistanceinYards_AVG_2006","AverageGoingforitShotDistanceinYards_DISTANCEININCHES_2006","AverageGoingforitShotDistanceinYards_ATTEMPTS_2006","stat_name","year"
1,1,"Fred Couples",17,236.1,620460,73,"AverageGoingforitShotDistanceinYards",2006
2,2,"Vance Veazey",20,240.3,640092,74,"AverageGoingforitShotDistanceinYards",2006
3,3,"David Duval",24,243.2,866657,99,"AverageGoingforitShotDistanceinYards",2006
4,4,"Adam Scott",19,244.2,888055,101,"AverageGoingforitShotDistanceinYards",2006
5,5,"Jon Mills",27,245.6,892900,101,"AverageGoingforitShotDistanceinYards",2006
6,6,"Michael Allen",25,247,1075725,121,"AverageGoingforitShotDistanceinYards",2006
7,7,"Peter Lonard",22,247.6,846704,95,"AverageGoingforitShotDistanceinYards",2006
8,8,"Mark Wilson",24,247.8,945455,106,"AverageGoingforitShotDistanceinYards",2006
9,9,"Tim Herron",27,247.9,1061795,119,"AverageGoingforitShotDistanceinYards",2006
9,9,"JB Holmes",26,247.9,1597619,179,"AverageGoingforitShotDistanceinYards",2006
11,11,"Jason Gore",29,248,1374957,154,"AverageGoingforitShotDistanceinYards",2006
12,12,"Todd Hamilton",27,248.7,814746,91,"AverageGoingforitShotDistanceinYards",2006
13,13,"Jonathan Byrd",20,248.8,1182141,132,"AverageGoingforitShotDistanceinYards",2006
14,14,"Ernie Els",18,249.1,1004223,112,"AverageGoingforitShotDistanceinYards",2006
14,14,"Steve Stricker",17,249.1,645792,72,"AverageGoingforitShotDistanceinYards",2006
14,14,"Bo Van Pelt",28,249.1,1721588,192,"AverageGoingforitShotDistanceinYards",2006
17,17,"Justin Rose",28,249.7,1465260,163,"AverageGoingforitShotDistanceinYards",2006
18,18,"Jim Furyk",24,249.8,989165,110,"AverageGoingforitShotDistanceinYards",2006
19,19,"Patrick Sheehan",34,250.1,1350804,150,"AverageGoingforitShotDistanceinYards",2006
20,20,"Len Mattiace",22,250.6,676725,75,"AverageGoingforitShotDistanceinYards",2006
21,21,"Billy Andrade",24,250.7,884484,98,"AverageGoingforitShotDistanceinYards",2006
22,22,"Aaron Baddeley",25,250.8,1246048,138,"AverageGoingforitShotDistanceinYards",2006
22,22,"Bob Estes",25,250.8,1137537,126,"AverageGoingforitShotDistanceinYards",2006
24,24,"John Senden",28,250.9,1364031,151,"AverageGoingforitShotDistanceinYards",2006
25,25,"Robert Gamez",30,251.1,976208,108,"AverageGoingforitShotDistanceinYards",2006
