"ScramblingFringeRTPScore_RANKTHISWEEK_2012","ScramblingFringeRTPScore_RANKLASTWEEK_2012","ScramblingFringeRTPScore_PLAYERNAME_2012","ScramblingFringeRTPScore_ROUNDS_2012","ScramblingFringeRTPScore_AVGRTP_2012","ScramblingFringeRTPScore_TOTALHOLES_2012","ScramblingFringeRTPScore_TOTALRTP_2012","stat_name","year"
1,1,"Adam Scott",59,-0.179,28,-5,"ScramblingFringeRTPScore",2012
2,2,"Steve Stricker",73,-0.091,33,-3,"ScramblingFringeRTPScore",2012
3,3,"Brandt Snedeker",81,-0.089,45,-4,"ScramblingFringeRTPScore",2012
4,4,"Charlie Wi",86,-0.082,61,-5,"ScramblingFringeRTPScore",2012
5,5,"Rory McIlroy",60,-0.079,38,-3,"ScramblingFringeRTPScore",2012
6,6,"Kevin Streelman",89,-0.071,70,-5,"ScramblingFringeRTPScore",2012
7,7,"Martin Flores",95,-0.07,71,-5,"ScramblingFringeRTPScore",2012
8,8,"Brian Gay",91,-0.065,77,-5,"ScramblingFringeRTPScore",2012
9,9,"Luke Donald",63,-0.061,33,-2,"ScramblingFringeRTPScore",2012
9,9,"Justin Leonard",79,-0.061,82,-5,"ScramblingFringeRTPScore",2012
11,11,"Webb Simpson",77,-0.052,58,-3,"ScramblingFringeRTPScore",2012
12,12,"Louis Oosthuizen",65,-0.051,39,-2,"ScramblingFringeRTPScore",2012
12,12,"Charl Schwartzel",56,-0.051,39,-2,"ScramblingFringeRTPScore",2012
14,14,"Stephen Ames",54,-0.049,41,-2,"ScramblingFringeRTPScore",2012
15,15,"Ben Curtis",62,-0.048,42,-2,"ScramblingFringeRTPScore",2012
16,16,"Stewart Cink",71,-0.04,50,-2,"ScramblingFringeRTPScore",2012
17,17,"Alexandre Rocha",62,-0.039,51,-2,"ScramblingFringeRTPScore",2012
18,18,"Aaron Baddeley",73,-0.038,53,-2,"ScramblingFringeRTPScore",2012
18,18,"Scott Brown",65,-0.038,52,-2,"ScramblingFringeRTPScore",2012
18,18,"Sergio Garcia",57,-0.038,26,-1,"ScramblingFringeRTPScore",2012
18,18,"John Mallinger",74,-0.038,53,-2,"ScramblingFringeRTPScore",2012
22,22,"Ryan Palmer",81,-0.034,58,-2,"ScramblingFringeRTPScore",2012
23,23,"Johnson Wagner",88,-0.033,60,-2,"ScramblingFringeRTPScore",2012
24,24,"Scott Piercy",95,-0.03,67,-2,"ScramblingFringeRTPScore",2012
25,25,"Sangmoon Bae",81,-0.024,41,-1,"ScramblingFringeRTPScore",2012
25,25,"Bo Van Pelt",84,-0.024,42,-1,"ScramblingFringeRTPScore",2012
27,27,"Kevin Chappell",91,-0.022,45,-1,"ScramblingFringeRTPScore",2012
27,27,"Bill Haas",79,-0.022,45,-1,"ScramblingFringeRTPScore",2012
29,29,"Patrick Sheehan",58,-0.021,48,-1,"ScramblingFringeRTPScore",2012
30,30,"Greg Chalmers",88,-0.02,50,-1,"ScramblingFringeRTPScore",2012
30,30,"Scott Stallings",78,-0.02,51,-1,"ScramblingFringeRTPScore",2012
32,32,"Nathan Green",73,-0.019,54,-1,"ScramblingFringeRTPScore",2012
33,33,"Bob Estes",78,-0.018,55,-1,"ScramblingFringeRTPScore",2012
34,34,"Chris Stroud",86,-0.013,79,-1,"ScramblingFringeRTPScore",2012
35,35,"David Hearn",95,-0.012,83,-1,"ScramblingFringeRTPScore",2012
36,36,"Charlie Beljan",61,0,48,0,"ScramblingFringeRTPScore",2012
36,36,"Scott Dunlap",57,0,49,0,"ScramblingFringeRTPScore",2012
36,36,"Matt Every",80,0,48,0,"ScramblingFringeRTPScore",2012
36,36,"Tom Gillis",75,0,61,0,"ScramblingFringeRTPScore",2012
36,36,"Zach Johnson",95,0,62,0,"ScramblingFringeRTPScore",2012
36,36,"Marc Leishman",84,0,56,0,"ScramblingFringeRTPScore",2012
36,36,"Bryce Molder",83,0,66,0,"ScramblingFringeRTPScore",2012
36,36,"Ryan Moore",89,0,56,0,"ScramblingFringeRTPScore",2012
36,36,"Geoff Ogilvy",73,0,44,0,"ScramblingFringeRTPScore",2012
36,36,"Tom Pernice Jr",62,0,48,0,"ScramblingFringeRTPScore",2012
36,36,"Justin Rose",69,0,32,0,"ScramblingFringeRTPScore",2012
36,36,"Henrik Stenson",51,0,29,0,"ScramblingFringeRTPScore",2012
36,36,"Vaughn Taylor",81,0,61,0,"ScramblingFringeRTPScore",2012
36,36,"Brendon Todd",78,0,57,0,"ScramblingFringeRTPScore",2012
36,36,"Jimmy Walker",101,0,54,0,"ScramblingFringeRTPScore",2012
36,36,"Tiger Woods",69,0,42,0,"ScramblingFringeRTPScore",2012
52,52,"Ken Duke",104,0.011,90,1,"ScramblingFringeRTPScore",2012
53,53,"Seung Yul Noh",105,0.015,65,1,"ScramblingFringeRTPScore",2012
54,54,"Harrison Frazar",56,0.017,58,1,"ScramblingFringeRTPScore",2012
54,54,"Troy Kelly",68,0.017,60,1,"ScramblingFringeRTPScore",2012
56,56,"Bill Lunde",83,0.018,56,1,"ScramblingFringeRTPScore",2012
56,56,"Kevin Na",80,0.018,55,1,"ScramblingFringeRTPScore",2012
