"Total1Putts1015_RANKTHISWEEK_2009","Total1Putts1015_RANKLASTWEEK_2009","Total1Putts1015_PLAYERNAME_2009","Total1Putts1015_ROUNDS_2009","Total1Putts1015_TOTAL_2009","Total1Putts1015_TOTALFORALLDISTANCES_2009","Total1Putts1015_PCTOFALL1PUTTS_2009","stat_name","year"
1,1,"Matt Bettencourt",98,98,634,15.5,"Total1Putts1015",2009
2,2,"Michael Letzig",96,85,633,13.4,"Total1Putts1015",2009
3,3,"Webb Simpson",94,83,691,12,"Total1Putts1015",2009
4,4,"Mark Wilson",99,80,635,12.6,"Total1Putts1015",2009
5,5,"John Senden",100,79,594,13.3,"Total1Putts1015",2009
5,5,"Kevin Streelman",97,79,597,13.2,"Total1Putts1015",2009
7,7,"Ted Purdy",101,78,622,12.5,"Total1Putts1015",2009
8,8,"Jeff Klauk",97,75,610,12.3,"Total1Putts1015",2009
9,9,"Aron Price",89,74,529,14,"Total1Putts1015",2009
9,9,"Charlie Wi",92,74,598,12.4,"Total1Putts1015",2009
11,11,"Matt Kuchar",82,73,556,13.1,"Total1Putts1015",2009
11,11,"George McNeill",82,73,569,12.8,"Total1Putts1015",2009
11,11,"Kevin Na",91,73,605,12.1,"Total1Putts1015",2009
14,14,"Charley Hoffman",97,72,640,11.3,"Total1Putts1015",2009
14,14,"Carl Pettersson",86,72,534,13.5,"Total1Putts1015",2009
16,16,"Justin Leonard",95,71,546,13,"Total1Putts1015",2009
16,16,"Scott Verplank",88,71,559,12.7,"Total1Putts1015",2009
18,18,"Jason Dufner",90,70,555,12.6,"Total1Putts1015",2009
18,18,"Hunter Mahan",94,70,543,12.9,"Total1Putts1015",2009
18,18,"Kenny Perry",92,70,542,12.9,"Total1Putts1015",2009
18,18,"Jeff Quinney",78,70,526,13.3,"Total1Putts1015",2009
18,18,"Heath Slocum",95,70,565,12.4,"Total1Putts1015",2009
18,18,"Brandt Snedeker",81,70,503,13.9,"Total1Putts1015",2009
18,18,"Vaughn Taylor",88,70,568,12.3,"Total1Putts1015",2009
25,25,"Jonathan Byrd",89,69,531,13,"Total1Putts1015",2009
25,25,"Bill Lunde",83,69,515,13.4,"Total1Putts1015",2009
25,25,"Troy Matteson",95,69,580,11.9,"Total1Putts1015",2009
25,25,"Bo Van Pelt",100,69,621,11.1,"Total1Putts1015",2009
29,29,"Brian Davis",103,68,691,9.8,"Total1Putts1015",2009
29,29,"Nathan Green",104,68,688,9.9,"Total1Putts1015",2009
29,29,"Tim Herron",87,68,576,11.8,"Total1Putts1015",2009
29,29,"Ryan Moore",89,68,546,12.5,"Total1Putts1015",2009
29,29,"David Toms",98,68,560,12.1,"Total1Putts1015",2009
29,29,"Dean Wilson",81,68,511,13.3,"Total1Putts1015",2009
35,35,"Luke Donald",79,67,495,13.5,"Total1Putts1015",2009
35,35,"Zach Johnson",94,67,581,11.5,"Total1Putts1015",2009
35,35,"Jerry Kelly",90,67,589,11.4,"Total1Putts1015",2009
35,35,"Jeff Maggert",79,67,476,14.1,"Total1Putts1015",2009
39,39,"Lee Janzen",74,66,456,14.5,"Total1Putts1015",2009
39,39,"DA Points",99,66,608,10.9,"Total1Putts1015",2009
41,41,"Woody Austin",84,65,548,11.9,"Total1Putts1015",2009
41,41,"Greg Chalmers",85,65,534,12.2,"Total1Putts1015",2009
41,41,"Parker McLachlin",71,65,529,12.3,"Total1Putts1015",2009
44,44,"Chris DiMarco",97,64,619,10.3,"Total1Putts1015",2009
44,44,"Harrison Frazar",93,64,625,10.2,"Total1Putts1015",2009
44,44,"Steve Lowery",83,64,557,11.5,"Total1Putts1015",2009
44,44,"Tim Petrovic",97,64,649,9.9,"Total1Putts1015",2009
44,44,"Nicholas Thompson",96,64,590,10.8,"Total1Putts1015",2009
49,49,"Tim Clark",81,63,455,13.8,"Total1Putts1015",2009
49,49,"JJ Henry",97,63,528,11.9,"Total1Putts1015",2009
49,49,"Marc Leishman",91,63,583,10.8,"Total1Putts1015",2009
52,52,"Jason Bohn",88,62,542,11.4,"Total1Putts1015",2009
52,52,"Lucas Glover",93,62,574,10.8,"Total1Putts1015",2009
52,52,"Scott McCarron",91,62,590,10.5,"Total1Putts1015",2009
52,52,"Joe Ogilvie",85,62,618,10,"Total1Putts1015",2009
52,52,"Tom Pernice Jr",82,62,545,11.4,"Total1Putts1015",2009
52,52,"Chris Stroud",88,62,500,12.4,"Total1Putts1015",2009
58,58,"Paul Goydos",79,61,471,13,"Total1Putts1015",2009
58,58,"Freddie Jacobson",83,61,550,11.1,"Total1Putts1015",2009
58,58,"Steve Marino",98,61,585,10.4,"Total1Putts1015",2009
58,58,"Pat Perez",74,61,478,12.8,"Total1Putts1015",2009
62,62,"Daniel Chopra",89,60,639,9.4,"Total1Putts1015",2009
62,62,"Peter Lonard",86,60,507,11.8,"Total1Putts1015",2009
62,62,"John Mallinger",90,60,518,11.6,"Total1Putts1015",2009
65,65,"Bryce Molder",69,59,402,14.7,"Total1Putts1015",2009
65,65,"Marc Turnesa",77,59,460,12.8,"Total1Putts1015",2009
65,65,"Mike Weir",85,59,534,11,"Total1Putts1015",2009
68,68,"Ben Crane",93,58,596,9.7,"Total1Putts1015",2009
68,68,"Brendon de Jonge",90,58,533,10.9,"Total1Putts1015",2009
68,68,"Charles Howell III",99,58,559,10.4,"Total1Putts1015",2009
68,68,"Ryuji Imada",85,58,530,10.9,"Total1Putts1015",2009
68,68,"James Nitties",86,58,550,10.5,"Total1Putts1015",2009
68,68,"Nick OHern",90,58,601,9.7,"Total1Putts1015",2009
68,68,"John Rollins",92,58,565,10.3,"Total1Putts1015",2009
75,75,"Dustin Johnson",85,57,445,12.8,"Total1Putts1015",2009
75,75,"David Mathis",82,57,512,11.1,"Total1Putts1015",2009
75,75,"Scott Piercy",85,57,515,11.1,"Total1Putts1015",2009
75,75,"Brett Quigley",92,57,523,10.9,"Total1Putts1015",2009
75,75,"DJ Trahan",96,57,517,11,"Total1Putts1015",2009
80,80,"Jim Furyk",86,56,506,11.1,"Total1Putts1015",2009
80,80,"John Merrick",91,56,451,12.4,"Total1Putts1015",2009
82,82,"Ken Duke",87,55,509,10.8,"Total1Putts1015",2009
82,82,"Brian Gay",96,55,658,8.4,"Total1Putts1015",2009
84,84,"Bob Estes",78,54,521,10.4,"Total1Putts1015",2009
84,84,"Todd Hamilton",83,54,443,12.2,"Total1Putts1015",2009
84,84,"Richard Johnson",85,54,513,10.5,"Total1Putts1015",2009
