"PresidentsCupInternational_RANKTHISWEEK_2010","PresidentsCupInternational_RANKLASTWEEK_2010","PresidentsCupInternational_PLAYERNAME_2010","PresidentsCupInternational_EVENTS_2010","PresidentsCupInternational_AVGPOINTS_2010","PresidentsCupInternational_TOTALPOINTS_2010","PresidentsCupInternational_POINTSLOST_2010","PresidentsCupInternational_POINTSGAINED_2010","stat_name","year"
1,NA,"Ernie Els",58,4.98,288.93,-212.6,282.83,"PresidentsCupInternational",2010
2,NA,"Retief Goosen",58,4.22,244.47,-193.53,210.7,"PresidentsCupInternational",2010
3,NA,"Robert Allenby",58,3.76,217.98,-188.1,175.69,"PresidentsCupInternational",2010
4,NA,"Geoff Ogilvy",51,3.69,188.11,-200.29,165.9,"PresidentsCupInternational",2010
5,NA,"Adam Scott",52,3.67,190.77,-99.15,160.01,"PresidentsCupInternational",2010
6,NA,"Louis Oosthuizen",53,3.61,191.38,-100.12,208.84,"PresidentsCupInternational",2010
7,NA,"Tim Clark",53,3.58,189.71,-146.78,188.07,"PresidentsCupInternational",2010
8,NA,"KT Kim",54,3.42,184.76,-48.62,166.03,"PresidentsCupInternational",2010
9,NA,"Camilo Villegas",53,3.2,169.81,-188.67,175.56,"PresidentsCupInternational",2010
10,NA,"Ryo Ishikawa",58,3.18,184.64,-117.71,138.17,"PresidentsCupInternational",2010
11,NA,"Charl Schwartzel",56,3.18,178.08,-127.68,191,"PresidentsCupInternational",2010
12,NA,"Jason Day",42,3.13,131.6,-52.21,130.23,"PresidentsCupInternational",2010
13,NA,"Yuta Ikeda",56,3.02,168.87,-75.08,129.16,"PresidentsCupInternational",2010
14,NA,"YE Yang",56,2.97,166.44,-138.09,127.84,"PresidentsCupInternational",2010
15,NA,"KJ Choi",52,2.77,144.11,-93,159.48,"PresidentsCupInternational",2010
16,NA,"Hiroyuki Fujita",56,2.7,150.97,-80.04,131.1,"PresidentsCupInternational",2010
17,NA,"Angel Cabrera",44,2.45,107.69,-135.37,68.37,"PresidentsCupInternational",2010
18,NA,"Brendan Jones",40,2.38,95.24,-59.25,78.03,"PresidentsCupInternational",2010
19,NA,"Toru Taniguchi",44,2.27,100.01,-40.99,92,"PresidentsCupInternational",2010
20,NA,"Richard Green",47,2.25,105.89,-54.36,99.79,"PresidentsCupInternational",2010
21,NA,"Seung Yul Noh",45,2.09,93.9,-36.89,101.45,"PresidentsCupInternational",2010
22,NA,"WC Liang",47,2.07,97.22,-61.74,78.39,"PresidentsCupInternational",2010
23,NA,"Thongchai Jaidee",58,2.01,116.6,-114.17,105.47,"PresidentsCupInternational",2010
24,NA,"Stuart Appleby",58,1.89,109.45,-68.3,97.22,"PresidentsCupInternational",2010
25,NA,"Michael Sim",46,1.82,83.87,-71.63,59.49,"PresidentsCupInternational",2010
26,NA,"John Senden",58,1.74,100.75,-83.91,72.09,"PresidentsCupInternational",2010
27,NA,"Tetsuji Hiratsuka",58,1.72,100.01,-51.52,95.61,"PresidentsCupInternational",2010
28,NA,"Michio Matsumura",51,1.72,87.57,-22.69,80.31,"PresidentsCupInternational",2010
29,NA,"Vijay Singh",47,1.63,76.48,-145.57,70.12,"PresidentsCupInternational",2010
30,NA,"Shunsuke Sonoda",40,1.61,64.3,-6.37,69.42,"PresidentsCupInternational",2010
31,NA,"Rory Sabbatini",57,1.54,87.94,-99.16,77.7,"PresidentsCupInternational",2010
32,NA,"Katsumasa Miyamoto",52,1.52,79.19,-33.79,69.25,"PresidentsCupInternational",2010
33,NA,"Marc Leishman",58,1.5,87.22,-70.58,70.65,"PresidentsCupInternational",2010
34,NA,"Koumei Oda",51,1.5,76.41,-65.47,50.44,"PresidentsCupInternational",2010
35,NA,"Brendon de Jonge",58,1.45,84.29,-44.44,96.98,"PresidentsCupInternational",2010
36,NA,"Brett Rumford",53,1.39,73.75,-33.7,79.9,"PresidentsCupInternational",2010
37,NA,"Stephen Ames",46,1.37,63.1,-82.14,45.06,"PresidentsCupInternational",2010
38,NA,"Matt Jones",47,1.33,62.72,-29.94,66.08,"PresidentsCupInternational",2010
39,NA,"Shingo Katayama",52,1.32,68.51,-95.17,46.16,"PresidentsCupInternational",2010
40,NA,"Arjun Atwal",40,1.31,52.58,-16.79,55.66,"PresidentsCupInternational",2010
41,NA,"Dohoon Kim",40,1.28,51.29,-0.56,51.85,"PresidentsCupInternational",2010
42,NA,"Charlie Wi",56,1.28,71.63,-61.62,69.49,"PresidentsCupInternational",2010
43,NA,"Takashi Kanemoto",49,1.26,61.89,-21.47,53.91,"PresidentsCupInternational",2010
44,NA,"Jbe Kruger",45,1.24,55.68,-17.55,64.02,"PresidentsCupInternational",2010
45,NA,"Thomas Aiken",57,1.22,69.37,-56.8,64.52,"PresidentsCupInternational",2010
46,NA,"Marcus Fraser",54,1.2,64.94,-41.92,68.67,"PresidentsCupInternational",2010
47,NA,"Sangmoon Bae",40,1.18,47.13,-35.15,38.31,"PresidentsCupInternational",2010
48,NA,"Greg Chalmers",58,1.16,67.18,-50.53,50,"PresidentsCupInternational",2010
49,NA,"Daisuke Maruyama",55,1.15,63.45,-43.84,43.86,"PresidentsCupInternational",2010
50,NA,"James Kingston",51,1.13,57.8,-69.41,35.94,"PresidentsCupInternational",2010
51,NA,"Ryuichi Oda",51,1.12,57.25,-36.9,28.41,"PresidentsCupInternational",2010
52,NA,"Daniel Gaunt",40,1.1,44.18,-2.39,44.83,"PresidentsCupInternational",2010
53,NA,"Kenichi Kuboya",55,1.1,60.58,-61.79,32.95,"PresidentsCupInternational",2010
54,NA,"Thaworn Wiratchant",48,1.1,52.69,-35.16,46.89,"PresidentsCupInternational",2010
55,NA,"Shigeki Maruyama",57,1.09,62.28,-46.07,39.64,"PresidentsCupInternational",2010
56,NA,"Mike Weir",44,1.09,48.06,-114.57,26.75,"PresidentsCupInternational",2010
57,NA,"Jeev Milkha Singh",58,1.09,63.25,-123.44,48.75,"PresidentsCupInternational",2010
58,NA,"Nick OHern",42,1.07,45.03,-55.49,27.45,"PresidentsCupInternational",2010
59,NA,"Andres Romero",44,1.05,46.06,-65.47,44.56,"PresidentsCupInternational",2010
60,NA,"Tadahiro Takayama",47,1.02,48.05,-15.88,42.65,"PresidentsCupInternational",2010
61,NA,"Pariya Junhasavasdikul",40,1.01,40.25,-3.44,40.6,"PresidentsCupInternational",2010
62,NA,"Jhonattan Vegas",42,0.99,41.45,-9.34,41.33,"PresidentsCupInternational",2010
63,NA,"Andrew Dodt",46,0.97,44.69,-32.71,52.62,"PresidentsCupInternational",2010
64,NA,"Mark Tullo",40,0.92,36.78,-8.76,36.9,"PresidentsCupInternational",2010
65,NA,"Steve Elkington",45,0.91,41.05,-21.11,44.72,"PresidentsCupInternational",2010
66,NA,"Ryuji Imada",56,0.91,51.06,-55.45,52.45,"PresidentsCupInternational",2010
67,NA,"Graham DeLaet",45,0.9,40.33,-32.21,39.91,"PresidentsCupInternational",2010
