"CarryDistance_RANKTHISWEEK_2012","CarryDistance_RANKLASTWEEK_2012","CarryDistance_PLAYERNAME_2012","CarryDistance_ROUNDS_2012","CarryDistance_AVG_2012","CarryDistance_TOTALDISTTOIMPACT_2012","CarryDistance_TOTALATTEMPTS_2012","CarryDistance_LONGESTCARRYDISTANCE_2012","CarryDistance_SHORTESTCARRYDISTANCE_2012","stat_name","year"
1,1,"Bubba Watson",68,307.7,12616.4,41,350.1,264.6,"CarryDistance",2012
2,2,"JB Holmes",90,305.2,18619.9,61,332.7,271.6,"CarryDistance",2012
3,3,"Dustin Johnson",70,302.8,11205.1,37,337.5,258.4,"CarryDistance",2012
4,4,"John Daly",50,301.7,7843.1,26,324,275.2,"CarryDistance",2012
5,5,"Robert Garrigus",89,299.4,16468.6,55,335.8,254.3,"CarryDistance",2012
6,6,"Kyle Stanley",86,298.6,13138.5,44,340.4,268,"CarryDistance",2012
7,7,"Tiger Woods",69,296.7,9493.3,32,339.2,268.8,"CarryDistance",2012
8,8,"Rory McIlroy",60,296,10655.9,36,340.2,243,"CarryDistance",2012
9,9,"Scott Stallings",78,295.5,15072.7,51,334.4,261.9,"CarryDistance",2012
10,10,"Charlie Beljan",61,293.7,7928.6,27,316.9,261.2,"CarryDistance",2012
11,11,"Scott Piercy",95,293.3,17014.1,58,333.7,240.5,"CarryDistance",2012
12,12,"Graham DeLaet",79,293.1,14949.8,51,332.7,252.9,"CarryDistance",2012
13,13,"Jhonattan Vegas",77,292.7,13172,45,345.2,264.7,"CarryDistance",2012
14,14,"Jason Day",57,292,10511.9,36,338.1,241.2,"CarryDistance",2012
14,14,"Gary Woodland",70,292,8174.7,28,337.2,237.6,"CarryDistance",2012
16,16,"Keegan Bradley",90,291.8,15465,53,331,253,"CarryDistance",2012
16,16,"Edward Loar",59,291.8,8752.6,30,315.8,252.4,"CarryDistance",2012
18,18,"Martin Laird",77,291.4,11949.4,41,331.4,251.9,"CarryDistance",2012
19,19,"Ryan Palmer",81,291.3,17185.9,59,324.6,260.8,"CarryDistance",2012
20,20,"Angel Cabrera",54,290.8,7561.4,26,327.1,262.2,"CarryDistance",2012
21,21,"Josh Teater",97,289.9,19131.7,66,316.1,264.4,"CarryDistance",2012
21,21,"Nick Watney",97,289.9,18263.9,63,329.8,252.4,"CarryDistance",2012
