"Par3Performance_RANKTHISWEEK_2006","Par3Performance_RANKLASTWEEK_2006","Par3Performance_PLAYERNAME_2006","Par3Performance_ROUNDS_2006","Par3Performance_STATUS_2006","Par3Performance_PAR3AVG_2006","Par3Performance_TOTALPAR_2006","stat_name","year"
1,1,"Jim Furyk",89,-13,2.96,1047,"Par3Performance",2006
2,2,"Luke Donald",66,-10,2.96,759,"Par3Performance",2006
2,2,"Corey Pavin",74,-10,2.97,858,"Par3Performance",2006
4,4,"Jose Maria Olazabal",62,-5,2.98,699,"Par3Performance",2006
4,4,"Scott Verplank",88,-5,2.99,1059,"Par3Performance",2006
6,6,"Adam Scott",70,-4,2.99,822,"Par3Performance",2006
7,7,"Brian Gay",107,-2,3,1311,"Par3Performance",2006
7,7,"Kirk Triplett",58,-2,2.99,678,"Par3Performance",2006
9,9,"Tommy Armour III",65,0,3,804,"Par3Performance",2006
10,10,"Jonathan Byrd",66,1,3,819,"Par3Performance",2006
10,10,"Justin Rose",98,1,3,1155,"Par3Performance",2006
12,12,"Padraig Harrington",54,2,3.01,600,"Par3Performance",2006
12,12,"Tom Pernice Jr",108,2,3,1278,"Par3Performance",2006
14,14,"Chad Campbell",91,3,3.01,1059,"Par3Performance",2006
15,15,"Duffy Waldorf",96,4,3.01,1134,"Par3Performance",2006
15,15,"Tiger Woods",55,4,3.02,624,"Par3Performance",2006
17,17,"Richard Johnson",94,5,3.01,1158,"Par3Performance",2006
17,17,"Steve Stricker",64,5,3.02,759,"Par3Performance",2006
19,19,"Trevor Immelman",86,6,3.02,1044,"Par3Performance",2006
20,20,"Rory Sabbatini",84,7,3.02,1014,"Par3Performance",2006
20,20,"Jerry Smith",94,7,3.02,1122,"Par3Performance",2006
22,22,"Stephen Leaney",84,8,3.02,1035,"Par3Performance",2006
23,23,"Ben Crane",85,9,3.03,966,"Par3Performance",2006
23,23,"Brett Quigley",109,9,3.02,1281,"Par3Performance",2006
25,25,"Stewart Cink",93,10,3.03,1080,"Par3Performance",2006
25,25,"Tim Clark",80,10,3.03,966,"Par3Performance",2006
25,25,"Shaun Micheel",96,10,3.03,1143,"Par3Performance",2006
25,25,"Larry Mize",53,10,3.05,627,"Par3Performance",2006
29,29,"David Howell",52,11,3.06,540,"Par3Performance",2006
29,29,"Arron Oberholser",82,11,3.03,951,"Par3Performance",2006
31,31,"Michael Allen",84,12,3.04,1014,"Par3Performance",2006
31,31,"Stephen Ames",63,12,3.05,747,"Par3Performance",2006
31,31,"Briny Baird",81,12,3.04,939,"Par3Performance",2006
31,31,"Retief Goosen",68,12,3.05,726,"Par3Performance",2006
31,31,"Sean OHair",100,12,3.03,1176,"Par3Performance",2006
31,31,"David Toms",76,12,3.04,816,"Par3Performance",2006
37,37,"John Cook",67,13,3.05,828,"Par3Performance",2006
37,37,"Bob May",65,13,3.05,765,"Par3Performance",2006
39,39,"Sergio Garcia",59,14,3.06,648,"Par3Performance",2006
39,39,"Hunter Mahan",98,14,3.03,1203,"Par3Performance",2006
39,39,"Phil Mickelson",74,14,3.05,834,"Par3Performance",2006
39,39,"Mark Wilson",79,14,3.05,927,"Par3Performance",2006
43,43,"Olin Browne",108,15,3.04,1248,"Par3Performance",2006
43,43,"Shigeki Maruyama",94,15,3.04,1116,"Par3Performance",2006
43,43,"Ian Poulter",53,15,3.07,624,"Par3Performance",2006
43,43,"Heath Slocum",96,15,3.04,1125,"Par3Performance",2006
43,43,"Kevin Sutherland",100,15,3.04,1176,"Par3Performance",2006
48,48,"Steve Elkington",52,16,3.08,627,"Par3Performance",2006
48,48,"Jeff Gove",91,16,3.05,1065,"Par3Performance",2006
48,48,"JL Lewis",57,16,3.07,690,"Par3Performance",2006
48,48,"Ron Whittaker",81,16,3.05,963,"Par3Performance",2006
52,52,"Marco Dawson",87,17,3.05,1059,"Par3Performance",2006
52,52,"Chris DiMarco",83,17,3.05,939,"Par3Performance",2006
52,52,"Danny Ellis",68,17,3.07,777,"Par3Performance",2006
52,52,"JJ Henry",96,17,3.04,1134,"Par3Performance",2006
52,52,"Tom Lehman",70,17,3.07,735,"Par3Performance",2006
52,52,"Kenny Perry",73,17,3.06,864,"Par3Performance",2006
52,52,"Omar Uresti",61,17,3.07,723,"Par3Performance",2006
52,52,"Jimmy Walker",60,17,3.07,708,"Par3Performance",2006
52,52,"Dean Wilson",115,17,3.04,1362,"Par3Performance",2006
61,61,"Billy Andrade",78,18,3.06,912,"Par3Performance",2006
61,61,"Fred Couples",52,18,3.09,603,"Par3Performance",2006
61,61,"Brent Geiberger",99,18,3.05,1179,"Par3Performance",2006
61,61,"Peter Lonard",77,18,3.06,912,"Par3Performance",2006
61,61,"Jeff Sluman",101,18,3.04,1242,"Par3Performance",2006
66,66,"Skip Kendall",72,19,3.06,879,"Par3Performance",2006
66,66,"Jon Mills",68,19,3.07,798,"Par3Performance",2006
66,66,"Ryan Moore",68,19,3.07,786,"Par3Performance",2006
66,66,"Mike Weir",88,19,3.05,1038,"Par3Performance",2006
70,70,"Robert Allenby",79,20,3.06,930,"Par3Performance",2006
70,70,"Ernie Els",69,20,3.08,780,"Par3Performance",2006
70,70,"Jesper Parnevik",84,20,3.06,1026,"Par3Performance",2006
73,73,"Paul Goydos",72,21,3.07,888,"Par3Performance",2006
73,73,"Joe Ogilvie",95,21,3.06,1098,"Par3Performance",2006
75,75,"Aaron Baddeley",78,22,3.07,918,"Par3Performance",2006
75,75,"Dudley Hart",83,22,3.07,1014,"Par3Performance",2006
75,75,"Lee Janzen",79,22,3.07,978,"Par3Performance",2006
75,75,"Zach Johnson",98,22,3.06,1068,"Par3Performance",2006
75,75,"Pat Perez",50,22,3.11,606,"Par3Performance",2006
75,75,"Ted Purdy",103,22,3.05,1218,"Par3Performance",2006
75,75,"Vijay Singh",103,22,3.05,1203,"Par3Performance",2006
82,82,"Brian Davis",92,23,3.06,1092,"Par3Performance",2006
82,82,"Mathias Gronberg",92,23,3.06,1077,"Par3Performance",2006
82,82,"Freddie Jacobson",56,23,3.1,675,"Par3Performance",2006
82,82,"Thomas Levet",53,23,3.11,612,"Par3Performance",2006
86,86,"Steve Flesch",119,24,3.05,1398,"Par3Performance",2006
86,86,"Bill Haas",99,24,3.06,1176,"Par3Performance",2006
86,86,"Davis Love III",85,24,3.08,918,"Par3Performance",2006
86,86,"Geoff Ogilvy",76,24,3.09,828,"Par3Performance",2006
86,86,"Mike Sposa",68,24,3.09,789,"Par3Performance",2006
91,91,"KJ Choi",93,25,3.07,1116,"Par3Performance",2006
91,91,"John Daly",51,25,3.13,588,"Par3Performance",2006
91,91,"Bubba Dickerson",98,25,3.06,1167,"Par3Performance",2006
91,91,"David Duval",71,25,3.09,831,"Par3Performance",2006
91,91,"Ryuji Imada",105,25,3.06,1245,"Par3Performance",2006
91,91,"Justin Leonard",83,25,3.08,951,"Par3Performance",2006
97,97,"Jason Bohn",104,26,3.06,1263,"Par3Performance",2006
97,97,"Greg Kraft",79,26,3.09,909,"Par3Performance",2006
97,97,"Frank Lickliter II",99,26,3.07,1194,"Par3Performance",2006
97,97,"Rod Pampling",89,26,3.08,1023,"Par3Performance",2006
97,97,"John Senden",96,26,3.07,1128,"Par3Performance",2006
97,97,"Chris Smith",67,26,3.1,819,"Par3Performance",2006
97,97,"Vaughn Taylor",88,26,3.07,1056,"Par3Performance",2006
104,104,"Stuart Appleby",83,27,3.09,936,"Par3Performance",2006
104,104,"Daisuke Maruyama",83,27,3.08,963,"Par3Performance",2006
104,104,"Bo Van Pelt",102,27,3.07,1239,"Par3Performance",2006
107,107,"Mark Brooks",90,28,3.08,1086,"Par3Performance",2006
107,107,"Greg Chalmers",71,28,3.1,813,"Par3Performance",2006
107,107,"Joe Durant",101,28,3.07,1239,"Par3Performance",2006
107,107,"Bob Estes",85,28,3.08,1047,"Par3Performance",2006
107,107,"Jerry Kelly",100,28,3.07,1224,"Par3Performance",2006
107,107,"Jeff Maggert",81,28,3.09,984,"Par3Performance",2006
107,107,"Brett Wetterich",82,28,3.08,1011,"Par3Performance",2006
114,114,"Craig Barlow",77,29,3.1,882,"Par3Performance",2006
114,114,"John Huston",74,29,3.1,885,"Par3Performance",2006
114,114,"Jason Schultz",77,29,3.1,915,"Par3Performance",2006
114,114,"Bob Tway",81,29,3.09,945,"Par3Performance",2006
118,118,"Kris Cox",83,30,3.09,990,"Par3Performance",2006
118,118,"Fred Funk",106,30,3.07,1278,"Par3Performance",2006
118,118,"Scott Gutschewski",53,30,3.14,621,"Par3Performance",2006
118,118,"Ryan Palmer",101,30,3.07,1206,"Par3Performance",2006
122,122,"Mathew Goggin",72,31,3.11,846,"Par3Performance",2006
122,122,"Steve Jones",83,31,3.09,996,"Par3Performance",2006
122,122,"David McKenzie",82,31,3.1,978,"Par3Performance",2006
122,122,"DA Points",82,31,3.1,972,"Par3Performance",2006
126,126,"Paul Azinger",87,32,3.09,1059,"Par3Performance",2006
126,126,"Ben Curtis",86,32,3.09,1041,"Par3Performance",2006
126,126,"Charley Hoffman",100,32,3.08,1191,"Par3Performance",2006
126,126,"Brandt Jobe",91,32,3.09,1071,"Par3Performance",2006
126,126,"Steve Lowery",99,32,3.08,1188,"Par3Performance",2006
131,131,"David Branshaw",98,33,3.08,1203,"Par3Performance",2006
131,131,"Bart Bryant",87,33,3.1,1032,"Par3Performance",2006
131,131,"Mark OMeara",52,33,3.16,618,"Par3Performance",2006
131,131,"Charles Warren",93,33,3.09,1101,"Par3Performance",2006
131,131,"Bubba Watson",83,33,3.1,969,"Par3Performance",2006
136,136,"Lucas Glover",105,34,3.08,1215,"Par3Performance",2006
136,136,"Nathan Green",108,34,3.08,1266,"Par3Performance",2006
136,136,"Paul Stankowski",70,34,3.12,855,"Par3Performance",2006
136,136,"DJ Trahan",92,34,3.09,1098,"Par3Performance",2006
140,140,"Eric Axley",91,35,3.1,1089,"Par3Performance",2006
140,140,"Michael Connell",51,35,3.18,585,"Par3Performance",2006
140,140,"Robert Garrigus",85,35,3.1,1008,"Par3Performance",2006
140,140,"JB Holmes",81,35,3.11,927,"Par3Performance",2006
140,140,"Bernhard Langer",77,35,3.12,879,"Par3Performance",2006
140,140,"Chris Riley",86,35,3.1,1005,"Par3Performance",2006
146,146,"Joey Sindelar",90,36,3.1,1095,"Par3Performance",2006
146,146,"Roger Tambellini",64,36,3.15,744,"Par3Performance",2006
146,146,"Tjaart van der Walt",60,36,3.16,693,"Par3Performance",2006
149,149,"Tim Herron",82,37,3.11,987,"Par3Performance",2006
150,150,"Woody Austin",107,38,3.09,1311,"Par3Performance",2006
150,150,"Carlos Franco",86,38,3.11,1047,"Par3Performance",2006
150,150,"Robert Gamez",94,38,3.1,1140,"Par3Performance",2006
150,150,"JP Hayes",55,38,3.17,669,"Par3Performance",2006
