"TotalBirdies_RANKTHISWEEK_2006","TotalBirdies_RANKLASTWEEK_2006","TotalBirdies_PLAYERNAME_2006","TotalBirdies_ROUNDS_2006","TotalBirdies_TOTAL_2006","stat_name","year"
1,1,"Daniel Chopra",110,435,"TotalBirdies",2006
2,2,"Lucas Glover",105,402,"TotalBirdies",2006
3,3,"Steve Flesch",119,398,"TotalBirdies",2006
4,4,"Vijay Singh",103,394,"TotalBirdies",2006
4,4,"Dean Wilson",115,394,"TotalBirdies",2006
6,6,"Bo Van Pelt",102,391,"TotalBirdies",2006
7,7,"Brian Gay",107,389,"TotalBirdies",2006
8,8,"Woody Austin",107,385,"TotalBirdies",2006
9,9,"Charley Hoffman",100,384,"TotalBirdies",2006
9,9,"Justin Rose",98,384,"TotalBirdies",2006
11,11,"Tom Pernice Jr",108,383,"TotalBirdies",2006
12,12,"Nathan Green",108,380,"TotalBirdies",2006
12,12,"Hunter Mahan",98,380,"TotalBirdies",2006
12,12,"Brett Quigley",109,380,"TotalBirdies",2006
15,15,"Ryan Palmer",101,373,"TotalBirdies",2006
16,16,"Shane Bertsch",104,371,"TotalBirdies",2006
17,17,"Olin Browne",108,367,"TotalBirdies",2006
18,18,"Joe Durant",101,366,"TotalBirdies",2006
19,19,"Frank Lickliter II",99,365,"TotalBirdies",2006
19,19,"Nick Watney",97,365,"TotalBirdies",2006
21,21,"Jason Bohn",104,363,"TotalBirdies",2006
22,22,"Jeff Sluman",101,361,"TotalBirdies",2006
23,23,"Tag Ridings",103,360,"TotalBirdies",2006
24,24,"Ted Purdy",103,359,"TotalBirdies",2006
25,25,"Jerry Kelly",100,358,"TotalBirdies",2006
26,26,"Bubba Dickerson",98,356,"TotalBirdies",2006
26,26,"Jim Furyk",89,356,"TotalBirdies",2006
28,28,"Vaughn Taylor",88,355,"TotalBirdies",2006
29,29,"Harrison Frazar",95,354,"TotalBirdies",2006
30,30,"Kent Jones",103,352,"TotalBirdies",2006
31,31,"Fred Funk",106,349,"TotalBirdies",2006
32,32,"Ryuji Imada",105,347,"TotalBirdies",2006
