"LongestPutts_RANKTHISWEEK_2008","LongestPutts_RANKLASTWEEK_2008","LongestPutts_PLAYERNAME_2008","LongestPutts_ROUNDS_2008","LongestPutts_DISTANCE_2008","LongestPutts_YEARTOURN_2008","LongestPutts_ROUND_2008","LongestPutts_HOLE_2008","stat_name","year"
1,1,"Craig Barlow",43,NA,NA,4,1,"LongestPutts",2008
2,2,"Kevin Streelman",114,NA,NA,4,6,"LongestPutts",2008
3,3,"Harrison Frazar",73,NA,NA,1,16,"LongestPutts",2008
4,4,"Michael Bradley",40,NA,NA,4,16,"LongestPutts",2008
5,5,"JT Kohut",6,NA,NA,2,9,"LongestPutts",2008
6,6,"Scott Sterling",89,NA,NA,2,17,"LongestPutts",2008
7,7,"Justin Rose",46,NA,NA,4,7,"LongestPutts",2008
8,8,"Ben Crane",86,NA,NA,3,12,"LongestPutts",2008
9,9,"Gregory Havret",8,NA,NA,1,3,"LongestPutts",2008
10,10,"Cliff Kresge",84,NA,NA,3,12,"LongestPutts",2008
11,11,"Cameron Beckman",87,NA,NA,1,5,"LongestPutts",2008
12,12,"Tom Byrum",36,NA,NA,3,11,"LongestPutts",2008
13,13,"Mathias Gronberg",87,NA,NA,4,6,"LongestPutts",2008
14,14,"Nick Flanagan",89,NA,NA,3,4,"LongestPutts",2008
15,15,"Steve Allan",58,NA,NA,1,15,"LongestPutts",2008
16,16,"Michael Allen",91,NA,NA,4,6,"LongestPutts",2008
16,17,"Carlos Franco",73,NA,NA,1,6,"LongestPutts",2008
18,18,"Ryan Armour",87,NA,NA,2,6,"LongestPutts",2008
19,19,"Stuart Deane",6,NA,NA,2,3,"LongestPutts",2008
20,20,"James Driscoll",85,NA,NA,3,2,"LongestPutts",2008
21,21,"Brad Adamonis",87,NA,NA,1,18,"LongestPutts",2008
23,23,"John Senden",93,NA,NA,4,17,"LongestPutts",2008
24,24,"Rory Sabbatini",77,NA,NA,4,13,"LongestPutts",2008
25,25,"Matt Kuchar",88,NA,NA,2,5,"LongestPutts",2008
27,27,"Robert Garrigus",90,NA,NA,2,4,"LongestPutts",2008
28,28,"Steve Flesch",95,NA,NA,3,18,"LongestPutts",2008
29,29,"Marc Turnesa",87,NA,NA,4,12,"LongestPutts",2008
30,30,"Jonathan Byrd",88,NA,NA,1,16,"LongestPutts",2008
31,32,"Bo Van Pelt",101,NA,NA,4,14,"LongestPutts",2008
33,33,"Arron Oberholser",33,NA,NA,2,5,"LongestPutts",2008
34,34,"Chris Stroud",81,NA,NA,2,17,"LongestPutts",2008
35,35,"Brian Davis",108,NA,NA,2,1,"LongestPutts",2008
36,36,"Kevin Sutherland",98,NA,NA,2,9,"LongestPutts",2008
37,37,"Dean Wilson",109,NA,NA,3,15,"LongestPutts",2008
38,38,"Bill Haas",99,NA,NA,1,15,"LongestPutts",2008
39,39,"Paul Stankowski",38,NA,NA,1,15,"LongestPutts",2008
40,40,"Ryuji Imada",80,NA,NA,5,2,"LongestPutts",2008
42,42,"Jerry Kelly",89,NA,NA,2,15,"LongestPutts",2008
43,43,"Dan Forsman",36,NA,NA,2,3,"LongestPutts",2008
44,45,"Billy Andrade",71,NA,NA,1,10,"LongestPutts",2008
44,44,"Boo Weekley",86,NA,NA,2,13,"LongestPutts",2008
46,46,"Chad Campbell",94,NA,NA,3,6,"LongestPutts",2008
49,49,"Brian Gay",102,NA,NA,2,7,"LongestPutts",2008
49,50,"Peter Lonard",92,NA,NA,2,15,"LongestPutts",2008
53,53,"Joe Ogilvie",100,NA,NA,1,17,"LongestPutts",2008
55,55,"Scott McCarron",63,NA,NA,2,12,"LongestPutts",2008
58,58,"Charlie Wi",97,NA,NA,3,11,"LongestPutts",2008
58,59,"Stewart Cink",87,NA,NA,1,14,"LongestPutts",2008
58,61,"George McNeill",97,NA,NA,1,15,"LongestPutts",2008
58,60,"Andres Romero",69,NA,NA,2,15,"LongestPutts",2008
62,63,"Retief Goosen",59,NA,NA,4,15,"LongestPutts",2008
65,66,"Bob Estes",90,NA,NA,3,18,"LongestPutts",2008
65,67,"Vijay Singh",82,NA,NA,4,14,"LongestPutts",2008
65,65,"Kiyoshi Miyazato",4,NA,NA,1,17,"LongestPutts",2008
68,68,"Kevin Na",97,NA,NA,4,6,"LongestPutts",2008
69,69,"Nathan Green",95,NA,NA,4,2,"LongestPutts",2008
70,70,"Shaun Micheel",45,NA,NA,4,10,"LongestPutts",2008
71,71,"Bernhard Langer",6,NA,NA,2,17,"LongestPutts",2008
